,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.9907360438267656,9.331564261926438,0.0525,0.9743021832281912,1.7279484318191218,0.0175,0.9543488456080099,35.80962976056347
1.0,0.0025,0.9883795504976567,5.642775895939924,0.0475,0.9609138939085685,8.87063322177606,0.0075,0.9247617507006949,13.557675158864317
2.0,0.0025,0.9796238495215346,5.989856074141776,0.055,0.9771659868492152,12.767201212255596,0.03,0.9822894281052689,10.102563964368445
3.0,0.0025,0.9814470887728511,15.495783442360286,0.0875,0.9712201482224859,6.471344561299338,0.035,0.9724755123903892,26.129094254672154
4.0,0.0025,0.9928278660197318,5.484304298757974,0.0525,0.923503808667211,19.147774486385284,0.015,0.8358498613879404,33.272854551584025
5.0,0.0025,0.9862380414301506,6.408658609812605,0.025,0.8652060174668798,6.925007520974034,0.0075,0.6958683971771321,9.67644286378625
6.0,0.0025,0.983702017248355,13.362673409716493,0.045,0.9337233457664881,18.694817116169563,0.0075,0.7980972991736092,17.90553781436423
7.0,0.0025,0.9889636751907034,6.3281141582145874,0.0575,0.9547462510544913,1.0798740706135965,0.0175,0.9374358996730863,27.50742567317595
8.0,0.0025,0.9911403977328131,5.040830132092042,0.1075,0.9927903179284948,20.38732976439909,0.03,0.9896885505482197,21.41585263724927
9.0,0.0025,0.9899111685520101,13.28532390423225,0.045,0.96863504340003,19.060685791973345,0.025,0.9846714079953997,23.546653894875796
10.0,0.0025,0.9856167399307217,16.67354346351383,0.065,0.965385027497947,12.203523974064048,0.0275,0.8913018056982593,38.01624102699569
11.0,0.0025,0.9947210455641662,1.7472708126485192,0.055,0.9749902470695181,14.579472332795651,0.015,0.9513512051255987,13.879329820363326
12.0,0.0025,0.9965034543281627,15.49946753485772,0.0475,0.9817425150046601,15.095144335987333,0.03,0.9916013888721578,27.834024670140153
13.0,0.0025,0.9947706761505649,7.254398510927496,0.05,0.9590760233392566,22.947640705230476,0.0225,0.9762166094593226,15.780958024426843
14.0,0.005,0.9941623501242335,10.363190900781108,0.0375,0.954808375436523,7.491134022411247,0.0075,0.7861675045448019,24.310833932955546
15.0,0.0075,0.9948603727748034,9.337355080323457,0.075,0.9829571806720719,3.112443705944037,0.045,0.9911589790999198,21.03156292404207
16.0,0.0075,0.9752777740978005,14.763161186962444,0.0625,0.9711012894642032,29.750593886766193,0.0275,0.9735095083338339,38.768322618299884
