,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.05,0.997574546782746,2.8452496924327657,0.05,0.570994072462226,8.6494649263294,0.0525,0.3831619551547204,36.57246615372196
1.0,0.04,0.9980186682632549,3.2797525822516023,0.0625,0.5466202911155357,9.82981756507048,0.035,0.4934482888603419,7.369389359639509
2.0,0.0375,0.9983664607027813,10.229683075345788,0.0625,0.6720717834789918,12.207950031257225,0.04,0.5995196705400595,21.12819486969425
3.0,0.0375,0.9971724796290727,3.5465090579458254,0.0525,0.633324678324744,15.554389000860418,0.0475,0.6534489691571999,9.796047442638582
4.0,0.0625,0.9991163576515796,0.02443937967865488,0.0675,0.8731854489943076,1.7645250236930277,0.06,0.5891931893872261,13.433785428714696
5.0,0.095,0.9994555488685416,4.720171433209937,0.085,0.9265785168065859,13.897740067364396,0.0575,0.6360277164436497,23.75249355850588
6.0,0.085,0.9986221232930306,4.921991221073317,0.0825,0.6952817457830216,37.81962986563819,0.0325,0.4486833842105826,24.007332453833968
7.0,0.085,0.9983676756703236,17.481809977272707,0.065,0.727619187195395,11.78469450127488,0.0275,0.335038161800763,11.373906458531655
8.0,0.0375,0.9972790279145228,4.2399227380090485,0.0875,0.49952872427743505,11.846444322161872,0.0425,0.6710479408783974,30.800236170984462
9.0,0.035,0.9981884136882375,9.391789418056575,0.0875,0.3844003469616582,19.794215311248884,0.0375,0.6675595746503649,19.92594375790011
10.0,0.035,0.9946826845904924,2.236310490649428,0.0775,0.3159941393892896,15.98377885283436,0.04,0.6013836227473353,11.789495564271778
11.0,0.0475,0.993948508620764,0.0,0.0825,0.6986207594755619,12.976421414407419,0.06,0.7883666493615524,20.609834399114412
12.0,0.07,0.9971680284683843,18.007895184599306,0.0825,0.8557059381002086,13.455633671164563,0.0575,0.6801141419237892,34.91954169656585
13.0,0.05,0.996933939179866,32.194146136397855,0.0675,0.7874206193674299,11.282979747907628,0.0275,0.3604495598168159,7.312473802945943
14.0,0.0425,0.9978334926860731,6.005865710444005,0.0575,0.8248979231840275,5.403214463903221,0.065,0.7401377522592362,9.433869967957579
15.0,0.0425,0.9984940717443574,3.3044612419171355,0.115,0.8780901477500959,9.690622214176678,0.07,0.7984573183104077,13.244916759438837
16.0,0.0425,0.9984623803259411,12.718519027669492,0.1025,0.8302499202492782,32.29470456805292,0.0325,0.5231182922136848,32.84834656112624
17.0,0.04,0.997519467903203,10.790418964244147,0.1075,0.9258968210504188,16.94381181170183,0.0575,0.7195687434251835,3.871872682193814
18.0,0.0925,0.9992385599979834,15.626598307241757,0.105,0.9877566834243399,12.979687184728608,0.0625,0.8411649216381096,15.474895377892555
19.0,0.0925,0.9979653977934767,6.404920132042994,0.09,0.8957813373751747,4.40895087899521,0.0375,0.7690740777427658,15.005080967181744
20.0,0.085,0.9979964107856435,14.306444488244443,0.0775,0.8590409451996016,17.321542132201586,0.0225,0.5475647044484852,52.84311937618932
21.0,0.04,0.9940721197428131,61.59030592628905,0.095,0.707877967147872,12.127393325296126,0.0325,0.5083032396399492,7.273820327914978
22.0,0.0375,0.9917457836234037,1.128884430607172,0.085,0.7664319935313753,18.117206364421673,0.0375,0.6834733115653143,27.02454284505884
23.0,0.035,0.9954679822763973,4.262520835036761,0.1,0.8420676322746989,20.48859757686149,0.0275,0.5054495557517438,14.878224505265274
24.0,0.0425,0.9961248351142801,18.223977804905875,0.075,0.8355613783819665,2.7167710903395315,0.0425,0.46079219195557114,10.51095420898885
25.0,0.0525,0.9974678811241555,18.908740564141326,0.0925,0.9092130234256417,23.90720955902461,0.06,0.7228875396130721,15.869881876385627
26.0,0.0575,0.9964688859649103,7.60794179997231,0.0775,0.6821637164835702,9.463557748594702,0.035,0.4558995113756952,18.4545460707063
27.0,0.05,0.9971910145477066,7.430206430057849,0.055,0.7593479090904022,17.268616541690076,0.0225,0.29905601189775655,27.509463168588923
28.0,0.0375,0.9978987231565021,9.707671162144905,0.06,0.7783798317756347,7.775775101347021,0.025,0.24029498151441234,7.6996685017131234
29.0,0.035,0.9989299451874804,0.09885104774842281,0.06,0.617328380666012,11.864598462636522,0.0275,0.3884676179215378,13.267611442524398
30.0,0.035,0.9983018402036461,5.276787924523375,0.0575,0.710488995781706,18.85073340395558,0.0325,0.40820787504471695,13.587643204671148
31.0,0.09,0.9983266430467292,1.3813308242019062,0.09,0.8761857884326176,32.05806617953921,0.0425,0.5325240231524873,35.15495842403713
32.0,0.0975,0.9988608105583783,8.920146483096737,0.08,0.9754261651013504,14.9966626782178,0.0475,0.8923520368806604,15.465427282849413
33.0,0.0975,0.9992550302758545,13.106375849826382,0.0775,0.973769506291972,10.282536060677096,0.0375,0.9749172063427032,42.23846424789991
34.0,0.085,0.9984096557650862,7.358716843301176,0.0375,0.9393797568182181,20.440109167613777,0.0475,0.9955350885018096,39.30499230408968
35.0,0.0475,0.9986986196873361,7.639277146426281,0.065,0.9805928224084461,7.878944158389062,0.03,0.7354000924188328,18.682065559720723
36.0,0.045,0.9992832821348,4.976112721627762,0.0925,0.9958540162698196,14.355393253422479,0.0375,0.951530103521126,17.815615178012134
37.0,0.0425,0.9994644630675331,5.501157349718135,0.0325,0.9822249052387513,23.52823484255196,0.0375,0.5507322003560783,16.852235528690887
38.0,0.05,0.999152441230554,7.198588983892918,0.0825,0.9790284129978095,19.469464448282924,0.06,0.7660148149348927,6.463924831156732
39.0,0.04,0.9975187489744212,6.770257647958001,0.135,0.9794529417469079,25.618076548820095,0.065,0.899640218990271,28.84706491841555
40.0,0.0225,0.9870497500870731,7.286078475250553,0.0625,0.8939950356259047,19.647683568390622,0.0225,0.7071590529574877,18.158692887664248
41.0,0.02,0.9717616206484174,14.887144173708847,0.09,0.9859375584749034,26.228056483505135,0.0425,0.9718057118871708,14.701960702592956
42.0,0.0125,0.9753332311754646,3.518469043637493,0.075,0.9958828134114637,13.633226576860862,0.0525,0.9882473587884775,22.01324022554025
43.0,0.0075,0.9699539820457772,9.958785681612428,0.0175,0.9589686077749752,7.208513820097874,0.015,0.9555698175482603,29.394003275673278
44.0,0.0025,0.9507788614759011,0.0,0.035,0.9921630589202284,17.546633090918387,0.03,0.9861887109042494,8.974791362653017
45.0,0.1,0.9999184317817901,11.387173830400261,0.09,0.9981921224474318,12.558602704883697,0.035,0.9797600428982604,22.019293127984916
46.0,0.075,0.9994346827726532,18.98873582596487,0.0725,0.9769384943084582,14.545115558248243,0.0675,0.9927780080574519,22.29093676805522
47.0,0.07,0.9993444712835277,24.44166806697232,0.0725,0.972715071800404,20.901430666946172,0.065,0.9966315988438317,31.227878657946025
48.0,0.02,0.9842849101731779,11.958745202134363,0.015,0.7923028247930993,6.810060969398871,0.0325,0.984837071932983,25.50054486886634
49.0,0.0075,0.972698113366032,1.567755726515242,0.06,0.9930827969567413,11.005926312075413,0.0225,0.9751209954403491,11.797632674862568
50.0,0.0075,0.9960526119370041,6.008272908817018,0.0875,0.9988105663035597,12.929645421462695,0.0375,0.9799480986250846,6.785235009555751
51.0,0.03,0.9991335241659772,1.3922506062135198,0.0575,0.9925107338368682,8.481316649980418,0.04,0.9880888470418501,18.93855722254111
52.0,0.0475,0.9990499436120803,10.981252151036625,0.1275,0.9599932747465698,8.342747792341159,0.075,0.8811966213648914,7.464555238040642
53.0,0.025,0.9883038785030335,15.10264081841834,0.1,0.9606357069411027,22.07272940207274,0.04,0.8765722118473412,34.88754197959277
54.0,0.0225,0.9874838115014732,9.077698861399227,0.04,0.8145697247348037,6.804903341495608,0.02,0.7698425367144393,25.610222712630005
55.0,0.0175,0.991185175990133,31.41506750180111,0.08,0.9947893146414123,25.492344951199332,0.0475,0.9938856860618908,23.75223002192405
56.0,0.0125,0.9647461300466729,16.20360790539936,0.0175,0.9242401821925331,13.990796733526462,0.0175,0.9854527221573526,20.82906257674321
57.0,0.0025,0.9442732830408822,6.050885390814583,0.0175,0.9705148437395165,29.489733043837806,0.0325,0.9771779606350559,11.263128206494263
58.0,0.0975,0.9998354943794932,3.023409089749775,0.075,0.99855365354598,35.19575457541463,0.0425,0.9795671364269949,10.708768189765497
59.0,0.0825,0.9997220275905504,15.664977864888732,0.0875,0.9881302392059621,9.178678791127137,0.04,0.9025988406427702,24.7644230425629
60.0,0.08,0.9993305829280863,1.1208534776485266,0.0675,0.9623704853060647,38.41956058103432,0.0325,0.9723012406610362,23.170288233452613
61.0,0.06,0.9972476877667061,23.663605988328417,0.0425,0.9631883638868171,28.949045576657632,0.035,0.9961385285408422,28.12060449951528
62.0,0.015,0.9791153303885582,6.626317273329091,0.0175,0.9449659306082406,9.289152531828034,0.0225,0.8367128117232902,4.775103190886146
63.0,0.0125,0.9950589930032113,3.1065685275163784,0.04,0.9957985810770186,16.30717676011357,0.04,0.9921520139754266,13.562277708255108
64.0,0.0075,0.9937107297976167,21.694225161042525,0.0325,0.9877925254295388,35.86461082546167,0.0325,0.8449027004468186,18.202720022941495
65.0,0.0425,0.9991432967671688,10.312855461381973,0.08,0.9554420037638337,17.50597553206218,0.0675,0.73576354702725,36.88936864821536
66.0,0.0425,0.9947108793414917,10.744798893671062,0.09,0.9458847311939339,26.861690904884394,0.0575,0.7756494098390061,14.594723687990736
67.0,0.025,0.9891104947830143,11.6683659672331,0.0525,0.8876377652252224,16.857773522684763,0.025,0.8093516273407606,8.059605934466559
68.0,0.0175,0.9862207951307861,15.66098762559623,0.0525,0.9763460341065825,18.591470877240482,0.0525,0.9931432560208766,7.900361101333489
69.0,0.0125,0.9583052755088721,12.191377841985556,0.0175,0.9169262852211358,57.54406615900281,0.035,0.9305609143484055,17.810322975896096
70.0,0.0075,0.9405748583837829,11.306896009056512,0.015,0.9732600940224871,13.971645456619745,0.02,0.7149606809069388,62.363015271492166
71.0,0.0225,0.9981948939913564,9.718311307161954,0.0775,0.9988816938248077,4.329818094111669,0.0675,0.8558307844752159,24.205650260282745
72.0,0.0975,0.9997617874931136,9.904927201861597,0.0775,0.9967970897882229,33.052658688323596,0.06,0.9252468118042774,17.08308233594659
73.0,0.0825,0.9994198678628805,1.7269725645438416,0.0575,0.9321958440943936,12.891043612531455,0.035,0.8761157554085968,16.855343732434957
74.0,0.0775,0.9990276425816148,20.069571490353493,0.03,0.8639676483001969,17.019812160234057,0.0125,0.7531673708253688,16.663072015621747
75.0,0.02,0.9887568493249737,13.197447597679835,0.015,0.8716980308061901,17.548016186591756,0.015,0.651815408815377,7.274139389047964
76.0,0.0125,0.9783647877383959,7.76604496180542,0.0425,0.9938076071625168,0.027207768260894622,0.0175,0.6411828765371309,30.47895079382001
77.0,0.015,0.9978363593608033,13.011152160279904,0.055,0.9968377447182446,36.90287343885992,0.0475,0.899375413017206,11.22758817435975
78.0,0.03,0.9986911231050831,13.600551524387354,0.065,0.9960685550217822,10.170978774896449,0.055,0.8838996289981559,21.454796063144418
79.0,0.05,0.9990210616839761,13.177867707751387,0.1325,0.966441063435729,16.915382387285565,0.0625,0.7541786451377849,15.084780914236296
80.0,0.0275,0.9857482912010727,9.877936194572294,0.115,0.9598948021461775,10.145973962913574,0.06,0.9285716724276011,28.300793983515327
81.0,0.02,0.9869537862999149,10.995862629072482,0.06,0.9341509148392162,49.96151960375045,0.045,0.9655254855212674,18.96735224901283
82.0,0.0775,0.9987711420994655,3.5454379097249817,0.0375,0.9799394204341279,16.801935676870656,0.025,0.7539264763583172,6.944941020559753
83.0,0.0525,0.9992446437535727,22.621983050280253,0.015,0.9345253029270846,13.050327507643576,0.0175,0.6350677745613542,21.097795108653425
84.0,0.0625,0.9998133476497305,7.504865316394229,0.0175,0.9817986843236857,30.471341102983732,0.0325,0.5029267350392921,9.764284132460961
85.0,0.0875,0.9993419675916958,24.08408940939223,0.1225,0.9989413229043522,10.964940474135158,0.0525,0.90968935974147,12.065195737589034
86.0,0.08,0.9996523600002208,1.7247432935206242,0.085,0.9827423023173687,12.600464853124487,0.04,0.8977759606593032,26.308965096293964
87.0,0.095,0.9993205166476969,7.6245780334796285,0.0325,0.866430206856408,5.691676556980467,0.035,0.9668806576606978,18.80585874360314
88.0,0.0575,0.998425099788765,9.667297776698467,0.0825,0.9905233121696042,6.973288414053233,0.0325,0.9870048226067422,19.233615003196974
89.0,0.045,0.9991024118879935,19.548239091080106,0.0525,0.9905502832549236,31.21000267535068,0.0375,0.8175464866570298,19.956961587953312
90.0,0.04,0.9995783099231981,19.438897527446176,0.02,0.9659833615542918,17.25865268382358,0.0475,0.9888069920156287,14.224102513436094
91.0,0.04,0.9995663845346384,12.918453748473018,0.04,0.9972136921909331,20.620936329686927,0.04,0.680381333835057,22.863279653297262
92.0,0.06,0.9986477535408427,5.948498131445326,0.07,0.9637564886725719,1.3697312692816097,0.065,0.7989655275701074,21.969791916216966
93.0,0.0475,0.9936857099019438,17.902229753699693,0.1,0.9486479497341622,6.418752178281543,0.07,0.9433426864662954,20.17631671836365
94.0,0.02,0.9866811453476991,19.643085920889945,0.0475,0.8887881478655872,18.697759300802726,0.045,0.9402856009203479,23.120963189824412
