,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.05,0.9995253396797554,3.908988485810231,0.105,0.9982491093237615,20.997237660299135,0.1075,0.996763639103488,23.61717463074248
1.0,0.03,0.9990183699413254,8.67725845573489,0.025,0.934452917939738,11.630300965556637,0.0375,0.9628971650926251,13.549788068918902
2.0,0.03,0.9993535170173297,9.82466284378882,0.0275,0.9730820507933362,41.62706534100967,0.035,0.9425327674110031,22.48991251290276
3.0,0.0225,0.9904719676638861,0.0,0.0225,0.9022221715467079,2.560760064787522,0.03,0.9393093814013462,12.248254660834695
4.0,0.0475,0.999241102104152,3.0023594427651807,0.08,0.9978143465360795,23.03886810724725,0.07,0.994560197849865,26.935166082157565
5.0,0.035,0.9996572815106428,16.763460175850003,0.065,0.9974190342483468,35.82468957002736,0.02,0.9114515372776929,22.692890255604663
6.0,0.0175,0.9926623369552768,12.518106151964577,0.015,0.95768514808255,18.209465892052652,0.05,0.9926529772943388,16.05190814150843
7.0,0.0775,0.999598423318052,9.055125675677907,0.065,0.9984465128216807,8.534368023788625,0.045,0.9879830504640171,27.779279720728056
8.0,0.085,0.9997499276308958,13.838542793592499,0.06,0.998902158902402,16.738563349454168,0.0425,0.9970747324870777,19.347647779983888
9.0,0.07,0.9997106093522425,13.175715467982483,0.065,0.998281847402673,24.384870754168727,0.0475,0.9958125451892228,19.609493453403918
10.0,0.0375,0.9994126027632911,12.429524561814613,0.08,0.9984772630486214,6.23308925818273,0.04,0.9840028504778398,14.49062307984522
11.0,0.0325,0.9990112518696704,3.024012494391322,0.07,0.9984886696675008,7.394828918331225,0.0425,0.9795085704222649,67.59118421754732
12.0,0.03,0.9993738777816215,1.4906686569763146,0.065,0.9937781743405156,39.54711255654721,0.055,0.9865484558869779,13.785842380854588
13.0,0.075,0.9997596249703419,8.455920827997243,0.065,0.9947679993082662,22.770825702352425,0.04,0.9771426257092867,20.800546412697823
14.0,0.08,0.9996486445527517,14.380799945248325,0.0575,0.9932449185440129,15.181059770136944,0.035,0.9677290095056165,10.734033182225795
15.0,0.06,0.9997037679486842,26.506468385699083,0.1025,0.998295651278483,1.81807594189326,0.1075,0.9989000691910198,10.915573004771627
16.0,0.04,0.9996323658890444,17.03448086124674,0.09,0.998610157320549,22.71223361762582,0.0725,0.9890278998324364,33.06492907683503
17.0,0.0275,0.9988989644661088,26.77188399711614,0.06,0.989765586453433,16.149806291592302,0.0225,0.910580007720544,32.96108305593569
18.0,0.0125,0.9801415752374558,14.835999040865634,0.0625,0.9926499284511889,19.530411891059273,0.0175,0.9238354006805031,14.893977708958202
19.0,0.06,0.9985175178103647,25.07074845729452,0.04,0.9826234876895494,7.535334013007525,0.0325,0.9555623725959316,33.60331915238356
20.0,0.04,0.9992424955965599,3.086292621146689,0.0725,0.9973257999111936,20.001428387358718,0.035,0.9853186284354236,30.01168201305141
