,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.045,0.9966189044309481,9.816370919255062,0.055,0.9893822967632004,19.40706819400672,0.04,0.9019993561980492,22.321843817198157
1.0,0.0375,0.9967554196335838,13.115139330475238,0.0575,0.9840023652187793,15.89212338193092,0.05,0.8667702351815301,7.687603127679311
2.0,0.03,0.9991305028965319,2.1094623337506464,0.035,0.9770898547506529,23.009069888999033,0.0425,0.8419537155305071,10.439159824850927
3.0,0.0275,0.9970444925283977,10.007148201772642,0.03,0.9696580148556705,22.21589059681497,0.045,0.8752898553343551,13.583289882802628
4.0,0.0175,0.9908842671198119,30.54240930047357,0.0125,0.8621498792812211,9.836080531678359,0.035,0.7721116489661746,3.2771605977164837
5.0,0.0025,0.9512999389780933,9.216603396141844,0.04,0.9796617979569541,15.081343102597856,0.0375,0.7050003049548605,5.1077798915337596
6.0,0.0325,0.9991223905963358,11.201033456849515,0.0625,0.9275987586956164,10.920846591996177,0.06,0.8920766977816499,21.0353550493606
7.0,0.01,0.9709942295291685,34.83094982445933,0.0575,0.9568394643008297,12.250871528350975,0.06,0.9317511110777719,30.783374848867695
8.0,0.0075,0.9837631127679228,10.266705612909712,0.045,0.9664177642378291,30.1028694437101,0.045,0.9161865625377765,33.67135297884454
9.0,0.0175,0.9895904149310947,11.649521383006523,0.03,0.9766238770616867,16.09943687974853,0.075,0.9134020330866539,32.158157335081285
10.0,0.015,0.9831892567944152,9.739170390432555,0.03,0.949534398007889,10.95095705298878,0.025,0.9783429045506298,12.25585929721868
11.0,0.0125,0.987529662928669,17.699101169360638,0.03,0.9685758307940714,3.6444553074266657,0.04,0.9833033369291978,10.390147480372622
12.0,0.0075,0.9826891545742457,18.7781316652767,0.0325,0.9672807360354124,23.415960251648663,0.035,0.9813047068571398,16.90997312761273
13.0,0.0075,0.9854298325519683,17.091939625326496,0.04,0.9662067209778967,28.13014703498171,0.0325,0.9565277977744584,44.44602731633756
14.0,0.005,0.9569755349750023,5.105039580461426,0.04,0.9566384603550718,29.599931913363427,0.035,0.896259595895315,8.11711945582734
15.0,0.0075,0.9880571845323896,35.40087677039325,0.03,0.9722794037253779,31.985715306326526,0.03,0.9152601294442835,11.904134281890958
16.0,0.0025,0.991947817543607,3.610706541551643,0.0175,0.9836395255168586,19.273367333616534,0.0125,0.9079168629309099,9.634195682723853
17.0,0.0075,0.9858291164598855,0.47692795717226893,0.02,0.9857519294751819,8.1385608641149,0.02,0.8989545493853546,10.134855135111764
18.0,0.0075,0.9729978448578083,34.91243301150453,0.0225,0.9879035470328875,21.294641878636572,0.0175,0.9242049126846461,17.405312498514128
19.0,0.0075,0.9793932305574461,10.00502666233501,0.02,0.9912364679238005,26.400648431644935,0.0125,0.92313744974737,30.229714193812196
20.0,0.0075,0.9826642339463565,9.787338963016353,0.0125,0.9658648939902355,11.021618111894822,0.01,0.894591403022403,5.405256509978741
21.0,0.0075,0.950425456302865,12.587676664151592,0.0075,0.9550053188587392,7.847041142661919,0.0125,0.9019785224477391,12.838859344635761
22.0,0.005,0.9557996468219903,18.347379354577665,0.025,0.9975726961109648,20.71625502743622,0.0125,0.9532575916971379,16.366229295900652
23.0,0.005,0.971426535531635,16.74853003439055,0.0225,0.9911613491811649,5.213535611412378,0.0125,0.9477111172455224,3.5515489406173235
24.0,0.0075,0.9766463119892836,14.247098446966334,0.02,0.9879437515798091,36.36724814551276,0.0125,0.9654691052074279,18.100455020716055
25.0,0.0075,0.9884309850865299,3.9915561491975216,0.0125,0.9705879209040909,10.773032223827297,0.0125,0.9488126401737379,39.21671533808372
26.0,0.0075,0.9830092069733819,17.461084807146626,0.02,0.9761590217172504,20.24655621984319,0.015,0.877100603155371,25.580767253330464
27.0,0.0075,0.9795658720492344,4.990280221765161,0.05,0.9854209486898162,34.24164156987618,0.035,0.8975790367387494,24.416180171427424
28.0,0.055,0.9986992131616713,11.815860714146893,0.0475,0.9896266502928491,10.570732512002202,0.0425,0.7836214364144363,15.519777473336012
29.0,0.0625,0.9970995375791677,4.568066384991979,0.04,0.9819776171581217,18.449003126096336,0.03,0.7705557718308619,17.04126628953432
30.0,0.0475,0.9969666637475871,6.324016742007345,0.0325,0.9689337526131383,10.524076272596934,0.0225,0.5692328787093187,9.453600274689183
31.0,0.0625,0.9955865714530158,2.193831167569096,0.0525,0.9901645948007817,23.70962891969264,0.0225,0.7793870582877481,18.38813886957713
32.0,0.055,0.9945342899559931,9.106687995427361,0.0225,0.9731903349051405,48.37161805224348,0.0325,0.8499292466813914,27.86250438378413
33.0,0.0375,0.99697713735312,15.457404025749188,0.0425,0.9791001203859618,15.122016357033942,0.03,0.7478999849830396,10.922099248547516
34.0,0.035,0.9952547212291961,13.37491011044129,0.0675,0.9797099315105637,28.602633474068135,0.0475,0.7361018890453698,32.56335229366036
35.0,0.0175,0.9943121258870068,6.472500172544841,0.025,0.9571621053820721,9.96545553809282,0.04,0.7286333240442076,25.560712944922038
36.0,0.0125,0.992081437391326,5.217333853508964,0.02,0.8863194312175593,28.715025759774267,0.03,0.7852802295405817,8.684710156030595
37.0,0.0675,0.9968074236953802,19.953246590307746,0.045,0.9833310944732279,35.841000408257656,0.045,0.773368820500037,19.09499661170419
38.0,0.0725,0.9986739277120387,10.280152072354877,0.0325,0.9916773315822643,16.224610054370107,0.025,0.4307175845209528,14.341743694676852
39.0,0.055,0.9959987533693083,5.375709592486661,0.0325,0.9756407630728616,34.13447248026316,0.0375,0.9028851754021743,8.239586594675208
40.0,0.0425,0.996470952789792,4.912182479557675,0.0225,0.962891528408659,19.335485098696427,0.0375,0.8148476580483442,21.479101063557398
41.0,0.0275,0.9958432175338134,9.089640162681539,0.045,0.9793400797448835,26.094520718773676,0.0375,0.7985116635624495,19.673107046897112
42.0,0.0325,0.9970949917763569,10.656200789313983,0.05,0.9909851236801259,19.222384855319664,0.03,0.746304618726817,18.152376208470574
43.0,0.0625,0.9977430869720968,9.174906175608436,0.03,0.9833065012844711,9.762828412938811,0.0125,0.8066962671666957,30.961161843258665
44.0,0.06,0.9971316214725643,15.955617517400352,0.0225,0.9661449750501151,32.152890435516966,0.025,0.5916618086957773,9.442360441640433
45.0,0.0475,0.9978615378837555,4.281138396127662,0.0525,0.9865677420002642,33.00463778302718,0.05,0.8730968820907274,26.50602662573698
46.0,0.045,0.9972705922403172,13.630691551156664,0.045,0.9847385327921863,16.62845023139775,0.0275,0.8572568381075775,8.931713204234175
47.0,0.04,0.9975016501169969,6.313606236687787,0.035,0.9607957600696881,25.037283455777434,0.0225,0.48192425650226145,13.374695862481458
48.0,0.035,0.9925903018829652,4.829602107853844,0.0325,0.9287101616678656,22.232058112156288,0.0475,0.7647608555741142,14.14093400553293
49.0,0.0275,0.9973751561308802,3.9643395545516786,0.0225,0.9473503769888864,34.30683075378946,0.0325,0.6566194386166414,15.309870066842684
50.0,0.0225,0.9943644530086904,20.98916298123573,0.0125,0.9058885837089455,16.803394365355196,0.025,0.6473371769744476,29.09666771157284
51.0,0.0625,0.9980633031362445,7.159391023902134,0.0475,0.9903192363494867,14.07139204948274,0.035,0.7503693414878025,10.68983224379152
52.0,0.055,0.9952006537745632,6.443800117538011,0.02,0.95269310430067,5.757827532190264,0.04,0.7044163547756712,22.216842278360378
53.0,0.0575,0.9953178451034724,11.201260082771734,0.0575,0.9791306329218524,5.859042155929311,0.045,0.7798842277609644,11.991397663253592
54.0,0.065,0.9969824488286635,13.713704593045449,0.0375,0.9629060402187628,13.530659102938348,0.0275,0.8552766776926412,13.01059465601684
55.0,0.045,0.9973753826519587,1.2365311233148044,0.0175,0.9409427883756273,18.813583924779696,0.025,0.5490515924201832,30.32779187171323
56.0,0.0375,0.9983672930541045,6.906387175430372,0.0425,0.9717587313855918,18.25438680823534,0.055,0.7248828241452153,29.246392371767918
57.0,0.035,0.99856116955622,9.7013893055907,0.04,0.9875784856115954,15.809375567392848,0.0225,0.7214148979810235,4.488595792678113
58.0,0.0175,0.9917596085602188,8.54520421448137,0.03,0.9462204015327511,8.583420507769983,0.035,0.6282197324059361,21.30641739120673
59.0,0.0625,0.9975908695015517,6.609267310830291,0.0525,0.9830736419218011,30.0758251326154,0.0225,0.6911237184903738,19.581579418366232
60.0,0.0525,0.9980267094790326,16.918333513064812,0.045,0.9892296621157992,33.58732339172438,0.0275,0.7560337951743966,6.38201975266106
61.0,0.065,0.9959456111594092,8.264217812169873,0.0275,0.949199374636561,23.7453033732772,0.02,0.6944996561770804,9.994511187636164
62.0,0.0425,0.9930084730671663,13.93672158327033,0.0325,0.9738192971202699,7.561976138340553,0.04,0.6403526829272908,14.105539443459524
63.0,0.0275,0.9955819587280972,6.137281004460247,0.0175,0.9425820172497436,17.59954044794204,0.0375,0.669409095178877,16.860946186272972
64.0,0.035,0.9945019670423653,0.3552750058972945,0.05,0.9801172493556422,27.793354081993446,0.03,0.691390385537169,15.351587794382858
65.0,0.0675,0.9961065129294145,7.079718523903099,0.0525,0.9709151167737116,18.13182965538774,0.03,0.5620158956605781,25.11749310101227
66.0,0.0625,0.9946468639385531,5.46744637923989,0.0425,0.9774665019658629,14.861168304220065,0.0375,0.740335528679563,10.656126302042978
67.0,0.0475,0.9969249338275143,14.018565723642936,0.045,0.962853045961139,18.08983283824509,0.045,0.7645127410220455,25.859400217326424
68.0,0.0425,0.9932157570623833,9.855384433086098,0.0325,0.9268773288672648,22.243432368906227,0.0325,0.8835713932108541,0.5383445188888676
69.0,0.04,0.9909759847227477,5.244953658528464,0.0225,0.9202533763706995,35.72987696742339,0.0425,0.9416689231225507,34.3821869625298
