,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0225,0.9973085225364537,2.310335879055928,0.0425,0.9991907745730507,35.31307260201487,0.03,0.7934527188886689,12.097437235966137
1.0,0.0225,0.9985352189191053,2.0259407063865957,0.04,0.9973262626758318,11.124095511437453,0.03,0.8213267525511263,22.383283961968992
2.0,0.025,0.998665777224036,2.979902575812672,0.035,0.9852166578438578,6.231325305165982,0.015,0.7670207671494971,9.06662666987282
3.0,0.0475,0.9992669293980407,12.829022984428695,0.0275,0.9931953073800565,15.863602867377848,0.0125,0.9333121672695514,50.04943621948823
4.0,0.0225,0.9988920690432933,21.571157028543517,0.0425,0.9986616833679802,28.406447371359683,0.025,0.5649152799679581,9.958067856272336
5.0,0.0125,0.99788824511394,4.349631547314782,0.04,0.9919201913985232,39.81896874987572,0.0275,0.7682092002014025,15.40511854145054
6.0,0.015,0.9990584306752149,1.2573266606543072,0.04,0.9959409952783018,0.35259896179702926,0.02,0.806473355415288,12.850643753432127
7.0,0.03,0.9997755718850855,29.490675118480286,0.0375,0.9945127694603223,21.67931880047186,0.0125,0.9076244193315245,26.09990412719164
8.0,0.0425,0.9988276874624256,0.612384380218299,0.0525,0.9980948360530535,5.730976552634932,0.0375,0.7243667756475082,9.67809590310353
9.0,0.05,0.9980400967010172,8.212066560230792,0.0575,0.9968445355432187,18.897566043316218,0.0275,0.7604225950747054,21.651234246885593
10.0,0.0375,0.9976904492338672,5.490548757091012,0.045,0.992657251804156,2.882530027746072,0.0175,0.7643407844672563,12.507716479193999
11.0,0.03,0.9974099606640805,3.0602715706801487,0.045,0.99674639206438,17.650537534999575,0.0125,0.9223874358035401,15.296158336261652
12.0,0.0325,0.998265419855635,10.964635131797905,0.055,0.9907549676417421,18.735146061136717,0.07,0.8655058731161975,50.95555222295246
13.0,0.03,0.9976213910727046,3.6460079873581224,0.0375,0.9912963216801617,13.812597642576241,0.05,0.898873576639735,25.318092202089307
14.0,0.0275,0.997591368142557,3.0336140584964637,0.05,0.9968738148546199,27.915692501186268,0.0225,0.8767117556804682,17.45684919527085
15.0,0.0275,0.9971196803136047,24.208358354124204,0.0475,0.9941535481425403,10.49883596329941,0.025,0.9497082201535457,9.074971436561839
16.0,0.0275,0.99710798758925,8.44577341845299,0.0475,0.9907485129927501,7.355799952295852,0.06,0.7860981295542269,38.09286830759852
17.0,0.0275,0.9970044718917795,2.161872001927788,0.0425,0.9941250892492247,34.03619068466615,0.025,0.8952599394551428,27.966541667484023
18.0,0.0375,0.9977072230887145,9.192641028484362,0.04,0.9871272025576281,44.72949165696025,0.0325,0.9206415222980092,25.40903340705521
19.0,0.035,0.9976654566959665,4.613869964391393,0.0125,0.9677996705563584,6.7567611264967,0.025,0.6929909127164318,18.497014065795025
20.0,0.045,0.9986735735728416,12.427133553394965,0.0475,0.9990175919781682,6.468551546035438,0.035,0.6908038657588508,8.89012402331274
21.0,0.0425,0.9976351928430516,19.670533798159028,0.0525,0.9942185886596467,16.03572986174169,0.0225,0.8862789756971197,23.626685411234412
22.0,0.0375,0.9975404510481256,15.081914018636493,0.045,0.9935638843448195,7.473864780600204,0.0225,0.8726105048819408,16.880993001165475
23.0,0.0325,0.9973006453374939,0.6925491151221381,0.0425,0.9952140936092353,41.635765850337975,0.02,0.8979218708874716,12.887864493053575
24.0,0.0475,0.9983093745578804,16.404432243346832,0.0525,0.9970789527103202,10.123312371226268,0.055,0.8310500019418705,20.103752746725977
25.0,0.04,0.9982624461540233,4.213586657478405,0.0375,0.9810886189332515,35.150282223387244,0.0475,0.9214868855370603,40.01992407157154
26.0,0.0275,0.9984021317362038,10.938527039618922,0.0575,0.9961304381909685,19.205599577049625,0.0425,0.8994971379974438,12.879143040119665
