,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0225,0.8899194303310198,8.48566372857477,0.07,0.5915981989253467,17.780901348925077,0.045,0.5359594576597377,11.814182997981884
1.0,0.035,0.9867302160019743,11.938100702732191,0.06,0.6864176490395766,24.79653545535043,0.045,0.6389528394073045,20.719340798532446
2.0,0.025,0.986703678496155,10.766094951050203,0.05,0.499199376460456,14.4091981523372,0.0375,0.6590878167954852,19.733601583145376
3.0,0.025,0.9825301738298898,31.680476161338152,0.045,0.6182911540385787,37.16395271260774,0.015,0.6601575774435413,19.47532491057979
4.0,0.1025,0.9606230494413251,8.273808648131554,0.105,0.78503567498477,13.717505424580123,0.0375,0.5067332083202889,26.452540800661385
5.0,0.1,0.9835951079058255,10.02474806099282,0.07,0.5209017511474124,19.598667504444276,0.0225,0.5476427791333247,10.497205945287643
6.0,0.0475,0.9607811192340879,19.052610418842622,0.0425,0.7378820772272363,6.769869279180068,0.0125,0.6755996604522173,44.528184390107654
7.0,0.0175,0.9555715415190603,3.0131588427534126,0.0175,0.8880911823690656,6.15646995027088,0.0275,0.598856269924641,55.74193903842349
8.0,0.02,0.9760633487956238,0.009055176070932985,0.05,0.7588448499301672,25.73588541290574,0.0725,0.4435689566893796,20.791139216446478
9.0,0.02,0.8629950741861974,15.07691486102143,0.0425,0.47789923718849336,15.877735594315322,0.03,0.5227270107644462,21.62401581509123
10.0,0.065,0.8670204213283994,40.08685228012175,0.0775,0.6665743944118387,18.898936289570777,0.03,0.5454018333705423,34.60499900083661
11.0,0.04,0.8444627559590733,22.485818475257055,0.0725,0.7320413369562024,11.73559613265444,0.075,0.4436688765792415,14.530723822776036
12.0,0.015,0.40304835145061385,13.026416448588822,0.105,0.6882788159848965,22.88005993817152,0.095,0.5121488381232064,25.594899443413496
13.0,0.005,0.7131861691310061,11.897294838793771,0.015,0.6607072208393676,9.515746924560816,0.015,0.3987936216800254,16.018359540017965
14.0,0.01,-0.3442809223967589,1.9211883403787458,0.065,0.615318566259509,50.65709353983097,0.025,0.7141725629817977,24.906137808957084
15.0,0.0125,0.4405113531252036,10.83048018891949,0.06,0.7534669859096531,6.795848205199442,0.0325,0.9786852502329371,4.835379502432769
16.0,0.0075,0.27193940074108514,10.515773369813193,0.06,0.6017562972148471,19.21764399942029,0.0275,0.8141500289203792,22.705915668824307
17.0,0.0075,0.8744705617694669,3.963671184331094,0.06,0.5252077144241489,9.018316847261847,0.035,0.8240356581779104,15.611826542217619
18.0,0.01,0.9644904815403172,7.915856869504352,0.0575,0.7691191451227359,28.01038136008138,0.0275,0.7574446365430445,27.968230440497482
19.0,0.0825,0.8813379992126272,1.8519305599288227,0.1075,0.83434141540464,19.336286417407123,0.0375,0.7011696998478892,9.446815075806752
20.0,0.1025,0.9867007823550699,6.399229352864815,0.1025,0.9459454496307421,22.360783072532495,0.0375,0.757549333602896,16.102325833408532
21.0,0.0625,0.9606769187510403,23.996879571992324,0.045,0.9314598155797175,32.1933271723783,0.0125,0.8670955576894721,4.957242534816163
22.0,0.02,0.8893391423134724,9.222195194735196,0.04,0.9663609836227125,10.43840946616626,0.01,0.8956952675711902,38.65999046955072
23.0,0.0175,0.9671397913392367,12.14768488028367,0.0375,0.9330562197115253,16.064908644088863,0.0725,0.579525319174672,30.584920809814413
24.0,0.0175,0.9982310760376782,2.9921176402875598,0.025,0.9445638160919455,7.924552541790504,0.0075,0.8691383689275274,13.243112096117038
25.0,0.07,0.9014174893710595,20.65410644821234,0.1175,0.6210985818938412,11.100874867633346,0.035,0.4377752007158973,7.529421885819012
26.0,0.0575,0.8936979893148734,10.753009021723575,0.085,0.6712500358336311,26.424257980941125,0.025,0.5619704336259266,11.682201359866916
27.0,0.03,0.9032244753703773,36.50501632674168,0.1025,0.7304491365138637,17.76971580287754,0.0925,0.5228376509150414,17.431608018484294
28.0,0.0175,0.9814673412948985,0.9110118384324364,0.0625,0.5747155814923742,29.71940998459285,0.0425,0.58285424417532,38.73244266389116
29.0,0.02,0.8917248998884302,14.015209972790705,0.04,0.7049366486312487,12.602935354737426,0.025,0.6909223100500717,32.23584518497389
30.0,0.0175,0.9678965876126141,10.351692737616657,0.0225,0.9559954697744852,10.683968871717353,0.035,0.021438998685045483,12.387985656914143
31.0,0.02,0.9535733742117459,22.418049573818585,0.04,0.6717433372464251,5.873978264835385,0.04,0.356928061419011,31.349967447240562
32.0,0.0175,0.9346191144791707,14.107257139811084,0.0425,0.7207979844176926,36.03351391078254,0.01,0.4240347778393976,47.013235443841964
33.0,0.0125,0.9685993031424339,3.4270517628145756,0.0325,0.658003840741377,13.668865442591438,0.0075,0.6320521766960936,50.610432713533235
34.0,0.025,0.9032189495373026,1.4590933900575798,0.09,0.6052981678550476,23.200332553821973,0.0325,0.04969048984703757,28.09686799684828
35.0,0.11,0.9800369355897216,0.8554337582836615,0.1125,0.7822351081718769,22.19628406492507,0.0625,0.5390148856796918,37.960632087356515
36.0,0.095,0.9905218974879799,31.712214277657345,0.055,0.6190146333810362,14.021240768068758,0.045,0.4803653608650949,45.97732524504916
37.0,0.03,0.9390025951758784,22.34221397257279,0.02,0.8650779264993118,56.2572393870687,0.0275,0.34120723695421157,15.543439829857277
38.0,0.0125,0.9766736323914954,14.9072902626699,0.0275,0.6831284794231711,10.219310314841362,0.075,0.13087960875094376,27.99434583689861
39.0,0.015,0.9375505377176508,14.422076859740006,0.07,0.12866855619735104,25.302204497998616,0.0375,0.5867029542274711,10.759857966955908
40.0,0.06,0.9353069639701872,2.7675045500903694,0.0625,0.484102833851191,22.365680254363987,0.03,0.4566504924048169,30.989570335868226
41.0,0.065,0.857005090578315,39.703315380082095,0.0475,0.7564467446851233,12.684704025117435,0.0325,0.20591022711698817,19.49800140077999
