,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0125,0.9253945070085628,2.769180153060959,0.16,0.9627675641601884,19.32732818353233,0.1025,0.9631091764362418,47.63296160509255
1.0,0.0675,0.9984890420991477,11.015418327200951,0.12,0.596941457979731,12.268661116430422,0.09,0.8588575493345219,16.73562189132141
2.0,0.035,0.9985292994828942,3.7203682563748837,0.0825,0.5633682739055057,7.62854464188095,0.05,0.589183591681402,35.339384365864824
3.0,0.03,0.999491691790505,11.594879122332047,0.1075,0.7193215695492181,35.1112647572809,0.0375,0.253190163446984,8.975291029415285
4.0,0.0175,0.9932208755302716,9.378085916642986,0.0925,0.6792884849525705,25.96769278121833,0.0325,0.40733772811587876,22.541753635104598
5.0,0.0125,0.988706347123932,30.806542359881455,0.0825,0.41806494934073524,9.408858039641272,0.035,0.29183064010621007,26.493877105861863
6.0,0.0875,0.9988145035229227,3.754840153694847,0.09,0.6397005698593697,14.08170611813272,0.03,0.18448166226091903,29.381478776871646
7.0,0.105,0.9993676762112278,10.188648131180646,0.085,0.788473718955799,2.5249387293613585,0.03,0.8593123414956536,24.883357794831774
8.0,0.12,0.999106798593061,10.0091934280763,0.0925,0.7885078578916374,6.762246072165342,0.04,0.6998525117241067,17.464821684692545
9.0,0.0525,0.9993734170840672,10.716755915967823,0.0625,0.44934495387448575,6.02371999960623,0.04,0.4541575996376405,21.083237912212933
10.0,0.035,0.9998770246514497,18.763699689817837,0.065,0.3372545023056676,22.12097427915573,0.0275,0.10455475665246201,17.35717477121561
11.0,0.025,0.9996922810975422,2.3596907101184588,0.0775,0.48477333078546786,14.168251032343948,0.0275,0.3414103087866692,44.036534780827445
12.0,0.0225,0.9997920827122105,21.251541194697428,0.075,0.47070555930533603,10.257705077642047,0.04,0.37581921027985127,17.920059736937752
13.0,0.0025,0.8128962337973537,24.81440950509643,0.0625,0.5514456128274426,10.149965272777656,0.035,0.4872436338574156,61.142506803464734
14.0,0.06,0.9999348895942555,17.115068171141615,0.0575,0.6787797992258571,7.715853529967606,0.0325,0.30441959502653726,11.176578912715504
15.0,0.0625,0.9991334702383611,14.428690300464066,0.16,0.9237022992285953,24.725635305145317,0.0975,0.9521352648295518,13.301038516348653
16.0,0.04,0.9992512312918203,11.531232023510627,0.0775,0.7205093034939688,13.156216858851241,0.0675,0.8512027138407277,25.291877639965033
17.0,0.0325,0.9994724588908488,8.032793874190409,0.0675,0.6463490446332403,12.064696821610736,0.03,0.3482155367979204,26.72084681375015
