,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.005,0.9958898237396463,19.716733937579477,0.0525,0.9948815176698419,2.677130925421748,0.01,0.849271474334679,13.083023198634088
1.0,0.0125,0.9991705090371764,13.723184884637936,0.04,0.9894604191622288,5.814476895604055,0.0075,0.8761756501928041,20.60733334234314
2.0,0.11,0.9996117068865794,4.743904817279812,0.0525,0.9943200459816033,10.795778186783622,0.0475,0.7551454571230916,30.501373013796016
3.0,0.0775,0.9997907800599256,30.20189686160943,0.0575,0.9934199326502094,13.198838331106778,0.02,0.737714159039737,21.139287040104982
4.0,0.005,0.9978050824777889,11.153134592203225,0.055,0.9862238118949963,47.530457789907665,0.0225,0.867961779797167,7.562559231127739
5.0,0.0025,0.9980975143810227,20.502609435147917,0.06,0.9831207712144514,18.673234440482233,0.03,0.8434046696544389,11.789311367325661
6.0,0.0025,0.9931287451695302,0.0,0.0575,0.9890578249305431,24.62919619615867,0.035,0.7102220620054093,28.090204989354618
7.0,0.0025,0.9984459527651223,16.502811059966564,0.09,0.9912746798380507,14.43940190996295,0.0125,0.6416620390470288,23.670556966947554
8.0,0.0025,0.9908791067505329,23.233667711471647,0.06,0.9883795540974604,22.92328902113763,0.03,0.8758349017625964,4.496196644725939
9.0,0.045,0.9995014362497222,6.800425533725065,0.115,0.9956113269012905,17.16324871974082,0.0975,0.7033068116413373,29.068635465398856
10.0,0.0475,0.9969564607608068,39.932622943126276,0.0425,0.9737876770186118,15.944851991828859,0.03,0.772700202597684,11.688425064635526
11.0,0.0325,0.9985925718208462,18.32804520196686,0.045,0.9578414988789834,6.682668701472121,0.025,0.8578336508563025,13.986091866514395
12.0,0.0275,0.9966802781888758,14.070575194917899,0.0725,0.9815651227303668,46.963280080699036,0.0225,0.7231418265223775,9.783478884430131
13.0,0.02,0.9953733581543129,4.514210643543067,0.0725,0.9760876408626686,19.578762205204843,0.03,0.8398768542209756,25.803530173354865
14.0,0.02,0.9950696753318953,3.795532820613931,0.0525,0.9530286704145048,14.40491638820407,0.025,0.8107189653506874,13.254894924435174
15.0,0.025,0.9951265919224113,3.6048081235285756,0.045,0.9236131560446055,11.684576743285387,0.04,0.7567409985764313,47.7080917611655
16.0,0.11,0.9996922846348384,11.738410008945348,0.0625,0.9838691211996626,18.826394769215554,0.03,0.7900863946611734,14.213000702517766
17.0,0.0475,0.9995295344579599,6.533307791962386,0.05,0.9751868388959679,8.711674890826671,0.0225,0.7824294427516488,23.46227460505304
18.0,0.03,0.9990025273449384,11.426961114835265,0.0525,0.9435399936706519,16.122688741650194,0.02,0.6994252430239979,42.97486514927336
19.0,0.0325,0.9995012445931708,2.709650489686364,0.055,0.9517165420429654,6.086817647935875,0.04,0.5864658846957354,5.270067010348772
20.0,0.0275,0.9989632697007739,36.72695901113296,0.05,0.9215622969506875,16.770295641071804,0.0475,0.4808822030765472,25.735254330675893
21.0,0.0325,0.9995676499960439,0.9724887285926386,0.0625,0.9424247473192514,17.662729049843566,0.025,0.6685663179172161,13.991404948946421
22.0,0.0375,0.9994245973902028,21.310296547127923,0.13,0.9674494338644738,3.9619121086639635,0.0925,0.7659462136071822,26.243363421029166
23.0,0.0325,0.9976003017350933,12.781724876557492,0.1075,0.983423290278233,10.99914047846039,0.075,0.6454239016066565,23.184814992037136
24.0,0.01,0.993865731046944,16.583937247177538,0.0725,0.9754101702271601,12.624357394641187,0.0225,0.705018147952772,26.912774490086505
25.0,0.1,0.9998168050439807,9.351412463672053,0.065,0.9785731491688756,3.144012290230104,0.0325,0.780254011318378,27.34637438696751
26.0,0.065,0.9997140464405606,48.664554146812605,0.055,0.9868345571966023,16.096498718766007,0.025,0.7873410235766606,21.9416726151116
27.0,0.0075,0.9961697001614692,27.58976957850034,0.0375,0.9807326183822725,14.385299952672788,0.015,0.8593572879288139,12.678511682104443
28.0,0.0125,0.9993566010629594,0.30211337245440056,0.0275,0.9790316619511288,13.328206063934394,0.01,0.6442938830278969,16.98918620051028
