,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.055,0.9933738570996238,6.887724817444858,0.055,0.5259028341309804,10.751251694534808,0.0275,0.38318347387864626,7.802160167537161
1.0,0.05,0.9922742914485219,9.535772657736072,0.0675,0.08564973037385566,21.154060911696874,0.0325,0.2337059259052645,23.13987811798418
2.0,0.05,0.9937877182108814,32.178595466026266,0.0425,0.148240265873529,30.985740796296355,0.0175,0.28090308231833777,29.77721383961047
3.0,0.0075,0.9791670483682042,7.8548381863449475,0.02,-0.3604589927654192,7.5306294292250255,0.0125,0.2087789710126376,15.566411368917565
4.0,0.0125,0.6506512088144873,12.940160104410307,0.09,0.7949018924546771,18.038214703584988,0.0975,0.9098898857349004,23.31892215302449
5.0,0.0075,-0.27014767320876765,2.467138795082886,0.06,0.4268625799631547,16.839994524439888,0.0275,0.47622466488008997,21.308674302403237
6.0,0.0025,0.6949107948235071,15.428368334296565,0.02,0.4525752535062513,5.967378509461963,0.0575,0.3709778115992618,14.86254141566015
7.0,0.0025,0.8882282363246963,0.018603499096110802,0.025,0.7637708678178164,11.267516731966403,0.0725,0.33447015016212533,25.844867149807264
8.0,0.0075,0.19923352972699,10.652371001697645,0.0425,0.19193815063959682,20.66431840815572,0.0425,0.36467000212931866,19.55840665716132
9.0,0.0075,-0.27492502214225933,26.8396400225831,0.045,0.5506751667284053,20.72350226086641,0.0175,0.7905694153174321,23.28478014037009
10.0,0.0025,0.8044840752572114,14.71206726820515,0.0125,0.8906962888882336,20.09477099529514,0.0075,0.8937643006903012,19.54301274934815
11.0,0.0725,0.9992034636554004,8.736914551673786,0.06,0.9580472755322088,12.423320741408915,0.035,0.8849856468063322,17.05617888460973
12.0,0.07,0.9984284097943648,15.041123093314628,0.055,0.8737372884254913,6.3743620372131,0.02,0.7757148013595793,21.116507541642193
13.0,0.0425,0.9941460264561466,29.601436566464812,0.045,0.8547582478295949,4.849156762614038,0.0125,0.9339060521472121,6.0486683631483915
14.0,0.0075,0.5084749605262907,1.9238573971082171,0.045,0.7072286708999517,11.665622424689037,0.0125,0.8024212408045667,20.506989706065774
15.0,0.0125,0.44437593664929265,29.178399974846183,0.07,0.2672965089798262,21.34644026009984,0.0275,0.2700086866330153,20.215975841312627
16.0,0.0075,0.16413180019718346,26.861571894442196,0.055,0.17495067826251579,19.41935675624383,0.03,0.36092175225759693,15.133054729383907
17.0,0.0075,0.8307265123482419,26.96207599499406,0.0525,0.3254257299200472,11.5779362537703,0.0375,0.3139155583813464,11.712047016787706
18.0,0.0075,0.7255193284412582,10.947345619968196,0.0925,0.6613411942321378,19.54078580854523,0.08,0.9268890037216397,18.186459460463034
19.0,0.005,0.6382041184317538,40.26167777423949,0.0425,0.905449967673193,17.114589957309345,0.03,0.8546321744042573,29.36732497256447
20.0,0.0025,0.6608136287594,13.3335695560436,0.015,0.9355531790405102,10.139389879160873,0.0075,0.6430844440782217,6.547324307959959
21.0,0.0025,0.7980912143861449,31.304152173576192,0.0125,0.94999053285238,7.02524231254468,0.0075,0.47899186465623333,15.93935702624599
