,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.09,0.9943167367118523,14.72675890008469,0.0675,0.7862609446418345,12.562376076131095,0.05,0.429547441120971,34.61576479637514
1.0,0.0925,0.9957008803328028,15.482292981494075,0.05,0.885632386078144,11.938194156848263,0.02,0.4749582697415433,37.62051240784149
2.0,0.045,0.9712872459109916,2.3537426882235675,0.075,0.580736946130744,32.20773731253436,0.02,0.3643390470835764,15.592138862192282
3.0,0.04,0.9746470359915377,7.745848878821969,0.065,0.7755465037785647,2.7608050677107836,0.055,0.4490382052945338,14.796698878046342
4.0,0.0375,0.9679374212250745,12.794989854064076,0.0725,0.5486090390860516,4.677553171869836,0.06,0.48674162330807635,22.748450073081003
5.0,0.0125,0.5377854992625929,32.51991504264377,0.0475,0.424863827867686,29.27472708527531,0.0325,0.46435651854215576,30.99396013279452
6.0,0.0175,0.8965950257838611,13.243312474345718,0.065,0.8805398375545537,11.664713348546545,0.0275,0.3934225753595017,32.66190633731543
7.0,0.0125,0.8045588533795727,12.805041318026815,0.105,0.45103374121222556,17.997825086608177,0.075,0.39816992386189953,15.994119909571932
8.0,0.0075,0.7101543050033222,4.355428820686628,0.0725,0.3134022933110138,24.81078584042975,0.05,0.2471057986736077,22.617818128676227
9.0,0.0075,0.6707585612197465,15.026461634406061,0.065,0.24409390111070894,27.254105141918068,0.0375,0.059272025494381105,9.858690805127383
10.0,0.0225,0.6165674570196467,5.966495162652988,0.0775,0.5998067394576609,4.898355369866611,0.035,0.47434520116073586,33.36267757630019
11.0,0.05,0.967142115911542,21.549954522140148,0.095,0.3949407265773642,18.7424266831902,0.055,0.2846769160136026,26.190375490335683
12.0,0.04,0.9641157663216147,10.216960496434426,0.05,0.8434284074021464,15.676418761205406,0.0175,0.46927638230238283,9.84587917210322
