,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0675,0.99618297341046,12.314655808345897,0.0275,0.8140620472483382,21.452823056679655,0.045,0.9963208526127876,36.641334481344636
1.0,0.05,0.9952939552334353,26.989982375520498,0.0325,0.9091418567093034,23.912562355062363,0.0275,0.9472782510238484,46.46278654026828
2.0,0.0075,0.9648969537225653,12.355250636976843,0.0125,0.47765112582873753,17.36505815956785,0.01,0.5134109698935678,17.83999477397976
3.0,0.0025,0.885759462731225,14.004709375829849,0.0125,0.46815411426788045,16.8779878091916,0.0075,0.764637965197936,11.425971947238743
4.0,0.0125,0.9233685152705099,14.69869028154873,0.0525,0.9663906644552388,12.391484284851144,0.08,0.98180868292041,26.308090967032136
5.0,0.0075,0.9557783473186275,24.913567532538362,0.0625,0.9461907710992352,19.25886105046468,0.04,0.9938779985050433,19.985971501986427
6.0,0.0175,0.9955209094862986,5.224037668864345,0.05,0.9640730594064013,26.695652500802968,0.0125,0.937413206239359,12.69981116240716
7.0,0.025,0.9994898866143054,9.755270418022144,0.0275,0.9040333489365867,18.90006713630154,0.0125,0.8912522837750819,9.53466893598041
8.0,0.0275,0.9998668042530597,0.5280435621622197,0.0425,0.9666868597383537,0.8589633329911841,0.0125,0.9571957894560171,6.541046480148083
9.0,0.0325,0.9998203671918161,13.915387790645333,0.0625,0.9901223725736163,36.412245622204566,0.0275,0.9820575691167724,32.08889793489698
10.0,0.0625,0.9999246392495813,6.725740462677034,0.0525,0.993009023297266,23.280990142123713,0.0325,0.9921457437935466,17.219006290844817
11.0,0.0775,0.9971954279570575,2.453420468488933,0.06,0.8236671801778375,6.269113591688389,0.0425,0.9466587730152659,3.241364260763265
12.0,0.0725,0.9988344191462195,3.810222637621412,0.0675,0.8244579597799202,19.980491394381716,0.04,0.9154204695837945,31.49057353958074
13.0,0.05,0.9969539901761383,4.574210469075938,0.045,0.7586193555785075,26.255631600262248,0.0275,0.43291538610833397,15.93640690727436
14.0,0.04,0.9960177681302838,8.445402467133764,0.03,0.7554227606875306,13.476178070527364,0.025,0.4347531557568384,22.3182523920281
15.0,0.0425,0.9965214035512171,3.838540582574428,0.0225,0.8666372898932935,7.055493672470168,0.0125,0.21051498317549647,8.31932320902265
16.0,0.045,0.9961737970240475,2.064953651035498,0.06,0.9825223762760262,9.15602899692612,0.07,0.968572143203381,18.291731801866604
17.0,0.0375,0.9985509593059482,31.26427915262848,0.105,0.9870896258217039,46.674595980131606,0.055,0.9844053897430453,12.146709659146012
18.0,0.0075,0.9911210779132448,4.389948287090965,0.045,0.9496422708585773,14.534169185115891,0.0375,0.8798466523674272,19.710404694010595
19.0,0.0075,0.9928168645896679,6.5622475756727034,0.04,0.91456973303503,12.578432438426448,0.0325,0.841550114704998,20.82244845294325
20.0,0.035,0.9878283103353084,12.885195395245663,0.0525,0.8547313344761929,7.042872076270937,0.0375,0.9347814495494274,19.480997201430384
21.0,0.045,0.993243198624723,17.277107688452936,0.035,0.7871231125961772,26.555165582472036,0.0125,0.821515628250435,29.55896502413653
22.0,0.025,0.9913612021650869,17.39776019632263,0.035,0.7842298152759698,2.4746004341904877,0.035,0.9488820392970443,43.624209594136744
23.0,0.0475,0.9980192823562287,12.976754723209016,0.05,0.8635947902690185,3.9198000260605075,0.0275,0.9400578021037345,27.538096215711917
24.0,0.05,0.9932043760865372,2.7220196824876837,0.06,0.7985771148795842,12.314194466271505,0.02,0.6659175964075303,26.098113308747667
25.0,0.0375,0.986727785980753,2.5948851606889756,0.08,0.822969620845431,6.719501489927588,0.02,0.6373485749228811,4.351327593787165
26.0,0.065,0.9994581777410719,4.381757796192818,0.0675,0.7702303663386529,29.294659727419766,0.035,0.8152230676478733,32.57526833361252
27.0,0.06,0.9994017002922242,8.301782270306767,0.0425,0.9009160651126675,27.764078556438513,0.01,0.34047080307393024,17.058491140247146
28.0,0.0475,0.9998047111575111,15.077558758953963,0.0475,0.9383035969716536,28.214165074309644,0.055,0.9608220239289191,15.218339792649738
29.0,0.0275,0.9950793638031904,2.177597045910432,0.055,0.9811750347536182,0.0,0.075,0.991677180591831,19.898178005600425
30.0,0.0775,0.9988087899401193,12.561107364404059,0.0875,0.9886534973623654,54.567758189810164,0.0375,0.9831878895152683,8.514514853195585
31.0,0.08,0.9995062729585596,11.581708903819848,0.065,0.943804997710161,3.3554294265561224,0.0325,0.9800335034436094,50.59218757284441
32.0,0.0875,0.9987163089631498,30.917170635900646,0.0675,0.9447056597282353,30.529086406527675,0.0275,0.9636921979214819,15.05286340322103
33.0,0.06,0.9978138913950841,21.925390277281686,0.03,0.8825153144813389,23.239617865566093,0.0475,0.9995537633875134,34.87146982588896
34.0,0.0575,0.9961400551117959,10.126068761386094,0.04,0.958303644432281,0.0,0.045,0.985345515403998,13.891062705448498
35.0,0.0675,0.9965812365963012,11.692286328929043,0.0725,0.9786951033758402,17.341347160129413,0.0525,0.995949023663493,23.609592870435286
36.0,0.0825,0.9983600136522895,22.600313723023042,0.0675,0.9464983998199072,14.151419840248318,0.0275,0.9960385865327445,14.556636348467345
37.0,0.0775,0.9964774500361797,19.501049816714556,0.055,0.8237079704485408,9.908415026936579,0.0175,0.9668592938832423,30.00041784141462
38.0,0.025,0.9653638326027857,23.966539553358285,0.0475,0.8022314575040097,19.363824971542968,0.0125,0.8958432320761639,21.23989037506628
39.0,0.0175,0.9843897921969263,13.970642016499006,0.0275,0.5446510322973586,12.4414856903233,0.015,0.6774169040793734,35.27891319857234
40.0,0.015,0.9677890199300941,20.47534827706073,0.035,0.8711231083282773,36.384643865373235,0.035,0.96331150412107,10.918431910373368
41.0,0.02,0.8393331849429856,11.032561900084733,0.0825,0.7043670127224734,9.282589671264383,0.0775,0.9254688643561102,36.066702510624616
42.0,0.0125,0.7465524325100866,1.92187566228748,0.07,0.4789175358008267,14.493770823068608,0.0225,0.6747437090556899,9.874309610200555
43.0,0.0125,0.9091535271293238,11.097906650745324,0.04,0.6919862046335361,3.374305044329123,0.0425,0.12368825604791714,26.581819174831757
44.0,0.075,0.9979285511846719,12.626611880293964,0.08,0.7955895463033558,13.752812044651865,0.0375,0.020097205225515398,16.421133847479815
45.0,0.075,0.9934660894419842,15.72986371743007,0.055,-0.0310464324686912,12.800932906090502,0.02,0.34445403427690524,23.431911460200073
46.0,0.0375,0.9601748540652967,24.299159224598142,0.04,-0.20993683132959481,9.824351002563658,0.02,0.8086022530249458,24.709072344607527
47.0,0.065,0.9959687566028954,3.9653093180077996,0.0825,0.5826990482567759,9.46940806055522,0.0575,0.8748070929571407,18.823400724271558
48.0,0.05,0.9957055383192666,3.929434248778778,0.0625,0.47336608237705463,13.74700809175881,0.0325,0.3752532544987784,8.353786189236246
49.0,0.0575,0.9977989157191413,13.719430539299104,0.0425,0.5208894932851632,4.823837318585945,0.0225,0.3684595628230864,11.623788493535487
