,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.005,0.9932100880906773,11.776604491805973,0.08,0.9931089395172663,25.378001225410816,0.045,0.9729985271011021,31.50534534511987
1.0,0.005,0.9956904556619779,7.719831068562626,0.04,0.9399047756012382,9.493850296258826,0.025,0.865971638287325,4.535428636216421
2.0,0.01,0.998506531194135,21.479635248723397,0.08,0.9958177543720348,34.2861970170095,0.035,0.9641651986055672,25.956905930579623
3.0,0.0425,0.9984610983489054,29.052583108123265,0.0875,0.9937720230857607,54.411533347380654,0.07,0.9808570609150065,14.999092074620236
4.0,0.0075,0.9812745534044953,45.34280784236771,0.0775,0.9978150307710388,5.482715266714897,0.04,0.9846996247835239,25.811415707268793
5.0,0.0475,0.9973538418318599,3.9276155653731752,0.04,0.9446104469026195,14.53204090063866,0.0225,0.8544291652611732,21.9604472023275
6.0,0.0375,0.9953054359390483,2.0068273345466707,0.0975,0.9859829089154155,16.665368851744333,0.045,0.9553034124350935,25.122008412887354
7.0,0.0425,0.9937631046502734,9.156282843194855,0.0775,0.9901782530157001,10.959896817224912,0.0375,0.9832628043319456,8.156106854300226
8.0,0.035,0.9924803515387897,25.651705268698166,0.0575,0.9523196008722326,22.34421408687779,0.0375,0.851905814545905,20.674063218890375
9.0,0.08,0.9979505884579317,27.614100039896364,0.075,0.9506560601673689,11.404995213071938,0.05,0.909063459073093,28.053510385444515
10.0,0.075,0.9953070061444487,4.112767648779888,0.07,0.9498735151917398,9.64264641857821,0.0475,0.979253156438816,11.27123261947835
11.0,0.0525,0.9942200403047444,9.36465717743695,0.0525,0.9068450572890638,5.436241039677988,0.0425,0.9780041121394749,22.048979317402168
12.0,0.035,0.9905787062078255,21.486813447126583,0.0725,0.9158095824509476,14.695685167386552,0.045,0.93838826438997,12.701944508934114
13.0,0.0075,0.9459988909226593,29.383007720764276,0.1025,0.9594407128776331,15.95935243307072,0.035,0.9605789065282665,9.181717743862036
14.0,0.0025,0.7368653811688984,11.522148334970678,0.0725,0.933995111730819,49.76485556959836,0.0275,0.9851319345615736,17.66539317651389
15.0,0.0075,0.9889479700980708,26.418192396757277,0.055,0.9322441544431099,25.237021720791613,0.0225,0.9835761355268564,19.89556934069491
