,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.997354775460344,5.576650414000001,0.045,0.9998933834803914,27.51847296509297,0.0125,0.9987241907888953,38.645366374884404
1.0,0.005,0.9938034680836628,19.66766160362567,0.0325,0.9965956125498432,34.75250749587263,0.03,0.9999531321884357,11.327960914356463
2.0,0.0775,0.9931510045691391,37.50908553325222,0.04,0.9605033010625602,11.342263568425832,0.0275,0.9839234139842101,2.2896628523291525
3.0,0.025,0.967036457687361,15.229790636273846,0.05,0.9997629749020353,8.547867455433169,0.025,0.9999933324627284,7.313361095696493
4.0,0.0075,0.940592436537671,24.596611548912932,0.0425,0.9984875633058582,24.51819224278619,0.0425,0.9998242997014488,32.52238990140756
5.0,0.0175,0.9500984751675197,8.419159941272753,0.0575,0.9380381610860151,22.338531056129796,0.09,0.9790784706369278,29.888266406776193
6.0,0.01,0.9480409851893524,28.311279843538987,0.045,0.8964162704706385,19.047122483566476,0.065,0.9241004494109877,38.33396674504744
7.0,0.0075,0.9976996816039058,9.067666920479262,0.0325,0.9923785191715987,21.749271452153593,0.015,0.9831882978948249,10.47241932998803
8.0,0.0025,0.9962258325431795,9.165626071099108,0.04,0.9977978357464791,34.20503637969126,0.0125,0.9381999202369717,13.733882085724915
9.0,0.005,0.9629362522426468,9.221798741422559,0.0125,0.86464532146643,25.97219503183971,0.0175,0.523175756586084,40.394823834800285
10.0,0.02,0.9831664103970522,23.852900320814893,0.035,0.9977790328343605,26.489516120654738,0.0275,0.99791817084343,20.350290705251002
11.0,0.03,0.995789954171586,3.4092770132862342,0.0075,0.8745698709648737,0.5703601611429856,0.0725,0.9994124332278606,42.34922671768369
12.0,0.0925,0.9933629302935887,20.210399925465843,0.0475,0.9454908588726223,43.10267971436168,0.0325,0.7338871029334261,21.262836597240565
13.0,0.0575,0.9894216681148483,19.241665245380865,0.015,0.9130022479996107,7.625493274661164,0.025,0.8717652306033356,25.145982959454216
14.0,0.0375,0.9916117612814381,13.348350908839475,0.0575,0.996072723820571,7.5064683839825594,0.015,0.9999987841459761,18.966554167018426
15.0,0.025,0.9843340733371291,13.186238875338827,0.055,0.996542348406326,43.5881259427987,0.0175,0.9122999153867032,12.046809772717541
16.0,0.025,0.9870813294990071,7.039250763052538,0.0125,0.9204160918553086,5.9645201447869125,0.0225,0.9476277688131731,6.173024788795437
17.0,0.0225,0.9793855700508008,12.326704011621112,0.0475,0.9967007215924858,19.929691751256918,0.035,0.9933451871977345,15.659936027492572
18.0,0.02,0.989893893425154,12.380576454259138,0.045,0.9987271772581118,34.48892420088435,0.03,0.9965358013683453,45.605863180604764
19.0,0.0475,0.9615888191482325,12.124264776952035,0.06,0.9224272225567633,16.627592798118116,0.075,0.9422377661297728,9.563723279961877
20.0,0.0275,0.9914436403542067,4.840813446086719,0.07,0.9688931300743632,24.359122550860654,0.0475,0.9739811735292287,23.045496642073793
21.0,0.0225,0.9814191432613818,19.90707168928527,0.06,0.9992211286973398,25.79284828720459,0.0225,0.9952196035423317,12.447620901525534
22.0,0.0375,0.9952930050032451,3.752929697521979,0.035,0.9817998475677541,12.386361255273153,0.02,0.9588290273435204,24.53506453899218
23.0,0.03,0.9887637488310682,4.123489411088675,0.04,0.9552820126875259,20.070768495788766,0.025,0.967170342202202,16.20601433084635
