,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.9928375148086477,19.953309479425513,0.0075,0.9838096331961346,15.205890965530513,0.0125,0.956716103112324,23.042906501344827
1.0,0.0275,0.9902418430362381,5.83128856793709,0.015,0.9600666348127063,13.636653126352394,0.02,0.778443277283571,10.47907997769244
2.0,0.0225,0.986351711159636,15.616305983747072,0.0125,0.9495867257857261,27.21898932275853,0.0175,0.8164329482743351,3.3663243803777005
3.0,0.0075,0.9714185420056473,8.18118873353021,0.01,0.9574460632893084,13.799860036502707,0.02,0.47907732830528515,7.350847828167783
4.0,0.025,0.9934586299597407,24.777529063364746,0.0125,0.9680887048991251,5.610639719450043,0.02,0.7680780849024529,5.9729641963513185
5.0,0.0275,0.9863446837197116,8.509223040942903,0.0075,0.9724804412694622,15.96617011596403,0.0125,0.9342043786921778,16.547767588598703
6.0,0.0125,0.9813508587592592,24.690092069279235,0.0075,0.9735022676403842,19.612819456391545,0.0125,0.9478706359719193,37.31213847408811
7.0,0.0075,0.966807729853165,0.0,0.0225,0.9810065761744339,7.098072893616131,0.03,0.8709579097620441,32.88857669054071
8.0,0.0075,0.953256892674593,28.124215722377897,0.0225,0.8685921325186772,20.576643268180575,0.0275,0.7898666808932682,22.552711800191236
9.0,0.0075,0.9386137190454903,13.704981892359957,0.015,0.7669427737726963,9.445525548077716,0.0225,0.7946213406316692,27.26417203425115
10.0,0.005,0.9669466613341338,5.542680379855344,0.0125,0.87877726389391,6.760211205887474,0.015,0.8981862943832817,12.74070339836361
11.0,0.005,0.9816341743918424,23.750324536691437,0.01,0.9451968074272539,16.628568465166897,0.0175,0.6162725346004071,13.848621679753471
12.0,0.005,0.9823062594786498,11.356348437007304,0.01,0.9724304830230746,11.333489852525155,0.0125,0.9582146558953994,18.82858852971571
13.0,0.005,0.9809456538605699,9.758544232880302,0.0125,0.8961522310647245,15.286268080828766,0.015,0.8930595047263307,7.903577288414862
14.0,0.0075,0.9848611937545885,30.777527855346612,0.0175,0.8626215136851023,5.5440065270006,0.0175,0.8677276346489362,12.46588890992225
15.0,0.0025,0.8684406000902609,21.963589621656396,0.0225,0.7962796336034498,10.208631293641638,0.0175,0.7725395817451611,10.996878677554335
16.0,0.0025,0.9493302534931783,22.244265789655326,0.02,0.7893370110701303,7.01055996819302,0.0175,0.7554943160692751,5.3026607068904275
17.0,0.0025,0.656190898813193,19.11290277592696,0.02,0.853224171043453,5.720626477748185,0.0125,0.8129544019275968,2.9609444309599677
18.0,0.0025,0.7563886911245947,3.855173398930631,0.0175,0.8324008873453671,8.228637461219629,0.0125,0.8309022892053387,10.46867940634391
19.0,0.0025,0.7396728953759436,20.922995144056276,0.0125,0.7805993378167648,13.513220240919468,0.01,0.8162388575095104,14.526124449463618
20.0,0.0025,0.9853547143304613,28.400302004862116,0.0125,0.829845816716427,14.712106927240765,0.015,0.9517184731889503,19.681503697921748
21.0,0.025,0.9910660887809434,3.128793763991557,0.015,0.9321362109700302,18.2273334461111,0.0225,0.9235069349398,18.100472358119543
22.0,0.0225,0.9892454274865616,20.837586521650934,0.0075,0.9378408511139621,4.363552836419186,0.025,0.9468101032859997,8.14526664271822
23.0,0.0075,0.9750389491995896,16.166754263581062,0.0075,0.9602685399494376,10.322880026418634,0.02,0.9382851029631918,14.839929193968132
24.0,0.005,0.9824953828223418,6.7177692727569385,0.0075,0.9747155976040701,14.043306772605131,0.0175,0.9415269711255214,8.251531057251944
25.0,0.005,0.9778826759912362,7.8142249369264025,0.0075,0.9724041988499937,21.515235710010007,0.0275,0.929332488449942,10.455152469521789
26.0,0.0075,0.9788305137096028,10.817699573000583,0.0075,0.9721814930881897,9.79595446361556,0.0225,0.9246337399026899,13.624372049096124
27.0,0.0075,0.9841909731784081,12.422560477343929,0.0225,0.8544537358663333,10.808474795641418,0.0175,0.8403805928473842,8.034903839007852
28.0,0.0025,0.9271905513239407,20.10748129866925,0.0175,0.8336310766900763,12.656832695513746,0.0225,0.8611155570500942,12.16894929100193
29.0,0.0025,0.8876256387777338,5.7592100209454085,0.0175,0.8174272753655235,20.472776929810138,0.0225,0.8568990121388661,26.568789682339983
30.0,0.0025,0.8221008224942747,13.120837680907169,0.0175,0.7531108794697511,10.769468741610591,0.0225,0.8343829917771921,37.50022790094267
31.0,0.0025,0.8948683746643304,7.133334744113969,0.0125,0.6973774469975266,5.328376428997811,0.0175,0.6728941371520843,28.786163445194543
32.0,0.0025,0.9672110047642603,14.0577618538643,0.0075,0.6276219449507909,14.533782701211006,0.0075,0.5641062702877053,25.923086477941037
33.0,0.0025,0.9860118467755857,44.91469415768107,0.01,0.8943662613148647,6.305471802162874,0.0075,0.6754070763288857,4.938716687818442
34.0,0.0275,0.990593508699656,12.117058366811184,0.015,0.9652276240276898,18.272442379390824,0.025,0.9598059672828624,25.902820996522617
35.0,0.0225,0.9891579134861141,28.067248114978092,0.0075,0.9545169763292343,6.45332378792041,0.0225,0.9716425178515193,20.162056939129158
36.0,0.0075,0.976447865087687,2.8620159898035813,0.0125,0.9654683746995871,16.447767610711864,0.025,0.9295537410962758,16.749834336990492
37.0,0.0075,0.9836272447193931,11.106399912018079,0.02,0.9113953361367078,19.292007581493486,0.0275,0.9011262825710673,22.546543126566306
