,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0175,0.9983324483316128,3.608065889203465,0.0425,0.995650801726244,9.819735572610654,0.0325,0.8321294554651276,17.600348931400177
1.0,0.0125,0.9922147243313261,27.383648002780593,0.045,0.9610420632226964,19.85834552028304,0.025,0.8187815193580927,10.015052302511894
2.0,0.025,0.9858023509793609,1.1692430005929013,0.0175,0.8286712672793163,15.402543906426136,0.0325,0.6023859781522504,25.076647349134085
3.0,0.0225,0.9802219653490167,40.81646477799836,0.0075,0.8437127083918731,42.24557481763489,0.0075,0.718559977321613,5.614349306910822
4.0,0.0075,0.9844322877132293,51.67904769688821,0.0125,0.9050345884910831,21.53141241333186,0.03,0.8021097872299601,51.710858364097554
5.0,0.0025,0.946933093437274,4.8012724242179345,0.0175,0.9547919034379444,59.49294580865412,0.025,0.9071694793180977,24.595243444080467
6.0,0.0025,0.9692431698046325,1.3311248921155359,0.0075,0.8258169834592747,9.48483361454824,0.0075,0.8756028938589318,16.896791407281015
7.0,0.0225,0.986435736301846,6.132225436133691,0.0175,0.9674649385017694,18.395313214697026,0.0275,0.8678723737205978,40.64418280318891
8.0,0.0275,0.9797505947696568,51.162647211656704,0.0075,0.951978710229709,18.096786635054546,0.0075,0.9029857311962591,8.720788238364243
9.0,0.0075,0.9933754427648009,14.126528453252114,0.0125,0.9647029941644693,14.870244795209908,0.0275,0.8684194519989429,21.058647494902594
10.0,0.0025,0.9499572813514873,16.476193069478533,0.0075,0.9277430570763124,6.365276970624285,0.0125,0.9405928929278642,19.03688079812796
11.0,0.0025,0.9994869566791293,16.976746981760044,0.01,0.9601106853199535,12.122550475351819,0.0125,0.9462904189865168,31.600740318927535
12.0,0.025,0.9873014329109915,6.616565719010809,0.0175,0.9680402090153343,44.564147641679206,0.0325,0.7285571081312496,35.84914698073909
13.0,0.025,0.9764384351543967,35.40960583892217,0.0125,0.8401557627755332,4.3016517430085015,0.0275,0.5831879633762005,9.134794446710062
14.0,0.0175,0.9913089063346848,24.20508236228276,0.045,0.9861189717261969,14.931073088883725,0.0225,0.7192649592841789,16.14510111234103
15.0,0.0025,0.8284552888396177,4.858225360736021,0.0125,0.5950668855015129,31.69368668708728,0.0175,0.6658673112125394,58.47063091985781
16.0,0.0025,0.9605702237166094,38.76771741696614,0.0075,0.6094130737427843,17.482893611604858,0.0075,0.470809799651516,32.434597361972116
17.0,0.0275,0.9862531358541213,7.9640761376571225,0.0175,0.9698604357628884,21.25076556503961,0.0325,0.7554066616632931,35.667475614762715
18.0,0.02,0.9761264084830756,31.02662746812804,0.0125,0.9243837155609228,6.2910396742095065,0.03,0.7181749474425319,26.34884764349051
19.0,0.0075,0.98617260201185,24.938322676566056,0.0075,0.9322691943478255,22.67060547847468,0.0075,0.5867537349046545,33.32283486544243
20.0,0.0025,0.9527904213005669,17.710331455420643,0.0075,0.9678900695595667,12.044537834811951,0.015,0.7699961804250484,29.505618597261126
21.0,0.0025,0.9791508918029477,12.933298449574757,0.0075,0.9713352004155498,26.460763012392142,0.0075,0.8881536721804537,30.959109778106622
22.0,0.0025,0.8732301238330299,17.96290332225508,0.0075,0.9696900720888584,29.570264295323582,0.0075,0.9460190232828035,35.10031345421761
23.0,0.0025,0.6545557192235855,24.40401983333787,0.005,0.782983715244836,0.0,0.0075,0.9208195327068471,16.92166510222181
24.0,0.0025,0.8919595841116827,19.685905684656866,0.0075,0.9504473451727139,18.073620704599957,0.0125,0.9639633643060793,20.495107962590268
25.0,0.0025,0.5584481221171527,0.8178509643783515,0.0075,0.9333431909326602,22.884761196630706,0.0125,0.9195524298333314,19.505132610648506
26.0,0.0025,0.8804287289773431,17.323754924654203,0.0075,0.8901892854027249,0.8770098791275737,0.0175,0.8285377121301886,6.330886939144013
27.0,0.0175,0.9986876131117985,26.73160056672476,0.0425,0.9880724316761346,45.11896459793963,0.03,0.8571115430977301,11.289908271589084
28.0,0.0025,0.8183342785947709,42.78502843315917,0.0175,0.8791980110279011,39.336426121332,0.0175,0.7238149112146106,25.25984482637018
29.0,0.0025,0.631833870742428,10.553079052293764,0.0125,0.8846128314389147,18.626518651120875,0.0075,0.7754342683617933,10.163223827695123
30.0,0.0225,0.991838733657257,7.1098894360627485,0.0175,0.9810699386272815,6.071895832416635,0.03,0.924371210368505,15.964844658163722
31.0,0.0225,0.9758199712568665,37.0035090350828,0.0125,0.9672501209349909,13.97867648991385,0.0175,0.9510313203787532,25.88443489658438
32.0,0.0075,0.9938117353099412,8.698649477524539,0.015,0.8989262131895214,32.24024279393335,0.03,0.8808755861115161,27.729432530029158
33.0,0.02,0.997985431006964,1.0562242088011788,0.0175,0.9765279571818806,8.654199967608472,0.0325,0.7211183949539712,20.026965647759496
34.0,0.0275,0.9847058982992632,46.04676117304024,0.01,0.9964117099926073,4.237453388454916,0.01,0.7940281036002321,19.099207588601164
35.0,0.0075,0.9761041451661009,11.757827892264244,0.0125,0.9910561439974217,8.372521778192207,0.03,0.961634302032272,42.301293055864704
36.0,0.0075,0.9811543656617097,27.896715886561203,0.0125,0.9880438175704804,42.064860099025516,0.01,0.9764977188375032,10.96700505815284
37.0,0.0025,0.998640591335807,11.866503117436249,0.0125,0.9434829963734627,14.91728320338714,0.015,0.9782809043258013,21.209321206553668
38.0,0.0025,0.8734410350315301,10.184546686775436,0.0125,0.9027677435109563,12.742303107069278,0.0125,0.9070719882751247,2.152682199438317
39.0,0.0025,0.925671527452643,14.005969907953887,0.0125,0.9390120923050088,14.454431751538355,0.0125,0.9324151246714959,23.665729511161967
40.0,0.0175,0.9978709803947121,28.734618423671744,0.045,0.986851089011601,39.31095362150333,0.0325,0.7715380519296807,21.26270169160202
41.0,0.0025,0.8411839819632424,14.151784915396593,0.0175,0.8385014581596262,23.765515532581727,0.0175,0.6435106657593755,11.369501195131974
42.0,0.0025,0.6763304109222092,3.5097436413733063,0.0175,0.9216390387123695,9.24068491087456,0.0125,0.8298845206139576,18.362190151638497
