,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.08,0.9697202085922965,6.121097832234897,0.035,0.8767950095922997,24.84012384241848,0.0225,0.9169100843261349,31.397916580433286
1.0,0.05,0.9100534310728149,15.54465192568382,0.0225,0.9730586838307708,9.878190852543607,0.0325,0.9934259878324591,6.302166954058626
2.0,0.0425,0.7308529491908057,0.0,0.0125,-0.05839562524550241,10.131458546712771,0.0375,0.9705092952198072,22.21708108850466
3.0,0.1025,0.9779477489469564,14.404777470356374,0.0175,0.6902815206598832,36.047405348570585,0.0275,0.8054157089386208,33.519291477489304
4.0,0.08,0.9454755054068769,20.553299954208057,0.0075,0.9487913463801297,15.783097847145335,0.015,0.8806476654361297,27.41762828710646
5.0,0.0225,0.6316263377149323,23.146884382899664,0.0075,0.9452345953472692,1.0074752320664795,0.03,0.9924242113212115,9.504677604134965
6.0,0.02,0.8702921714351939,15.711576796324263,0.0275,0.9383567687766408,14.318380599064112,0.035,0.9946419424802382,22.079702865638566
7.0,0.0125,0.320932049455256,10.148741109171056,0.0125,-0.08406774226621945,8.644772302528603,0.015,0.8617216733773447,15.0364280870457
8.0,0.0075,0.4258997750991209,2.7628472989665154,0.0075,0.4969545975964658,18.994325300943167,0.015,0.8403465888869,28.250329383024532
9.0,0.0075,0.6406869927858729,12.782687624305657,0.0075,0.4510404707901916,3.092174924149,0.03,0.9083333486675184,29.78425887314335
10.0,0.01,0.8319676221521662,1.042347769734193,0.0175,0.9658075670120584,24.2288314803821,0.0325,0.9795761886317483,16.593337807449945
11.0,0.02,0.9227991796407962,7.198870907216906,0.0225,0.896623304913825,21.59649939735292,0.035,0.9855825270247922,20.637986897002175
12.0,0.1,0.984403593693174,11.363009624683409,0.0175,0.5225409182873153,16.86411522111408,0.0425,0.9192633755577427,17.053069228195987
13.0,0.085,0.9712856680592294,5.750555476060618,0.015,0.7981619519421095,51.758307561735606,0.0225,0.7974895418469135,27.774758932935335
14.0,0.0525,0.909399904987339,13.940770307841019,0.025,0.9711268032088743,9.31017143900145,0.0325,0.9924150405283771,15.23979548045505
15.0,0.0475,0.8489398385401397,11.827421333364388,0.0175,0.17199672083969017,16.135591973297643,0.035,0.9137285451395224,20.973733067202566
16.0,0.1025,0.9752936066285508,8.145185486163658,0.0175,0.7553017153217566,10.257640752104322,0.025,0.8233209974469371,38.25367420254289
17.0,0.0775,0.9467919842281053,14.65139393753953,0.0075,0.8447292667185567,21.652405491439247,0.0125,0.8933586998989963,16.61624053326767
18.0,0.0225,0.6215129814334207,7.522052940021285,0.0175,0.7531710071822793,20.755453342705948,0.035,0.9731112386796678,35.94036975574873
19.0,0.0225,0.8701305064922747,28.659885331778803,0.0275,0.9067726186472549,13.534100943550191,0.04,0.9911468005968567,8.909771883908427
20.0,0.0125,0.2870931079419395,12.855961848322309,0.0125,-0.20019490229757395,14.988156324842318,0.0175,0.6895286421292086,18.814503369215892
21.0,0.0075,0.19218345816585666,18.696269427949687,0.0075,0.3809878158493856,16.858805318248184,0.0125,0.8856272844292702,11.928759128189405
22.0,0.005,-0.07340479668201659,6.070492888782843,0.0075,0.2073973672317928,40.92243151226381,0.0375,0.9422014765241302,20.66291465664075
23.0,0.0075,0.49692590922495944,21.656498857152805,0.0075,0.9760998563869249,5.455952435115815,0.0175,0.993230860000098,29.38516670616792
24.0,0.0075,0.6931417172582863,0.0,0.0075,0.954923058834428,25.899672587581005,0.0075,0.9020736627199404,45.23416382436896
25.0,0.1025,0.9859804711760549,5.399272824197862,0.0175,0.8704735170037277,20.128843831164737,0.035,0.9705046060144169,65.41052436941752
26.0,0.08,0.9730402594440284,9.451155092543136,0.0125,0.9577922492532583,13.503592859878864,0.0125,0.9843051106169678,39.650482702660305
27.0,0.0375,0.8429273388966804,12.45981672997697,0.0075,0.6182592316967518,9.866831485251256,0.0025,0.46330864996524046,28.21649965818341
28.0,0.015,0.5025682401812895,9.09601969257685,0.0125,0.6842050971148386,3.2824440590332604,0.04,0.8864624221150396,11.422917863485635
29.0,0.0075,0.5218105272807056,10.056953140899124,0.0125,0.668800041320593,36.881186051095085,0.0175,0.7864479780699526,27.879064462218096
30.0,0.0075,0.8229364471413753,13.198135960638774,0.01,0.9785837219533721,17.80707847406352,0.0075,0.932892062785533,26.68247924823551
