,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0225,0.9834056550973429,14.070712590056099,0.02,0.9516202185306365,6.624800378573402,0.05,0.9840186646458984,18.916958299344337
1.0,0.02,0.9293534937760392,15.646497356131757,0.0225,0.9654965094178952,0.0,0.055,0.9142173267016424,19.011074395764958
2.0,0.0175,0.9763738246044091,0.33354984097214707,0.0225,0.9609376297067352,41.271956064576784,0.04,0.9830034102533944,24.387659288479764
3.0,0.0175,0.9879752529444046,5.551546139758403,0.0075,0.9585146101657609,4.629141486000289,0.02,0.772281855743102,33.37586634593967
4.0,0.0175,0.9970776687985385,21.149107507624436,0.0075,0.9903701590707956,17.565111521132206,0.02,0.8426499492495099,47.8001479651934
5.0,0.0125,0.9064796032516844,21.51898893638567,0.025,0.9487624095664012,22.217593070746318,0.0525,0.986677487295973,24.271370122627715
6.0,0.005,-0.057720389300852985,10.920238802073413,0.0075,0.5919269995584046,14.650046985244538,0.0125,0.5679454910534217,45.28605139287339
7.0,0.0075,0.9325868174032673,14.681517661861022,0.02,0.9485611777343801,27.280631701305044,0.0575,0.9605533680956553,35.61553860111435
8.0,0.0025,-0.1124367060791975,14.292867827732895,0.005,0.2691652708027945,11.45314901210007,0.0075,0.16050786589354488,29.249509211657788
9.0,0.0025,-0.05004345650466152,17.53957960695128,0.0025,0.6248125522453704,22.69018504244061,0.0075,0.4064403435490141,33.90806198378411
10.0,0.0075,0.7563657289709862,7.059198355747709,0.025,0.9323396172208372,16.633556284860173,0.0525,0.9780835814537431,29.194327395089154
11.0,0.0025,0.5641603788931873,11.520861592038221,0.0075,0.8666939737347231,19.707622136004183,0.03,0.9795421671459669,13.387888493314916
12.0,0.0075,0.8914123044778972,20.30996228665636,0.0225,0.9499696887678423,18.91936606190755,0.05,0.9921869662753277,18.857475070106883
13.0,0.0025,0.5970381739050633,15.490029685901803,0.0075,0.6175695414446736,30.233293825510557,0.0125,0.6908872343290943,20.76953164966818
14.0,0.02,0.9875341212674819,4.68031477426378,0.0125,0.9767347768470835,6.683205946287348,0.02,0.8751305662006367,31.31620812740359
15.0,0.02,0.970490875639438,8.837145168696004,0.0125,0.9819599212345234,6.581366197200918,0.0225,0.9146406995401043,3.8905002969637534
16.0,0.0175,0.9455641614592531,21.65823865761224,0.0225,0.9562752339140457,15.640865923379497,0.05,0.9907880300487714,48.36357693373919
17.0,0.02,0.9743624864572838,12.387461885541848,0.0225,0.9499079932736704,19.955374335705788,0.055,0.9654581041485134,41.49140453641322
18.0,0.0175,0.9889210262665649,5.743259918467275,0.0125,0.9602838458705125,12.56911776524822,0.035,0.9840686223143836,22.43786993386841
19.0,0.0175,0.9976587500824083,3.082665536735971,0.0075,0.9596953094476562,27.34586338507889,0.03,0.9828357224001139,25.744713901386554
20.0,0.01,0.7447862217805713,22.83481580677321,0.0025,0.3441170676087301,16.884355056330186,0.0075,0.8573930354409848,38.673846607553294
21.0,0.0225,0.9859516391533583,33.93529422901519,0.025,0.9577442911122171,32.138218751837954,0.0475,0.9871478662952751,35.68027620003705
22.0,0.0225,0.9466618095214046,6.082577686778523,0.0125,0.9579118453568368,12.118471997687482,0.02,0.6084729735178954,10.175702642357152
23.0,0.0175,0.9812527515699075,5.5565433425485065,0.0125,0.970830292485054,10.706385230779922,0.02,0.7667197479394887,30.664098364049337
24.0,0.0175,0.9772305857341873,3.2416041330532046,0.0075,0.983217838957755,14.157396982647727,0.0225,0.9906344531563988,24.27366665556911
25.0,0.0175,0.9973233810973202,4.691848729564035,0.0075,0.9826714160139662,9.42686021771449,0.02,0.9996590222539522,12.708381725415022
26.0,0.0175,0.9976297012957351,21.49430793605534,0.0075,0.9758408993492963,9.017895029513822,0.0275,0.9975288287099288,37.09639570001053
27.0,0.0175,0.9483970031755374,37.443133806452266,0.0075,0.9431134883008561,22.586317450460136,0.0075,0.9069632518213397,35.897833157758974
28.0,0.05,0.9933417431517332,0.0,0.0275,0.9803504897209646,29.048946691681273,0.0225,0.35875646539199446,14.346387010621397
29.0,0.055,0.9952479811811789,6.537832018069847,0.0075,0.9812717023015342,5.437154811213478,0.02,0.981674335230718,8.190857922738061
30.0,0.0775,0.9959791570692523,20.042721401713415,0.0325,0.9924596170426452,31.941374765862896,0.025,0.9950887905733495,40.55077914673081
31.0,0.04,0.9940785649149431,7.6808501318478895,0.0025,0.751582151115196,12.6924271622332,0.015,0.95906114243167,20.948090039931202
32.0,0.03,0.9940732776079038,2.296750456957871,0.0025,0.7982060212481058,21.720290225076468,0.0125,0.9327534354226075,52.69238434609442
33.0,0.0225,0.9937917491198266,19.669191794314735,0.0025,0.6114389459594721,30.78660020395844,0.02,0.965020143860452,35.19825285698873
34.0,0.0175,0.9912258285348078,2.59815526132733,0.0025,0.7770913885283852,7.488435151712052,0.0025,0.9826268591980727,38.69715094419007
