,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.095,0.9476207119814888,2.440784236656837,0.07,0.9545143021233076,11.497067711103785,0.025,0.20318315008174223,3.467110648316649
1.0,0.0925,0.9246378463256318,27.620101725248475,0.0525,0.9148108451777314,11.63724919786617,0.0525,0.8524919853944559,32.994186489878444
2.0,0.035,0.6863701125489365,10.658991506536854,0.0575,0.9720898040838336,8.906469331811712,0.0225,0.6853922049137385,2.4000676650728487
3.0,0.0225,0.43153075197865653,38.82761907924846,0.045,0.9365304670765262,15.075065209058147,0.0325,0.6650798062106136,17.403976313566464
4.0,0.01,0.8778252374944934,6.236600951672302,0.035,0.9160378840246658,36.394033936529134,0.0475,0.5277536585694598,34.5340876726771
5.0,0.0075,0.8359391685722435,18.578849500532037,0.0475,0.9902856796119285,16.197709281433525,0.0275,0.08708845518865042,23.071510269335647
6.0,0.01,0.7485154150538261,8.739228316118968,0.0525,0.9541106690708218,17.503129203389097,0.0225,0.24054459868447958,29.80593891396385
7.0,0.07,0.9838220193510855,0.0,0.0775,0.9768118550097604,19.942204997475407,0.015,0.6318618901319021,14.212997916752105
8.0,0.095,0.9244400307614464,8.08076338122849,0.045,0.9440871991059908,11.398608944469373,0.0175,-0.05554797667183597,54.352537800476
9.0,0.065,0.7385488019546116,15.725485834717372,0.0425,0.8960300666053987,48.13881140284914,0.04,0.44603579111596,19.974109987513124
10.0,0.02,0.5266533111943996,22.153210588792316,0.0275,0.8616879847129458,20.506416422884264,0.015,0.1572743123154412,46.34550137261741
11.0,0.0125,0.5780452191373835,8.57797194040386,0.06,0.7978727427302387,36.78370893684172,0.065,0.6980037105038108,27.593669233894616
12.0,0.0125,0.8511004373306458,31.994177948150835,0.055,0.9753706028197697,14.132247155176037,0.0325,0.3777055589858105,23.693171698821104
13.0,0.005,0.9349301651479505,11.266787188861752,0.05,0.9988806698934335,6.081688420874594,0.02,0.16564551646889952,17.058868260866408
14.0,0.0025,0.9621224155672281,6.867499421741919,0.0275,0.999163977096509,25.116764233844947,0.0125,-0.23278703756919097,26.63958022792444
15.0,0.0925,0.9515072765910133,22.088831065808364,0.08,0.9592281373538563,24.911273370718824,0.0225,0.2528434091219902,34.780088566294495
16.0,0.0925,0.8243675921983784,21.34702314053303,0.05,0.9531954797968119,12.670144562116047,0.0175,0.4714515956327728,13.75167493499454
17.0,0.035,0.5984289111546832,16.0837177449073,0.0375,0.9141141100231315,27.013441650528126,0.0125,0.28854562908193293,4.53181303823313
18.0,0.055,0.8301792121582461,13.17246907628384,0.05,0.9301404752493686,4.631880219367429,0.0175,0.36770020642259216,11.760088330584878
19.0,0.095,0.9366577433473084,15.695107888023855,0.055,0.9013531453448689,16.607798386257652,0.0325,0.6155568825790904,31.03891625209043
20.0,0.0575,0.9588322477998799,20.585893687866516,0.0875,0.9530697631917874,9.08322148619377,0.04,0.7030007675025168,3.7818890418889906
21.0,0.0125,0.5022622190623722,5.956229093836665,0.08,0.8758388891217582,19.50696776892547,0.07,0.7578482678560786,17.342833922813497
22.0,0.0325,0.7157347692636391,5.870346791914178,0.03,0.9268382667548903,6.08000792243614,0.02,0.29101527391296633,29.124737893754457
23.0,0.02,0.39504447121619585,15.46978445669486,0.055,0.9798752125861724,7.31519047142452,0.0275,0.8667102069931921,18.555545209793376
24.0,0.0175,0.6075067220800973,3.0392424635312465,0.065,0.8180265101243848,28.009513727953124,0.06,0.7913755652142815,10.331596658014007
25.0,0.0125,0.5417698346536213,31.541039874994375,0.04,0.8964955004490707,10.062043846831658,0.0425,0.9304260882049145,20.43046883168698
26.0,0.0875,0.968172152027534,0.44777160863659377,0.0675,0.9245410734497119,24.002253167605957,0.0325,0.6422689607741532,18.772628071950916
27.0,0.09,0.9609165942255834,25.708109182054653,0.0425,0.859160138853627,17.40405041567021,0.0275,0.8217825211233354,16.71085223418727
28.0,0.0125,0.89321878500842,22.74300875671203,0.055,0.9794821005506762,12.663111935759241,0.025,0.7520691206437238,12.952770134647341
29.0,0.0625,0.9748389822897023,12.285771387448662,0.07,0.9657156940237499,2.2402821988911086,0.0275,0.20972708822801853,18.04828295182563
30.0,0.1,0.936683178891985,5.453422988497255,0.0575,0.8857727541069835,13.210794269925671,0.025,-0.007940087325427813,19.194498007334083
31.0,0.065,0.8525729273057947,8.561229212202845,0.0275,0.8719740440288158,10.622428997185123,0.0175,0.6395361502757276,12.216679323669375
32.0,0.025,0.4805750190642804,15.046806242805914,0.03,0.9475248330276044,6.7351243451632925,0.0175,0.830413788875083,14.134205747813127
33.0,0.0175,0.3741769329306816,5.590949094728957,0.055,0.9634428199865382,19.38520187877205,0.0325,0.5186626344342128,54.811334006349156
34.0,0.0125,0.5065445384462454,12.398305373754773,0.0475,0.9558876933483829,7.153659207653723,0.0225,0.22861128519516136,33.551457829105416
