,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0875,0.948138840517001,31.422146593203895,0.065,0.4738585346881196,15.775160621595578,0.025,0.6122302450333984,18.946078205502694
1.0,0.055,0.9252280226820345,3.432323438983037,0.0525,0.33948147693221103,9.402919903928744,0.0125,0.3763107010609395,5.428797327582172
2.0,0.045,0.936227036065334,15.555250038574517,0.05,0.5544931623507895,13.797746191190324,0.02,0.7547532425455995,31.416199256905056
3.0,0.0375,0.9358692374747437,31.306770398208208,0.055,0.48610195691522134,7.597496402761859,0.0175,-0.4050405235076246,19.99854599747614
4.0,0.015,0.6646261366374774,15.564767738085635,0.075,0.8690281475996235,25.805461837766828,0.02,0.5838371881025026,8.58192554684168
5.0,0.0125,0.04603698715706281,4.574006566740465,0.0575,0.6115308552007778,8.454309827643002,0.0175,0.6464999092154484,14.081814620420332
6.0,0.015,0.6136631244073567,11.796718540872018,0.09,0.8280526660926476,12.376248256526628,0.065,0.43531633966175015,27.123031047785663
7.0,0.0125,0.6470839344093164,18.53424496866477,0.05,0.8864517446254884,15.779355943461578,0.0125,0.5858779932733719,16.827409635112215
8.0,0.0075,0.591457562579463,10.028041840803684,0.0425,0.8138672293964891,13.643051379762348,0.0125,0.6546897624884563,16.98967182932202
9.0,0.0075,0.9513216731638674,3.732035206710949,0.0425,0.928150206695462,13.664806720488587,0.0275,0.3218071008969997,14.626568153608455
10.0,0.085,0.9919185733928996,9.133327697455222,0.0625,0.9269610382311764,13.77005971163552,0.0225,0.08320568705833299,5.6013812507316185
11.0,0.0875,0.96003942478467,23.739577709781457,0.045,0.578366229179981,14.15137500644136,0.04,0.2460056144164061,14.83709632446342
12.0,0.025,0.9171794855164275,6.71830698115897,0.06,0.8507999949358289,21.788572473198666,0.0225,0.3873909941421216,12.166210288362922
13.0,0.08,0.9905941720916296,8.580075511315764,0.0775,0.9002390027015584,7.048373245134194,0.025,0.4155913842148968,4.340087239392388
14.0,0.085,0.9549744116449459,13.237575241319455,0.05,0.6302880949453311,10.819048346254212,0.0375,0.1349194524545892,41.14424480380535
15.0,0.0225,0.938819376977938,18.20779660663958,0.05,0.8620286121312376,8.384215991423797,0.0325,-0.04570788389706038,24.987705965891852
16.0,0.0125,0.8830004886091652,13.794060107412065,0.05,0.7580489465919409,2.9384372641761667,0.0175,0.4393820456461442,41.582984240796215
17.0,0.0575,0.9882305109243043,34.271134194333435,0.0725,0.6921946042478566,11.181238752080123,0.0325,0.38748105994318244,23.940119211579344
18.0,0.11,0.951245173598861,5.860400003508484,0.0575,0.6748342097866219,13.561228861906336,0.0125,0.4716578724099272,10.7614110029627
19.0,0.085,0.9460955359630558,7.1109055238124235,0.0625,0.2483281048616739,23.852006904342563,0.0075,0.3520908031204662,8.24385901646095
20.0,0.045,0.952841317367195,9.20979884029695,0.0275,0.6827128550154334,31.25513581113396,0.0075,0.08613605814131878,14.763412407206324
21.0,0.0875,0.9722175764165792,6.293310656334587,0.07,0.7695152264749687,11.023678209378048,0.035,0.10932387600150242,22.498236974803692
22.0,0.0875,0.9505043747436088,9.645626239676167,0.0775,0.40539033548425424,10.111615397427528,0.06,0.6500153498605447,32.64379208826808
23.0,0.0525,0.8808623114290074,11.207942582148902,0.07,0.5686416315663081,13.88660242227681,0.0575,0.8606634306704359,56.14833163197783
24.0,0.095,0.9768865207488462,0.9693508172684094,0.0575,0.9250382153753073,8.538086785335212,0.0125,0.3222543269869674,17.73213819701295
25.0,0.085,0.9230123362414178,12.360915022431199,0.0725,0.508226473221887,17.51741879830693,0.0225,0.4367324504982827,8.956012840134415
26.0,0.055,0.9481646259966512,5.817358159663227,0.055,0.22759379415211636,10.589065610479016,0.0275,0.5549293061925785,33.51521205208419
27.0,0.0375,0.9752519496039681,10.443575198999772,0.0475,0.835933507824802,9.513039417466885,0.0525,0.7748566559521324,9.944972551534603
28.0,0.025,0.9718795154908264,24.543533370135684,0.0425,0.770275556799914,27.748480908056898,0.06,0.604406408012708,15.869648248743404
29.0,0.005,0.6690812389581828,13.113721726657609,0.0125,0.6493949225039426,35.79685703774481,0.0125,-0.026400709370137238,13.04710078651064
30.0,0.0125,0.8090746250459404,0.5007030640291407,0.075,0.9417334026506246,7.208323578532207,0.0625,0.2635298032108657,24.204986902160265
31.0,0.0125,0.9521221379301137,21.77900270423205,0.06,0.7822243905379416,10.785602041355077,0.0525,0.16675239278325796,12.575749802335917
32.0,0.0075,0.8459430374202642,26.589511617213788,0.085,0.9022159054736127,28.774493195498778,0.0625,0.8899848304696184,23.104564353239283
33.0,0.0075,0.9232759308178818,12.748501880182586,0.0475,0.8570375100277876,12.538076486113836,0.03,0.4879321752246292,15.755213741680407
34.0,0.0125,0.8299718811591332,3.821366768538316,0.0525,0.8067433487867127,26.529167991239216,0.0375,0.5882124870033614,42.9866120555516
35.0,0.0925,0.9749680375711893,19.662851604396558,0.0625,0.8046792196428618,13.954815960401293,0.0525,0.49806790639182114,21.105540309675614
36.0,0.0575,0.9335019335796453,16.08722000934611,0.0575,0.7771333238743477,11.109906063234892,0.05,0.4346648610636854,19.905697615480264
37.0,0.0125,0.8550543333398753,23.610648992850685,0.045,0.8526278438436259,12.95794802854857,0.025,0.4835075460174278,17.40613467783674
38.0,0.095,0.9760863154026697,33.34296203174696,0.065,0.8649417560162864,12.76179786755783,0.0225,0.1939601687089088,41.43524042051614
39.0,0.0625,0.9370728735643228,16.691677420118847,0.0375,0.6791753391624556,9.43526941940119,0.03,0.23626909111073677,37.740739785352865
40.0,0.02,0.9043713419652223,18.472384790973152,0.0575,0.8274590053545771,13.710309264603499,0.025,-0.1093387222547184,18.1754559699355
41.0,0.025,0.9332004276626666,0.0,0.0625,0.8657917055413866,26.401998691119513,0.035,0.4143486644604489,29.394279906043636
42.0,0.0575,0.9916564045395445,5.857369673091224,0.0675,0.8428355588551426,12.00945338270648,0.04,0.33544145482296944,18.31672343580613
43.0,0.1075,0.9438150098386849,18.935991199339032,0.0675,0.7623286743093323,36.028763074175444,0.0125,0.4160361201087397,17.83290826566947
44.0,0.065,0.8876407165186659,13.653588284361383,0.0275,0.2941938859699816,27.58943226117814,0.0075,0.38351583259289124,21.782656721270715
45.0,0.035,0.9762344720394409,22.624691613362025,0.015,0.7831508856377174,29.215863467387116,0.0075,0.07553024686232336,23.48922437593056
46.0,0.0925,0.9729719979878074,16.70734622239936,0.065,0.8147782232265226,30.073169568041898,0.0175,-0.23653418345008906,11.788819330024346
47.0,0.08,0.9209759018737395,14.420490872603898,0.0375,0.5923171306917667,19.63600113553302,0.015,-0.27714114713129695,18.047785162362334
48.0,0.0375,0.9663218963417901,9.379121254074128,0.03,0.7427449229367415,11.132797708595989,0.0075,-0.4091372025620853,26.90753804900803
49.0,0.0925,0.9727153964591522,14.137804946714391,0.0775,0.8142250003579359,17.906505131640678,0.0225,0.5720087915381303,22.664701015373225
50.0,0.0575,0.9017197748374401,8.884849484078789,0.0675,0.22942747718278833,24.84352829931607,0.02,0.5979617033121515,37.92596210919281
51.0,0.0575,0.9720175194721234,16.246765101149204,0.065,0.3442285081797139,15.268991907826013,0.0175,0.8170062753410278,7.321874247809809
52.0,0.04,0.9319818524579264,8.625771655871187,0.045,0.21866548714076056,3.1067782753593294,0.0275,0.5084347705783626,17.836162484829515
53.0,0.0225,0.8607565885594329,9.73401972475748,0.055,0.687282056990373,15.947315156146672,0.02,0.2616756109148916,34.93215723445616
54.0,0.0125,0.5394506540471178,4.530082505216967,0.05,0.2599448558447225,13.087985403685149,0.0075,-0.20384824673496627,13.792689717613067
55.0,0.0125,0.4921127231345484,11.229866625632063,0.0775,0.8437835209320126,36.0672487953867,0.0525,0.6482969330037259,34.19708928156693
56.0,0.0125,0.5371826849731586,12.627099301783824,0.0775,0.812692864566798,24.582978391965863,0.025,0.64493242061881,23.30405402465415
57.0,0.0075,0.8656489631086041,9.581254292452343,0.0575,0.9193400487607936,16.514925124544874,0.0225,0.8574216025799603,2.875354697564193
58.0,0.0075,0.9754775203271319,9.44174512089121,0.04,0.9252449535343332,3.9055772648073894,0.0225,0.38930278445583966,24.39342399438804
59.0,0.0075,0.9843251848192599,2.961661880601575,0.0425,0.9787671617017251,30.6487206124069,0.0175,0.515315051524297,19.116532885961945
60.0,0.09,0.9629413362757407,26.984533458521515,0.0625,0.782339275032269,16.358491613261744,0.0375,0.35160342035378966,44.891870214649536
61.0,0.065,0.9570365162816153,16.998581406485965,0.0575,0.86380059798049,12.798913661271587,0.03,0.3945631271690966,16.270056397250713
62.0,0.0175,0.8779823433629528,20.368499949966182,0.04,0.8207821477005058,14.783837041010745,0.025,0.3474503487879405,28.707846884105894
63.0,0.0925,0.969785643490285,18.673084199213427,0.0675,0.730369849425731,7.3119983228358585,0.0325,0.18286062990598262,23.82402131768758
64.0,0.055,0.9459430594701094,43.5555069869035,0.04,0.6167081364969551,7.179947894517983,0.0275,0.15297797261679927,0.9453749237211835
65.0,0.0175,0.8879559343633672,34.48251450302596,0.0525,0.7922331780316376,8.078718633031096,0.0275,0.09042513931513624,39.273956789786425
66.0,0.055,0.9901029125315812,1.077887576905078,0.0725,0.7748090602849349,8.361402218589385,0.0375,0.4367043893148926,18.915958885083445
67.0,0.06,0.985398054455517,0.0,0.07,0.9314207971424049,4.270141572011809,0.025,0.42653899954226027,21.987649593004708
68.0,0.0925,0.8750354809577733,9.352371602129887,0.0575,0.4140543264127461,7.834896158755033,0.0175,0.5693043556589971,30.3234035689281
69.0,0.0525,0.9475175461069627,27.036838993795968,0.0375,0.40610894402319164,17.584374077816243,0.0075,0.2032183956224008,15.140961000303566
70.0,0.035,0.973900736525066,10.952217059514073,0.0575,0.9471545782327601,10.561764848180331,0.0075,0.547604487410258,39.3720571109153
