,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.015,0.8016332639806711,31.23815033404948,0.0775,0.6990986964491908,23.2666289335631,0.0575,0.6540874306202309,26.554899109306085
1.0,0.0125,0.8505336818426155,7.753440404619206,0.1225,0.8711795577457713,17.334895495224313,0.0575,0.4818637882214481,5.992866488633268
2.0,0.0175,0.9554963836953475,28.713452314740863,0.0925,0.877001012842327,13.947106431645162,0.04,0.6576206603596431,26.11312289982766
3.0,0.0075,0.9049289483868188,6.132071834684969,0.065,0.618213614493361,11.374129710677003,0.0175,0.4983536135640954,17.26066281806223
4.0,0.0075,0.9254621670309573,12.663707490897423,0.045,0.4002122013123183,10.761955729082667,0.0525,0.9459629685297793,15.024568909314276
5.0,0.105,0.9842350545958154,7.554164399586323,0.0975,0.914805181446173,23.51498780952554,0.04,0.9326165907853802,20.002917065490212
6.0,0.105,0.9909054044067336,9.161963637918738,0.045,0.4794857703798278,4.925261784087899,0.0125,0.7234181827963125,10.616915955141298
7.0,0.055,0.9880215580645706,11.60815497189795,0.0375,0.24933097387059883,26.002371455017858,0.015,0.7794344919031331,27.271950404902853
8.0,0.0325,0.9956334848806031,1.6977157809810177,0.0725,0.36354940012909126,9.021746086810971,0.03,0.5429252417318684,27.686025718131827
9.0,0.025,0.9898963726207003,7.401815444300025,0.0925,0.5726566465828431,22.526316818497065,0.045,0.5814775398763663,18.277066431963128
10.0,0.0125,0.9647340542713877,21.62226820740426,0.0725,0.5313330712653299,18.64851823438586,0.0475,0.93752482579648,9.518590032187458
11.0,0.0075,0.5175110703529242,13.309313061201756,0.065,0.47415803043186877,34.122440420726626,0.0525,0.8566246687544732,39.096963002466445
12.0,0.0075,0.7509006411359204,38.09742420115521,0.0825,0.5116400752068867,10.266435037018516,0.0725,0.9165190661358208,25.948024643119176
13.0,0.0025,0.5447369733548811,7.011717885868514,0.0825,0.6927469542886046,8.248986711414178,0.0425,0.803287762654384,35.968060231572835
14.0,0.0075,0.19504158048908643,17.678435693841163,0.085,0.46365744801880504,25.910109392276173,0.0375,0.5573847458870484,21.040000749221747
15.0,0.005,0.2828798600468172,15.978033871427645,0.0775,0.3740194849097585,2.1667606697240562,0.0475,0.9566816223697209,35.03801633121196
16.0,0.0125,0.8569385283288106,22.381850739950664,0.1225,0.6568506401769342,17.98332497521296,0.0525,0.5931546522812912,25.897182881029593
17.0,0.0075,0.7198314489643775,31.803195164969345,0.0825,0.6360547861446827,19.0996154898185,0.0175,0.4952302018698782,23.806148486912384
18.0,0.0025,0.23204627402240877,5.463192988012211,0.0675,0.6887770581278079,28.340974725591032,0.0675,0.8912818375614636,19.63729624105148
19.0,0.1125,0.9836084166696963,2.191327486683001,0.0925,0.897972951201531,4.4483627491312445,0.0375,0.6848440167182857,15.67601905862358
20.0,0.1075,0.9909264020888603,20.93212808867449,0.0675,-0.052689612226724455,27.417248441823375,0.0175,0.4451521276650429,24.68091883113565
21.0,0.065,0.9871153673110371,9.124352023137948,0.0675,0.5709353506405619,0.0,0.025,0.4851271759863842,2.719283636286111
22.0,0.0375,0.986748875584101,2.9212177663496313,0.0875,0.8255510727826191,18.00835451620361,0.0225,0.6680392195710241,10.697740054694947
23.0,0.0325,0.9768531610430138,12.698913406433379,0.09,0.7580796543298384,3.788911469566632,0.045,0.37444301714858774,35.94659988585549
24.0,0.035,0.9543059202489826,9.856843532757466,0.1275,0.6533055665454389,26.21278181668165,0.035,0.8979012227769135,9.55623142607854
25.0,0.0775,0.9831612181248313,8.621925618486827,0.11,0.6028681888977855,12.016312140809472,0.0325,0.8227337370354698,18.083387946116076
26.0,0.055,0.9432874732084389,5.159673457446887,0.0625,0.09467528148475213,17.949440777516905,0.0175,0.3659926880512703,37.54948010709387
27.0,0.03,0.8689867696925956,15.767687934725636,0.1125,0.6937345493598397,4.570275990739702,0.0325,0.6621027170225763,14.806877611786614
28.0,0.0125,0.6370930555178542,21.714433644461288,0.0975,0.6583374139728841,13.211604272462466,0.0475,0.5457961362870303,12.229717807253294
29.0,0.0125,0.794425886750314,4.927871273298209,0.075,0.4987396455351241,20.101594314544634,0.03,0.7908801598151807,8.133625234486008
30.0,0.0175,0.9304157506311389,9.85115904289161,0.1025,0.888983561025652,22.66659842141682,0.05,0.7234000238023345,22.02800442258207
31.0,0.0125,0.9387444492728761,12.440145520232392,0.0925,0.8853055187662895,21.88282552813185,0.0175,0.7160210227784827,16.798412122149784
32.0,0.0075,0.9508659187802713,19.848419620229443,0.08,0.7930446068898214,14.847995461815099,0.0225,0.6714835068124089,14.212305722936975
33.0,0.075,0.9929766564112019,14.660369371205668,0.1,0.7730211974385091,19.116208287900516,0.035,0.9261799625954118,8.080234273145594
34.0,0.1075,0.990445577362393,27.879940644489686,0.07,0.5689729027919911,13.337379412989463,0.0225,0.7645353821641001,18.16551665042249
35.0,0.07,0.9824827466818894,9.630043290996525,0.0525,0.2531117058917503,10.14135922230585,0.0175,0.8281257274659541,12.08400363548018
