,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.015,0.8884552015179215,12.351168950427244,0.0875,0.8051047035937071,8.420354953038842,0.07,0.7500638493878239,12.82401638531243
1.0,0.0075,0.9049056396735611,10.140171748404542,0.0925,0.8062185770817948,10.218405990924431,0.0475,0.9318880874149682,43.34258527868154
2.0,0.0075,0.9024329922749762,11.201366769396085,0.05,0.9416770403350933,31.676631967833394,0.0525,0.8901754010856402,47.005408288075245
3.0,0.0225,0.9604031987992455,0.0,0.0675,0.8280439116334177,5.493389140033723,0.0775,0.9532579004770613,18.824312531173035
4.0,0.0725,0.9479008354645235,2.990618138306199,0.0775,0.8430760129546077,15.07356310207067,0.0725,0.7993030605408012,21.49874007019971
5.0,0.0725,0.9629504293981206,2.682526072900646,0.0625,0.8942369842493024,44.65633952630605,0.0475,0.7468511862783096,31.31036644955657
6.0,0.065,0.9328876628045999,18.12606754651871,0.0725,0.9428094826781379,10.973653354626197,0.055,0.8674230304866315,9.013803237145678
7.0,0.025,0.9169823041533444,27.718594371977666,0.0775,0.8970428931648599,10.741359920650353,0.0475,0.43141995890566975,25.35295021568864
8.0,0.0075,0.8649452110545215,14.66045001824888,0.115,0.9664598761992498,28.673577351678553,0.045,0.9215465840270334,21.82040471598244
9.0,0.0075,0.8546809647609623,35.39279990855025,0.105,0.9479779323155652,3.1617299137319694,0.0525,0.5880547660407444,23.935427597746543
10.0,0.01,0.9134680042685793,10.072455595278726,0.0875,0.9068439877605012,5.716948187722214,0.07,0.7957922132257267,17.755540712826672
11.0,0.0075,0.9105993869857202,9.682481200082316,0.0625,0.8699620391357584,28.41446019118642,0.05,0.7755273879284065,22.72123867837471
12.0,0.0075,0.9493990466663766,10.173404695498654,0.02,0.5660050980940395,19.315424005851874,0.0225,0.32801630756763656,32.90666395047856
13.0,0.0075,0.9764584841834367,33.239665590975285,0.1,0.996799925594146,15.197961780927658,0.065,0.9715439591678199,32.48237555088662
14.0,0.07,0.9515508127743478,10.724957434067438,0.1025,0.945060391833136,13.349028942379865,0.055,0.8110589810185616,29.54050493981123
