,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0125,0.9962453029859848,0.01939389303483457,0.08,0.9923352852909976,28.292585607023952,0.0625,0.9983365256310417,22.876863448799426
1.0,0.0125,0.9994012167743779,18.940876238174408,0.03,0.9767695798562961,19.9654555137315,0.02,0.9669605604941491,32.62858442159625
2.0,0.065,0.9907618305659461,1.1839567720585782,0.0525,0.9305029592248011,8.917571979657817,0.025,0.995051948745408,27.188053034302598
3.0,0.06,0.9770725295127399,6.949886276745996,0.0775,0.9710334891045557,12.895224435543518,0.0125,0.9815174861646515,24.871866340093494
4.0,0.035,0.9642733009356906,8.13491156306287,0.05,0.9183042973702656,44.68595790412631,0.0125,0.9826705202710347,50.5254265256464
5.0,0.025,0.9509319631489709,14.239827511647343,0.0425,0.9121847465037175,10.329783079198524,0.0275,0.9961862256552989,14.890402345152708
6.0,0.02,0.9388395144360636,19.415316031464712,0.03,0.8996948934494561,21.207270666380257,0.0275,0.9998585986311316,68.41033835401066
7.0,0.065,0.9935967247165012,12.823813843017088,0.045,0.9235990418742298,16.130695488190256,0.0125,0.8974275386016045,14.27465233104085
8.0,0.0625,0.9863853355700993,31.20411764496169,0.04,0.8898329396161274,2.1385056416084995,0.01,0.891179646781478,15.5439713292915
9.0,0.04,0.950784658605525,35.88238742440656,0.0825,0.9432919082048278,12.377585280440167,0.055,0.99924646055533,13.925833124027921
10.0,0.0125,0.922443300552285,14.552470898559854,0.04,0.9744178617790347,2.5897293225392533,0.03,0.9968225042253211,17.3558935520288
11.0,0.0075,0.9961174706486873,15.540381127697982,0.0525,0.9993865156664974,10.222768727295692,0.0175,0.996096745715867,21.393273490802827
12.0,0.0075,0.9984640753718449,1.2290935826669918,0.0325,0.9994987466608334,16.10600062544251,0.01,0.9985971128469224,14.301533459041318
13.0,0.0075,0.9934847769481113,32.853000065304755,0.0125,0.9999466620377656,35.01203862382197,0.075,0.9968421868691515,21.922865559168812
14.0,0.005,0.9843808593118004,9.672492654488469,0.065,0.9992743443080138,16.478127469229715,0.0675,0.9961813103745145,14.44504178066541
15.0,0.0075,0.992327319051894,4.69957415298488,0.08,0.9994150913380092,20.457560099274488,0.055,0.999530814815298,11.373540810888358
16.0,0.005,0.9958794658341996,7.781161001492345,0.03,0.9993595491000787,13.070226240658744,0.0325,0.996948488185105,10.286455564713615
17.0,0.0075,0.9948468793241535,16.56208361142892,0.03,0.9993011016136782,26.559821820992816,0.025,0.9999968888158001,33.42111360499794
18.0,0.0025,0.8728891530678964,30.89137424323291,0.0025,0.9942328007625487,19.036729924238657,0.0025,0.9965653893333074,15.223127943018683
19.0,0.0025,0.6587473550626989,2.6773670653127297,0.0025,0.9910304339629823,17.431088601544545,0.005,0.9963495891259734,22.37748519766336
20.0,0.0425,0.997880981047034,8.859474275271054,0.0475,0.9677767616683192,11.283255045357581,0.0225,0.8675095898625712,7.084005926700313
21.0,0.0425,0.9835763758368108,19.99564605779551,0.0175,0.8924421003639721,41.049517556670416,0.0575,0.9750467719300746,13.249364481618278
22.0,0.0325,0.966828835909351,14.2167833212314,0.0125,0.8652407269375993,0.7844641609663048,0.055,0.9677822964634283,33.44996448675923
23.0,0.0075,0.9517220359346891,11.69881953632165,0.07,0.99589135093237,18.015508327960372,0.0325,0.973957170921601,12.19203186500164
24.0,0.0075,0.9441329673583801,30.5243977605204,0.075,0.9940704944144295,39.219632994967434,0.0575,0.9957876991886858,29.257732324786762
25.0,0.01,0.9865302443007187,0.0,0.0225,0.904177810587882,21.68063303346841,0.035,0.9735346023975158,29.596296686097002
26.0,0.0475,0.9910996437208508,18.18857302422942,0.0675,0.9741636155671836,28.872444049411072,0.025,0.7489421048739543,25.476043186211463
27.0,0.0425,0.9775328195004649,23.718988520439087,0.0475,0.9715055976157522,27.885968426589216,0.025,0.7727350661964496,9.758146210067231
