,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.005,0.43452612988249695,17.377651349383726,0.0375,0.6507049685082306,6.847786324708123,0.0175,0.7747864255722849,17.526632572826287
1.0,0.0025,0.4466135017104747,5.446434487602456,0.0475,0.8385872701032357,25.154814761442363,0.025,0.8781450719894237,35.92592181053516
2.0,0.005,0.7779199038084917,13.56597879683601,0.0375,0.69525680784072,23.35661957174251,0.0175,0.6909180697402428,18.46865767931164
3.0,0.0025,0.7816029655420454,8.140032276769212,0.0375,0.6030602738200704,11.47622812354583,0.0125,0.5310035010337174,22.20770240676132
4.0,0.035,0.9911317312738346,1.539833074415724,0.0225,0.8930064750851303,5.627258320460101,0.0175,0.8989874927415105,18.352719390517407
5.0,0.03,0.9835154340576566,7.386973091954063,0.03,0.5775233882196791,22.851282550985175,0.0125,0.5383290704369138,32.80507750663143
6.0,0.0175,0.989866265884988,34.671364519100685,0.02,0.7413891623214782,7.471275535709197,0.0075,0.6382674367507762,17.288839521027768
7.0,0.035,0.9957452227644833,9.705230826785982,0.0225,0.9093047168946911,13.259901997210378,0.0175,0.7698231068502593,20.736522928473388
8.0,0.025,0.9970166519109548,5.535150787688278,0.0225,0.9328336504168903,20.347709797115378,0.0075,0.4867774585550164,24.96755807041819
9.0,0.0275,0.9984105215081542,9.414119478364725,0.02,0.9186994413656266,22.00184894750351,0.0075,0.9886229280155259,31.239640290882797
10.0,0.0175,0.9989136894005977,18.953175031792043,0.01,0.9272014946919961,23.817039088655577,0.0025,0.467495348748064,26.19041106532709
11.0,0.0175,0.9986154107317746,6.269375208006338,0.0275,0.44814631109458175,7.048306572175976,0.025,0.37376358113243385,21.984301232980915
12.0,0.0375,0.9985962593457781,5.704770622007352,0.03,0.9228330402905832,16.826858783065564,0.0125,0.5156963194824329,54.91208199810402
13.0,0.0275,0.999484815178018,10.480097015748846,0.015,0.9616642654368878,5.031519654799674,0.0025,0.6485904670391243,11.300676674278645
14.0,0.0175,0.9999996847860898,3.9126869625020526,0.03,0.9777297777023073,14.535339638029821,0.0125,0.9782542921403009,27.41412121456959
15.0,0.0175,0.9999840399588721,14.572325806149873,0.0175,0.9716255427314007,22.46318174979369,0.0075,0.9804624575205771,11.257850869142562
16.0,0.0275,0.9999999906361311,5.798255124694852,0.045,0.9969719059975615,24.460942129477154,0.0275,0.891210875501527,19.20952659781631
17.0,0.0225,0.9994432873777378,8.344424871964204,0.03,0.9774799819705194,16.734273198241315,0.01,0.4650319838918798,28.360342506552403
18.0,0.02,0.9989547804019419,29.049494489252933,0.02,0.9682428127678699,12.260576296535447,0.01,0.9992785717656476,49.00478860789483
19.0,0.0175,0.998766797473413,10.137928051861282,0.0125,0.6617918245523288,11.883168560259813,0.0125,-0.08768188537456237,8.759897495070256
20.0,0.0175,0.9992290864348029,42.20322885772141,0.0375,0.7522143916437002,11.010176598235315,0.0125,0.5110333842266287,20.247087619817343
