,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.02,0.9979445485391627,5.168478372221031,0.045,0.7561296002410611,3.6913793619385378,0.025,0.4890780979381948,17.09987144421301
1.0,0.02,0.998857091551534,15.735421119046368,0.05,0.7458710317429116,44.42818698074326,0.0125,0.7711456721336651,23.979928464366864
2.0,0.025,0.9978477657984393,31.987588354549935,0.0325,0.935123509788192,17.022490820208294,0.0225,0.8925716234572842,8.96260411832119
3.0,0.025,0.9999968416457642,15.597815178733338,0.0575,0.9923739168822675,27.088066526903326,0.0275,0.8603996661719003,3.010859377818548
4.0,0.105,0.9999072038085477,62.17257369887995,0.0425,0.9006312676830887,5.274667673548162,0.03,0.7484737929231413,18.55007109910124
5.0,0.0325,0.9981537879957341,12.568684073375566,0.055,0.7292632076155835,26.623719730266945,0.0225,0.7760163533255809,24.24488526566202
6.0,0.03,0.9997040204485174,1.816663689420492,0.0625,0.8093882081576319,19.09934751381869,0.0225,0.847058316522634,11.216401268895172
7.0,0.025,0.9992444184245448,16.95097841535866,0.06,0.776903620784256,18.943803341859518,0.0225,0.788700146916838,13.912357540680041
8.0,0.0075,0.9571004325047384,19.760051341889493,0.0425,0.9255799032935599,25.79100394324228,0.0275,0.13595657922473953,44.86314551823919
9.0,0.0025,0.9245053011296224,9.391436460444359,0.0125,0.8144968288887523,26.565840221285168,0.005,-0.08118319055711397,16.182392884068157
10.0,0.0925,0.999756694892793,12.648791649987876,0.055,0.993607824050297,34.568724414634154,0.0125,0.8143734205305965,16.734705163750608
11.0,0.04,0.9999405017293863,21.663379757275113,0.0175,0.9392768705878665,21.990591430860498,0.0175,0.8606342918995001,44.79201977309563
12.0,0.02,0.99993341776958,5.93809891358206,0.07,0.9894987253381075,16.511090378295844,0.04,0.7805482028549612,46.60588223638547
13.0,0.0225,0.9988525738933887,9.479295453889913,0.0625,0.8406186215985191,12.408426896779307,0.025,0.860804932372956,9.813815885085639
14.0,0.0275,0.9978033230004429,4.798947149827535,0.045,0.8358093608512809,6.269263950242211,0.025,0.00747677997482763,21.657273011441795
15.0,0.0275,0.996307250705208,17.05257341330538,0.025,0.842299952057648,51.9487803322712,0.0125,0.9168754178126457,20.404073827545265
16.0,0.095,0.9999139342091027,9.655201842769257,0.0625,0.9850905718082477,24.682842163159773,0.025,0.4714335853956968,15.841524448439836
17.0,0.0375,0.9999700765937164,42.62603203742157,0.0275,0.9853466051538432,27.299617680938006,0.015,0.941642758165212,23.620857623072315
18.0,0.01,0.9995075572260165,15.83971055860122,0.0225,0.985068236143615,44.23417274922475,0.0125,0.7806420022633057,19.6111991382478
19.0,0.0075,0.9950402270473988,21.750665033405024,0.01,0.8980691810817855,13.747981154548219,0.0075,0.3033252860356167,15.996022603880292
20.0,0.0075,0.9370434316096826,17.79306342427934,0.04,0.9930416837481552,34.90633175786522,0.0325,0.6605405431785004,42.627919232735195
21.0,0.0025,0.9242508037573283,14.046765277338768,0.0075,0.8248183796475491,36.6928548160108,0.0075,0.6263086681256552,30.903301613704954
22.0,0.05,0.9999517930514152,12.004268388715825,0.055,0.9592260766600675,54.75999680985211,0.02,0.504123215050052,13.651472704146029
23.0,0.01,0.9983693278937537,38.171859308434726,0.0075,0.4505921956651633,26.282843839646553,0.0175,0.5760825993268693,22.650676291583043
24.0,0.02,0.999189294442177,16.619238298299244,0.06,0.9610000810550686,6.57304999686255,0.0375,0.5616200160811097,23.99335355156735
25.0,0.0175,0.9998454814177095,8.740637900809858,0.0625,0.9529236487975836,3.350451457930431,0.01,0.784175241964689,11.926270297201055
26.0,0.0525,0.9999625242418622,18.586340689928047,0.055,0.8605925772746643,17.95467481566657,0.0225,0.5833863081511046,10.185119206121314
27.0,0.015,0.9972683809216989,23.83029269672481,0.025,0.9537339643711994,15.719505269943282,0.0175,0.5761433073607923,15.377799037012895
28.0,0.0925,0.999954408282858,17.286457246541296,0.0625,0.9747741378779073,27.68358551720574,0.03,0.4672321538791011,34.07851212546406
29.0,0.06,0.9999582744685686,34.90284771396721,0.0375,0.9495429416103319,31.56253026500195,0.0225,0.9763736826193994,3.052399707297849
30.0,0.065,0.9999998952216121,17.953246525789158,0.0775,0.9892178633587181,22.553607242954886,0.04,0.860147638326001,26.158344933061393
31.0,0.025,0.9999847515226618,13.956780404556923,0.035,0.9892276341268034,2.6711180830208034,0.0225,0.6511224303572037,9.66730089606091
32.0,0.0525,0.9999550902640417,4.545672511316608,0.0575,0.9895409588996202,24.202746123344212,0.035,0.836753299578706,43.76731400039182
33.0,0.03,0.9994681901977166,20.675043952377212,0.015,0.9659552846803758,61.441070196003125,0.015,0.9076227223956213,33.951859459916214
34.0,0.07,0.9999713322303116,18.584682923653194,0.0525,0.98115150833082,22.845027445665167,0.025,0.35979026565324607,36.05183428184117
35.0,0.06,0.9999852371294419,32.17077451564251,0.0325,0.9887957519820255,10.922703643397094,0.0225,0.5781205381091672,29.996226330320606
36.0,0.1025,0.999933497143767,3.590943029286281,0.0625,0.9055832271695244,18.13813738640726,0.05,0.8917454316894473,28.911947949011385
37.0,0.0675,0.9997762380846132,14.13815805305735,0.0875,0.7990387295818375,29.07649884610292,0.0175,0.58991627584306,19.289510665554538
38.0,0.03,0.9986506525640304,15.615750400205615,0.0675,0.7457269523869922,22.56018028049028,0.0175,0.5256443037747134,28.20992569838652
39.0,0.03,0.999744861017517,45.92673421373207,0.0525,0.8996628729384317,8.171938534681537,0.0125,0.6780239391645276,19.86205902739746
40.0,0.0175,0.9764651564803803,12.516912501084047,0.0475,0.9248356279243427,23.501530706178727,0.025,0.41902506636700654,35.54297788083943
41.0,0.0075,0.919796025946442,20.159123602358143,0.045,0.7433462032246447,29.327988371767546,0.0325,0.8868518334422469,28.007749894275335
42.0,0.0475,0.9990216459642105,8.755643834914043,0.0525,0.9088861400399232,22.625705493203853,0.0275,0.9110156476489409,41.92257363834408
43.0,0.035,0.9983232538631318,32.82547056259592,0.03,0.956633250970674,26.067817009856242,0.0075,0.41510810518398916,19.075294336676272
44.0,0.0225,0.9985341775177954,4.450646283750034,0.0675,0.9850619041126977,11.319438809869354,0.0475,0.8349787695616604,62.912762265579175
45.0,0.0225,0.9980197518388346,14.003412871016604,0.0575,0.7960819186702877,13.544098425012281,0.025,0.7103144535418403,30.03870265534622
46.0,0.0225,0.9981315827932262,48.33395739516895,0.0525,0.8276684096229256,9.061298243385101,0.0275,0.5964432628512849,11.825497386051163
47.0,0.0275,0.9970214801650439,3.7936868593720448,0.0325,0.8278335486099873,13.799578860604377,0.0125,0.1477928659031431,19.848211483245844
48.0,0.085,0.9999760368893681,15.435824596067407,0.065,0.9806401148500279,14.728170907134855,0.0275,0.5974336941251889,29.276489138574362
49.0,0.05,0.9991964908353121,14.021087341047352,0.03,0.951319234215805,29.24653474259181,0.0125,0.4525768350474678,17.758532091596912
50.0,0.0125,0.9640369676280862,20.371912877461607,0.0125,0.9005103304017561,11.723522564806059,0.0075,0.3512321275386598,13.476556891800488
51.0,0.0075,0.565605245260017,14.79523231267491,0.0075,0.7796394020993337,10.181928231600317,0.0025,-0.1404635610299756,7.976608210889028
52.0,0.0075,0.2774192644999551,4.713200937663085,0.01,0.7428479914115914,14.497175062845649,0.0225,0.09583841736993094,34.325271030694104
53.0,0.0075,0.4501721950354144,11.455709193253902,0.0075,0.7377059249863641,27.022023630435818,0.0075,-0.1215159772568273,34.10444586145541
54.0,0.01,-0.08051774154527636,16.571227242038912,0.015,0.704293920614922,12.124712635207825,0.0075,-0.0025347895468181836,16.153711394888568
55.0,0.0125,-0.02415954109817295,6.728941804855433,0.015,0.7919562395974451,7.862679046919823,0.0075,-0.1396020974315597,29.474060097599597
56.0,0.02,0.23835153013152782,8.841629864792289,0.0725,0.9623074385571377,61.015803052819486,0.0425,0.6936588467097949,22.660966158429762
57.0,0.015,0.14577825142393092,6.708715439208764,0.04,0.5958771380214558,25.221652687382104,0.0275,0.5409146423001481,22.141423292195313
58.0,0.015,-0.5465209771137612,0.007152568798687397,0.03,0.5885267749095481,3.9257909651946803,0.0125,0.5610021687377972,23.026846665844786
59.0,0.0175,-0.8315119283658443,6.789485365315252,0.0225,0.8950095220892305,31.374551040192223,0.01,0.4332256370400563,22.003993901280822
60.0,0.02,0.08101352019318273,46.06676530134348,0.0775,0.9456904217292583,14.701395408661282,0.0425,0.7792868172230267,35.59465572901625
61.0,0.01,0.00943974713674124,20.309013823543097,0.015,0.8260818462403396,65.30196274795153,0.015,0.4350697221010566,25.572735069922583
62.0,0.01,-0.743167790360819,14.184451499790425,0.025,0.1654971386146428,22.85469710123801,0.015,0.5467222413263462,28.698757428665047
63.0,0.0075,-0.4116057522795183,2.331939092792097,0.0075,0.24154136014250369,16.251215192106727,0.0075,-0.3166424061337995,26.66243362284643
64.0,0.06,0.9878637780806111,10.613099313712882,0.0475,0.7807177723891868,17.480201690562875,0.0275,0.44624672175364355,25.473455788910478
65.0,0.055,0.9862865106809416,40.2194278344895,0.0225,0.9283437922698945,24.62901578874428,0.0175,0.2150618893460653,30.290646531295856
66.0,0.0125,0.8148050122800646,10.068058779893626,0.0175,-0.04612049655087326,48.751649117249904,0.0175,0.1272325101290949,21.759233793526377
67.0,0.0075,0.5554508444008427,26.01841088463219,0.0075,0.6948895830022401,9.364745515268774,0.0075,-0.10840410692777437,28.46390131720462
68.0,0.0875,0.9994487718167537,3.8817247747777466,0.0575,0.949754759570037,18.097202532526797,0.025,0.7074238084578288,22.425362686162472
69.0,0.0725,0.9997366601835556,36.37949370991856,0.03,0.9902285491706079,17.03480204129223,0.0125,0.6442333564721593,23.204239057424555
70.0,0.025,0.9852593947013005,0.7406449677301887,0.0325,0.7792291216634362,20.355155363794104,0.0175,-0.3723175125261275,33.96325029442125
71.0,0.0325,0.9849692296941042,1.4781322478829728,0.0375,0.7361172239560247,20.186352688473175,0.02,-0.4002405916882916,29.800715654400886
72.0,0.0275,0.9148537723015756,16.47406098302809,0.0475,0.9428800376370714,2.552663485963892,0.0275,0.4135074669312687,15.918932221008843
73.0,0.01,-0.1589293562452205,10.682482345498341,0.04,0.960496659118845,31.384636607676065,0.0175,0.32288607994177443,57.758438900806766
74.0,0.0075,-0.4055886722291546,29.802846272732843,0.0475,0.9349350295658124,8.38391311367853,0.03,0.5511555540247887,25.602974842912044
75.0,0.01,-0.46721149800245554,28.76360375561724,0.03,0.9789309368428589,40.36941209643303,0.0175,0.43252108257088234,31.65044720763095
76.0,0.0225,0.8523021706768635,11.861843646766745,0.065,0.9814434091460348,6.923420743140535,0.0375,0.9035026704688773,5.488529598894326
77.0,0.0225,0.9817564649919047,3.4486651337037055,0.05,0.9327707976403609,41.87813089621949,0.0275,0.763860679425976,34.75827158769032
78.0,0.02,0.8502801076607432,7.349255122222463,0.04,0.9363121521075273,9.942580298002742,0.0225,0.27003261551984964,8.813790799139422
79.0,0.025,0.9285043766092501,34.832889019656534,0.035,0.910421024536208,7.394475195212089,0.02,0.3870882342891466,35.60505937337952
80.0,0.04,0.9784213011283968,3.8673509420323926,0.0575,0.8974985142245365,9.563771447484074,0.03,0.553099125691864,11.904648025757336
81.0,0.0825,0.9949804037333134,26.15732301826013,0.0525,0.8807815276006963,25.032619628120138,0.0225,0.23962204964669093,43.18030121581407
82.0,0.015,0.8856002984620683,2.565486335845213,0.0225,0.6048191769440578,6.827180606507427,0.0125,0.26933765730992687,8.026215121436165
83.0,0.0125,0.8047895729380794,16.22939650573081,0.02,0.3133638348013653,46.657223003145496,0.0175,0.00850767616143278,38.45092651109574
84.0,0.01,0.9638792293748898,2.3676405535389056,0.0175,0.7681413041094636,5.773952037143241,0.0275,0.411662347422299,8.490894718462771
85.0,0.0125,0.8737726636750699,8.349179414650488,0.055,0.9200551190353645,31.164950772514786,0.0175,0.5177128323820656,12.430632151552173
86.0,0.0275,0.9901543751410943,0.9993681835517508,0.05,0.743598062261992,17.121837707645092,0.02,0.6342267791429594,16.73145837974813
87.0,0.025,0.9990737257709487,9.800905455794343,0.035,0.7700341565847304,20.59872297983935,0.0225,0.6228567370797109,9.916291542704878
88.0,0.035,0.7983329962526933,11.00482839433527,0.0625,0.9186694705256654,57.764170092951574,0.035,0.44213577156190725,3.3256939810638246
89.0,0.0375,0.7586814140048074,3.912961900043995,0.0525,0.928886189562697,11.861095435310176,0.0325,0.5842059861371918,21.654079447453483
90.0,0.0425,0.8245041264645562,7.6804609164522155,0.0425,0.9012752593887396,18.28738826038684,0.0175,0.5828616138221635,17.96722563709447
91.0,0.0475,0.9960170370136625,6.803354119065574,0.0275,0.8039567212012446,35.671002113087965,0.035,0.6442463811810067,22.10361314807621
92.0,0.0475,0.9388523845732045,7.548385911780519,0.025,0.7997182431422469,8.565195883300166,0.0275,0.516068709989358,13.328928240206011
93.0,0.0425,0.8392394704120437,18.0164738760226,0.055,0.8569345973272914,28.541337057959947,0.0175,0.1532958535465724,22.016197926156416
94.0,0.0225,0.8201473584609325,1.898350073227385,0.055,0.858955300244474,11.793744655852077,0.03,0.7690416665650288,7.815139523898022
95.0,0.025,0.9524098645170797,1.1729303437409497,0.065,0.8851332527841771,12.487022234572825,0.0275,0.6504567219156301,20.94338379865831
96.0,0.025,0.9071663577461395,5.966470019076915,0.04,0.9059923176396547,16.049324519163235,0.0175,0.518735149196997,11.754062374896453
97.0,0.0275,0.9564282838278185,25.02339293135263,0.0275,0.6373620398850389,13.908621381933282,0.0125,0.21730570412200775,48.30079772598708
98.0,0.0175,0.8683815968827965,2.183436094208596,0.0325,0.8464324016713646,8.496433862105203,0.0225,0.14877388945561393,5.545491549279968
99.0,0.03,0.9570435878811328,11.074711087001175,0.0525,0.8237335171838738,44.629854354473736,0.0225,0.26576175146836684,38.541430686176824
100.0,0.0225,0.9758069903280634,4.689860336448207,0.0625,0.8826725410495817,2.952163101200667,0.025,0.4816984707392568,12.964012747206278
101.0,0.0925,0.9983603539439017,15.241834399937378,0.0575,0.9339911959806193,26.095284742284363,0.0225,0.6135600123661578,28.83451116018447
102.0,0.03,0.9823785414417234,2.492035090080896,0.035,0.8559784045626669,12.697727951102703,0.0075,0.3141466579839818,27.676698418737708
103.0,0.03,0.9421604998930729,23.72974212878397,0.03,0.7778662639340915,30.978233328135886,0.0075,0.14113276391451515,10.948398518418625
104.0,0.025,0.8968847240451597,7.8455332347259255,0.0275,0.9258871022544072,13.238360583716617,0.025,0.5449848478162587,12.417622165422733
105.0,0.0175,0.9240304050755883,9.065537960556506,0.0375,0.751541473287859,7.3824580651882314,0.02,0.2588216739186807,20.504089216617807
106.0,0.0225,0.9923462101784947,24.938778935175982,0.0325,0.5371096490461106,13.295167368611606,0.0075,0.22106512139561119,19.134079771099874
107.0,0.055,0.9720313994161845,19.421946904456163,0.0525,0.8346343633743664,18.644342055229593,0.0075,0.30828899702681434,16.45226499876135
108.0,0.02,0.8520014976247233,9.144174999803262,0.0375,0.47525543119638425,14.544578201271165,0.03,0.6787409350448443,9.466583094990813
109.0,0.0275,0.9718433143602727,32.27404687741588,0.0625,0.9722507752090422,19.461153679008994,0.04,0.7860005745126072,32.05531754815227
110.0,0.0225,0.5889343631519655,20.479803184162716,0.035,0.9050445401535631,28.38227915261863,0.0075,0.047703871702771856,21.115478125680927
111.0,0.0375,0.8608840201051806,14.753272646789446,0.03,0.8502173593050628,9.487809877357039,0.0175,-0.11200130386676184,31.950371264933892
112.0,0.03,0.8991354393410707,16.524614961695647,0.0375,0.6949460169848678,11.04200724604471,0.025,0.7004203735368368,4.804870742425838
113.0,0.11,0.9869976428939726,21.63367097466255,0.0525,0.9466746528960182,13.329144754070782,0.0275,0.45589038142254,29.93546413468244
114.0,0.035,0.9301295670805163,28.951903322947075,0.025,0.7043475194396928,16.487332459881642,0.0075,0.022323723310793894,27.704001989665215
115.0,0.015,0.9324911907504821,23.72038114360234,0.0075,0.848045623793774,19.1130662690513,0.0075,-0.026076530790839037,6.174920915471316
116.0,0.0125,0.8589708826738511,15.220137121714119,0.0075,0.812736468082134,3.317801505315958,0.0225,0.5702443363220638,3.388595758376478
117.0,0.0125,0.9783434276578686,9.739418039443912,0.0075,0.7169402975945921,17.840427514845008,0.0275,0.3363925387041232,44.25343657888928
118.0,0.0125,0.9849611175691706,6.270066687634915,0.0075,0.7560244214527527,12.431021441061663,0.0075,0.022811244888488926,14.356302054274073
119.0,0.0125,0.9841491943107858,11.934686129623893,0.01,0.4796936715404841,17.46102746795833,0.0225,0.6239922028968562,16.38372845459454
120.0,0.01,0.9901593852019127,28.33085949109565,0.005,0.5809194872826988,16.390614835965444,0.005,-0.02007712132048525,27.772552201754532
121.0,0.0125,0.8539388311093825,28.609474655183085,0.065,0.9982685687562417,27.575044034388647,0.04,0.7459871514349227,36.23767374589962
122.0,0.0075,0.9675251861670688,9.361490795015948,0.01,0.8844683713732139,20.145072446735035,0.0075,-0.03286175622966019,24.357932188421152
