,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.03,0.16828687036277298,22.036881964965552,0.0325,-0.18109928858265845,13.798979866826933,0.02,0.3370597770404432,29.788438399540166
1.0,0.0175,0.404711920880367,19.1140507053588,0.065,0.8423509879631388,9.879910701637547,0.07,0.9623698271425793,12.849498947388728
2.0,0.01,0.5653993464592013,20.09124945913313,0.035,0.5346645565518723,16.792692033840883,0.0325,0.7796913871100316,11.004279977331644
3.0,0.005,0.0034139333369596053,14.255634272917597,0.0325,0.48962762279847266,15.80886397810039,0.0175,0.5690312979133734,26.094679400537167
4.0,0.005,0.36240853134714474,12.518798332276935,0.0275,0.4696111605669181,54.274776910470976,0.0125,0.4860212184442114,34.991674777321535
5.0,0.0025,0.24791326215420573,11.486071119385745,0.0325,0.4488856537039852,15.556230267473964,0.03,0.6282411023475879,19.254817908994095
6.0,0.005,0.4098604830460995,17.989372738200572,0.04,0.30757609654330126,39.95110150252045,0.025,0.5637763664703406,31.244069011489
7.0,0.0025,0.020476516210896686,38.87420078180452,0.0225,0.4792738562167256,4.852162475298519,0.0225,0.7678050033868947,21.01547010599109
8.0,0.0025,-0.005100439719097235,19.857473131829245,0.0225,0.4794024916683277,24.11696567391982,0.0175,0.8794978125168424,14.236268787197947
9.0,0.045,0.9627722758150646,3.7329167067207223,0.0425,0.6160471455894083,22.221420272850843,0.03,0.5983024836240537,25.8873689244893
10.0,0.055,0.8314080822776051,11.357669008646571,0.035,-0.23490060970242166,5.820783513030369,0.015,0.44913707844360046,15.63279349798366
11.0,0.0525,0.8892408314723786,4.326360975270024,0.0425,0.3616763279487678,10.936670809013725,0.02,-0.402813496519693,41.891177949116205
12.0,0.05,0.8253477931017028,9.724618854386687,0.0275,0.16607332661758126,28.056384513840797,0.0075,0.3977530616702563,14.869011666960837
13.0,0.0525,0.8839027843989917,5.154637765240163,0.0625,0.5492168473411412,33.02365626101978,0.0325,0.6858716670187806,24.48540674987925
14.0,0.045,0.8158181547607622,16.768542231582057,0.0375,-0.18496473125780544,20.031084295704403,0.015,0.37918729051188665,4.935220858494523
15.0,0.0325,0.3481022334968992,17.317583817503518,0.03,0.11181077439607867,1.2612305988446126,0.0225,0.3545021125064681,20.602247883082995
16.0,0.015,0.08335403667491428,1.286670460537144,0.0525,0.7403110411918562,35.306900251758165,0.07,0.9725564003614431,6.538029175301442
17.0,0.0125,0.6801042578809637,30.328727830168827,0.07,0.6438293536264935,25.07479010295674,0.0475,0.9142585962591225,36.714518541534666
18.0,0.005,0.02081441582055107,8.404334561409494,0.025,0.5213490315753525,55.35528806403793,0.0225,0.19521107528030532,12.127623245206534
19.0,0.0025,0.33906202870125907,15.263175414714656,0.045,0.29423727110248654,19.743675053692545,0.02,0.28920612926923106,22.224865259011104
20.0,0.0025,0.16505282376039623,8.103931547658268,0.035,0.7512624211173192,10.123239670605493,0.0375,0.560844929428779,12.482553803717648
21.0,0.005,0.6023170577032749,21.161474504838147,0.0475,0.6932626193632461,6.8107191872576625,0.03,0.6983276795284032,8.23916926659906
22.0,0.0025,0.21837207225529012,5.635894336069046,0.055,0.6921936124898604,5.076663400757296,0.03,0.6203143362982778,16.31011021867489
23.0,0.0025,-0.13097201000710276,6.273119484801429,0.08,0.48662415378720775,16.10754368214554,0.0325,0.36550900532322833,9.499185973434779
24.0,0.0475,0.9770738231457441,1.0741014942098994,0.07,0.6856120629141406,13.79866994949558,0.035,0.46569352072012465,28.23497444044115
25.0,0.0525,0.9117066898755104,13.188742695871216,0.045,0.6280092156428962,11.52525060333466,0.025,0.6787112679159824,10.345613829834225
26.0,0.0525,0.9546016503983111,4.791864870776191,0.045,0.8139600526028192,14.160144153622184,0.0275,0.10626868807835997,25.379323644351004
27.0,0.05,0.9117114866098598,23.775855787504376,0.0275,0.25914086758941446,26.172523554057125,0.0125,0.7240615542976706,11.368500093288276
28.0,0.0525,0.9509965953943188,1.6030959320955949,0.07,0.765287133280248,18.239243505638033,0.0325,0.5839306359170805,21.036618712136903
29.0,0.0525,0.9064650409706976,11.136955297690909,0.0525,0.18060196230970818,22.97661170161956,0.04,0.34927395515875054,14.740996517490146
30.0,0.0525,0.9504621769611281,8.765845596848292,0.04,0.6623332095235077,7.699237525865295,0.06,0.461329877670999,28.525899843112747
31.0,0.0525,0.8886978358082304,9.821440381512183,0.03,0.5389972816532665,5.733004680482723,0.0125,0.5783462759481053,23.397863999499847
32.0,0.0225,0.5014418719894059,13.217345637781115,0.0725,0.7478853880548731,34.379925194521576,0.065,0.8341399111803304,15.772486452020164
33.0,0.025,0.14783207092611733,7.725425876896239,0.045,0.4610141828129433,16.021284418868635,0.0225,0.5407574404149111,35.69187873953781
34.0,0.055,0.9132949339866276,24.78092457263797,0.0575,0.7139686694330797,16.786326789281347,0.0225,0.2021241346452418,15.701146019119818
35.0,0.035,0.9284499191364292,18.848017550828377,0.02,0.08091812437575095,0.7507897997053561,0.03,0.39130042106302687,18.75135236848013
36.0,0.03,0.33797524140043383,10.879364018226516,0.0475,0.6313847950365175,4.473691584322722,0.03,0.38474594968522474,15.037766207252318
37.0,0.035,0.47465010750657544,27.478380131007583,0.0575,0.7334275301496408,9.812688208070375,0.0625,0.9073795319415795,13.943261747700351
38.0,0.0325,0.041674743967245034,20.88833494991665,0.0425,0.24008107259936493,17.40684247262804,0.035,0.7791691638003683,27.555015311628026
39.0,0.04,0.9088473082829498,7.577175512952826,0.035,0.7898690554621067,7.172689445969006,0.0325,0.8056195519985497,15.50960794248905
40.0,0.0525,0.8889524027457715,7.338261983400173,0.0375,0.25095543572478574,3.4337208906535617,0.0275,0.7437554142318669,22.410552539577395
41.0,0.035,0.47468859189199647,29.854811339518676,0.0325,0.3444111492513588,19.529225946834384,0.0175,0.3084244882590927,18.71268658245861
42.0,0.0325,0.19728133445203108,12.43349748281476,0.0325,0.0007899957268732501,25.706826691793488,0.0125,0.5734337761102399,26.514754362724684
43.0,0.0575,0.9470488359222445,2.8863510239707284,0.05,0.7328221870591118,10.723963793949183,0.0275,0.6902160820648664,38.35333514042996
44.0,0.0675,0.9016822523902375,6.885165614914197,0.03,0.4478237903387895,13.300074887218171,0.0175,0.7091245074996846,28.06323705877106
45.0,0.0475,0.8554591093499837,42.701261341290405,0.0325,0.30712920252883463,16.452771805314722,0.0175,0.31493985549184894,19.549924547809013
46.0,0.045,0.6063657088208375,9.223755767572527,0.02,0.2163422333639741,32.38518443142172,0.0125,0.4312381084629814,22.310827139762246
47.0,0.0325,0.6319539807543605,3.5877763229759765,0.0675,0.7083587990093065,15.137581596001644,0.085,0.6201218300882719,21.031420267972788
48.0,0.0275,0.855394210666082,20.315360262649587,0.03,0.5851978725669493,17.645535488714696,0.02,0.8646962450718935,25.564422563782752
