,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.91857648763642,13.816274622882236,0.0475,0.9521553851565584,8.155189481136555,0.035,0.5848843366719051,2.787796105471016
1.0,0.0125,0.9500896657880284,11.51334888739365,0.0725,0.9475229040962893,5.184611885952655,0.04,0.5786611674981462,6.219532576593231
2.0,0.0075,0.9730020987569734,11.166370822161486,0.07,0.9376622171917577,14.410506476128859,0.0475,0.6644688664100328,14.126799423669585
3.0,0.005,0.9694846015867999,19.56759455774188,0.0525,0.9264929626124428,17.340799436373104,0.0375,0.7787136386803898,24.37278586598445
4.0,0.0175,0.9623038624560064,20.418137606362997,0.0275,0.9727862594348999,21.590950782659032,0.05,0.6045786499416839,22.40668008136696
5.0,0.0075,0.9558805569732091,20.239513865350816,0.0325,0.9337494826650538,3.4286517741704667,0.045,0.7066762165918968,14.593492278333027
6.0,0.0025,0.9051408855436271,23.707286198413907,0.0325,0.9530239459640097,16.341779960458712,0.02,0.708819244202237,34.6696074803701
7.0,0.0525,0.997000271904655,16.448996332292975,0.0525,0.9819675612086224,15.028888471623548,0.0325,0.8432545917815167,34.243478905979345
8.0,0.0325,0.9943090121559872,13.389257571806732,0.0175,0.9769069727867992,2.8016750958263907,0.0175,0.38558874731856435,18.53002694542091
9.0,0.0275,0.958390988926831,24.2924352614913,0.0275,0.9782377253567032,35.0510177598093,0.0125,0.6094438311586187,16.52817315849339
10.0,0.0225,0.974165286475747,43.98038041453603,0.0575,0.9379745741409069,29.057708550420124,0.065,0.6099411700294656,23.32595686766743
11.0,0.0175,0.9519570873485046,24.796162316573465,0.03,0.9444631499086187,16.913749338244497,0.045,0.6309774899692528,54.60906402342719
12.0,0.0075,0.9620650305387257,11.346287344981349,0.0175,0.9847204584781648,13.290994781980379,0.0225,0.5334649638486907,24.756935534651063
13.0,0.0125,0.9800231394003912,0.0,0.03,0.9820048345007278,14.565264136654722,0.0325,0.5217437569935117,39.250263811221046
14.0,0.0175,0.9618155893139508,17.543693887042835,0.0175,0.9791630023876907,26.767037598128695,0.0175,-0.37748465870785,13.141336743863203
15.0,0.0075,0.9714433806820084,19.19864979407262,0.0175,0.982177530863995,15.520048293431614,0.03,-0.21351998310491688,27.242071480676664
16.0,0.02,0.9950415885465819,1.8678796780871723,0.0475,0.9595590839153405,14.536523519495127,0.0325,0.5848951833703219,18.094350918217437
17.0,0.0475,0.9907536216825887,9.317590898107431,0.0325,0.9442240700882247,14.823032201029228,0.015,0.49264247461487687,11.021322483948312
18.0,0.025,0.9927796425854352,3.8896653136530857,0.0525,0.9582960719946636,25.301545436195987,0.015,0.6620748380974134,28.908639877725513
19.0,0.02,0.9794723662246273,6.1923537539755324,0.0425,0.9758052552975666,11.547944117310742,0.0125,0.462652148771024,16.40036727138544
20.0,0.01,0.9914814667029185,31.020165076127448,0.0575,0.955221170281099,27.61041905883954,0.025,0.5259122373987816,15.216311928009583
21.0,0.05,0.9958388768308956,5.473795886480971,0.0475,0.9519811188971748,27.359526119394015,0.0325,0.5956901231651643,7.8273089232687525
22.0,0.0275,0.9709301883402457,26.30787076118104,0.025,0.905083753449642,24.979188515745662,0.05,-0.08610790283444747,15.401790096290753
23.0,0.02,0.9566520767207812,5.190586739664338,0.0575,0.9223712764275767,30.714732975081898,0.085,0.22452475255455792,21.47527578366303
24.0,0.01,0.919285246697038,24.06734765408093,0.12,0.9155168225462667,21.0649936313194,0.1125,0.5431390427602304,17.05121725372997
25.0,0.0075,0.9284304388793395,11.714454212087714,0.11,0.909413694382735,28.611982996756865,0.0875,0.530876385462501,29.90657113414865
26.0,0.015,0.9701978391373033,3.9646622231734745,0.0775,0.9188346341830734,41.56721829021937,0.065,0.529205109979488,28.90377153894734
27.0,0.015,0.9410066855631617,18.105322596213814,0.025,0.9602545526317532,5.229041645942526,0.03,0.5561091490156791,6.8055645907863145
28.0,0.0075,0.9866378771522503,14.549323827447411,0.0675,0.9445986251650804,14.62583680272891,0.0425,0.6910303331802503,1.5608873966831474
29.0,0.015,0.9745240468968325,3.1482611248628505,0.0775,0.9315550551730715,22.521557745174583,0.05,0.6292066155907913,10.40230163348289
30.0,0.0175,0.9597997044359194,20.42529920185232,0.05,0.9189965519303455,27.359223580305677,0.045,0.667212724195741,12.286385225639439
31.0,0.0025,0.9653164341180993,23.063515933062526,0.03,0.9505545233941267,33.78852737162242,0.035,0.7416465608511499,52.587757309802384
32.0,0.0525,0.9988493974873396,10.234779104200392,0.045,0.9893765288200237,41.17645027250581,0.0325,0.9187258712053102,32.17972798608009
33.0,0.0375,0.9955058952443548,3.9230413815333365,0.0375,0.9744173975049117,9.263333142285903,0.0175,0.44271248617033704,24.137059823910718
34.0,0.0325,0.9732903148390815,11.088742007494103,0.045,0.9825041644304064,10.393702034979777,0.0125,0.587227511338141,30.82746080399364
35.0,0.025,0.9835140307364804,6.883950887586629,0.0625,0.9809377917431652,34.0417950410984,0.0625,0.9336365998426936,23.280296717098302
36.0,0.0175,0.9529496945378887,16.951561274938886,0.0325,0.8982982169421876,29.338859254556567,0.05,0.6394707724494416,23.77514619570132
37.0,0.0075,0.9384826469907314,18.926270615508713,0.0225,0.883469267994582,18.451742908237733,0.025,0.49547161817029844,32.64392742731032
38.0,0.005,0.13139289058315143,16.33072594339999,0.035,0.7380916506044776,16.214725606687217,0.03,0.5234599449536551,9.638684765895988
