,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,-0.20454746568020898,5.191962119216247,0.0525,0.38071431232388964,43.63723895910522,0.015,0.4040282350590597,32.231243206884415
1.0,0.0225,-0.5312980119640126,9.240012479889332,0.0725,0.24802935279469498,21.007064736615696,0.0275,0.4515245334144333,12.832146685098477
2.0,0.0225,-0.24821837503300062,15.909648176479864,0.06,0.3745935996612578,10.853377546394537,0.03,0.8472277596470511,23.957120592614835
3.0,0.0075,0.3946810199131134,17.23064218058475,0.0475,0.5772611738539362,21.235867927471098,0.0175,0.6130865009769241,15.947768884991289
4.0,0.015,-0.8398375436938542,21.069116758676067,0.06,0.4520517814683741,27.293944392696623,0.0175,0.6639919333267968,25.106767470966357
5.0,0.01,0.2125222332302993,5.653834709626429,0.05,0.5590617178567585,16.517517008259222,0.0275,0.8336228427587877,28.268321901649436
6.0,0.0175,-0.4358056303770092,24.16696115841585,0.045,0.2811679011370919,8.77110399096803,0.025,0.9781612748816666,18.064669764353976
7.0,0.0075,-0.48004398568472906,12.650584806034288,0.0225,0.963338716332648,24.949884541587032,0.0175,0.9761308096926912,49.25829120519161
8.0,0.0225,-0.233209584263551,6.596750176213723,0.0675,0.28103670131516884,17.10233669540425,0.0225,0.6359568196642147,30.43947116210365
9.0,0.01,-0.10237378608377734,19.073540467035887,0.0475,0.5191804944737098,8.669173875003729,0.0275,0.039218959494818496,7.875521977769024
10.0,0.0025,0.15537935696150507,24.378877373724023,0.0425,0.6277257982505463,21.298192176854776,0.0225,0.43294102030082554,37.271027128077186
11.0,0.0025,0.1283550775544413,20.624387585615075,0.05,0.4109618004003249,14.752384603531643,0.0275,0.3958555923112978,21.50882553226132
12.0,0.0025,0.07733407096120964,3.517234502356399,0.0375,0.4818899364763984,6.84483158708603,0.02,0.4392023840984072,20.32904171615966
13.0,0.0025,-0.3296436832685748,4.604681039670645,0.0375,0.06565007388540961,4.541580049359727,0.0175,0.4684594944557741,10.399225609373433
14.0,0.0025,0.20603674120482587,19.230128230942263,0.08,-0.22353127254255076,10.304314864557714,0.0275,0.03715611251896394,10.56640411372783
15.0,0.0025,-0.19467686302649675,51.17534714558999,0.0825,0.36354901243863963,11.257380287495595,0.0225,0.40831294738221413,18.904726279893907
16.0,0.0025,0.10448578603316787,20.708998927531788,0.0475,0.16715309978969015,4.0830947483690085,0.0175,0.6299760828132593,5.8333717174232556
17.0,0.0025,-0.1545010179737566,11.47692712265977,0.0475,0.31133324893200975,19.816368452029376,0.0125,-0.0003402086633899602,21.708564964394427
18.0,0.0025,-0.3100850962122315,41.105926366917274,0.0325,0.46298911814544447,44.03009276703247,0.0325,0.6854656557119077,15.402837698316723
19.0,0.0075,0.2901630578495188,13.41154757450033,0.095,0.6263772401667108,18.713499982208152,0.06,0.40250855917495393,20.85690414700128
20.0,0.0025,0.44031199346339994,18.635531758137915,0.0675,0.04240599984182441,15.315926173864147,0.0125,0.14845118895826243,40.63708848955119
21.0,0.0025,0.3703252633858485,11.348607683166808,0.055,0.08768920055071491,7.280804027128935,0.0175,0.4226636289950537,15.427984055951281
22.0,0.02,0.997902998192293,7.779474065348525,0.0725,0.04572616060349078,8.175517325911025,0.025,0.5054992354574774,15.467856726773082
