,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0125,0.16024288066819675,32.59710516150547,0.0425,0.788577385251567,34.07666255593452,0.0125,0.9126299058412671,18.66034677478977
1.0,0.0075,0.9821280732307318,10.035133075071162,0.04,0.9581686204499024,19.9242736257866,0.0125,0.9077807504434492,13.169201020340473
2.0,0.01,0.9893102185422131,9.731461507087712,0.035,0.955407718498579,15.234466058149305,0.0175,0.8624808410966491,23.54545313308463
3.0,0.01,0.9870216994892702,23.465153357492778,0.03,0.9457414899581571,30.360829034359117,0.0125,0.8598472997022581,15.427831576744477
4.0,0.0125,0.9555960856796168,10.270311126172277,0.04,0.8846003283926596,7.576203508985925,0.0275,-0.026107561914578598,22.764781263545824
5.0,0.0125,0.9694650080719408,26.664795040063854,0.0225,0.9049365959154297,8.592198718441121,0.0125,0.47760147412536763,12.890822089333014
6.0,0.115,0.9995019414238365,0.8906773579322176,0.09,0.9794796447855239,18.83160080793701,0.0375,-0.21023327429550984,21.835847142071533
7.0,0.0875,0.9973139416205021,18.72549083870843,0.05,0.9404501872405652,31.941492905239993,0.02,0.7270704940739284,16.82921033205944
8.0,0.0625,0.9795342975899135,6.0650282866800875,0.065,0.3405671995631145,6.469699456168735,0.0425,0.3403072173837685,17.294886718042722
9.0,0.0725,0.995879264349071,6.7611035100023855,0.11,0.5637647738129393,33.79769244270111,0.0225,0.3524719663213416,11.00828374496092
10.0,0.11,0.997438916328348,9.12600142449398,0.0675,0.45754443265245903,22.49411618247542,0.02,0.29098747204116854,15.710306224132708
11.0,0.0575,0.9965937221525937,13.711635892966092,0.09,0.818951496882703,30.842681651390137,0.07,0.9545534060972123,8.73174293726882
12.0,0.0575,0.9971987776875786,7.22809885879542,0.0325,0.8688150367069545,30.343058585091327,0.0425,0.644535410884895,21.474502009607335
13.0,0.1025,0.999592890100514,8.003819915139102,0.0725,0.9794527933808103,39.93004480476878,0.065,0.6367517648499127,32.76431151613683
14.0,0.0975,0.9977338567658764,9.876616740542515,0.0725,0.4754136358579154,8.590490885788473,0.0275,0.5883148161133547,43.06625222581705
15.0,0.06,0.997149279247052,3.540240265957027,0.05,0.41410736681145516,33.690035114815366,0.0225,0.46039941975684384,19.643111173744543
16.0,0.06,0.9985733700553034,7.320191594826689,0.0175,0.4918957298964915,17.098376949051502,0.0125,0.4594859538451492,17.35409725742865
17.0,0.0975,0.9984940199707855,6.001319928096741,0.0725,0.8922232701158755,19.78638252816922,0.025,0.2765733058056503,18.87067688712875
18.0,0.09,0.9984654070954166,21.99139346154782,0.0275,0.7621504638460761,19.235908974409323,0.015,0.34211925720694364,27.11543170217583
19.0,0.1025,0.9934093834620307,32.08514160113858,0.07,0.8907008309314738,23.954050001172114,0.015,0.668872437603239,7.731585122134199
20.0,0.065,0.961886756884972,40.36865039006951,0.055,0.8549663373759668,32.218616280756954,0.01,0.87585711632312,15.112044059346463
21.0,0.0175,0.7969462533479115,12.741987408521616,0.06,0.8801628316104309,12.618349764931232,0.0125,0.8143215103484954,24.682958143035705
22.0,0.0175,0.8626867196847563,17.907636606774776,0.035,0.8893661825885769,15.449857160704548,0.0125,0.9431776048776187,23.348285394142646
23.0,0.0175,0.9672013058014669,12.336088524432318,0.0825,0.9859090757084935,69.86514531273185,0.04,0.3782716864319024,50.66422137103188
24.0,0.015,0.9717575410569579,22.128448554313437,0.025,0.9681229200219137,21.61018878620223,0.01,0.6276963139845408,13.923063438288299
