,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.16071530240134416,11.354435867800044,0.04,0.23619037592282519,16.389145927889025,0.03,0.4397929146649921,28.510992478191785
1.0,0.0025,0.42311427095389487,17.36144865454296,0.0275,0.5890184246145593,12.424259237580134,0.0125,0.012996114934478773,25.826455585310445
2.0,0.0025,-0.24766655625479528,14.189241796869219,0.0175,0.5528978641849949,19.36558650143853,0.0075,0.100014540041311,21.405762316355066
3.0,0.0025,0.06624282314646068,14.314468635167056,0.0075,0.14816816966170446,14.21053978592877,0.0075,0.11404035682771684,14.846903342610975
4.0,0.0675,0.9633215789531162,7.893229719738455,0.0425,0.6174655808813388,13.925468245883533,0.02,0.0798342593881024,31.569084925563796
5.0,0.045,0.9344100686253833,11.359659036452873,0.0425,-0.2586763038778062,45.11715157368769,0.0175,0.028013529958427583,6.3470678416694595
6.0,0.02,0.9502674630107507,9.437879512075604,0.05,0.10112210288747155,19.43934491951489,0.0275,0.03847287348450069,8.103938955472435
7.0,0.01,0.5293162962343685,6.324950637531369,0.035,0.14394209436439104,21.228737660484654,0.025,0.7109690020990862,18.661747295621986
8.0,0.0075,0.33048141398174574,6.229830569131618,0.0525,-0.015155682757888266,7.920275628677599,0.03,0.5674075229382693,21.86040685624887
9.0,0.01,0.8363622741294578,4.6625582677490005,0.05,0.18384672335185415,8.752280831696746,0.03,0.43259974754378505,16.591986262362433
10.0,0.06,0.93945125820656,11.564369467080802,0.045,0.1904839224779842,21.154085183210398,0.0225,0.2613803977637154,40.34704511826257
11.0,0.02,0.9418729708810218,23.729834048361454,0.0625,0.714380137580575,5.643536069184412,0.0425,0.5916270639742398,5.49502357687712
12.0,0.01,0.8677686361344757,30.589009906520136,0.06,0.2978381427796354,8.865881411928017,0.0525,0.36889372446657165,19.381336536366266
13.0,0.0025,0.0036751815865294596,16.440305068917805,0.055,0.04629011805299139,11.93876608463562,0.025,0.19385432816667558,30.064325682826652
14.0,0.0025,0.05327543717269196,11.43965882033334,0.0525,0.21222979378110235,17.27070999137331,0.0175,0.04375717311902797,13.25490715680003
15.0,0.0025,0.30200903009518115,12.133963245335046,0.0475,0.2839678524938336,42.890246061395956,0.0275,0.7345290716239001,66.4072870911251
16.0,0.0025,0.05028369226587204,29.636645474801394,0.01,0.49324480899169854,28.909660539750238,0.0175,0.2666106237594187,35.79141083583821
17.0,0.0025,0.528614969556403,31.798761311317424,0.0075,0.5635274936772303,40.036137323754566,0.03,0.9085296986294804,25.30674504993364
18.0,0.0025,0.5310267948316993,10.395551427813047,0.0075,0.27395319471441476,23.29896275226311,0.0075,0.16155880201233233,22.744475568864594
19.0,0.075,0.9498669793323605,10.773504675224434,0.0425,0.9596148287225029,12.079583762122505,0.03,0.8548351849075161,13.765933251502233
20.0,0.045,0.8821001515916979,3.3215654074794774,0.0425,0.20475544598312612,12.46010999703164,0.0325,0.016416582929001354,23.206382138435558
21.0,0.03,0.9879337540958449,15.584787716153448,0.0575,0.25670457117625145,23.944646576024056,0.0225,-0.05774785731689221,4.178857526349161
22.0,0.015,0.5394309998420733,17.238569199725163,0.045,0.22461320754527392,18.996285598648583,0.0225,-0.14653152825575216,19.084568048024494
23.0,0.0125,0.48875416962881557,10.177959717077112,0.055,0.19399346449525853,19.02905008182299,0.03,0.8631951569644906,18.44226041141405
24.0,0.0075,0.6339680989787816,17.4213042002038,0.07,0.27505989087811633,3.7917285341804563,0.0225,0.04726129882968387,1.4364177118627899
25.0,0.06,0.9562016192148594,2.9720624477741033,0.0625,0.2645895776143665,9.679671437238252,0.0325,0.3774442439152708,8.52494337782083
26.0,0.0475,0.8773281323530642,30.816192241122977,0.04,0.07743148505589731,16.009391367690576,0.025,0.5694461943948839,15.18324158477295
