,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.08,0.9489523888415532,7.596251680437012,0.095,0.8827324683248655,12.871321552985595,0.075,0.6420699825424058,33.90237072054293
1.0,0.0625,0.9857343444644366,5.767622304029512,0.0525,0.9520506228858642,39.600593019932504,0.0125,0.5339641170603164,19.281834399351283
2.0,0.035,0.980861445677617,12.24230757611814,0.0425,0.935232403831762,12.783043022743767,0.0075,0.9127770434358471,38.21666782126373
3.0,0.0225,0.9456841005040566,20.24707994408122,0.045,0.913618291357584,17.58048979067674,0.0075,0.8967919993702339,9.995609673082873
4.0,0.025,0.9611286838353571,17.601115274019353,0.045,0.9237451264980129,1.6045241681126021,0.015,0.2796193911013579,3.3992418567703666
5.0,0.0225,0.9442972706479602,37.43993502337469,0.0325,0.895422403837189,4.774031164753348,0.0175,0.14120069196977025,45.73455584808305
6.0,0.0775,0.9640305694524735,2.0853273097652676,0.0875,0.9213937289316307,38.10961995759417,0.04,0.9573444218849386,25.664171859274056
7.0,0.0725,0.9747882631217184,17.011351924492196,0.05,0.9555303391157283,14.928706066395192,0.015,0.9863964610701385,18.825629091197953
8.0,0.0625,0.9908390764732504,17.17668570706714,0.035,0.9103744534725263,10.107301722386001,0.0075,0.9195483306196105,25.792263790829445
9.0,0.0125,0.8881121167890039,59.2607923489803,0.03,0.8781249042590853,0.0,0.0125,0.9736438534987025,9.50301768777555
10.0,0.0075,0.8250346978910786,5.400332886517588,0.03,0.8686079567889063,18.263556624308183,0.035,0.8963173838937836,23.950510166363802
11.0,0.0075,0.8115378873135966,3.5888236017712267,0.0275,0.8614616735963567,1.5737522736299256,0.0225,0.8918497358829596,18.903635404252856
12.0,0.01,0.9657957831137627,2.3478599103426805,0.03,0.9674757691473518,13.665241958533718,0.03,0.8740333083978873,23.973490331915855
13.0,0.065,0.9601059619686876,2.0203537913289384,0.105,0.901324679486356,19.248193304023662,0.065,0.33746493179582937,36.926403565380866
14.0,0.0625,0.984938943785738,12.583640116677834,0.055,0.9272811897987269,28.497680704818094,0.0125,0.1764166697020835,51.72159280164686
