,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.02,0.4948548473026432,12.862162892022745,0.075,0.9003768119366993,22.369720257187513,0.075,0.8537010491674143,14.901300911169704
1.0,0.01,0.8353938904809812,15.280914205060046,0.075,0.8501212751198267,29.247452016668536,0.08,0.7316484025304507,27.388877969544822
2.0,0.0075,0.9134630620960732,6.485794522618212,0.0175,0.9335553162733411,9.990422638407153,0.02,0.787664183997522,27.753359456288496
3.0,0.0075,0.7877309621797844,1.98216330000324,0.0125,0.9528964685486334,14.62522107420231,0.025,0.38713620809077437,29.409278736207355
4.0,0.03,0.9861196081669216,5.4366368466243085,0.0375,0.9791424588335558,31.834625690670528,0.0375,0.8340273605511682,37.46090510947081
5.0,0.0175,0.9823004176602665,10.422751479057958,0.0175,0.9516264027702052,6.72515140560889,0.0175,0.3745775848836931,17.29932877353296
6.0,0.0275,0.9843388923536484,45.64660334666734,0.035,0.9176731202378671,13.141537812986382,0.0125,0.08617568064098598,10.301097147765834
7.0,0.0025,0.24168690506322582,2.9639627756391125,0.025,-0.07961887770999783,20.459681585838737,0.0225,0.052924737832948474,51.2341094787919
8.0,0.005,0.12608506921530707,8.300303573504786,0.0275,-0.049369998774665746,13.10314711227678,0.0225,-0.2352073631228734,15.033435305027181
9.0,0.0025,0.25366419869571366,13.546181340759262,0.0325,0.09787969861763995,36.435247908418646,0.0175,-0.13047524322736345,7.613622610628738
10.0,0.0025,0.18405781585029657,24.417759231452685,0.03,0.012781442620921882,27.00219416210728,0.0225,-0.19497334025850616,27.073418934941774
11.0,0.0025,-0.12079477419371562,22.74240964190472,0.035,0.08832076158735626,6.581492958876661,0.02,0.007465539835070646,10.448495019740108
12.0,0.0025,0.11237865843399786,10.167922996700636,0.0325,-0.10457052976945128,8.833155572910176,0.025,-0.10951246661108713,6.545271293504342
13.0,0.0025,0.3346318809659343,13.823114717144158,0.0325,-0.10841274180373084,8.810742295514263,0.0275,-0.00486515909990372,13.97883789129978
14.0,0.0075,0.7498873535625374,17.36010271969789,0.0725,0.468934023556522,13.920022561979406,0.0825,0.563090200597714,29.96871697675254
15.0,0.0025,0.8977768766658192,9.854134256240046,0.04,-0.0032650200709422174,15.447749092379418,0.0275,0.08966705568910831,29.91347450497478
16.0,0.0025,0.9007899835753348,0.052069874673975274,0.0525,-0.024754113669348744,21.27215111276758,0.0325,0.4654181914061031,11.667599967879795
17.0,0.0025,0.8098062942612873,7.680548715362221,0.0525,0.6829024563332481,23.759080527828868,0.0425,0.9466649578163293,10.266134190715668
18.0,0.0025,0.5570534265000938,33.06617551048,0.0275,0.9753168662689439,26.17568683334317,0.04,0.9785028519598169,8.59310223799719
19.0,0.0025,0.6331445681883451,14.506039264220567,0.0325,0.993524762024117,25.098684227015493,0.0275,0.9722546855216406,21.404619397382415
