,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0375,0.988259229621764,13.218651088649437,0.095,0.8866157269703657,13.196095764729254,0.02,0.5045806257337464,41.27914201287106
1.0,0.01,0.9840210860288131,10.903122549456558,0.0925,0.9765876057179667,9.556273652521014,0.0725,0.6455313171089143,22.87049054597318
2.0,0.0075,0.9605002946286224,24.120259554098226,0.06,0.8035642576447124,16.73356025534719,0.045,0.3379384995687571,20.68145629815036
3.0,0.005,0.8862824121448095,40.19688082607939,0.0475,0.9343075387017798,25.973778002907135,0.0375,0.7278816900301894,29.636332004833047
4.0,0.0025,0.7045489203575039,14.876112070049391,0.0425,0.9911365881342143,8.848141954797967,0.01,0.32997905087847085,3.3652684675624904
5.0,0.0025,0.7059672552337359,20.59801791149406,0.075,0.9987371154785739,27.381600981130347,0.025,0.553995121450889,11.539332165952176
6.0,0.0075,0.9588425584288187,27.058364221990196,0.095,0.9876167203071889,11.62577217621634,0.08,0.7137856057963298,22.04353273472019
7.0,0.0075,0.9342704988558445,13.202252673457727,0.0825,0.9693306258873408,27.557421125124737,0.0525,0.8052190509797903,37.22882492833947
8.0,0.005,0.9305515522054854,26.214525787578857,0.0875,0.9962796865504467,7.3497826958650805,0.025,0.8196417203705169,23.018611122227767
9.0,0.0025,0.8265174748047057,45.86767499050882,0.065,0.9036174981594688,14.900678670049466,0.0225,0.481687748301702,28.976450094514504
10.0,0.0175,0.9953849003154835,33.6018580100246,0.065,0.9075221485701503,13.943629901170391,0.0275,0.7166897627446767,35.97082124200321
11.0,0.0375,0.8887229145619242,6.093462504672381,0.0725,0.754744971717755,3.20103968256906,0.0225,0.8116232692260913,51.70323227577767
12.0,0.0775,0.8088655294542777,5.736064429532163,0.085,0.5980321549168162,9.385410657708368,0.03,0.5885048412603227,16.707232424448577
13.0,0.065,0.9472394631129457,9.440453524984315,0.0325,0.13811546155708773,12.108746020797629,0.0275,0.17352274619434732,7.8975770205327365
14.0,0.025,0.9475857920071858,37.21663705676135,0.0975,0.19299257124685026,9.569273477828116,0.03,0.45653290842136074,32.481792313519605
15.0,0.0175,0.9806388789206686,31.74183553427705,0.105,0.3235461974403934,10.295490119020602,0.075,0.6228770295819293,10.817042098029749
16.0,0.01,0.9425633234691246,17.82586375490222,0.1075,0.8660118175721068,10.841616001041917,0.0375,0.549850945540803,14.986425451745573
17.0,0.005,0.9421832672324916,13.313509487296171,0.0925,0.4684129952894759,34.69111196192553,0.0225,0.1604601448747751,18.426293620828197
18.0,0.0025,0.8105616781105823,16.340896272942913,0.0125,0.18551170809826015,15.538093181756254,0.0225,0.8821814064073413,22.662695705677134
