,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0725,0.9789325569869641,8.262759809708712,0.08,0.6957001320285573,28.103077697723606,0.0525,0.7405109434332304,10.58746471859659
1.0,0.08,0.9576037907273373,2.2808243921399707,0.085,0.7191422249026462,9.284830510061962,0.0525,0.6678498029442422,23.00760649160926
2.0,0.0625,0.9672002227059214,6.031461729835884,0.0625,0.848324269811077,14.195816629369524,0.045,0.8775003040124625,9.415395790085375
3.0,0.0775,0.9837605728996841,3.1734210953808635,0.0675,-0.0713262924551314,39.31184128390575,0.055,0.8727577075167527,28.09934567481076
4.0,0.0675,0.9738409211614799,10.60256743757163,0.1175,0.6081459097226127,10.644917790535528,0.065,0.7969457477069413,14.091111679736056
5.0,0.06,0.9768428061381429,4.53514234827518,0.0825,0.8129462336126965,19.672668232993466,0.0475,0.8056870596629757,17.166982125302937
6.0,0.085,0.981794109663917,10.764204292461283,0.0625,0.5531116489351731,21.26278042755085,0.05,0.28949313022108053,39.847742360774284
7.0,0.0625,0.9728816804877675,24.133871146529145,0.0425,0.24385169213086652,23.842343326447327,0.03,0.6914997614102036,30.413538613576346
8.0,0.0475,0.9827206327330696,12.960168852877501,0.0375,0.051832827947242595,4.1877344099725375,0.0125,0.7992015011991254,14.789147257166624
9.0,0.035,0.9875510700086136,3.117095062558877,0.055,0.2712283953295102,17.27966480285748,0.0275,0.7199832380460315,21.47919238999116
10.0,0.08,0.9866280623404299,0.0012262517049123648,0.1,0.7917992379361285,21.166205181643253,0.0525,0.41043657236571723,25.605380523195464
11.0,0.085,0.9827027580646469,19.59069573846091,0.065,0.6377406789865988,17.532671170558586,0.0525,0.6750957511853138,18.213089241876446
12.0,0.05,0.9745807122100895,25.756523168983954,0.0725,0.6794043525891309,21.779649125814625,0.04,0.5054507216051627,22.128139950306593
13.0,0.0375,0.9901417638015498,34.358468062082316,0.105,0.962803274310316,16.755441018956784,0.045,0.8096909444287073,8.270075215554652
14.0,0.0325,0.9933478430601708,4.1564939775878225,0.075,0.8845110236557193,13.294918861352878,0.08,0.598795828572853,10.725927123864365
15.0,0.0425,0.989007534937752,13.91924565490621,0.1125,0.7196699836964128,12.551555046838788,0.085,0.48283840273436013,18.72178904801204
16.0,0.0325,0.9915318306045691,7.957783716052621,0.08,0.6024193991180595,32.91087181711081,0.0275,0.02158749137973507,28.068265508345334
17.0,0.03,0.9919303487221593,0.09120082838272482,0.02,0.3032720794686967,27.243743197117066,0.0225,0.6247844147274102,1.477351472852754
18.0,0.03,0.9998338519011124,18.515711128491418,0.0375,-0.14114239719327115,18.63482271656189,0.035,0.4588727742181723,22.025534281548925
19.0,0.0075,0.6814873897889993,14.720034345671758,0.0475,-0.06946228791426941,27.995885870275576,0.035,0.02487670762325188,8.576015407776632
20.0,0.02,0.9655195015925916,5.285218616345054,0.0925,0.9219597031393518,32.66672014692138,0.0425,0.4745919131836223,3.92099629001194
21.0,0.0125,0.8055938826920913,32.553702236711715,0.0375,-0.37545531777684965,11.790403372010687,0.045,0.6649731591279839,12.778276229706877
22.0,0.0175,0.9710950341476574,0.43813296641895627,0.0825,0.8514937264077608,16.323357876250036,0.0375,0.7434526130527356,27.468194654910107
23.0,0.025,0.9473629571885364,4.910125913877698,0.0825,0.9357893169154473,14.556350602284986,0.0825,0.6036739310473516,19.573877548800517
24.0,0.0325,0.8785735511618133,27.05745899123044,0.085,0.209072920434345,9.605917846346674,0.095,0.45655117299183595,32.43364208670565
25.0,0.0175,0.9788738858699919,8.966729685159319,0.0925,0.8850556374804229,8.895003829005946,0.0225,0.6117827342305071,6.285492747958141
26.0,0.0475,0.9932713694489218,2.079894097129414,0.0725,0.9343640747323728,9.799056328446337,0.0375,0.8013721274839095,20.914717667716086
27.0,0.0825,0.9764578024364017,4.038412290573245,0.085,-0.01570216756892527,11.176217807262386,0.0425,0.03213927477295218,11.349236323176564
28.0,0.065,0.9788251830161748,10.59391169143009,0.085,0.3211856020099303,21.376732191437263,0.0325,0.0877402391286348,23.953642845154256
29.0,0.0575,0.9936339654760638,10.469538683822643,0.1,0.8134906333727908,5.684604990701253,0.065,0.5775758061620139,32.68054168620089
30.0,0.05,0.9828117961225491,41.66708740436873,0.14,0.3370320603628245,12.919664592898263,0.09,0.43882986914132655,43.14066517600597
31.0,0.045,0.9727419291139859,10.499665927460072,0.1225,0.2252430290220946,24.228942174557186,0.045,0.08124817863303473,34.57776036921011
32.0,0.045,0.9805520984793723,0.6301356523505588,0.1075,0.48012912136431807,12.886528011182705,0.0425,0.022781491890449007,18.483252316983144
33.0,0.0425,0.9859046908382275,1.6756881129105736,0.08,0.3790361425399714,37.67062367659156,0.0575,0.4264543205195123,8.684696923445879
34.0,0.0425,0.9991851273849328,8.067266770111635,0.105,0.6110228210303897,7.547503304463289,0.0775,0.8473803491734981,31.31407505224521
35.0,0.0475,0.9867293797626857,4.423229391661002,0.1,0.6643772171138496,24.839477093770306,0.0575,0.4877811388760056,11.788087323860879
36.0,0.0475,0.9743435037258661,17.639194425709583,0.055,0.04031269635833552,15.350591236766371,0.0575,0.18633203639513746,17.427829393427107
37.0,0.08,0.9665222217829088,2.445419088650493,0.08,0.7440705996669618,12.034666801877655,0.05,0.14862592106950323,33.06289621520633
