,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.055,0.7234022478284807,2.8408409174070233,0.0475,0.8226763190085413,5.176861900808046,0.0325,0.40649928277892833,12.6594881879949
1.0,0.0525,0.1983447115450234,13.396770762434294,0.04,0.6467125419493271,31.551359211534326,0.0175,0.5521828262696911,18.96665679339774
2.0,0.03,0.152421394079107,6.851485875465643,0.035,0.8297214041756102,13.126345120157561,0.0125,0.7202797779664883,30.439256664036183
3.0,0.0225,0.381674178606982,10.53619269894963,0.025,0.741513785555799,16.443865972660028,0.0225,0.7777569012468529,18.45080266517003
4.0,0.01,0.7041047549099504,5.754978744510792,0.035,0.6676686075450696,18.18158124547018,0.01,0.7577482643628987,33.824967924797804
5.0,0.0575,0.9470124825744464,5.2760985277020644,0.04,0.9819858646181163,19.213269755201374,0.015,0.4444952027760132,20.645678931547245
6.0,0.0525,0.3205726815281949,13.133723817957033,0.0425,0.5578191408761645,1.0478174511446594,0.0175,0.6314141513399628,21.088020857792205
7.0,0.0375,0.13905708680996298,18.95740849481077,0.04,0.8084077928809437,13.31561488116199,0.0575,0.533832017750184,18.531862578308978
8.0,0.0075,0.2791193515735619,18.87289453389168,0.02,0.7684018953581828,5.3167861631586195,0.0175,0.6885289767308239,13.045100951476877
9.0,0.01,0.8280101827736918,3.497677060791338,0.0275,0.9418741021668986,9.126510015740763,0.015,0.8111544598707824,34.790813175165034
10.0,0.0025,0.6493881034337269,27.076493493226867,0.0325,0.98220507085521,23.908076787227422,0.0125,0.77579691756033,36.90069556471822
11.0,0.0075,0.33648852973813764,13.062849227762417,0.035,0.9655677958143343,10.47882290587446,0.0225,0.5964070821646178,19.69683788117067
12.0,0.0075,0.7395481078954431,3.5827300183346154,0.035,0.9757719153213629,12.982459974108716,0.0125,0.8253318588303128,35.653446934514115
13.0,0.0075,0.8804637464155785,26.139607548841404,0.0225,0.9071605622954155,22.37538339616418,0.0125,0.9466158351164299,5.730731234032515
14.0,0.005,0.9078489345037356,4.521628882264666,0.0125,0.9010399135332258,14.04621234417441,0.0125,0.9677156460590899,25.64441929933233
15.0,0.01,0.9137937166597028,32.58724067224113,0.025,0.9689764075028264,37.377135547614536,0.0075,0.9720962588202404,10.07271671103431
16.0,0.0075,0.8296529136899204,19.76746623171667,0.0125,0.8856885452401488,12.603264619668433,0.0125,0.2112268403584783,24.380159123321683
17.0,0.005,0.8654500966575046,9.891980010395464,0.02,0.9404750640991727,20.777338994297892,0.01,0.8825032778647859,47.127196041812496
18.0,0.0125,0.8506191635169302,4.367819767226101,0.025,0.8821533339381148,14.508388139629197,0.0175,0.34158970177590736,15.685687317969705
19.0,0.0075,0.7776806124258905,12.590677770076892,0.015,0.7706779621333476,32.36611365990879,0.0225,0.9744211068238746,11.257358034923673
20.0,0.0125,0.7986678103449556,3.7414290093049782,0.025,0.9646226433581473,36.70496193357178,0.015,0.9911831050650178,14.842892824526409
21.0,0.0225,0.8515892026052947,17.442347055196578,0.04,0.9905171007315534,18.232384174726302,0.05,0.9232169679575115,7.3966657594425875
22.0,0.0175,0.7615245197723189,11.574727356588673,0.0225,0.9575772559390097,3.9519529612993995,0.025,0.932676183283873,37.92014477400095
23.0,0.0075,0.8242978740928292,20.28587061512408,0.015,0.8834351484345744,12.859456273496743,0.0175,0.17572114425735774,13.596420544443738
24.0,0.0075,0.7943101835967267,25.501684999535826,0.03,0.9857269081881612,14.84551159220505,0.0075,0.7369385392620245,8.948787506160215
25.0,0.0075,0.6025954257123015,10.205361752071184,0.025,0.9565324907690879,19.883197281034942,0.0175,0.7576204877818841,2.42329340924282
26.0,0.0025,0.7158625550337316,1.9707608571692288,0.0075,0.7445362936311016,35.29198570502781,0.0175,0.9758970435033277,22.50272806720728
27.0,0.0075,0.5899281733616666,6.537356074722651,0.035,0.9700029370934363,10.653901802620656,0.0175,0.4323635312475697,7.526702146355346
28.0,0.0575,0.9765518342029104,5.614426727779272,0.0525,0.9923534660669648,14.27278477236404,0.015,0.8562207912878289,31.72638226945952
29.0,0.0525,0.44756321413492206,4.638634220039032,0.0325,0.9440821296184627,24.967864630494407,0.0125,0.4520865758671256,30.695822226915265
30.0,0.0675,0.6636921991225886,9.255954422812922,0.0375,0.9730863611156084,16.773832023230323,0.0175,0.7919433587655714,27.457835393181128
31.0,0.05,0.22235013331286801,2.5138456173679264,0.025,0.9606655164760187,37.429839683851455,0.0075,0.9371542892961371,17.39413432163174
32.0,0.0325,0.17138597835698913,15.101705603031627,0.0275,0.9494514568925978,12.242468950940324,0.015,0.9121315115936997,17.20188659081536
33.0,0.02,0.13792994912836168,14.107374303866164,0.0325,0.9837518961258963,36.281343269456976,0.025,0.979930008701848,17.094898104334952
34.0,0.0575,0.6634228390629265,14.314793619199673,0.04,0.9698838249225846,11.197764599896725,0.0125,0.3285883787400083,16.72666248025448
35.0,0.0475,0.1259522144411949,9.103975211151422,0.0375,0.969789170291098,16.05214829642795,0.05,0.9216341810707693,3.6767659725173667
36.0,0.0125,0.5234569878753101,42.163515825948934,0.045,0.9894942838753648,32.59499768600592,0.0525,0.9164372771369871,39.70666824030458
37.0,0.01,0.9050550496062117,2.941817982461734,0.03,0.9772159385563728,30.303910459636654,0.0125,0.8066464223401056,30.055692542224367
38.0,0.0075,0.804120456849162,2.303466334365751,0.02,0.9511269460436068,27.8502184416231,0.0075,0.9398098718760396,16.35480383522122
39.0,0.0075,0.5120576561944141,3.9700794227357967,0.0225,0.9241316890162217,2.0473999404368564,0.0225,0.5356572963455395,21.097887817443596
40.0,0.0075,0.6747329112185001,10.696059039981572,0.035,0.8083185386799723,51.28649718149287,0.0125,0.7108003335973098,32.30047329752254
41.0,0.0075,0.834148810545292,7.434951375307525,0.03,0.8889679009461336,11.515529326038678,0.015,0.7263463823137327,29.71521294417989
42.0,0.0075,0.8276748283680191,8.612758182407248,0.0325,0.8446970605320898,17.113545714239883,0.0125,0.9564819566476284,12.418367511582984
