,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.9781781120690268,4.218694836856421,0.0075,0.6710288486361566,10.479637935342286,0.0525,0.9192083053978273,17.52965478079163
1.0,0.0075,0.9569856453486083,9.025132213944094,0.03,0.9211565386242111,4.635741341146144,0.02,0.8372049487419405,27.575785763383095
2.0,0.0075,0.91354793485109,13.231410355749917,0.02,0.8552070373886493,12.059828516076308,0.0075,0.8483338319606302,6.860845494834521
3.0,0.0075,0.83465677488543,2.6886507080012785,0.0225,0.7474167484759898,19.94856671323026,0.0075,0.7282468566302048,12.37935333350142
4.0,0.0075,0.8475864512148772,9.456842975772782,0.0575,0.9201111388306901,30.09751837727905,0.0925,0.9258619694013113,25.061819879030885
5.0,0.0075,0.9348315210270008,11.509593966537988,0.055,0.8399351854991822,15.747116184741767,0.0175,0.8814010445567921,26.583252469423456
6.0,0.005,0.9133770523107759,19.30135136456502,0.05,0.8974956969571012,30.708745575209242,0.0125,0.845713319338706,26.703240433896482
7.0,0.0075,0.8751917747250396,21.03511627335,0.02,0.9128145842303171,16.01824604408548,0.0075,0.7772903370928347,17.73691380875276
8.0,0.0075,0.8687038498912469,33.68776659367687,0.015,0.8172022369208308,27.097642821784206,0.0075,0.7861317791167856,30.490113878569865
9.0,0.0025,0.2544158042421576,7.179320023839151,0.0275,0.5872389721961334,13.414669271987002,0.0125,0.5804555628263922,4.727046178290245
10.0,0.0075,0.6181687223029199,0.6298222934939496,0.0375,0.8349540573378699,1.576992620710188,0.0175,0.729622766493879,35.74127828061897
11.0,0.0125,0.9718605141061223,6.728537161071908,0.0375,0.8090205822970962,25.20388868425117,0.01,0.5022842813292828,28.156007567620502
12.0,0.0075,0.8764547268986551,15.978005529392421,0.0125,0.21480713527419865,13.065987518375465,0.0075,0.9273596021605273,8.342313056507292
13.0,0.0025,0.6122613996453029,23.851193652530284,0.015,0.5904676549784942,8.81005786163717,0.0075,0.9506472717980532,16.274094723064902
14.0,0.0025,-0.1058654800525001,22.018255196008354,0.0175,0.7478180897395315,18.161912630482384,0.0025,0.9920251787943296,1.9842305214705067
15.0,0.0025,0.47437926290969784,9.342248819377733,0.0275,0.887436967289857,12.297029491134982,0.015,0.9398933395839352,33.43948636811139
16.0,0.0075,0.4171725990472346,10.388991088190435,0.04,0.9577385921479054,8.965836450494107,0.0075,0.9893617829001053,20.168283762079234
17.0,0.0975,0.998903575904373,3.3467631167495675,0.035,0.883517952710013,23.032511170753782,0.0175,0.6200238935339909,19.88859533778954
18.0,0.0675,0.9957803439487238,10.661064997618242,0.0375,0.5003626737744461,7.880340707952743,0.015,0.5229768281882655,13.008306826415852
19.0,0.0525,0.9965586036653619,6.570402241862041,0.035,0.9178036832457964,22.83836992925204,0.015,0.8922789041925593,17.261867615539625
20.0,0.0525,0.9966406019832037,3.589656669065354,0.0275,0.9147345235521749,19.818428817895747,0.0175,0.9933195564453219,6.895894321695958
21.0,0.045,0.9935996722809527,31.933158817332618,0.0675,0.8306106820013772,14.545897391462239,0.0875,0.8837348361546663,23.391540056191676
22.0,0.0275,0.9952177711899863,6.771511252172351,0.0325,0.8994900140807995,24.551804797451602,0.02,0.9438147213521869,14.145206687500036
23.0,0.0275,0.9907675906453481,8.954802085679269,0.035,0.903505147784583,20.848616381212732,0.015,0.9929570031306069,16.179723578089323
24.0,0.0225,0.9883078762345633,11.927890051107566,0.03,0.9210488763203665,27.359540191485326,0.0125,0.9888845486579874,35.67218079793487
25.0,0.0175,0.962432521209094,1.7846496824118807,0.0325,0.8961415209136453,9.5184236425907,0.0075,0.9853272589273016,19.6133325199323
26.0,0.0175,0.9558648720426716,5.389440452665534,0.0425,0.9369630057740546,8.658894712507742,0.0125,0.9640574751321773,16.014220606624917
27.0,0.015,0.9731698937516529,19.76970180317433,0.075,0.8713220944446801,8.157520826743692,0.025,0.8385472385482505,19.91924859231437
28.0,0.015,0.9709445928746011,3.082532516063321,0.06,0.9331071001571126,17.165845451931137,0.0175,0.9652702283040722,11.288400809708756
29.0,0.0125,0.8530466477190387,11.11171050913423,0.0275,0.8497936207691528,2.321228829716116,0.0175,0.9974960575033297,30.083362975104023
30.0,0.0975,0.9992921914199782,6.603045020074902,0.0275,0.879669226232083,13.094244916147277,0.0175,0.9868678559660777,17.772745625861074
31.0,0.065,0.9983956040678008,2.7420972790051286,0.055,0.7932569168241591,6.414130056565348,0.0125,0.8042393739264335,30.651653713093182
32.0,0.0475,0.9963185073246349,19.47245078319588,0.05,0.9029463543607475,15.174885559201503,0.0125,0.8891807840151316,36.37495328921776
