,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.960519980709042,38.855275490040064,0.05,0.9575690930907907,25.970813514404462,0.045,0.8973178207885283,39.683519560051494
1.0,0.0025,0.376011615871474,10.675833813993624,0.0225,0.9261577651534163,6.520721991569371,0.0225,0.9541001580460633,56.46676191475425
2.0,0.0025,0.7788316924043686,12.471341028083751,0.02,0.9411117852095986,10.407036412479595,0.015,0.5310270147364966,23.70877764230761
3.0,0.005,0.6833067678620772,13.753027751347634,0.0125,0.7952292111032593,6.270678623780039,0.0075,0.9209928063260882,15.682520554342652
4.0,0.0075,0.12678970577818144,25.211759460489883,0.015,0.7460219591796989,25.533829368484554,0.035,0.024965192155528563,42.64012424800988
5.0,0.0025,0.6534582401642032,0.9853398102129795,0.015,0.9178061721863134,10.285787364083331,0.0075,0.8939303741951461,21.608779256042006
6.0,0.0025,0.7870509365686871,7.263038862438581,0.0175,0.9388456218844916,9.581488058431374,0.025,0.8535890508459438,36.208727662549755
7.0,0.0025,0.431808716545214,22.459612602790266,0.0125,0.8158207533807595,19.560041592475745,0.0125,0.5874229312729063,23.084765925557022
8.0,0.0025,0.6881206600310987,45.94888262202454,0.015,0.915563892218891,19.302405018400865,0.0275,0.4978340223598197,23.953167996953496
9.0,0.0025,0.45514787761003217,13.240506369997862,0.015,0.8859268374352693,1.9759666221017782,0.0275,0.08524847907309921,36.86053288701394
10.0,0.0025,0.1507731155241253,0.4226805430526449,0.0175,0.917464376532112,28.274134081071818,0.0275,0.9623264368723191,16.500190704875845
11.0,0.0025,0.6935340874693108,11.735146760975558,0.015,0.8978625167341191,13.234743037269126,0.0175,0.7838210683062223,36.550396415138174
12.0,0.0025,0.7263023315018124,18.586346870340826,0.0125,0.8704570422540425,8.00954524302824,0.0025,0.5508028709183844,10.383047893849914
13.0,0.07,0.9997155051688469,7.951681722728264,0.06,0.9932664899938652,14.285935076292942,0.0325,-0.002121139086578106,46.68648783064225
14.0,0.025,0.9994202487765765,65.08416264891758,0.02,0.951053953726983,27.50492533096249,0.0075,0.6459377583807716,6.3253128283466005
15.0,0.0625,0.9769079377295993,8.725969615683201,0.0675,0.8776005462946097,28.369598423490835,0.03,0.9545166746844793,14.85759769219781
16.0,0.0425,0.9581199517592118,40.281079902548385,0.03,0.740656617300542,10.593356864120606,0.0125,0.7035944369473546,35.2382544129506
17.0,0.0075,0.8339958100130631,7.02502672115545,0.075,0.9926077318613766,10.817240078737855,0.065,0.9190598168975898,10.358046979058946
18.0,0.0075,0.8444184709669458,18.312379459186353,0.0525,0.960271386472438,17.320944427882875,0.05,0.7439607237820577,34.4527632847885
19.0,0.0075,0.727988569092627,13.736084245937521,0.015,0.7347307171421822,18.547070991957263,0.0075,0.8739838791325496,25.93057291201291
20.0,0.0075,0.6253531507499508,8.068207299423094,0.0125,0.7966492578435798,11.883977960794684,0.0125,-0.024458723667667576,20.57354369437516
21.0,0.0075,0.1605352617732997,5.596102199290351,0.0175,0.5454191400554522,19.143624324703655,0.0025,0.5015986912009115,13.739652318447586
22.0,0.0075,0.44720675452358133,9.553263642402234,0.0175,0.6635729064063988,21.754208807064664,0.0325,0.29008364401961395,37.459126426722406
23.0,0.0025,0.8128400534712105,1.2888719522376146,0.015,0.8779902184201359,17.428024862765728,0.0075,0.26655017270876474,9.314068190071215
24.0,0.0125,0.6790014001875864,17.278027668171305,0.03,0.6596965497059938,17.809166729085874,0.025,0.8949367576364768,17.22408016486231
25.0,0.0075,0.7954058983126485,11.039385779847699,0.0225,0.8159096111488551,7.367808280403548,0.015,0.572675541635956,23.368370850364926
26.0,0.0525,0.9589804032690469,17.59371821007411,0.0775,0.9263607207432687,6.351378906589513,0.025,0.059658443709922765,18.3410932263141
27.0,0.0975,0.9972676774713822,17.67989477816981,0.05,0.8038346872867962,7.188058290478196,0.035,0.26758499531610913,31.85261004734439
28.0,0.025,0.9949083395576357,27.436498088644967,0.05,0.702338230878443,13.889032601136375,0.0125,0.45352671972760583,13.011515806962917
29.0,0.0175,0.992992973333144,4.018458434638336,0.05,0.7873558090008517,5.368318501599557,0.0275,0.6383979635726608,16.277250120868672
30.0,0.0175,0.9902405785955782,1.2941250277710035,0.045,0.5982511512281746,25.992578499408957,0.02,0.4471403174387262,18.88409920505235
31.0,0.0175,0.9935112991271854,35.97673188564376,0.0575,0.768583660616049,22.345011669363597,0.0375,0.32512504879350973,17.847755517003733
32.0,0.0075,0.41007987895930975,10.343122788183972,0.05,0.6403682782922449,14.581557003178618,0.0225,0.4107786804897423,20.180546541111248
33.0,0.0075,0.3903222022390479,0.6923147657625848,0.05,0.6941896411792821,6.594140837593484,0.0275,0.6991758552811902,3.380825798774861
34.0,0.005,0.809993109581202,5.8943555272850015,0.045,0.8210784972290138,18.57740357848914,0.0225,0.5224212383553338,33.34891131996676
35.0,0.0025,0.4986065760790908,12.941913093923251,0.035,0.6886622121065856,18.99606667426194,0.015,0.42016163658436106,40.315964467619025
36.0,0.0075,0.937781564383138,29.496232535275094,0.075,0.9843168275669124,30.755829447256954,0.0675,0.8268154710435628,46.506631887607845
37.0,0.0025,0.715706823502195,20.52988768541766,0.0225,0.8996711172347824,6.144119956385521,0.0075,0.8513714859311705,9.608563288223396
