,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.1,0.9974175255084108,19.0588611876731,0.055,0.976053656265803,21.480769482999854,0.03,0.9939298208087394,10.35265212382425
1.0,0.0925,0.9957863165640742,19.889590731833813,0.05,0.9841188077185626,18.703746554059766,0.0225,0.9820625984719568,23.20802644004475
2.0,0.0925,0.9955027623803383,12.808516403049335,0.075,0.9748570492680652,21.57259773245959,0.0275,0.8405091867251498,17.644063206014046
3.0,0.0925,0.9942972172997159,9.579212698823197,0.045,0.9809450750549429,7.249112096915956,0.0225,0.9081473162421999,29.56264512019215
4.0,0.0625,0.994235973148309,27.82441597222253,0.0475,0.9768117584992151,27.07739184005217,0.0325,0.9939568962920494,2.0385485466433235
5.0,0.1025,0.9875941032665727,0.8423376215117019,0.095,0.9043163174026264,11.934416099796719,0.035,0.7393836788399172,41.026960389827856
6.0,0.1075,0.9958484286416478,19.877346636519825,0.0675,0.9708193208530683,16.547883887631855,0.0275,0.9748981303854077,39.81763520292213
7.0,0.0925,0.9952943509874089,3.8299058504506482,0.055,0.9764341519297295,24.25596653845964,0.0425,0.9957966737126085,26.175874877816455
8.0,0.1,0.9951013355554114,8.203749322315701,0.06,0.963763614260387,47.21991438608378,0.025,0.9859152621242565,18.31822094857695
9.0,0.1225,0.9930776727495921,8.06267531513316,0.0575,0.966258892770977,19.33772670813049,0.03,0.9703865312381569,5.168229555217984
10.0,0.09,0.9907142406796212,15.002735844206455,0.055,0.9906912650168406,19.820440121331405,0.03,0.9940903465033136,24.278596624187152
11.0,0.02,0.976316515283468,21.905788043570414,0.0475,0.9969611535160356,19.178587067010834,0.0275,0.9972594654398281,56.839720355268575
12.0,0.0075,0.9989605389296925,18.46336723349348,0.0525,0.9997815461224796,12.08568624132861,0.0175,0.9981535547505225,87.05392194415808
13.0,0.0025,0.9980897896568928,26.13860419138266,0.04,0.9998907319754101,33.20126483994827,0.02,0.9984274249658502,52.249542818562205
14.0,0.0025,0.9971873737951825,16.676981965292516,0.045,0.999647251558274,5.7858870781310925,0.0425,0.9994076685088876,17.992353136731715
15.0,0.0025,0.9987724958391117,14.156731735352253,0.0475,0.9995000257327616,11.31933310936055,0.035,0.9987760019974083,21.608815424840962
16.0,0.0025,0.9992262063339498,41.9082789592914,0.05,0.9995464720786633,35.455197705639215,0.0175,0.9984150436738886,36.487514986476356
17.0,0.0075,0.997296843069017,8.045766264938493,0.0275,0.9989543078888211,8.575169682542082,0.035,0.9998373137933239,36.05781320805513
18.0,0.0075,0.9989126673844623,29.622283082080205,0.02,0.9995868578118408,42.31176770631397,0.005,0.9232278924201857,30.777844434394865
19.0,0.0025,0.9881440309925097,8.692736513241135,0.0025,0.9445288306839816,19.165957874103874,0.0075,0.9581543297191079,27.637427337227045
20.0,0.0025,0.8951792076392664,5.041511398050309,0.035,0.9222616248564146,6.22072355162304,0.0625,0.9581505433963481,15.986722863881953
21.0,0.0025,0.9940269057185793,21.123146949467163,0.07,0.808463245874461,6.481135477054262,0.0325,0.7642312563399772,7.284656939659932
