,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.075,0.9961120704290046,22.917686282039014,0.0475,0.9928863118846123,15.50928586418873,0.0275,0.9972755231546392,24.509098704511235
1.0,0.025,0.9869012006708278,7.605580064682291,0.0175,0.9264770379828661,14.326798542068062,0.03,0.9772333250046827,33.451149311768724
2.0,0.0825,0.9990957754260412,3.175143878678962,0.065,0.9684918948093351,15.230320715433542,0.0375,0.6003990235953093,0.22884190211577118
3.0,0.1,0.9982484524629814,7.666255454852642,0.0475,0.9872130738454987,31.629105241764634,0.0275,0.850022896114547,19.990899004828666
4.0,0.1125,0.9993601588660342,4.483907907643242,0.065,0.9913759953029763,14.010172376598272,0.0175,0.8749755777089655,41.859035903831334
5.0,0.1175,0.9985843832060425,11.55179449522134,0.0625,0.9929388658512062,10.889371742939352,0.02,0.9911528664084565,46.47290204816927
6.0,0.0425,0.9933192672228965,4.038615523413554,0.0975,0.8901852892541925,18.93622614392332,0.0775,0.8467890145886263,19.86502152872454
7.0,0.0425,0.9942201823134393,8.01986622488303,0.0825,0.4427155658404611,23.646715246219905,0.03,0.4051265424968124,28.241846410178116
8.0,0.02,0.9849944026585344,19.358468855701023,0.035,0.7861861881096422,14.67508946962224,0.0375,0.7913657038363417,9.074873350312503
9.0,0.0525,0.9899295170146877,7.15442957267622,0.065,0.833019698332129,5.062052568229626,0.0375,0.43045972464478915,31.823408257289604
10.0,0.095,0.9961539831248362,14.221664625889014,0.07,0.312878721912122,13.279761428156725,0.0325,0.620193114764849,24.648162402110056
11.0,0.0875,0.9955078525784083,10.581740911484909,0.075,0.30647359225163784,17.770794814695673,0.0275,0.4468085467094073,17.5222512634644
12.0,0.045,0.9892767578487617,4.119651582504227,0.0525,0.46826120051550546,35.0860521629099,0.0225,0.5004943270251676,33.925147136150926
13.0,0.0425,0.9935395227297099,3.77917572982103,0.035,0.4818352050498174,10.718310340552996,0.0325,0.5813767769406425,13.980655270790585
14.0,0.0375,0.994565179619452,2.588277920798313,0.025,0.588053187631132,17.19843183663102,0.0225,0.7926386195375157,27.41022146232456
15.0,0.075,0.994069996504922,7.286502494737878,0.1125,0.8406064723454362,24.23211148567402,0.065,0.8652863843010304,31.222387345900792
16.0,0.065,0.9960904166956337,27.443604874080435,0.0675,0.43631286666234886,11.598235766637481,0.0175,-0.07643752319875624,22.887040370086456
17.0,0.0625,0.9974712323411611,20.60825660171694,0.06,-0.02245072840588767,3.220700982845401,0.025,0.7075166167198653,26.99029377629198
18.0,0.09,0.9976754192553003,1.4103199035921308,0.06,0.33658935172305376,12.380154325856287,0.0325,0.35928601697468904,10.38320794794608
19.0,0.0925,0.9934913798862605,12.05241575537151,0.06,0.9663087039730082,16.449832680037023,0.0225,0.3991441754307796,36.532531150180624
20.0,0.06,0.9924605314667444,4.286952476138062,0.0625,0.9854885009343274,33.488750161401015,0.0225,0.9044310629903956,13.312902088916577
21.0,0.05,0.9926225865823349,13.312115748231928,0.0575,0.9942388409691506,24.35156667452511,0.0225,0.993664692773011,24.73990458917077
22.0,0.0175,0.9848089574466932,17.199238264106317,0.025,0.8819407515958105,5.497562140105787,0.04,0.8067413294541181,24.874075976164626
23.0,0.0075,0.9825243248887428,11.005499837773334,0.02,0.8077893855063419,8.112941201252273,0.04,0.9975711319827767,6.400697543251022
24.0,0.01,0.9909780276044625,7.510950019169089,0.0925,0.9957436441288093,21.835170921198966,0.0625,0.9979327093285153,19.66537947693957
25.0,0.0075,0.9796653320517298,23.7936838004911,0.0475,0.9727819350693834,9.926079318274907,0.035,0.6750693559953825,7.984947065510315
26.0,0.0025,0.16725121580988575,2.453031089136583,0.04,0.9215179059645087,33.634231455233675,0.03,0.7833084791416368,16.629519801140084
27.0,0.0925,0.9960959454554159,11.683393808487931,0.07,0.9660171155641567,13.477886117160851,0.035,0.5770875434372776,25.479599308469304
