,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.04,0.9988393883800721,5.992613934657685,0.025,0.8941907417875081,41.63711349744932,0.0125,0.9984399724745223,15.421005034395034
1.0,0.0225,0.9966476915005453,11.410697666274324,0.04,0.7796115098977032,26.263211198931455,0.0125,0.7849148182864735,13.07158387761696
2.0,0.0175,0.9936589748718853,6.052268321052292,0.0375,0.8988512496816388,9.944622528210193,0.0125,0.8885443835402065,34.797019596921174
3.0,0.015,0.9959266318172763,3.5843096465659388,0.0175,0.6045869643660653,26.827963435774134,0.0025,0.9855037394908291,25.952253928682246
4.0,0.0125,0.9894421694318378,17.406215199038147,0.0225,0.7175138790609339,0.9368538997556796,0.0075,0.8635132316534986,7.267066634526216
5.0,0.0125,0.9553191548068024,12.784686385682068,0.055,0.9009650852544894,13.06716462992651,0.0125,0.7959674407026005,11.201189661875233
6.0,0.0125,0.9572334907245947,7.641041654967575,0.0475,0.9018762556763495,21.16054184546045,0.0125,0.8442792194012434,22.15412785676289
7.0,0.01,0.9309092169537189,2.381288671261916,0.02,0.8028200263752592,24.650210083874875,0.0075,0.8897417701017406,47.53749651573017
8.0,0.0375,0.9953409326300489,11.849686644018806,0.045,0.7981083282928463,10.23658940169758,0.065,0.9082546194518463,41.26128495551573
9.0,0.025,0.9987971430784713,15.036855452317324,0.045,0.8727194939469638,6.084220306480207,0.055,0.9733708271206307,31.37898082815553
10.0,0.0225,0.9977507260352971,3.060001684926499,0.03,0.8979145342954239,21.76821152594574,0.0075,0.8440217788580215,24.21301377295963
11.0,0.0175,0.9968411147991494,6.832561701919398,0.0125,0.4201777277322919,5.514729459674305,0.015,0.2556824456151026,32.067196931026686
12.0,0.0125,0.9966958367388044,9.668800496970867,0.0125,0.7580646190182422,10.776168791083197,0.0075,0.6193084932340658,17.770178378777246
13.0,0.0125,0.992479217918709,2.9112590010948516,0.01,0.27746319781142625,9.720552160669236,0.0025,0.961637438165873,22.614689014821966
14.0,0.0075,0.9906762951538303,9.489175542785423,0.0075,0.21466245573814588,1.6759107920035765,0.0025,0.997399702968734,25.962294917295058
15.0,0.0075,0.9869163540465843,9.539604783378735,0.0075,0.1508886159141831,2.296676724438789,0.0025,0.9988724446667695,6.830983924292368
16.0,0.0075,0.9743015838755615,2.7797454486623563,0.02,0.9061818408304935,26.311096811877643,0.0025,0.9700028195426678,20.24631253360652
17.0,0.0375,0.9994391062177866,12.40287336308452,0.03,0.9649842663527678,20.123006077792507,0.0125,0.983149014259302,15.38728231131561
18.0,0.025,0.999653723389937,7.371356395828883,0.0425,0.9786243869736441,12.035549090288667,0.0175,0.965498147406541,13.411778408344956
19.0,0.0175,0.9983556323803868,30.62574105544748,0.0525,0.9572127648183228,13.9379444407253,0.02,0.9404089360782468,17.315810673665624
20.0,0.0375,0.9989533252368819,8.609125820904385,0.0525,0.9630161832315461,19.75853403630635,0.015,0.9847218678690054,28.329788751432687
21.0,0.0225,0.99862115418124,5.459510630601056,0.015,0.8652969748110656,0.27771045682113166,0.0075,0.9225564680147357,13.487341739825192
22.0,0.04,0.9990171633730232,10.946618717497056,0.02,0.9035956749924158,44.649987472616516,0.0125,0.932180492892131,35.2549876623347
23.0,0.025,0.999442715060272,7.351917468982158,0.045,0.9430648088934505,7.912459312957687,0.0075,0.9874553169006124,22.88149529582497
24.0,0.015,0.994374769407565,48.52348856358891,0.0275,0.9515123321284511,23.227934482492778,0.0025,0.9995433825373472,24.735294456360517
25.0,0.0075,0.9565400444515609,23.410793978836942,0.0075,0.28706043254678776,10.220969822491607,0.0025,0.9944513479768411,27.61565855531584
