,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0125,0.9999287400878311,12.415106480523248,0.0075,0.9308563800345223,12.282584721970816,0.0125,0.8606810985162883,6.396771642317085
1.0,0.025,0.9999996560125772,11.547776658438849,0.015,0.9806177429541519,13.236412294044017,0.0175,0.9663675088199014,26.23949482266791
2.0,0.0275,0.9999774459033233,9.71104197218992,0.03,0.9658397876065483,8.290972869331155,0.015,0.9014959176323992,54.59315877851378
3.0,0.0825,0.9999004217263486,7.870327698922203,0.0475,0.9820042153663406,18.13252742842447,0.02,0.8416407904053178,20.808952045071585
4.0,0.055,0.9998121014148227,13.835479098919885,0.0425,0.9517999709841335,12.608849814345678,0.0075,0.4528688400610856,11.765453872165285
5.0,0.045,0.9997528112435559,7.975116738917042,0.0325,0.9299157376588922,10.796044131863159,0.0075,0.6944255754316567,25.918850352968484
6.0,0.0325,0.9999156591094662,17.08606289797467,0.0175,0.7368101953833497,31.901390123421073,0.0125,0.6868540378735548,23.770435383703937
7.0,0.01,0.9981345630788312,24.754805167469286,0.035,0.9150787596568201,8.942363070307849,0.0225,0.8886598655526186,26.374588633116232
8.0,0.0025,0.9808117418307819,5.141072314910166,0.0225,0.6980889310465548,9.0340843592076,0.015,0.6803437874289803,19.85855617329292
9.0,0.0025,0.9442782785684701,49.43051674515161,0.0175,0.5447828295964823,6.277908608219232,0.0225,0.9700624852148999,11.56645210167313
10.0,0.0025,0.9711432580581024,7.930217859900014,0.0175,0.7307913770216633,14.865576312381155,0.02,0.7924596103500642,44.170810569448015
11.0,0.0075,0.9960965631071649,0.0,0.0925,0.9937217577636709,15.192802778492826,0.08,0.9944483302687231,12.852461216271964
12.0,0.01,0.9998290224841611,34.45193064738793,0.055,0.9947985338437441,27.930622793774052,0.0525,0.9981723361168602,22.568722528719952
13.0,0.0025,0.9903949442114371,25.605808916893224,0.01,0.9662141530168369,22.72963492634434,0.025,0.985580906017057,19.726289456247162
14.0,0.0025,0.9992368677822394,5.7037561017390015,0.0225,0.9950314554771584,12.459608125203749,0.0175,0.9544309737724389,22.69245253486849
15.0,0.0025,0.9740613346253779,12.337482394298139,0.015,0.9854943446608264,19.71664168369617,0.0225,0.9203380339117034,13.725223985172324
16.0,0.0025,0.9474925411987214,35.95469649757814,0.0075,0.9298093260807019,29.344958720394274,0.015,0.5043398289266915,28.11993462692451
17.0,0.0025,0.9843927060405648,12.38606551604962,0.01,0.9910180509012363,24.340299897678968,0.0175,0.9471247946890481,28.177106134879786
18.0,0.0025,0.9869486723167927,6.047273071867824,0.015,0.9777225630578951,6.837473704496654,0.0225,0.9714049189626861,21.566649872740015
19.0,0.0175,0.9999205111205592,4.413733753184679,0.0275,0.9845140581003258,1.2165918817823957,0.015,0.6092748546470568,7.720437057945611
20.0,0.0975,0.9998695609458532,19.328518741739323,0.05,0.9745686504101988,14.444773365288299,0.0125,0.48210504366463697,29.00510590610684
21.0,0.0575,0.9999081049849916,29.097470688767388,0.0325,0.8654777853787702,26.41362698294424,0.0075,0.5347973950926534,24.03565428818275
