,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0675,0.9993960204557217,8.525625624813474,0.075,0.8538178234690023,35.10608973602228,0.0375,0.7552850419655336,12.331376359187345
1.0,0.035,0.9954824990963683,17.288375495396274,0.0225,0.9415214483606789,18.049579809039443,0.0275,0.930539819739229,35.1885543759095
2.0,0.0175,0.9928284651989201,2.9306376188270677,0.0175,0.9842089916620671,22.853326329318193,0.02,0.8210522100676898,37.70207418025544
3.0,0.015,0.9846126847629717,20.856286081356508,0.0125,0.9937212795557584,9.108948359411311,0.0125,0.6031482545811141,23.71194198557714
4.0,0.0125,0.9673254343236759,16.179988056092885,0.0125,0.7521082666027303,21.723735913800958,0.0175,0.7551856336581663,16.574645657609818
5.0,0.065,0.9992568246876907,5.7508542333407675,0.035,0.9933581670299346,15.80564048379898,0.0325,0.36105566691321495,7.059097497481335
6.0,0.0625,0.9983415931992553,30.504063729549795,0.0925,0.9355915872322045,5.4441502490764755,0.0375,0.7065451222175415,14.243989160001751
7.0,0.0175,0.9878207987904726,8.530589215631204,0.085,0.8516181786223014,18.01180336820365,0.0625,0.9537564856974372,7.409661937980328
8.0,0.0175,0.9862027712616174,9.510142080779506,0.0275,0.9149685352845988,17.874530885976416,0.0175,0.944526603689108,37.676942650423754
9.0,0.0125,0.9554779544975202,23.923117667487823,0.0475,0.9653565005800291,11.565674554976075,0.0175,0.41675125384187334,43.53503157259542
10.0,0.0075,0.7591439216871764,23.96426888229194,0.035,0.9514417143780457,30.667330661301314,0.0125,0.3399825713186229,21.480204725789662
11.0,0.0125,0.970282956300465,22.79594221935715,0.0125,0.8780413777687917,6.708990635147266,0.0225,0.9709086761429386,25.26059184481837
12.0,0.0175,0.9496951770680983,8.601830983576908,0.0725,0.9933147141876638,17.502600636068596,0.0575,0.9980968459146421,6.810373689754741
13.0,0.0275,0.9750045831316344,20.701802574612366,0.0475,0.989729542298171,24.294161683330064,0.0475,0.9774776623471811,36.44845974985334
14.0,0.07,0.9990728071556457,10.12942878489212,0.0325,0.9884409684175472,14.02095962990363,0.035,0.6414151924850631,10.185644249388625
15.0,0.0375,0.9987066000495322,27.75791076876117,0.0425,0.6829001782391065,19.806644458282182,0.0275,0.8216162765568731,31.226704293700248
16.0,0.01,0.9704424147175779,23.943979095994948,0.0225,0.818525408351782,13.551755333689329,0.02,0.5697880832578084,10.67281272719872
17.0,0.0075,0.8834768322195446,2.5522458925570706,0.0325,0.669661905700349,27.091035555035905,0.0175,0.6070215746675487,34.71226861688494
18.0,0.0125,0.9448500438127994,22.238126198468766,0.085,0.8009884255471121,7.958376046427369,0.0225,0.6693222764261539,19.74563632346906
19.0,0.07,0.9990913035046508,0.3825976242328659,0.065,0.8699614030734046,15.217872176157247,0.0175,0.5669401033714704,3.7959134736925537
20.0,0.0675,0.9995000131355013,14.662301696727713,0.02,0.7554330791915584,19.294118329252623,0.0225,0.9346635919731927,10.635673260041651
21.0,0.0125,0.9838379939088044,9.384358295507372,0.0875,0.9767760806598252,31.618855582442936,0.065,0.9261593554103894,16.258663399301653
22.0,0.0125,0.9795768967869709,13.093014607748113,0.04,0.8536835998799887,17.73348644861944,0.0275,0.7833009154160836,26.997116560972643
23.0,0.0075,0.902170160771128,14.338159318914359,0.035,0.8544977542033613,20.805558014960592,0.0125,0.8373515230442656,34.4452288033769
24.0,0.035,0.9939465193365713,10.508847125498775,0.0375,0.8879449719143796,27.17702241009713,0.0125,0.9510537015416556,8.251759664129805
25.0,0.075,0.9993247421367141,10.756341731987003,0.045,0.9625472450660076,30.289114237660456,0.0225,0.97450402027703,19.694532544437035
26.0,0.025,0.9940737157233085,39.325846877441364,0.04,0.9365416101081039,10.679685528828802,0.0225,0.7332969187792465,8.543479052898933
27.0,0.0075,0.9650672098092113,11.796474704263385,0.04,0.9559061142383833,14.146697866037272,0.0175,0.824226886747526,28.544318274594282
28.0,0.0675,0.9997240164812607,5.286385823744731,0.0425,0.9825487953083603,17.69758347132065,0.0375,0.532129226071614,5.778561269827536
29.0,0.0375,0.9965883244384557,19.75722602801463,0.0625,0.8074191743384029,17.995980524150934,0.03,0.787202461496046,22.57008828878298
30.0,0.015,0.9908026862638454,16.664501822830303,0.025,0.9791157012529272,22.06779165777401,0.0325,0.4195197628956051,22.242161718550406
31.0,0.015,0.9791150894222607,11.89749249457973,0.0725,0.7017171526530355,54.44743832821082,0.02,0.6444137651236809,31.475599644974935
32.0,0.0125,0.9677891239864298,23.756341981149916,0.075,0.7986313118986548,19.78529595694352,0.015,0.456572689291162,18.86830424617954
33.0,0.0575,0.998707299066093,23.25552487991439,0.0475,0.8990212449538205,6.771524929680023,0.02,0.5922634019404904,12.77280601894762
34.0,0.0675,0.9985031805308776,19.996812242292123,0.0425,0.7880497339778402,21.635704968219187,0.035,0.9128032697327758,33.44541537724333
35.0,0.0175,0.9859956517864001,8.963345936492665,0.0825,0.9795246999046944,11.53627311318618,0.0575,0.9917517263560226,9.822545370689062
36.0,0.0175,0.9896642373990705,16.784103073764296,0.03,0.9582140261193972,9.433589816207927,0.03,0.9696295226530885,56.129703632749504
37.0,0.0125,0.9803616828043363,28.22746857469475,0.03,0.6465172132514275,12.273514217219468,0.015,0.5663658321505175,27.795291701397854
38.0,0.0175,0.9663586933318601,8.988122243558495,0.0375,0.8086881815658877,8.778952052378614,0.01,0.7451430397150314,30.717714820298884
39.0,0.07,0.9991767429569014,40.333648977669355,0.045,0.9923699137494059,33.49178192527252,0.035,0.9151682197227616,35.48318411133397
40.0,0.03,0.9931822584113902,23.962244342351497,0.035,0.9929525410174932,16.566118424340917,0.015,0.8618743112784107,20.648802210923613
41.0,0.015,0.990037157755337,5.345714667485639,0.03,0.994869004188521,45.49361981047137,0.0225,0.8334931337702798,34.30649573553166
42.0,0.0125,0.9856501531493194,7.856116287334116,0.0225,0.9727409822659934,38.014189483691986,0.02,0.9695507982327746,2.8674354535357733
43.0,0.0075,0.9267572478799404,29.186522261899846,0.0125,0.867258664536135,26.673759855946525,0.0225,0.946000776450146,33.24367194457945
44.0,0.0125,0.9729934013488516,5.852256661877568,0.0275,0.9118284958242105,23.34333901904737,0.01,0.8620899027131412,28.41354720698118
45.0,0.02,0.9387640278171581,0.8645891382676335,0.0525,0.8285318583740027,19.612298101049742,0.0125,0.6555506807365561,22.23018108940356
46.0,0.0775,0.9987327392148944,18.280885627445326,0.055,0.8512565408333905,9.464669247189171,0.025,0.7103438724124758,24.515972929126303
47.0,0.065,0.9963383013063211,1.886969125791572,0.055,0.848744955603876,20.73279086509838,0.0175,0.7403299812043714,21.83226716182987
48.0,0.0725,0.9993796221281995,14.949157849498336,0.0225,0.8247169458530231,38.75945119497417,0.02,0.974365234105275,15.861735609537728
49.0,0.0225,0.9928673147225411,12.343913073988595,0.075,0.9816543801260449,21.83141837167472,0.0575,0.9969792039459308,8.29893553879553
50.0,0.015,0.9887645690342461,20.673576848636394,0.0325,0.9031752578194576,20.52385032619819,0.035,0.8436165017163091,17.92719462758835
51.0,0.0075,0.9637594497116492,10.656658204864245,0.035,0.8972144873965815,58.06256139736229,0.0125,0.9671621842365287,17.327834773799747
52.0,0.01,0.940480591184174,7.074949883270513,0.0375,0.9480920382924904,4.823476720612839,0.01,0.6688447395929644,22.054337218301967
53.0,0.0675,0.9992865729845182,26.697837762368128,0.04,0.9897078811398341,26.92331765938325,0.0375,0.9231088594300103,24.915654176198796
54.0,0.03,0.9909522323527754,12.821090167913532,0.0225,0.8475630064313225,2.472005999647298,0.02,0.5515461052065761,28.448926636450494
55.0,0.015,0.9883264680412207,30.075550144775036,0.0725,0.7968548133529877,25.690946711619652,0.02,0.8202634133856186,30.12805746650157
56.0,0.0675,0.9995465736725953,1.8944838550866647,0.035,0.9948905986370491,13.385233994948146,0.04,0.7321965960121801,18.36996635740904
57.0,0.0525,0.9978330762405587,35.47822875130855,0.0175,0.981819341024858,10.273209852145783,0.0425,0.7538220370911722,17.73898399155906
58.0,0.0175,0.9883464765247325,19.185489377701682,0.02,0.8807408277175862,4.288490425400955,0.04,0.7201982708303494,23.93546406664087
59.0,0.015,0.9883223850660348,4.926723784836219,0.04,0.8818960675713008,30.146857002429073,0.015,0.7208860705319875,25.731538693668938
60.0,0.0125,0.9784503023733936,66.75811929454325,0.0175,0.9947363139797308,25.96975522258554,0.015,0.8710910619727117,9.407295550763896
61.0,0.06,0.9994830652698309,10.8182265371882,0.0425,0.9986696137462969,16.96253763987456,0.0075,0.8133484006422018,21.2897107369195
62.0,0.07,0.9988763510884114,38.70240515458966,0.0375,0.9891950165165535,9.004751248354339,0.035,0.910952906014649,22.773592990942646
63.0,0.0175,0.9877956817791714,4.684489104884965,0.08,0.9973050956833107,14.738325026195993,0.0575,0.9968485928443672,23.59709475698255
64.0,0.02,0.9888381597239124,6.463172077254756,0.0475,0.9226903522706258,10.740697707564662,0.0375,0.9745385519152822,36.769515651912144
65.0,0.0125,0.9791204517767477,8.398932346776606,0.0425,0.7567095648294762,3.2152561131680093,0.015,0.7996313262035027,19.28374571637987
66.0,0.0075,0.8222612483094655,26.975526306395846,0.0525,0.7234788690705958,9.298368991971767,0.0125,0.5579974924029892,25.55027543091382
67.0,0.07,0.9996818280259233,15.793537351584492,0.0625,0.9027081348215903,20.117293639489958,0.0275,0.9547802657704206,8.969149322257898
68.0,0.0275,0.9906331196984852,10.037708634936951,0.075,0.530936783502679,11.45102669889971,0.0525,0.8365195249692714,27.71633989998751
69.0,0.01,0.9638308554861673,10.225592961609136,0.065,0.8849974850967907,23.118009184149034,0.055,0.9634161201460468,45.055678643901246
70.0,0.0075,0.9625329027551356,10.85044640397183,0.0325,0.44615538643095043,11.126261554700658,0.025,0.12902378631935443,27.978963025746847
71.0,0.0075,0.893171186351871,18.87399170860681,0.0275,0.8250155228034384,4.78255353770061,0.0275,0.5750544329785974,18.960512583324203
72.0,0.005,0.7541959686015137,19.649242111325478,0.0375,0.862160489210686,25.668034419634026,0.0225,0.6081407341486738,47.16816427312903
73.0,0.0025,0.6706618042141639,11.995303251419116,0.015,0.6581171157348992,12.74697518635837,0.0175,0.4270930214138088,9.457942727388618
74.0,0.0125,0.9305081968760149,14.987309632130438,0.0325,0.8969812774597115,2.808131704227412,0.0225,0.11009861133067021,20.88765495415023
75.0,0.0075,0.7172687219839725,10.506755974909993,0.03,0.9298974244372965,8.320527839576048,0.0075,0.11623977548018426,16.224670016770947
76.0,0.0075,0.5319046711780948,13.300413657849132,0.085,0.7265879707376516,10.691431396715894,0.02,0.30079504010362296,10.007827882674826
77.0,0.0075,0.8597180870139534,0.0,0.05,0.8026044372425722,14.90209472033543,0.03,0.032850009832983376,20.57519317343255
78.0,0.0075,0.9761042876675,17.12840743495324,0.035,0.9168196582144614,11.497771089089818,0.02,-0.030461353924040327,24.97836273846247
79.0,0.0075,0.8745738817154742,19.254735018502764,0.04,0.7396785103458992,5.5735046188793,0.0175,0.28124938394330523,13.689877698172413
80.0,0.0075,0.7377991120288458,8.008849919341309,0.035,0.7115453820574652,12.774527185325383,0.015,0.45368486426338334,23.66585600744218
81.0,0.0125,0.960598011183256,18.052999220986674,0.0475,0.9506589812399365,11.661297131639046,0.015,0.2728129301485589,59.088827309075455
82.0,0.0075,0.8690873860330206,9.426043922424707,0.0475,0.9530066539829246,15.967162469014118,0.0125,0.7707122574397476,19.638405802881202
83.0,0.01,0.951613442276343,15.097123884832879,0.045,0.9638365992718522,24.599771261731227,0.025,0.6721886705435874,27.192194403401825
84.0,0.065,0.9994394132536716,4.420431738484193,0.045,0.9716928176023476,22.127424651156502,0.0375,0.8846732480372966,4.102107215520703
85.0,0.0575,0.9979907486622926,25.40830991786222,0.0475,0.8708862436087319,4.034864450331077,0.0375,0.9144859926771863,24.77600131064326
86.0,0.0175,0.983444088070962,3.234113559472014,0.0375,0.7521459878608097,22.460860418789537,0.02,0.7614167087517585,7.413568943171103
87.0,0.015,0.9868055072424078,10.072376427890319,0.025,0.9564601063939329,48.838352143781165,0.0175,0.5066938488754938,15.25673925353531
88.0,0.0125,0.9480810353286058,30.873693377955217,0.0225,0.6683219537669237,7.7263826290976585,0.015,0.7441881518476051,8.950048720696401
89.0,0.06,0.9962397057769607,18.093116487772186,0.05,0.7529392901997585,8.936993663783113,0.0125,0.583158405617849,18.603987710738597
90.0,0.0675,0.9988189033181887,16.134965130568634,0.04,0.7472379580948241,6.900406940812502,0.0375,0.8173237979216443,24.42418481225242
91.0,0.025,0.9928313296632135,23.849839823829058,0.0725,0.9146981712249237,14.197718606582368,0.0625,0.9739005124951003,10.131370399147968
92.0,0.02,0.9888945905183342,21.33298850346185,0.0475,0.905223547311404,33.54651509080027,0.045,0.9784925178680407,23.014883733361362
93.0,0.0125,0.970176963473079,13.183421044378845,0.035,0.7602781695434463,17.578527960906044,0.015,0.7272739509398329,36.9783952870989
94.0,0.0075,0.9031101317303881,20.463108513298952,0.0075,0.6915082313028654,29.5999203156883,0.0125,0.714446176437263,14.41760004957805
95.0,0.0675,0.9995815019610725,12.478148619871805,0.035,0.9937301022728718,34.69149025104122,0.035,0.8932467274640465,26.02936326132998
96.0,0.035,0.993835342817074,15.73777106191403,0.0125,0.9842148561630144,9.950414260878162,0.02,0.7573923416240819,30.767088199193815
97.0,0.015,0.9917538265892568,13.976287019977976,0.0175,0.9870549543920192,10.533708244445956,0.02,0.8219085549186373,34.8661878976704
98.0,0.015,0.9891958855508954,17.944963025732,0.0125,0.9980004156007928,7.977576577283929,0.0125,0.9792695585182016,17.09721696187039
99.0,0.0075,0.9358203016521691,23.717202951135583,0.02,0.9990987170096312,4.865787844656316,0.025,0.9745191662400475,45.50868614008696
100.0,0.0075,0.8422103136766531,0.08661067439194114,0.02,0.9995231893961561,22.053167642015833,0.0075,0.9778061888302322,10.668948908919402
101.0,0.0125,0.9518221298959025,22.802522334927403,0.0175,0.9995735529474153,11.676878212553488,0.0125,0.9984553206474737,22.15838209743287
102.0,0.07,0.9995116381478455,8.835627186082553,0.04,0.996382724151757,21.79491389436279,0.0325,0.9273490621656472,19.202196254291362
103.0,0.0525,0.9961397160779547,0.3607862374982266,0.04,0.9962515165235125,33.572833890322514,0.0125,0.9013900807533473,43.574244486442595
104.0,0.0725,0.9994274359705869,10.634846049732031,0.0475,0.9989057338234668,13.637448715655456,0.0275,0.9544960267494069,36.02125941972036
105.0,0.0325,0.9967471283212156,21.89329181073477,0.08,0.9990063533058036,14.787997920849998,0.0575,0.9979999935138699,8.389043078217181
106.0,0.015,0.9821790800948539,11.958503311490684,0.045,0.9997296796475414,5.644312005347912,0.0475,0.9901756662584398,26.09225069199702
107.0,0.0075,0.818661335259826,23.069992405350032,0.045,0.9999195041660219,25.44320057146046,0.015,0.9908284327319847,19.22280386721583
108.0,0.0025,0.981640913522377,33.193087691898775,0.015,0.9998046237143665,23.570388099957306,0.0075,0.9987163030211964,9.260831880771734
