,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0525,0.9842030149635244,0.9809184101206501,0.035,0.9627781279064922,19.115359808922257,0.0225,0.988357728211837,33.13310691727615
1.0,0.0525,0.9841203882070335,16.63042653684898,0.0625,0.9569900981832701,20.781415305488885,0.0125,0.9578826302635827,24.86002414067967
2.0,0.0525,0.9678678392243036,44.80429609775685,0.06,0.9912387911940072,25.095642737588136,0.04,0.9990549194952282,9.925205310980795
3.0,0.0075,0.6240904337335746,8.296354236630236,0.0725,0.9880535026651671,27.48171150387723,0.0875,0.9703365032274619,14.949079337377064
4.0,0.0075,0.9461307376143976,10.86746623545815,0.0325,0.989824567526362,30.10076322689246,0.0625,0.9933100261979272,8.972888896745332
5.0,0.005,0.8338522460228935,29.55473501104408,0.0275,0.9920810213005318,17.16662802400958,0.0275,0.9894050881035514,22.500997960822207
6.0,0.0025,0.8966005585187135,10.251425419989804,0.015,0.9842502909052718,3.691997476764923,0.015,0.9805917022000297,13.386135120026594
7.0,0.0025,0.9572185739966815,15.17162001607118,0.0175,0.9885904042072251,17.735634666776757,0.02,0.9894264450001531,11.035080833278242
8.0,0.0025,0.9639206491786872,12.555186418500812,0.0425,0.999022268588938,13.021092161008667,0.035,0.994961063637031,18.878567983488388
9.0,0.0025,0.9613567175524677,52.937219567467224,0.0325,0.9977657126148274,15.55468191266504,0.04,0.9992032399660179,12.460655730547225
10.0,0.0025,0.9817707037152785,15.803203561461146,0.0275,0.9939411219843464,4.508881265227644,0.04,0.9988828903730941,4.919187013062437
11.0,0.1125,0.9975409893117932,2.7676788902282583,0.0625,0.9714176711420464,25.412495343067377,0.0325,0.9875831879387286,27.788370581700885
12.0,0.0925,0.9926947639872388,18.633331293122133,0.06,0.9960036036860473,33.22995451565631,0.02,0.9968635029671747,13.994234901297029
13.0,0.02,0.9906064578084035,19.794172400877503,0.0425,0.9952511859457895,7.8493451186218035,0.025,0.998636326400187,19.156407788497532
14.0,0.0075,0.6502474869173531,8.507364504347223,0.035,0.9964162690782213,19.4559006169156,0.0225,0.9995578427066482,6.5787464052992926
15.0,0.0025,0.7370658799321735,14.604845254173641,0.06,0.9988954706983578,4.956037946512519,0.0325,0.9997658820903561,7.289805926322833
16.0,0.0025,0.8697304295042128,5.923378964768809,0.045,0.9986934036677784,30.70405153828498,0.0225,0.9729565692810551,29.734915669314038
17.0,0.0025,0.9442808142611967,17.427348020338606,0.05,0.9977905920808448,10.616468403357581,0.0225,0.9913533744490476,5.974826932921507
18.0,0.0025,0.9699971593306147,18.82173981319133,0.04,0.9959254394060625,23.695829609063157,0.03,0.9980187468848171,16.27122004178386
19.0,0.0075,0.9108732595559206,6.099419551132649,0.0825,0.9742102807524973,13.442471967601218,0.095,0.9798863816229674,23.87755542601554
20.0,0.0075,0.9728815501383467,27.535422006271347,0.0525,0.993994380385641,30.266843099892636,0.035,0.99987173650934,12.733545182677101
21.0,0.0025,0.9657656400547007,5.376493123902327,0.03,0.9964851876987156,8.79432640425099,0.04,0.9993542007925292,13.274654815704622
22.0,0.0025,0.9356273796483111,9.993228692203326,0.0275,0.9946887709067765,20.25698171707658,0.04,0.9983579286829082,23.219868152603272
23.0,0.0025,0.9578486982867491,15.589020588172106,0.0575,0.9983218772390985,12.20394843313202,0.0275,0.9948055409753759,36.91085209294623
24.0,0.0025,0.9679288943774157,10.622133218572214,0.0525,0.9986480031912652,35.471883830208164,0.0325,0.9998093238698724,8.244867986251142
25.0,0.0025,0.9786745850303689,47.826475416927366,0.05,0.9976087915055962,11.487202901378637,0.03,0.999221919678092,22.691329369961906
26.0,0.0025,0.9710496705186009,24.844925585371122,0.02,0.9734413094158944,14.329069605894135,0.01,0.9779016145957256,16.33897586272541
27.0,0.1125,0.9960456711354677,14.286479883168418,0.0625,0.9671776192825536,8.174853941860476,0.0375,0.9950737630503137,19.516406684796625
28.0,0.04,0.9921934909550406,19.169573836461552,0.035,0.9973472314791713,35.667013973114365,0.035,0.999999986064903,43.17014852201572
29.0,0.0125,0.9644903984513091,23.134004615421322,0.03,0.9938229908153421,24.395013585043998,0.04,0.9998371395514719,21.98505086062771
30.0,0.0025,0.45582075640664654,8.290901511337127,0.0125,0.9685940309798337,33.88301539911626,0.02,0.965246400056917,9.850533809156582
31.0,0.0025,0.8463118385520618,11.701848107813571,0.0275,0.998737980702817,16.86755372353906,0.0475,0.9999418721301981,23.603008292359743
32.0,0.0025,0.9571674764385552,0.0,0.025,0.9920952165682767,11.099700789997382,0.025,0.9912591227990306,34.89493098263062
33.0,0.0025,0.9733810477680327,6.7012028316192795,0.05,0.9982801754672574,4.871045455070285,0.0225,0.998365752212985,9.580086924606187
34.0,0.0075,0.917471804480388,19.467572577443704,0.085,0.993061851121903,16.35906967583264,0.0975,0.9888062476165349,18.30721127494755
35.0,0.0075,0.9579111233597276,12.93945810038948,0.0425,0.9896062250618676,23.20056083257012,0.0675,0.9813196638142275,34.18793910809586
36.0,0.0025,0.9720897010403424,36.69053102059266,0.035,0.9840345640896593,12.772585742725198,0.0225,0.9817061944866198,18.814918436039818
37.0,0.0025,0.9812257176204745,8.34749729977025,0.0575,0.9987701606760885,18.76440112604864,0.0275,0.9995443205678627,31.68660596694831
38.0,0.0025,0.9707357981370874,25.50686951962463,0.0425,0.9959006364275554,15.889770888023296,0.0325,0.9996678820567677,44.81621213500594
39.0,0.0025,0.9846646937648372,5.590336186178924,0.02,0.9847682408369745,2.6919877899184073,0.015,0.9822182752183313,20.06636187119977
40.0,0.0025,0.9835011697552,8.717357030260228,0.0425,0.9970022809252087,26.32588387000585,0.0175,0.998107525332064,32.00284904220087
41.0,0.0025,0.9745385893301244,32.27165989452754,0.035,0.9930878950222911,10.36555074173271,0.0175,0.9978111039305895,14.307190615993918
42.0,0.1125,0.9983665724422873,2.4978378463560302,0.0775,0.9776024288136334,28.040602495866672,0.02,0.9932533847256028,31.519294841670273
43.0,0.0975,0.969439337823826,15.437249299131642,0.06,0.9763565536142647,19.27016269833957,0.025,0.9986188617143205,13.551361594020035
44.0,0.055,0.9767480567759046,2.8121757149335607,0.06,0.980991165976144,13.1370906490814,0.03,0.9875772450482555,20.51019522934321
45.0,0.05,0.9816323832472424,39.28119790415527,0.06,0.9809161470798359,9.45262717496232,0.02,0.9912495911133586,15.999754170480468
46.0,0.0075,0.7316469897235066,19.749812443218154,0.0325,0.9942226990437061,11.821494789560754,0.0275,0.9992081627452176,22.52170324078118
47.0,0.08,0.974575542137682,2.305512354894962,0.0425,0.9481721388242792,15.749952550368114,0.035,0.9918390655791136,22.780740872731382
48.0,0.0675,0.9738406429695902,2.081767218789885,0.04,0.8987025328284213,11.545539960711066,0.015,0.9840657858015703,4.86777267663014
49.0,0.0675,0.9742277053509499,8.740898511622989,0.0475,0.9490911423154286,34.80564260251105,0.0175,0.998333408006528,38.77821867935023
50.0,0.065,0.9686884711825716,32.8581759491492,0.0725,0.9787634676839663,13.067028933154617,0.085,0.9831779286451104,21.292807939608835
51.0,0.01,0.9452120880998506,14.164290717163121,0.0475,0.9919136726846577,9.791707463020822,0.035,0.9957948065983839,11.424791037856517
52.0,0.005,0.7320754406086629,5.892035034557356,0.035,0.9960461804646324,15.680109558184219,0.0425,0.9992763961559911,32.47290394424451
