,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0475,0.9843461584646357,45.2391785267034,0.06,0.9874374217406198,19.018340620809486,0.0325,0.9994200466069528,11.344549311835726
1.0,0.0075,0.008644542394579081,10.318418991548166,0.0275,0.9946602849440334,14.298300539516408,0.04,0.9997992560314082,13.920820044863778
2.0,0.0075,0.89736525336404,11.238595938627382,0.0775,0.9889422561050928,36.3880987137182,0.0925,0.9845903930381713,21.494346482440584
3.0,0.005,0.8986921935400548,25.320739368785716,0.0225,0.9931695722126628,11.501804809180143,0.04,0.9973229501912791,23.176382329222736
4.0,0.0025,0.8020725288424918,6.77961844482303,0.0175,0.986080554774524,10.335442003961452,0.0175,0.9889334498318956,21.274362582019073
5.0,0.0025,0.8692712746895916,6.905689821773522,0.0175,0.9892069303264582,13.028839526246054,0.01,0.9863369792279028,5.172563979427371
6.0,0.0025,0.987325054903439,16.608627788912752,0.0375,0.9979309582569345,8.246855545711073,0.0275,0.9991020320318238,3.3190301774367166
7.0,0.0025,0.9616067263922121,7.720376325347342,0.0275,0.9982782547734571,9.875703956073012,0.035,0.9999686556728106,8.422434247071482
8.0,0.0025,0.9785072685832863,30.01391268603262,0.03,0.9944371398086261,21.821219505685914,0.0375,0.9993491362989669,13.060166389533146
9.0,0.01,0.9949798357256847,0.0,0.0425,0.9898642658152749,1.0822491600740687,0.0325,0.9974609972005548,22.379819567562915
10.0,0.1025,0.9955439788960406,19.704064567209848,0.055,0.9700935857186801,10.945551130203894,0.02,0.9885633639700888,28.63004859093532
11.0,0.0325,0.9931160428333853,18.67450710945684,0.04,0.9982596175988488,24.400364306012033,0.025,0.9986754188672271,45.46569274687443
12.0,0.0075,0.9433826714866745,16.612724652456563,0.0325,0.9943516700736567,6.131859164031487,0.0225,0.9986417578021115,26.54332217925806
13.0,0.0025,0.30472732461012025,6.833544053044641,0.02,0.9884411815404195,10.217875419956027,0.0225,0.9982655457424384,13.985974636043695
14.0,0.0025,0.8374316137091643,27.54712179035028,0.0525,0.9995415382389486,7.50754049157197,0.03,0.9997230270900909,19.579084938997365
15.0,0.0025,0.9121846402295675,6.256360510609563,0.045,0.9957642034144653,7.916734906592783,0.0175,0.9911845603810936,11.27707919622881
16.0,0.0025,0.9685254823333067,9.003665363650937,0.045,0.9976338547241924,18.43567864655258,0.0275,0.9998649346109999,24.906085167666365
17.0,0.0075,0.8462591155919428,14.31963834645541,0.075,0.9846779071937332,10.782165423717856,0.09,0.99268600623155,16.899355324943645
18.0,0.0075,0.9734236402844196,22.148404385955963,0.0475,0.9886421538219766,27.215878649119666,0.0525,0.9838847882782352,26.311463925486358
19.0,0.0075,0.983870791900856,32.011807852369934,0.035,0.9951560954642995,9.577018575569229,0.035,0.9994536354058061,13.098342252043215
20.0,0.0025,0.9518194338630813,2.3906013509086033,0.025,0.9967678722139275,13.752619351718891,0.035,0.9994466232454333,13.255286626588349
21.0,0.0025,0.9766568858791679,8.549356173568414,0.0525,0.9968097393031513,12.961065149918337,0.0275,0.9906148648755684,33.42720698343072
22.0,0.0025,0.9707940482793767,3.656470925330477,0.045,0.9992032057446172,26.845263254395483,0.0225,0.9989562228566692,6.723498749025229
23.0,0.0025,0.9851487432965496,14.717260831884529,0.0475,0.9985475805687525,30.891400219761174,0.03,0.9998535271586849,16.387243691427198
24.0,0.0025,0.9844936261872579,12.229468608788018,0.0375,0.9957827643579115,18.43711151894984,0.0275,0.9970940409806727,23.131856100986287
25.0,0.1025,0.9978487965555345,15.306919033519687,0.05,0.9631688090344993,30.480298856397606,0.0225,0.982775029088174,9.299580474452473
26.0,0.0825,0.9940938336469048,12.274406573046036,0.03,0.9897276665485283,7.518097297529529,0.035,0.9990282360309645,24.969849511102197
27.0,0.02,0.9949389212720366,35.92205869927818,0.03,0.9941497095277291,16.286415057463547,0.03,0.9996990100736144,23.8849566998776
28.0,0.0075,0.6156898426576193,19.215573053280227,0.025,0.9937686616141912,19.085854565057932,0.0375,0.9984504108065388,34.10702174141314
29.0,0.0025,0.7815180764924123,5.858639543553967,0.02,0.9942738992557252,5.358713415309606,0.045,0.9987423352390616,22.015956742800093
30.0,0.0025,0.8992220427246641,7.999890192649339,0.0225,0.9973147944816111,49.75072934659469,0.035,0.9990040758129332,31.80080979920777
31.0,0.0025,0.9641875200389937,13.946502481178186,0.0275,0.9951961695067351,1.2149331852778713,0.015,0.9815719439491375,35.046962186806546
32.0,0.0025,0.9912949620315118,3.3153443125792355,0.0475,0.9990791934828486,16.157652308811663,0.0225,0.9989964386476485,25.03945188076522
33.0,0.0075,0.9218661660926728,3.2760221147940483,0.08,0.9886620860901888,30.338833469669993,0.095,0.9960455259877204,50.12967634594986
34.0,0.0075,0.970742253077791,17.586542639448222,0.0275,0.981326137704961,36.76033756501835,0.0175,0.9512511186803605,31.84772435975987
35.0,0.0025,0.9704613353560417,8.92722782586979,0.0525,0.9982350136779751,20.69521489404348,0.0225,0.9990792735858547,25.3753090356534
36.0,0.0025,0.9710226234979552,5.327530439447077,0.04,0.9979141616134531,10.690436770013061,0.0275,0.9996333066594313,27.84629152156223
37.0,0.0025,0.9867003055625082,3.750209541227651,0.0225,0.9829948066731582,26.21187661558573,0.0175,0.9953958735557078,30.98739316232846
38.0,0.0025,0.9876028167932211,20.337397002751917,0.035,0.9974159788264051,17.625620399674286,0.0125,0.9970117369645647,30.43096992999784
