,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0175,0.701421516678882,10.881211501762984,0.05,0.7185372495885923,17.987912205168367,0.04,0.993856053907649,16.04587977897443
1.0,0.0075,-0.250073589746714,27.466711202762735,0.03,0.3597252372852898,14.508973368013432,0.02,0.9517631129714315,6.089697641137979
2.0,0.11,0.9912628290447649,15.382466034369724,0.0925,0.9530577181960687,10.936299888886234,0.0175,0.9012180546873554,24.099079089328402
3.0,0.08,0.9697921610402609,1.9081132224655952,0.065,0.9270371996408745,23.74899047455952,0.0175,0.967058139710239,17.370265917107723
4.0,0.065,0.8062735224344068,7.622972047037841,0.07,0.9299951754981445,14.613155883832684,0.03,0.9944142047528778,46.25578709909423
5.0,0.04,0.6652203322796303,14.473420359165965,0.0375,0.8171821680952457,3.821233356234497,0.045,0.9933776801684016,27.95985430679828
6.0,0.03,0.9225621034754027,6.426649024040753,0.0575,0.9853967340535775,11.923419554350607,0.0625,0.9981129701743252,43.30009728465499
7.0,0.0225,0.9822745710854655,25.969686632888195,0.0425,0.9918653411008009,23.10832686593704,0.04,0.9954891005022853,32.956577039819834
8.0,0.0025,0.8509599184525818,20.39663178843368,0.0125,0.7995942994416736,16.784041150271833,0.005,0.7902208119520719,14.819314782003229
9.0,0.065,0.9976534171811564,38.92787185963022,0.1175,0.9971610980064863,21.22257104072102,0.1075,0.9943709700258305,36.7725722316427
10.0,0.0675,0.9730378524792934,3.124060136441886,0.0525,0.9640257949655645,23.09947966284321,0.05,0.9859795509260288,18.807042069289942
11.0,0.055,0.8011132313512112,4.647804736360417,0.03,0.7844147663492568,32.6063275869998,0.025,0.9352632287729131,34.15378843908367
12.0,0.035,0.5325272795884202,12.989310830695356,0.05,0.9586376937903582,12.038627327601228,0.035,0.9901052381472485,21.140888192961956
13.0,0.0675,0.9645979852742845,43.874082126000744,0.07,0.881899390996863,12.756491877802961,0.0225,0.9111493907851116,25.118764511361814
14.0,0.065,0.91341713720401,32.81858283672946,0.07,0.5431735921625198,26.678125582120522,0.0125,0.43510594417006687,22.676559919975745
15.0,0.0325,0.4844803621277674,6.710597148172469,0.0925,0.569479425819501,19.278911097337893,0.0175,0.9548938323315315,25.513911628526976
16.0,0.025,0.673631622736861,22.404533692335132,0.035,0.6540447450031305,15.605540299555553,0.025,0.9951180750445777,16.621315573171223
17.0,0.1125,0.984298837373369,9.898043228723193,0.0925,0.9647561250493359,14.398404722861304,0.0175,0.9323553272059601,18.979093634289217
18.0,0.08,0.8406855190105251,22.459792410284237,0.0675,0.9156043499283976,13.673890100797921,0.02,0.9713648131025626,31.75681197037126
19.0,0.06,0.6374123015098249,12.027102903499834,0.055,0.908802986424518,17.761096137501116,0.0275,0.9973651287943773,1.827882566352184
20.0,0.04,0.911348330740308,4.109913708684215,0.0425,0.9712912360687321,3.053277325802963,0.05,0.9958894670782701,17.34728298282596
21.0,0.03,0.976389103259384,18.844353803207312,0.04,0.9905960267075604,20.09401163549912,0.0425,0.9957583188532454,10.402442913642771
22.0,0.0125,0.8866164091151297,24.048466102472595,0.0425,0.9960920232614117,62.914928657102244,0.03,0.9983420974816838,41.35253237598754
23.0,0.0025,0.9384110871887008,7.815514167910411,0.075,0.9875374841039946,9.412637394478985,0.0125,0.9465767148884018,10.732535625718455
24.0,0.0625,0.9062336049987372,5.266511382603375,0.12,0.9902634556799438,20.68948248886022,0.1,0.9939731373712969,25.58483906521203
25.0,0.0675,0.8015779503603724,17.757938107130116,0.05,0.7980602500645892,11.672735471710512,0.0375,0.9777146321495718,40.69972893061881
26.0,0.06,0.9777284135614954,26.85062693878402,0.0375,0.9060656722936079,4.762382509097731,0.0375,0.9896238114989708,11.34472510050292
27.0,0.04,0.879107619944268,24.17613887899605,0.045,0.9388605245488786,38.953799893267636,0.0325,0.9850951965749949,16.289303052568858
28.0,0.025,0.710266521490304,11.343876288794903,0.0975,0.3883923959565727,14.1534599299412,0.0275,0.9491300816153732,9.06409625415884
29.0,0.025,0.7502500963800287,8.380278166739526,0.0925,0.6903435437737502,35.15357940704847,0.0325,0.919181279531142,58.73340572713862
30.0,0.0175,0.8643938570582301,10.631848840250452,0.0775,0.6939145862349333,35.672851114746166,0.02,0.9826199296974681,57.45633843610811
31.0,0.015,0.16739537247257397,0.0,0.085,0.7289455753094155,1.9021556177798093,0.0175,0.9265892396969817,46.293647481337445
32.0,0.1075,0.981283502031459,10.168359701838646,0.0825,0.9122705558364792,15.568594001418017,0.0125,0.86347626553593,35.4197737774063
33.0,0.065,0.9840521307378713,17.79569968760405,0.0825,0.9592618189347173,18.162026775488545,0.02,0.9778158551701047,30.449136090589697
34.0,0.0525,0.855456617261429,28.857235290034666,0.0325,0.6654254632247534,4.970091830206639,0.0025,0.5957197044237962,30.469542088591087
35.0,0.03,0.6752401078167386,11.688133671612826,0.065,0.9255745704293511,6.929549258835316,0.0325,0.9974824601845791,25.48943887101113
