,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0325,0.9884360082014929,8.344474329340077,0.0525,0.870265903642241,0.06651901294890755,0.03,0.6741268823870286,40.518707934700984
1.0,0.0325,0.9963176463979686,16.83829362141639,0.05,0.667673781639258,18.10147855278258,0.045,0.6151081743721362,6.185443297803342
2.0,0.065,0.9825330427232504,5.8456126053492525,0.1025,0.9365985979762598,12.731408223913705,0.0825,0.9888744600442412,38.753346726546035
3.0,0.0475,0.9918016272983063,0.26300809718076806,0.1175,0.9633747756484103,13.05482898863483,0.0475,0.8458932632625894,36.68375372909203
4.0,0.0975,0.99357572086,15.704796015505966,0.07,0.89642417639595,17.419948184842596,0.0275,0.6185387315443924,29.277493488303094
5.0,0.0525,0.9867808468840246,34.93374058764914,0.095,0.9454326775055534,30.933806101475582,0.03,0.2359344206948553,20.314672367411358
6.0,0.07,0.9897471696220014,21.871273281876622,0.0775,0.8514139418092034,47.582082413847964,0.0275,0.22584125607472538,17.160439573653846
7.0,0.035,0.9826288657053471,19.359167070625332,0.1225,0.9631647296741124,18.194040772704536,0.0325,0.4111498976163869,15.521200732291526
8.0,0.0275,0.9943094722565815,11.037988400892985,0.0425,0.6176725520119385,4.567015719131731,0.03,0.17792388227822525,15.663806178408173
9.0,0.025,0.9959999074489755,42.73638141898937,0.06,0.7703338528004982,13.141181909077137,0.0325,0.06516445010502685,7.66536538219495
10.0,0.0675,0.9951757258224335,21.12035216038384,0.09,0.9085012568349677,14.504911821887756,0.0325,0.23711907362451357,18.854272735028687
11.0,0.035,0.9790011553774529,2.6753464803326747,0.0925,0.9242644993820167,26.711852316241874,0.0475,0.523758337527961,15.893495789651162
12.0,0.0275,0.9876645126521247,2.454231034113676,0.0875,0.9432709012100817,11.63180516188375,0.1375,0.9496876287462849,19.374707431047295
