,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.802659444511175,35.874266144551974,0.035,-0.27271400860981343,33.23924306653702,0.045,0.981852810791237,7.588974130936603
1.0,0.0025,0.6260753709641055,4.039859938151372,0.0625,0.43219143153707346,17.576603384739208,0.065,0.9887632464288989,9.444945750915156
2.0,0.0025,0.6518631997704645,2.0596751176597126,0.0825,0.8873533360957716,17.94755820323879,0.0575,0.9860585787289328,17.337741490248963
3.0,0.0075,0.534944171107426,14.767088991533058,0.0675,0.6735266273817129,13.003572648855544,0.0725,0.9905205694809314,22.08787377385069
4.0,0.0225,0.9852088755077323,13.678387323210083,0.1425,0.9246640132286676,9.814817025312943,0.0775,0.9347690999481372,25.164265666685935
5.0,0.0075,0.8683796596621041,27.21320180839229,0.11,0.8492384894835663,52.46541090797375,0.07,0.8357903835588076,14.628008460982915
6.0,0.0025,0.42205259037402504,16.7359652261321,0.08,0.7779094773411721,14.346155256498259,0.03,0.7080588618280744,21.890006346680938
7.0,0.0025,0.6312235400202593,23.942270847718223,0.045,0.4901553173044462,28.28281549867491,0.025,0.6911978724223002,19.75327638020349
8.0,0.1025,0.9999096866922903,16.65056713647286,0.12,0.9859420491565841,10.676796618071197,0.0475,0.9737925809336967,16.032632931802453
9.0,0.0675,0.9988090062072854,18.092432056086725,0.0725,0.933214881859099,13.229533965485933,0.0325,0.9853822307048088,8.870992189336002
10.0,0.0475,0.9978999869926773,7.4705033375752725,0.045,0.6034883805947073,23.892148900759015,0.05,0.9856696136040316,15.617009317934297
11.0,0.0875,0.9983825904424628,12.394496208761819,0.06,0.8471121039215485,4.139900358222899,0.0375,0.9669465592984043,23.797905055336443
12.0,0.0975,0.999132455857318,13.471758551746715,0.0675,0.9023933203496531,3.7489881687749653,0.045,0.972785151834535,14.843665928128582
