,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.9342953020916126,10.848900873410816,0.0275,0.9924434685463168,25.540915970311453,0.065,0.9845425057232275,7.205150622517068
1.0,0.0075,0.9961871074480811,0.0,0.0325,0.9927000475974382,7.981022247652895,0.0425,0.9569451054083308,42.790988186514205
2.0,0.115,0.9992531486275157,10.937279730060578,0.0825,0.9879358933766381,41.8786106619391,0.0275,0.9554851701519187,15.463399814561157
3.0,0.0425,0.9804948176695897,11.130825807034627,0.0525,0.9400077542937536,19.043885972666658,0.0225,0.9266605775046255,25.057856236221163
4.0,0.025,0.9868288439064266,14.040334505192813,0.0675,0.9479823850628215,13.305050205640917,0.0525,0.9902702903932808,16.597599841067847
5.0,0.115,0.9992203480302014,9.065534110719595,0.0725,0.991799804217715,14.231364099722697,0.0325,0.9956188890051355,11.832326089994769
6.0,0.1,0.9994622887496147,11.583543593420716,0.075,0.9766295232386829,18.737848451538078,0.03,0.9228072884624937,53.22455364986276
7.0,0.0275,0.9845844415950497,13.681629601148346,0.0225,0.9101164709064279,14.842588813899766,0.0175,0.7329631706177585,21.124457985504748
8.0,0.02,0.9777763119558301,19.064325468539593,0.1025,0.9972216253125035,25.073132287595357,0.0325,0.9726730727491731,27.03966283404972
9.0,0.065,0.9985194468946633,9.540728890923994,0.14,0.9987100530012629,23.554981589355354,0.1,0.9998014731772965,37.57963865224812
10.0,0.03,0.9929851206001991,28.112112689294506,0.065,0.9920509118932571,17.34063686708812,0.0375,0.9902861438359045,29.817213035421535
11.0,0.0075,0.6824360009767629,30.53783473776894,0.0825,0.9960062655003166,15.06402668143243,0.0425,0.9921900874204633,18.135975484241477
12.0,0.0025,0.39404382337102095,28.000592976865203,0.0325,0.9603880603782227,39.431117045443315,0.045,0.994052074443448,32.78099710644418
13.0,0.0025,0.8150138602369393,1.3600278583444037,0.0325,0.9877540157901664,9.221446401854427,0.0575,0.9960194983974875,1.8269001270884397
14.0,0.0025,0.9700365015134548,12.901607724414063,0.0475,0.9987515761611445,43.384471807724495,0.0775,0.9982773604350297,27.927820189227084
15.0,0.0025,0.9899827944872994,20.10919059860572,0.03,0.9966656039532645,10.327438272372262,0.0325,0.9807851081386558,13.959421390460937
16.0,0.115,0.9998548589080194,5.6519388967306945,0.0675,0.9988003864909464,19.18414944881294,0.02,0.9786662092732272,11.567870664290691
17.0,0.1075,0.9991166556446781,14.901521473546708,0.045,0.8868493337520718,14.669657786046034,0.015,0.7395891403728052,5.189799232660411
18.0,0.025,0.9736612682312935,7.578943156650725,0.0325,0.7043512925434658,13.358434491773627,0.0325,0.9730338706160633,18.94153085153944
19.0,0.02,0.9572824327697034,28.012083297487695,0.1025,0.9843138696708926,5.04296185152345,0.055,0.9965510859061415,22.47196028324783
20.0,0.115,0.9995778847426565,15.988235666352873,0.07,0.9950193048801939,31.069711628395424,0.015,0.9785789625607555,22.45919014334969
21.0,0.0925,0.996908990025825,14.230095788886828,0.0475,0.8987275036393377,28.53370026074255,0.0725,0.9883020818976253,29.543273857825906
22.0,0.0225,0.9801650228547583,16.262715684418257,0.0425,0.9065449759392833,20.086498884434555,0.0175,0.8172059318751649,22.906332899845616
23.0,0.02,0.9684385617053946,29.43604429477059,0.0525,0.9453623207041276,0.0,0.08,0.9945598379811804,4.560294678651891
24.0,0.065,0.9994079025732704,36.61524555688838,0.14,0.9993258112395673,18.78636366099965,0.1,0.9998625272577738,31.793124076939343
25.0,0.0175,0.9646102340702725,18.505080701902255,0.1125,0.9971042494416171,38.607548467004776,0.0425,0.9933522737385033,17.79754430599553
26.0,0.005,0.7211134516385511,20.879279369039388,0.09,0.9950243007522159,5.849145916839136,0.0375,0.9918243169151737,18.105762256589124
27.0,0.0025,0.5949817220258159,7.894060091322976,0.0475,0.9137895774408342,45.32314999206407,0.035,0.9860569601887941,24.89673406731629
28.0,0.0075,0.9875054467688369,19.99560564302267,0.065,0.997750163753824,19.873088531628884,0.0675,0.9989175496491985,11.854654673700493
29.0,0.0025,0.9421517748335747,19.138748992489443,0.0375,0.9958143323653252,8.28933317359443,0.0575,0.9942782295607885,30.504739340104447
30.0,0.0025,0.991218948979356,2.0630092737608066,0.0175,0.9638959327536423,14.838909341998253,0.0625,0.9904662377437647,49.606983591925776
31.0,0.12,0.9998947064946819,9.68183002496249,0.065,0.9834158015491459,19.693706025885454,0.03,0.8302482537340587,18.332619209859168
32.0,0.1,0.9995015500504719,32.89258624963652,0.0825,0.9580905403619915,28.409477255146903,0.03,0.7764867012248561,17.13634533772765
