,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.015,0.9742883989569564,15.52168935320218,0.045,0.640576810447368,3.994176038222835,0.03,0.08482684032970896,11.385398811599782
1.0,0.0175,0.9717491149807566,0.2442100117129654,0.1275,0.963024417317809,7.385098338662664,0.0825,0.9777166197393191,6.510848161226446
2.0,0.0375,0.9981145511738135,43.779060666446696,0.1025,0.959351598949114,11.45473358908455,0.0725,0.9428575996969832,18.58411007389173
3.0,0.0075,0.9249060129476412,11.974709344667428,0.035,0.4638995319245967,11.218916591298742,0.035,0.6348650484696176,13.59633832694481
4.0,0.0075,0.9135460793341913,22.531695809311792,0.115,0.9583429846688664,25.216021975696002,0.0575,0.926998232134585,20.003771785102288
5.0,0.0075,0.9580425698974888,0.009050127146554524,0.09,0.959346128906497,28.090363883768873,0.0675,0.955888366219592,20.917512929638832
6.0,0.0175,0.9763053442156792,3.9558504756611574,0.065,0.7794432146620383,18.824137882452142,0.0475,0.6199144143908661,12.111579673574681
7.0,0.1025,0.9980795233387423,20.14699579618979,0.07,0.8314373588938894,14.454252435626492,0.0475,0.6653059190189334,15.171328792223537
8.0,0.0775,0.997574391436237,19.335910209107237,0.0625,0.6352346801056004,22.814703586434007,0.04,0.6589758320047499,14.19131544906868
9.0,0.0425,0.9918074188286635,47.064156227368585,0.0575,0.5333925534819541,25.399407376535713,0.03,0.43831816261131296,18.643277413833662
10.0,0.04,0.996504788184881,2.958101972815818,0.06,0.9129836384881391,11.722207807944066,0.0225,0.6933466575240269,18.79905259127314
11.0,0.035,0.9972897879070245,26.393443143420082,0.1,0.9892587219973237,25.579141546455023,0.0525,0.9685172301711436,29.170035544645625
12.0,0.01,0.9167994281894752,12.03150092761007,0.05,0.9154584617783204,18.84496718464668,0.0275,0.8917018215622671,31.77944715263552
13.0,0.0475,0.9994762056576708,14.038605442162462,0.1325,0.9870181006389438,40.754980919126574,0.08,0.9634738149150177,44.65686824260953
14.0,0.0375,0.9967448833843074,6.084640170890211,0.0675,0.7907706555981923,42.191503577250074,0.0475,0.7012848939622651,34.53161479072086
15.0,0.0325,0.9969391734106141,11.820510602308385,0.07,0.8033391676619007,11.789151117809691,0.055,0.9017090958016049,37.50427265568682
16.0,0.0325,0.9970952591032276,17.653701148483943,0.1225,0.9550670895672331,11.040033731266412,0.07,0.9786177113950003,15.065627256553999
17.0,0.025,0.992805858609397,28.44865351108824,0.08,0.95698136997477,27.65373791435064,0.0425,0.974719051338846,29.122338009047407
18.0,0.0025,0.6644460961110125,21.448138275516126,0.045,0.9662624912343237,4.077943084284682,0.0175,0.8414194670443235,13.61721149940605
19.0,0.1025,0.9997455653082716,15.298734186786678,0.0775,0.9787682144040358,13.8533829316011,0.065,0.9987890921663393,10.745100464690543
20.0,0.0475,0.9955527903487561,20.728068066034233,0.05,0.9566524817556493,12.06288905208919,0.065,0.9972012649349892,18.231698343727953
21.0,0.0225,0.9978817204517354,7.5326855804912,0.0475,0.9058461124244308,20.076277613332273,0.0325,0.9443064620628923,12.16556062769457
22.0,0.0175,0.9970139117377259,14.229299636582077,0.0425,0.9596745066352736,9.712763408524289,0.04,0.821417424200497,25.966984121291116
23.0,0.01,0.9667865921124319,24.22317240929583,0.0425,0.7604084000405258,6.913224751623904,0.0375,0.6559804446165932,13.509894648142973
24.0,0.04,0.9973824308346166,5.165569239657089,0.125,0.9914563803314034,11.837422264994844,0.075,0.9813600492252168,15.924283992003298
25.0,0.0225,0.9910042346151064,17.538725238297538,0.0975,0.9628842880363432,18.221724662917616,0.0825,0.9482214568790346,19.96803965457135
26.0,0.0075,0.97145163156635,4.185214356063366,0.0675,0.9384929799431855,9.757713225730706,0.03,0.7710627491205341,52.282613295354864
27.0,0.0075,0.9704171701197156,3.101865330374563,0.08,0.8811938912279377,8.28371359594321,0.0425,0.8339985009194237,22.071360314938193
28.0,0.0075,0.9271217671095522,10.807074640999568,0.095,0.9775474265103786,24.352929569596252,0.07,0.9673777036935366,32.31752731574933
29.0,0.0075,0.9551724434147429,6.10633561856365,0.045,0.7882625109414181,14.852004212940063,0.025,0.3502724169221784,10.644582353385346
30.0,0.105,0.9999665772057524,21.609877103389238,0.0725,0.9466256457498387,9.846792103392044,0.0475,0.8877231444814232,20.256386845142274
31.0,0.06,0.9985438033213243,9.598557884215245,0.045,0.5686797706722864,25.300194442097165,0.04,0.6730019744311848,14.448911144565393
32.0,0.035,0.9961269415972909,8.899934777613147,0.0375,0.6031311491848901,14.243164921406963,0.03,0.4076276378612621,16.451515707304385
33.0,0.035,0.993158512619291,29.125917638945214,0.095,0.9744501812052846,7.484577976989563,0.0575,0.9698904505923178,1.2536006126840342
34.0,0.02,0.9861118473402393,25.271404274952772,0.0725,0.9694198875395124,18.0210203203545,0.06,0.9842876438329968,22.361587423654946
35.0,0.01,0.8925302799886773,2.310762246145234,0.1225,0.9649752760484376,11.058182692948515,0.0725,0.9642255761672419,13.15697849565481
36.0,0.04,0.9972109782237357,27.04908275043167,0.1125,0.9795538740647417,11.728368925569583,0.0825,0.9668299125241607,18.532419906293743
37.0,0.0275,0.9878691648088135,9.868865814328196,0.08,0.8385473373045863,17.124649545817185,0.0775,0.8790108646540287,23.094702294789563
38.0,0.025,0.9950719321635659,5.048294642577647,0.1075,0.9204255466828029,11.898766823641065,0.0575,0.7862366866321009,19.270316958131907
39.0,0.0275,0.9902037579633856,38.293135080974956,0.065,0.9517816705640557,27.096642560599093,0.025,0.6871917768609621,35.724980971688126
