,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.7780833713727714,5.846107930197517,0.0475,0.6802717592494174,11.38112359760843,0.045,0.9272737865905829,20.864223903798468
1.0,0.0075,0.8061358446538266,17.365847134081676,0.05,0.6842990985706179,6.316921331155792,0.025,0.8143695996563066,20.1522092166893
2.0,0.0425,0.9853415519868667,4.875894574058877,0.0425,0.5651190686913835,12.161560934817643,0.0125,0.438225114396458,17.546789047560964
3.0,0.025,0.927040719606307,38.22475734713309,0.0225,0.42868312100962624,14.732008169524978,0.0075,0.18199150283316168,21.728632382006925
4.0,0.0625,0.9818626132279149,10.240501325116398,0.0425,0.427163402137337,6.795423268523031,0.0275,0.4481135832573122,35.862486397004105
5.0,0.045,0.9893221384057491,39.89877007463277,0.0175,0.427472955147974,2.150449232383522,0.0075,0.39213814901871535,18.265706845150127
6.0,0.01,0.7714725819568256,2.2688500321836296,0.0175,0.03508289097804891,8.812206379181909,0.0125,0.4123014692503279,5.682604680636065
7.0,0.01,0.3826347145198525,21.178969522556294,0.07,0.9213807632089961,12.979772926104703,0.0175,0.778354866131488,18.2197561844462
8.0,0.0125,0.8309065706768488,16.176425400353807,0.055,0.7816112159186447,38.56552497645024,0.055,0.7922053500957679,39.120799038269695
9.0,0.01,0.8173792702531442,19.75306010113304,0.07,0.7817451604416681,8.08318174737627,0.065,0.8513037604375252,18.680500892158022
10.0,0.0075,0.7198045264854229,5.257907227153451,0.055,0.8245611313774994,12.630739502295846,0.0275,0.8566725072465383,12.858335753706648
11.0,0.0075,0.6026921635863607,16.772298683938132,0.0525,0.8995487611786728,34.257991202783586,0.0325,0.9251846349787305,23.359153854916297
12.0,0.0075,0.6924468246297542,2.5329460264280703,0.0225,0.6356551059137517,8.948468168360744,0.05,0.8713166639203622,11.972517049946703
13.0,0.0075,0.7614953628030138,8.979238073658314,0.0525,0.9152815769359575,53.208260688984986,0.0575,0.986714803756677,18.32578732635123
14.0,0.0075,0.7398136056033313,1.05970343649663,0.045,0.8124562229503677,23.780988278224143,0.035,0.9268433255376198,11.98582291228296
15.0,0.0425,0.9820643319392739,5.794346530791092,0.0625,0.9039161264735673,9.205576603055162,0.0375,0.8915451173261847,38.90785113601228
16.0,0.0225,0.9220766897229763,9.944445805414322,0.0425,0.8491438847898068,12.095869116964861,0.0475,0.9888401450032952,0.9463315142958008
17.0,0.0725,0.9555576466266028,1.2518585246604244,0.09,0.8277810464504388,15.500868955879136,0.04,0.7906585634306174,10.147213221744668
18.0,0.07,0.9224892120044913,7.418232910163073,0.0625,0.7862495557747036,23.70548854477697,0.0425,0.8959248680948209,14.961647365530526
19.0,0.07,0.914296057488321,14.17272734442044,0.0575,0.7093993039224142,12.607347935481116,0.035,0.9368751804765607,7.643088029634527
20.0,0.0625,0.9119705482113031,1.019923625354961,0.0475,0.7969090892442849,23.395009349465692,0.0375,0.9735674209032734,4.663660232131916
21.0,0.05,0.8747750212628325,11.41914207736367,0.0275,0.6325014753225466,3.3190452441258085,0.07,0.9617697403976703,22.99799756334712
22.0,0.0325,0.8314760980291803,5.894157710447377,0.045,0.9261753922159738,12.332355739376364,0.04,0.9655776158419108,13.875265030567665
23.0,0.04,0.9033883477928227,3.9891922832719273,0.07,0.9416934526787925,17.794858293274658,0.0475,0.9464316628609448,22.92624131308845
24.0,0.085,0.9644145914969233,12.50417617291088,0.0625,0.8875513078119832,6.4161101490642425,0.02,0.8574203716574165,39.13660205916264
25.0,0.0625,0.9039493702450833,7.8707470336406065,0.0675,0.9116010437284862,10.611415060374181,0.0475,0.24294123627432393,6.134983161782802
26.0,0.03,0.8463574835880799,7.239952314874504,0.1025,0.7220949026369451,16.34567929499491,0.04,0.49930040403045806,28.22063642445807
27.0,0.0175,0.7257024187092508,20.043503412705036,0.065,0.7244531672408797,15.041381471178841,0.0275,0.6343360669994089,8.502588459489854
28.0,0.01,0.4446403856102866,17.833793800738636,0.0625,0.6195107246442771,4.781190306603756,0.0225,0.6564996885399565,10.825085552836654
29.0,0.0075,0.6175864881233276,9.673085224053972,0.055,0.8824713146684433,7.544367835878141,0.0175,0.7485551112097164,12.84232057794991
30.0,0.0075,0.550861355649565,6.432106330184522,0.055,0.9075170827124978,18.621581158478506,0.025,0.8856357660670471,4.398074752395668
31.0,0.0075,0.4372437325859028,19.8675141849624,0.0475,0.9433640064354744,13.772530025236877,0.025,0.9218593890030419,12.496367471865078
32.0,0.0075,0.74964216134271,8.833160619597459,0.0375,0.8870340809071856,12.15847524331979,0.0125,0.5332205211610289,11.739822594375617
33.0,0.01,0.7682629455055987,15.248301259737747,0.0525,0.9363869079459782,19.659052344339816,0.0425,0.9107180442570626,21.70820654541999
34.0,0.0075,0.48314098995317634,25.409040345060603,0.0525,0.7552951309738776,8.07527052621003,0.0325,0.9303982460202416,11.758031958324045
35.0,0.0075,0.654843340430348,37.24297606099405,0.05,0.6568175031212754,20.333085689828557,0.0325,0.9299234776779947,10.481003885621176
36.0,0.0075,0.814058707818346,1.892491170061339,0.0425,0.7429794803354465,6.895797648903912,0.0125,0.7845559880662072,19.849199280843862
37.0,0.0425,0.9829180865701816,27.13399186822216,0.0575,0.9336763636157966,50.13616494799667,0.025,0.8954623198952091,18.252074436252364
38.0,0.0125,0.8162582437117507,24.543294341721257,0.035,0.47795016926440365,20.041953035944,0.03,0.8605052540177098,17.023573302013997
39.0,0.06,0.9819116386898197,16.785210291235455,0.0475,0.896117736125863,14.626767470750032,0.0375,0.8579851851157825,7.020621580379306
40.0,0.0125,0.8285479922922053,8.75700858167832,0.035,0.8959628982522555,13.09814144982878,0.0425,0.9496715673759101,18.638243764392758
41.0,0.01,0.47284624660144164,21.75171738628435,0.0275,0.6367301320039171,35.132322048386804,0.0325,0.8622115054662715,9.045150934781027
42.0,0.0075,0.602603056881508,11.221540777243103,0.055,0.9445754474888921,8.567688842738475,0.0175,0.8816646998448356,19.883157160237477
43.0,0.0125,0.7703431017298638,20.896448127044465,0.0775,0.7286670793118538,19.750153457920426,0.0275,-0.1872931616685358,22.59939522450097
44.0,0.0075,0.18266423816018837,20.05972191277592,0.0325,0.18919988998157336,12.0742898190645,0.0075,0.00022673472086677965,10.271637361288796
45.0,0.0075,0.45321069672932307,30.793437387216404,0.03,0.026444001663644426,24.884521402028067,0.0125,0.811933775721755,26.00280240647578
46.0,0.0075,0.14053045235536288,8.088501064754,0.0225,0.15614699297186543,11.58606305754855,0.0125,0.7800710382121199,14.437254302988725
47.0,0.0075,0.653470802710232,21.60068738078012,0.055,0.8877693454668318,40.24805515498679,0.0375,0.9331077352382857,12.366140520577297
48.0,0.01,0.7346038199985498,11.258083039568271,0.065,0.9284427632970815,6.906234191026186,0.0375,0.9365756624722245,7.074506109625553
49.0,0.0075,0.5719832584566229,21.278233132580237,0.0475,0.9214623976222178,13.086905145428156,0.025,0.9105360580202743,31.190561688050195
