,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0175,0.9617753014404757,11.956430780755731,0.0825,0.9962430619964933,27.35723175472653,0.0275,0.9976061792481127,13.053597483746696
1.0,0.0175,0.9868602421220494,8.702118371450997,0.0925,0.9939133774013458,7.769721405748246,0.0275,0.9950332975330026,15.27927577023763
2.0,0.0225,0.992303652870463,5.791867846392616,0.095,0.9951319752663316,37.95954194046786,0.0375,0.9852716589134132,26.21019595295721
3.0,0.0175,0.9832836913011097,4.793070295250265,0.08,0.9772639719185329,0.0,0.0525,0.9866406205301866,9.396258498321231
4.0,0.015,0.9937367901218103,26.985603900398498,0.105,0.9859208810711036,20.547024052567213,0.0675,0.9935556158993549,24.153654608519098
5.0,0.015,0.9971906510828451,25.943800329853246,0.0575,0.9827434295508045,6.20190306533011,0.06,0.9897880724055219,11.339105380744549
6.0,0.0225,0.9933603412574717,10.542930211163613,0.105,0.9882303068948147,6.105312685340455,0.04,0.9800967738419464,18.930332410426224
7.0,0.0225,0.9756498696841044,7.030429050377027,0.105,0.9937796905760503,6.650637121178452,0.0275,0.9668465893790649,11.635497577107403
8.0,0.02,0.9920639703997792,29.42837907172762,0.055,0.9768445476091605,11.707446002072224,0.06,0.9948405815238409,35.13885064762415
9.0,0.01,0.9622212618977029,17.73076687800834,0.065,0.9885488639542523,21.16060898803979,0.0425,0.9976722456831997,20.4200252877194
10.0,0.0075,0.957762359263442,13.660837193833238,0.0475,0.979655858214635,33.89180940459123,0.05,0.9991457999729786,23.843518980651556
11.0,0.0175,0.9980451997329339,12.826104178581161,0.1075,0.9962824195046939,37.461401310347824,0.0425,0.9983419266797272,13.925246110783284
12.0,0.0225,0.9988795136139029,10.847041262609082,0.1025,0.9874368045498777,11.793056076365218,0.0375,0.9815160260292454,8.582814743943164
13.0,0.0225,0.9886028339349869,5.601702429779923,0.0775,0.9905453468475851,18.340122047718356,0.0275,0.9840198743806912,15.12509383247684
14.0,0.0275,0.9944236229015808,26.601590861438616,0.055,0.9867251764334959,42.39820434391292,0.0425,0.9961323807264082,23.934522316475004
15.0,0.0275,0.9979556871874102,16.410356619964592,0.0925,0.9963459059715495,18.2339959512404,0.0375,0.9954258021045568,8.863973393514922
16.0,0.02,0.9834463983599443,13.325655744094968,0.1075,0.9981623703064053,26.197623492287413,0.0325,0.9976695823781921,17.487069281725873
17.0,0.0325,0.9962986868621437,1.6279927058956147,0.0575,0.9925675359443157,17.796705730935873,0.06,0.9977103418726893,19.226939132474396
18.0,0.0375,0.9943165152248477,3.0622366897012743,0.07,0.9888135095649407,4.412367781026566,0.04,0.9879596576510917,36.26087916316722
19.0,0.0325,0.9970289731036683,21.190788554282452,0.095,0.9941828704055495,17.645417569030588,0.0525,0.9918550284851696,46.092526538542494
20.0,0.0225,0.9928391899416976,48.340211917437976,0.0575,0.9843516637966517,12.360439866370449,0.0375,0.9924442845188663,11.576051276217363
21.0,0.0225,0.9920526000195069,1.2794793043517003,0.065,0.9869330559846222,3.422035477758374,0.04,0.9877152990006486,11.00238275462113
22.0,0.025,0.9928137172019733,5.254733683356747,0.09,0.9896333147373619,36.88776747236063,0.0225,0.9737853772052667,6.1266212736017795
23.0,0.0275,0.9836431205957527,4.700057728313223,0.1075,0.9972109624674832,15.009691174803612,0.04,0.9966643075784785,25.78145075981771
24.0,0.02,0.9455698385800998,5.6828974034830315,0.095,0.9953116823010623,9.826875492859516,0.0425,0.9984420764059148,39.936201839428556
25.0,0.02,0.9855292806180262,2.669807902277863,0.055,0.9878250673297168,4.5467275309084325,0.03,0.9980313059455171,27.648094304678125
26.0,0.0225,0.9936142253099894,4.996136709127915,0.0725,0.9936529221330327,1.5428209097942103,0.0525,0.9914402760150441,13.24279904667361
27.0,0.0225,0.9796074418878815,13.899237326170722,0.1075,0.9928746026720857,11.774473805893283,0.0425,0.9807034426358515,29.649871627466297
28.0,0.0175,0.989085635444298,5.225548370846966,0.1,0.9842463143273372,22.35712850737228,0.055,0.9865266041189608,17.2522225036467
29.0,0.015,0.9916470805155758,5.136417137411449,0.0525,0.9394230265255911,1.0945594963504688,0.055,0.9939044711477891,15.65086275461226
30.0,0.02,0.9977534712406778,15.051925071029617,0.065,0.9850128691354222,9.042101624194895,0.055,0.9930138499472402,8.766375476186305
31.0,0.015,0.9794230911868075,19.075260041341334,0.08,0.9851915186199616,10.605696981069354,0.06,0.9913916643102323,19.285693594727675
32.0,0.0175,0.9947470886301919,11.996920870078798,0.0725,0.9902213997664849,13.50867114555658,0.025,0.9738689641831937,11.432878813707747
33.0,0.0125,0.9874861803009656,12.629061146016387,0.0975,0.9935547581286184,11.176132896179599,0.0275,0.9921184981188209,21.358259537536533
34.0,0.0075,0.9439180855964207,14.978289588076104,0.06,0.9884481135557623,10.69229819408414,0.0725,0.9978290007554044,31.429964796137643
35.0,0.0075,0.9718168257649075,6.481166271618795,0.07,0.9869993587008558,10.947999066179593,0.065,0.9964204310586979,27.398546165583205
36.0,0.025,0.999483781148835,2.1804988660217757,0.1025,0.9932431192784482,8.857240569358439,0.0425,0.9908753576721724,23.05110974769096
37.0,0.0275,0.99678677625935,2.533229887468291,0.1,0.9932279183508281,6.495006039116412,0.0175,0.9541333496681965,10.607170928580935
38.0,0.0275,0.9973685524661702,0.9180003695384724,0.0975,0.9960479322512606,20.67236657983484,0.0175,0.9894977626803606,17.57262689826631
39.0,0.025,0.9961364554227882,10.608409745563305,0.0975,0.9960237896255628,24.741994483140996,0.035,0.996731376810993,15.740748503724124
40.0,0.025,0.9952486275407051,9.576805615614507,0.08,0.9946241151212964,8.430156904725802,0.025,0.9719861970269783,9.275008143047081
41.0,0.0175,0.9800721996573434,9.303846149973253,0.0775,0.9913850461618091,28.61029373023085,0.045,0.9983979695725171,17.575373726230232
42.0,0.0325,0.9950865712058931,13.053676858683609,0.08,0.9934569009926872,17.970918429200616,0.045,0.9976746184370368,13.971326209689801
43.0,0.0375,0.9900082663588636,2.4741960967910255,0.1,0.992274345081261,14.887006165955954,0.045,0.9846504205266274,5.668022186562486
44.0,0.03,0.9960166820542087,18.944409385057664,0.1125,0.998105604385599,20.865800203074137,0.05,0.9978033359461281,25.663189893324727
45.0,0.025,0.9851792300876024,12.199500107447147,0.0725,0.9904125020837002,18.507481736940587,0.045,0.9955838624489929,15.775695019908763
46.0,0.03,0.9969242954750688,1.8572189789656943,0.065,0.9844634900693306,9.2194724926546,0.0425,0.9922830585919195,31.661467412970094
47.0,0.0325,0.995422526949806,7.46254818446233,0.035,0.976829193070452,12.678681488801766,0.015,0.9614228925467453,13.87773077731059
