,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0575,0.9997476140512745,59.19415458724254,0.06,0.9316704399816498,5.79730542771327,0.03,0.4771017910671219,27.26726207523392
1.0,0.03,0.9966206370462568,9.047941474920817,0.055,0.8601763568200068,4.141484323451145,0.03,0.6160752606907937,11.236186499765964
2.0,0.0375,0.9992385800984634,17.59145387748252,0.0675,0.9010600546891572,25.733505966393636,0.045,0.6987542245839431,38.54344690626065
3.0,0.0525,0.9997216770931524,0.01766133444708859,0.075,0.7106369980775981,7.499911928703465,0.06,0.3215289832964005,9.91632267323557
4.0,0.0425,0.9981802760772746,14.758345041453502,0.075,0.8534112983635096,21.376591889572197,0.055,0.7638388352225939,60.52416852128591
5.0,0.04,0.9977622860270318,15.392992770347298,0.04,0.6559385002028255,20.7941194810682,0.03,0.7253220759026676,17.126824876859345
6.0,0.025,0.6566759006485657,28.639955380060513,0.1175,0.7097511927103949,16.583275662265052,0.07,0.5709670991450755,20.174441245814233
7.0,0.015,0.9612406743323422,21.32724629245103,0.06,0.7678285998639909,31.308726308852236,0.04,0.06446930437358976,17.60954212911947
8.0,0.0075,0.9777568857811678,20.22763509619129,0.0575,0.9531706740124473,19.175920291955798,0.0225,0.5956334611870696,55.19990434423643
9.0,0.0025,0.8378742023996428,30.042230518251078,0.0525,0.9768263188619746,0.0,0.0175,0.9047297047011212,3.2830081809501257
10.0,0.0075,0.9928864268917497,7.9868424450715825,0.0625,0.9884149483661288,24.335120465791988,0.0275,0.9775081255357883,15.683603344262803
11.0,0.0075,0.9993335836864179,5.7900005731628,0.0175,0.8729613382981194,31.661772967268806,0.0125,0.9642852657223723,13.317466909042533
12.0,0.0075,0.995948146065732,10.514701121636104,0.045,0.9932533894974831,9.336609649871345,0.03,0.9981667741287973,26.053735430076728
13.0,0.11,0.9999822754762762,16.346646035031863,0.0575,0.9981075067997717,11.145342176118165,0.0275,0.9973001535177612,10.43616250699436
14.0,0.0775,0.9996074307243679,36.376768352443484,0.055,0.9977672223497973,13.206133007044516,0.0175,0.9995657142647827,31.547024957486887
15.0,0.0375,0.9971177370417049,32.15246147974958,0.05,0.996793273655686,8.899277010099178,0.0175,0.9997137820530952,30.98307142632292
16.0,0.0125,0.9732843374074358,12.480686395311455,0.0275,0.9912704364843443,22.230054630295907,0.0225,0.9997421633505659,32.839656984867396
17.0,0.0675,0.9999202768430461,16.221422216351947,0.02,0.9933260390733581,10.515975978570893,0.0375,0.9999982012737996,13.287089596326844
18.0,0.0425,0.9994230320833373,11.386895693014354,0.02,0.995798316342548,7.6305581092378025,0.0275,0.9998356313533826,20.815833309574195
19.0,0.015,0.9982980382448943,25.578062513692284,0.055,0.9999119352614299,13.671677938887019,0.0225,0.99967838393994,14.484099072926453
20.0,0.025,0.3886297068659174,34.24569500471098,0.135,0.8238394408563221,12.212724986468563,0.08,0.6257623239834539,20.331944498482773
21.0,0.0475,0.996847308467979,4.851404189543515,0.055,0.8086967527426697,15.205394266688096,0.0475,0.2535825500922496,19.350119572089564
22.0,0.03,0.9999190401776568,16.277687364297535,0.0575,0.9651733243959988,32.02222993570699,0.0575,0.9052989332568486,13.457555464188298
23.0,0.0125,0.9993834172203138,8.601839709969036,0.035,0.983421587462066,13.375089337432836,0.0425,0.9765313537353385,36.95135330685997
24.0,0.0525,0.9999462326904587,40.70033190343116,0.07,0.9983954580292149,19.523877361037467,0.0375,0.9951877273030384,5.945880847753255
25.0,0.0325,0.9999848844651341,7.0789116123914395,0.03,0.9965738905714286,29.75521768979537,0.0175,0.9899127024678251,14.947864060646197
26.0,0.0175,0.9988819949024865,18.02138098979257,0.0175,0.9782994181840973,3.3905673258607494,0.0125,0.9990731366408354,6.054448640744852
27.0,0.1125,0.9999541720254974,2.2772737144693593,0.0525,0.9986553227687455,13.003253083493485,0.0225,0.9993541179324922,8.418528628655531
