,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.025,0.8170222096328724,9.08303184423767,0.1375,0.9378605076983663,17.886143686740258,0.105,0.8430815621327681,11.733635896014105
1.0,0.0175,0.7381278926120161,3.9012473110430483,0.08,0.7484024231035039,33.34893019836463,0.0425,0.7388976011977856,21.35959107192161
2.0,0.0175,0.698529608391769,8.135027230628118,0.0275,0.054571456348376554,11.061072788960724,0.0375,0.8179960989038091,12.904280151179005
3.0,0.0175,0.779115263118896,1.8235334676572348,0.025,0.1537187465711253,30.708055610582594,0.02,0.4041743895954379,28.262136088013175
4.0,0.0175,0.6243821075628112,10.201014453525572,0.0225,0.17960161690125223,12.746063821079511,0.0125,0.5060495209944038,42.44306014400539
5.0,0.015,0.7065035491437914,3.0208885637779845,0.0225,0.3046553459642153,13.50421093713951,0.02,0.6754179912065212,2.338800307927905
6.0,0.1075,0.9915653602726164,8.985942902611082,0.08,0.9700558038231846,17.47432234858881,0.035,0.9149094145812284,35.29453751404283
7.0,0.09,0.9927007870286533,22.788533391165874,0.045,0.7911236455007469,15.891833018954472,0.0175,0.7199547474164824,27.115627493711454
8.0,0.115,0.996493838866539,11.010756351670905,0.0575,0.9356366713788787,43.364786773990275,0.055,0.6519863912852354,16.76692018823775
9.0,0.09,0.9671821507955841,5.963299812066713,0.065,0.8846166134970807,15.066956379859162,0.04,0.7363430049616431,22.056432721770815
10.0,0.065,0.8951866591518348,14.558445099229173,0.07,0.9121768927343168,34.22841879017862,0.0325,0.9362325191777232,40.68825783360932
11.0,0.035,0.7784587204600691,13.012627426860695,0.03,0.4619593242296405,15.913713866831525,0.0175,0.7817486089416663,67.7285352670625
12.0,0.0275,0.6364066716896584,1.4558966314791564,0.03,0.4262141526248003,9.089812495947962,0.0225,0.916616263676283,28.331411747864497
13.0,0.0275,0.4399746414782499,7.726073456787176,0.065,0.7554351015617687,5.400320459300896,0.02,0.6511359534005641,12.787946828921816
14.0,0.0225,0.17204745762684479,20.933331793004935,0.0725,0.4402442331541959,5.5200223339559855,0.015,0.2755685036829128,18.323995640302268
15.0,0.0175,0.3941293202491426,3.9455572823929126,0.055,0.040290570474755164,31.555905524592575,0.0125,0.5326861645117793,12.518975801618302
16.0,0.0225,0.6877586410720379,25.68107138145653,0.12,0.8923295480697158,37.144910542294845,0.08,0.8361681984900914,15.131633827095648
17.0,0.02,0.20074324056581977,11.397280900053781,0.055,0.5900036982400984,40.09030631966542,0.0275,0.4525111940712258,24.739516810060405
