,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.045,0.999513128334499,4.142062754303345,0.015,0.9684420400981011,19.608448337572803,0.0125,0.545474691834861,17.234495566432123
1.0,0.0325,0.9990761784946964,6.4942729080796315,0.015,0.9985322937070873,33.59298210389457,0.0225,0.9971611394314379,95.3893562881339
2.0,0.0225,0.9990919095604706,3.9462713977462944,0.01,0.9729223791395097,19.443453302122183,0.0225,0.9780348208027303,19.81041533882406
3.0,0.02,0.9986274624750306,5.137662908237352,0.025,0.9993430515674241,19.900643028717127,0.0225,0.9999144884696453,25.982388796334142
4.0,0.0475,0.9978074488472456,7.105943351441458,0.04,0.9815434494986549,14.1671496726435,0.015,0.4845117262664297,29.424030387354843
5.0,0.0525,0.99955351491915,19.309847910051936,0.0225,0.9793381581030062,7.905778418297351,0.005,0.840581931541871,17.928230727570313
6.0,0.04,0.9989390632683397,2.95698721447029,0.0475,0.9864534750756383,4.250578767710899,0.03,0.7086730759130783,30.601236662112107
7.0,0.03,0.998886834076161,5.899110586206748,0.0325,0.9982407270882879,28.990095056294898,0.0075,0.8931820036237378,11.26561050786779
8.0,0.0225,0.9995097869382461,2.2976957617446994,0.0325,0.9986439698089403,11.344101408249962,0.0175,0.9091135821490777,15.790515215825142
9.0,0.0175,0.9995198625871887,2.2096148544158916,0.0175,0.9977680229576296,27.40696451846369,0.015,0.9981370768393942,20.022718749745682
10.0,0.015,0.9979985049024135,15.237774661220488,0.015,0.9874597999816601,8.952317620682223,0.015,0.8939837386520806,26.90081738648001
11.0,0.01,0.9950894095094737,8.065365278067683,0.0275,0.9990454790338051,18.75255146586853,0.0075,0.9927649662773181,16.14518961096849
12.0,0.0075,0.9948008338634853,12.955855539898572,0.035,0.9982534950640325,22.959981048023508,0.0125,0.8349145514171078,13.462763593292856
13.0,0.0025,0.9361674420084953,10.131025014526177,0.0325,0.9990588279030651,17.78047431652298,0.01,0.9992126956432199,30.1380930597697
14.0,0.0025,0.9936958791725857,2.7857201673375585,0.025,0.9946647503159545,36.90109250070404,0.0175,0.8037116899632049,46.57275480857952
15.0,0.0025,0.999004123682062,29.969463873429362,0.0025,0.9488501947518061,4.674858533389722,0.0025,0.96512974441831,13.096276402179276
16.0,0.0225,0.9987740636544602,12.541888847537113,0.02,0.9415682882942864,31.929155040175367,0.0175,0.6987094148774485,51.485886310146185
17.0,0.0075,0.994172937736213,16.902937342257985,0.0225,0.9983057779833879,12.58356255281106,0.015,0.9981522183504982,11.148457652094642
18.0,0.0525,0.9980021602265551,0.8362359132929414,0.04,0.9774670281774746,21.96203048827776,0.0275,0.8938087297720388,47.98210832645606
19.0,0.0475,0.998690866940929,8.403354098686842,0.0225,0.9823059107226666,4.894453134536682,0.01,0.9783803820407524,10.666783767980741
20.0,0.0375,0.9994938248732691,4.251980388780296,0.0225,0.9890588267908615,13.784873419440286,0.0175,0.5570657128319698,21.453687978556864
21.0,0.025,0.9993329561116815,6.917998270898317,0.0125,0.9889229728439259,18.051836032664653,0.0125,0.9638609399058155,13.24910689119902
22.0,0.0225,0.9963897484796193,4.021465056058231,0.0475,0.9521146231902197,9.009407297021495,0.0275,0.2674641934511643,18.212755023089265
23.0,0.02,0.9982339749319251,0.0,0.04,0.99579517642481,0.0,0.0075,0.7942111535345091,15.277850660387433
24.0,0.0525,0.9983851722455969,2.3307630167743096,0.0425,0.983741944628124,25.397529618847955,0.0125,0.8068876892743665,23.46243441176149
25.0,0.0475,0.9990191293286319,17.605623288832263,0.025,0.9909505778252764,15.223275291342727,0.0075,0.9274459673329069,23.219833310314208
26.0,0.0325,0.9992961163354451,9.926922509232067,0.025,0.9931741201473131,8.19451344786733,0.015,0.8576145039545335,14.358857535678665
27.0,0.0275,0.9994053456766591,4.013143125614672,0.0275,0.9947829685913931,20.68602862980069,0.0125,0.9522283563170847,9.30203395181336
28.0,0.0225,0.9979925327349116,5.361072487327256,0.0225,0.9769917646191792,13.072089055078502,0.0175,0.8701297272744964,20.344597132733227
29.0,0.0325,0.9955322106556693,0.027209630833781508,0.04,0.9730251663893752,13.97744005170713,0.0075,0.5518106311730364,28.740982393153697
30.0,0.0525,0.9983286886626456,31.119826390611788,0.0375,0.976731440348506,9.53915519981168,0.0175,0.8736919104061882,17.620872180086643
31.0,0.045,0.9987364470268312,4.706151991095323,0.0325,0.9673082943760563,14.482245682222988,0.0125,0.7209855815918675,16.89291264101332
32.0,0.0325,0.9981755794273712,4.638558346250222,0.025,0.9627414899609732,8.465034150033272,0.015,0.8763175987688617,18.998929746862082
33.0,0.03,0.9984129796029,28.899564443911405,0.0225,0.9702159773320824,17.975858668461797,0.0175,0.7821664662286779,34.14521015666381
34.0,0.0225,0.9968103266931134,36.647327363328365,0.0175,0.8976691020330392,15.909213021297655,0.03,0.9391911746892756,25.35646929059444
35.0,0.035,0.9934798989487332,24.230198019924693,0.0375,0.9725912175583129,37.23631665230513,0.0125,0.3987472427112745,15.79962991070653
36.0,0.055,0.9973161158446454,10.62585197161656,0.0275,0.9369648002812384,9.571626858437142,0.0125,0.3836428765548666,21.58903168162921
37.0,0.045,0.9982950771422082,6.002783139199369,0.045,0.932107729849326,28.098715777565783,0.025,0.5434258246781334,7.310471720057704
38.0,0.0325,0.996474823110841,5.916234942202933,0.0375,0.9603784996536272,13.689961421780787,0.0275,0.5494117988921288,54.59571606021577
39.0,0.025,0.9966348264417588,10.966055770584774,0.045,0.9793555092614598,20.203044542264745,0.0175,0.37918542563122853,14.814506264409896
40.0,0.0225,0.9964610728054591,7.325118259896702,0.04,0.9826622326819286,33.83150197108411,0.0125,0.4280838332540354,6.364231666910803
41.0,0.0175,0.9933827650430034,4.494127093643812,0.025,0.928139281180817,13.157581943072978,0.0175,0.8207245649864248,22.679910498137843
42.0,0.0125,0.9896509698308402,7.190219330411725,0.0425,0.9832596288168968,7.532672002221286,0.0075,0.49124867152100116,14.500433540001044
43.0,0.01,0.9742130936718072,11.89334075817351,0.03,0.9710721335457363,7.824195400864081,0.0175,0.5472693793804854,19.16019281612227
44.0,0.0075,0.9624570725994965,12.736888069467101,0.04,0.9823784514751072,11.93227864981142,0.0175,0.8630635344819978,16.992575274681787
45.0,0.0025,0.8923801516194605,16.973930014760473,0.0275,0.976787902847135,19.16355422393462,0.0175,0.5645927600688577,26.943154209277857
46.0,0.005,0.9823033008791203,13.092885284304089,0.0125,0.9400044585798002,33.16363089476767,0.0075,0.6515704336638259,19.923619989264136
47.0,0.0025,0.9658673909658547,60.76960688639196,0.015,0.9131456459563823,20.695660138157756,0.0125,0.420173589435366,18.904254628354458
48.0,0.005,0.9875617297898739,4.893658391995505,0.025,0.9896529503899052,7.854002528441372,0.0075,0.5586063574278655,9.956964974954644
49.0,0.0475,0.9972896311938518,8.348592917949674,0.03,0.9869104873813989,6.413774511773109,0.015,0.7807499290503227,15.756851836169014
50.0,0.0525,0.9987815766933658,2.401586086101382,0.0275,0.9716671678849517,10.16598526348596,0.0075,0.8707165816077697,13.901758300070648
51.0,0.045,0.9992306575458383,13.108911230612074,0.025,0.9864317463066844,13.713078349019717,0.015,0.628866668804324,21.90062866734027
52.0,0.0325,0.997344373122077,8.646617932476774,0.02,0.9918887027185047,29.002010230492022,0.0225,0.9837206610295264,12.816102822716395
53.0,0.0225,0.9986080760012613,1.9796925476257266,0.0425,0.9331633065097835,9.11340250941952,0.03,0.8341826570495506,16.664509730172053
54.0,0.02,0.9970570663281576,4.450843673628963,0.0275,0.987895350579128,13.657417995374674,0.0175,0.7355678084610416,25.131382059433214
55.0,0.0425,0.9964285620650758,6.234168915670467,0.0325,0.9788479443734334,69.57842970143165,0.015,0.5807288081069799,16.923827897774423
56.0,0.05,0.9985915343342309,15.89697177020109,0.025,0.9667536564743098,11.855809670830498,0.0125,0.9166824933334065,11.857938384198137
57.0,0.0425,0.9991865905168591,5.062766569585435,0.02,0.9852398081760463,9.858705853201158,0.02,0.9035357654873293,5.725852624272414
58.0,0.03,0.998935329551896,3.194076987303507,0.0275,0.9833484382058358,15.678743564407863,0.0125,0.967961738953301,11.137472561429009
59.0,0.025,0.9994879519911487,11.590633291618788,0.03,0.9725874061892537,13.721420261792748,0.0225,0.9221886313463252,31.226501472795984
60.0,0.0175,0.9984432863072624,6.273209434766055,0.0175,0.9520863025028792,27.287652269516364,0.0225,0.9539928123156715,19.233047212760045
61.0,0.04,0.9971080459892416,5.051495422415028,0.0425,0.9758094548060982,10.364246638749693,0.0175,0.8406425308080406,25.992943692848634
62.0,0.0525,0.9986093529468225,14.308558665330837,0.0325,0.9780673202113367,17.671266456111944,0.025,0.9764521005212524,63.06457364938295
63.0,0.0375,0.999580120786439,4.745958021681719,0.0175,0.990730035710559,22.342212469938822,0.015,0.8959820737730838,9.216584641256558
64.0,0.0275,0.9995228740283536,8.258641777290016,0.0275,0.9911103168537756,17.209971957345804,0.015,0.9955775414165058,71.38964172843438
65.0,0.025,0.9985463478748402,7.503635063969934,0.0175,0.9920547263250622,39.16815165466976,0.0275,0.9716232823724997,8.231040639095129
66.0,0.0175,0.9984565476258263,3.076188542237481,0.02,0.9919043491255071,6.936708615692582,0.0225,0.9782932000686485,40.745641948791956
67.0,0.0475,0.99788604592702,2.6508452943116945,0.045,0.983066735697709,12.956536205096935,0.015,0.8369665322273053,12.190667991631031
68.0,0.0525,0.9989971416787546,8.465005794297369,0.0275,0.9801752590283342,17.86525883377199,0.0075,0.7992728476923929,30.43410142016706
69.0,0.0425,0.9990893157358601,4.4752082453078925,0.055,0.9771670683058846,18.09682500518526,0.025,0.4217842805982554,16.31260784588801
70.0,0.0325,0.9992025455820269,14.188093983501584,0.04,0.9926984936822161,35.71424934928593,0.0125,0.8399829413868285,15.747972020928726
71.0,0.0225,0.9993809633894044,8.253995422117786,0.0375,0.9921427880352076,14.28447925617637,0.0175,0.94728771148337,24.855890719920218
72.0,0.0175,0.9991864136746006,12.103523345072087,0.0225,0.9956318718377817,20.609294105341714,0.0125,0.9930244914592227,15.406686073196585
73.0,0.015,0.9973722359904261,7.653149177206164,0.03,0.9894810245505299,11.570116687051774,0.0175,0.8667367753640445,34.30114474229442
74.0,0.0125,0.995486222115316,9.257849955774585,0.0275,0.991375434721867,5.765647479102239,0.0125,0.936206691141779,8.892684522313095
75.0,0.0075,0.9951838306678353,11.825139128479503,0.035,0.9925287916342808,12.447823020148029,0.0225,0.9378631740903077,16.152287109779277
76.0,0.005,0.947042732205356,34.348964764467105,0.0425,0.9963033373583239,27.4727123360252,0.025,0.9905928084882781,18.622102437080304
77.0,0.0025,0.9873116485909295,10.079920266377812,0.025,0.9823731855844949,15.841320529262648,0.015,0.35261562342379255,27.367925818918888
78.0,0.0025,0.997105367627624,29.218381673108436,0.0075,0.9946441191780304,9.010955454414653,0.0075,0.9956921333026274,10.725028446533818
79.0,0.0225,0.9989344731688514,17.062128556488496,0.0175,0.968164076891759,2.6287026819051573,0.015,0.3837365717471739,21.04744417094868
80.0,0.0075,0.9967208114758345,11.025487966859892,0.0225,0.99802610095919,14.222509211998236,0.0175,0.9978809865241234,12.488652370951133
81.0,0.0225,0.9993179910362942,16.5434805865459,0.015,0.9826819606435891,11.521744508499797,0.02,0.7762624939650318,36.224310487987516
82.0,0.0075,0.9971310595219687,14.149379341740724,0.0225,0.9993478636202111,6.22067249320528,0.0125,0.9971780292455183,15.016877190885436
83.0,0.0225,0.9996473827886495,20.482769017843285,0.03,0.9970409387254453,21.13377199578684,0.0175,0.8500146788045001,18.45441007583735
84.0,0.0075,0.9955066793412062,13.680507504254361,0.02,0.9974058972306983,30.322594738002387,0.0175,0.9967499112910407,29.998348348236547
85.0,0.0075,0.9946889623186769,0.1639743793433685,0.0175,0.9746989369954794,12.587461061290368,0.0325,0.9743537105695991,30.52148334670796
86.0,0.0075,0.998046505721374,27.15742913431739,0.0225,0.9991525035891481,7.391135115644546,0.0125,0.9952370743684325,3.0921299914522766
87.0,0.0025,0.9986356250390995,0.005671484348169494,0.025,0.9888159436031808,30.78848239687637,0.0125,0.6400960358490844,6.656392786970101
88.0,0.0025,0.9988735755005718,16.7788033088349,0.015,0.9988879277742704,8.255044601893003,0.0125,0.9969512943551424,29.118420894647038
89.0,0.0025,0.9980215617550363,8.586579044038874,0.025,0.9980968581737244,28.20350141225635,0.015,0.9540459744618183,30.604352481648505
90.0,0.0025,0.9975632194889715,19.366791024554782,0.0275,0.9962909991926145,13.144059196279272,0.0175,0.9758266856192195,19.77097605270744
91.0,0.0025,0.9953259409207783,11.116129521063273,0.03,0.9948150054248144,37.252627420617294,0.015,0.9282878156679651,18.127348830262026
92.0,0.0175,0.9929312604680732,1.9669812968901064,0.0275,0.9575271948889198,14.944803340141227,0.0125,0.6769180989411221,24.340254822600322
93.0,0.0525,0.9982631039690651,1.6235152743016754,0.035,0.9841557785114786,9.168909949896676,0.0175,0.7638435554897307,14.849440117215122
94.0,0.045,0.9993137474353676,7.096524790598072,0.0425,0.9913728359807649,9.240243436142636,0.0075,0.9446603597759164,36.82023498209876
95.0,0.0375,0.9977630634646667,3.4452430987974973,0.0325,0.9825821366510794,13.148499642515795,0.0175,0.9163837963943445,45.473468941274135
96.0,0.0325,0.9870165102383124,7.5143833399080275,0.0175,0.9868669650171134,21.177062827927017,0.0125,0.9994753823705635,46.13312707402226
97.0,0.0225,0.9655184552206765,3.962871371877928,0.0225,0.9365500121072552,29.05169791386153,0.0175,0.6487034944757614,8.49218930779929
98.0,0.03,0.9559827892277212,5.676048044611291,0.0375,0.877107186592254,19.41122944797134,0.015,0.9537724497263435,7.823411478448196
99.0,0.05,0.9936406917672169,21.56218232227606,0.0275,0.9521433675343162,11.413906539760745,0.0175,0.9063221418332985,27.20199828335071
100.0,0.0475,0.9971096923646954,5.840770714188452,0.0475,0.9268250843182413,21.90707393383002,0.0275,0.620865717309678,33.049055985610856
101.0,0.0375,0.998313485962703,11.07547224819211,0.0275,0.9330372092789956,9.438525619811413,0.0225,0.7075335714709233,29.540997075780922
102.0,0.0275,0.9984323118642483,14.802218927431444,0.03,0.9563188960981124,4.929364854788371,0.015,0.8121574437564874,13.63351716408574
103.0,0.0225,0.9954875113034675,17.445743171766562,0.0275,0.9401345725569401,13.508358355470067,0.0075,0.776620838240669,72.60308374666567
104.0,0.0175,0.974854202367543,15.920856510991136,0.0125,0.365163065776203,9.437970759764237,0.0175,0.6496928847720358,16.56981369664639
