,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.055,0.9432127058604911,16.546369705808846,0.0725,0.8205884686374832,26.056279071374867,0.0575,0.9160140775086069,14.388376746151874
1.0,0.0275,0.8108399348603503,10.64053210847848,0.06,0.8563492495246972,5.160336320955256,0.055,0.9793544119880647,25.332876438409958
2.0,0.0325,0.7574907950317016,7.7283099181052215,0.05,0.8690319589697051,11.048272530776675,0.0175,0.7571530592449895,8.34085692316454
3.0,0.0325,0.9741811536653326,22.0894321131414,0.0725,0.9300185579852485,8.755567252557531,0.04,0.9298807878438557,16.20946701147678
4.0,0.0325,0.9867661721410864,13.860132049548984,0.065,0.9636673487279059,10.643313223532083,0.0425,0.9832334440280812,2.5076370659257057
5.0,0.11,0.9618924398655279,5.750501326617275,0.07,0.943537063960755,18.590646071108047,0.04,0.5359717875107792,28.743599089589907
6.0,0.08,0.9173191879296588,13.091541196038712,0.0425,0.8903478216939922,35.027192983309284,0.02,0.529630347613298,31.81852736455907
7.0,0.085,0.9250775928259811,16.06294845071104,0.0375,0.909046456739457,25.980118462049685,0.0125,0.16350308701263158,19.901418045508446
8.0,0.045,0.9118470241211929,25.963013023874133,0.0325,0.9263387158922017,2.7397494656016423,0.0325,0.9195361267708837,2.1687952392293477
9.0,0.005,0.9085853745693588,25.24485226802232,0.0275,0.969270653074224,16.037271432489867,0.0575,0.9953008851318621,7.203058422265379
10.0,0.005,0.9529977414691533,21.89142475009084,0.0425,0.9721236052818414,7.196342099255467,0.0375,0.9335107357082715,17.46597452301865
11.0,0.0075,0.34022079942745487,12.489971287840323,0.08,0.9282669118504451,5.193871505594628,0.085,0.5916854732511261,21.628426391389336
12.0,0.0075,0.8405631715535243,25.262686413966094,0.095,0.887873836617685,52.61768457385066,0.0775,0.5040879088967257,19.939382232476444
13.0,0.0075,0.9872122735676243,5.838713087042857,0.0325,0.9148227715907803,28.977856211396045,0.025,0.7551234934150118,47.53179005427292
14.0,0.005,0.9595546619919382,13.951389921621963,0.025,0.9125444320561973,17.42277425343545,0.0125,0.636543215442415,16.4703718132358
15.0,0.0075,0.9216716196382646,14.703606798048472,0.045,0.9831043451572825,5.922863072943617,0.0075,0.8296284857706576,33.61952828125454
16.0,0.0025,0.7431815805424886,14.548882980893847,0.025,0.9834327065716081,23.57993658004599,0.0125,0.8291173929619627,27.21211290828091
17.0,0.0075,0.9415037570343769,5.435639628305342,0.05,0.9887226775300099,17.971060768660323,0.0225,0.914786673651548,17.565821408402442
18.0,0.0075,0.9544191945546787,9.077180916236905,0.05,0.9822824182704177,8.966577020767746,0.0325,0.949976419857568,11.137424022618506
19.0,0.0025,0.8969603362443793,17.99402044992749,0.0575,0.9733444909603816,26.79854182624606,0.04,0.8613856161694414,10.530272868217532
20.0,0.0075,0.9257688862608477,17.592320623063493,0.0625,0.9822987212530951,14.311630255326662,0.0475,0.9537480719481217,23.371022206277836
21.0,0.0925,0.9764020644555974,20.05052801035365,0.06,0.9793114857189931,3.2157714505622703,0.04,0.9795626143973477,39.25400892883786
22.0,0.105,0.9643206429815433,20.188727864267516,0.075,0.9733419205149425,32.31230765902377,0.035,0.9116613199425193,19.402654353281537
23.0,0.085,0.9322543095949373,14.006549356066568,0.05,0.9814817807519335,13.243351772950408,0.025,0.8107282082466625,20.49255791245493
24.0,0.055,0.8945104436433481,3.807870977750554,0.07,0.9976161632803707,8.70630993847772,0.0475,0.9941541402830166,45.55424970777969
25.0,0.0375,0.9061491246158168,30.98700763272148,0.085,0.8985229067429571,13.967913647801971,0.085,0.6405114125813671,19.119818047827444
26.0,0.0025,0.8312150792322395,11.174479082809725,0.0525,0.8557374274818663,16.214896340121026,0.035,0.732865106365163,19.083803505040695
27.0,0.0075,0.9504629137337914,28.85923484040887,0.0425,0.9662434519973324,19.26257258031088,0.03,0.9267733940727931,12.46383354971111
28.0,0.0025,0.8510045852018723,33.921257965906705,0.0175,0.955432784799936,11.541100417980807,0.03,0.9741663997737753,6.592948429412471
29.0,0.005,0.966194836162092,18.226132665065954,0.025,0.9547855401311164,1.1830335122816902,0.035,0.9464959440249473,18.418684850094
30.0,0.0075,0.9670604198187516,9.69045475692743,0.0825,0.9917770430293229,22.686266353105324,0.04,0.9894936623760906,1.610303962019636
31.0,0.0525,0.9906272680657844,0.12897053262256744,0.09,0.9932654018425668,25.000748026546088,0.04,0.9894881842734559,26.086960832648423
32.0,0.1175,0.9596947575679577,3.4165189369628797,0.1,0.9861655976817244,18.7573627853881,0.025,0.9503046396934902,36.77545131129274
33.0,0.0875,0.9329786485996429,7.9839108597344,0.035,0.9932460930297858,0.9859875751975149,0.015,0.8110117549629936,11.211502147579381
34.0,0.055,0.9024667127176919,1.4450096573234081,0.0675,0.9952157396345904,2.952619608406493,0.0175,0.9067543094350318,18.40100049394003
35.0,0.05,0.9140836325617684,38.75070143863619,0.0525,0.9910967608054602,9.910344828295374,0.0125,0.9020578604687063,43.67584762013585
36.0,0.005,0.8092940637456131,31.0863923524415,0.065,0.9938445737251272,23.622622448612844,0.02,0.9606756963385801,9.861663083878216
37.0,0.0025,0.4769140173070782,17.28349250321252,0.0825,0.9933222640700909,18.344046105824912,0.05,0.9304004402686226,17.229566219323488
38.0,0.0075,0.3400217717135234,21.053986343255538,0.07,0.8715365664436978,14.98097257733905,0.095,0.5209260872367856,24.726576900783833
39.0,0.0075,0.8477815672607711,5.060366179683104,0.08,0.8281141727193585,23.561810463327227,0.0675,0.44380356188009923,12.557170884877326
40.0,0.005,0.8958822882309311,31.351061949915177,0.0875,0.991154214172636,6.4194744300464315,0.0425,0.9591038393074954,24.708245651981493
41.0,0.0025,0.3455638844790844,13.760580057766314,0.075,0.992329343932268,20.297776777859337,0.045,0.9811786142496058,34.61775209392925
42.0,0.0075,0.934420777748384,17.872244648205406,0.04,0.983483133284175,2.6886674326193964,0.025,0.8768921882040124,10.283309998420503
43.0,0.0025,0.8716183916772079,19.590557008850894,0.07,0.9938817985482097,26.507583395162616,0.045,0.9909044296481975,23.640144547766827
44.0,0.0075,0.918850991719691,41.84539311568648,0.0825,0.9923526816567751,23.229907458486252,0.035,0.97758944495492,10.405324348417837
45.0,0.0025,0.8589090150368952,12.799543474217694,0.07,0.9776923510027858,21.051760637563493,0.025,0.6907296550488329,14.698928682793985
46.0,0.0075,0.9659312892394183,30.6479498603074,0.0775,0.9805444275160098,19.53713099679222,0.0325,0.5773074205272521,11.186063487847855
47.0,0.0075,0.9160506586808894,14.578639549346246,0.0575,0.9835242887598401,15.988463496579893,0.0425,0.9360178336946557,37.05479203868319
48.0,0.0925,0.9785023138664942,15.35790453789567,0.0675,0.987575369547395,41.65169512482615,0.03,0.9553101222658689,13.385072326905593
49.0,0.1225,0.9630349361195869,12.260176759255742,0.0625,0.9509492447795078,27.098660933052017,0.035,0.7410417130611551,22.431613804853704
50.0,0.0875,0.9197964933142943,7.019117523910121,0.06,0.9128795190587606,57.40221881091293,0.03,0.7304211912656026,41.31031919043772
51.0,0.075,0.882798353556923,22.216686918402097,0.0725,0.9743118060281533,6.512107030880593,0.0425,0.9809815133629971,10.036741823387844
52.0,0.0575,0.9438599484842012,20.163884435010225,0.075,0.8996077583864711,14.673743881158995,0.075,0.5502043011318108,11.832116620770183
53.0,0.0325,0.9920346673210638,10.863017238230734,0.0575,0.8576577059688691,12.714245768282375,0.045,0.7611475289548375,18.16404546849843
54.0,0.0475,0.9305656715054467,9.032494342554497,0.06,0.7658788279967236,19.556131740316754,0.0475,0.7581048652877822,35.26566179914677
55.0,0.0375,0.8963856542006957,32.65259320757167,0.0475,0.7788136406622149,4.314884519803506,0.02,0.6055024192760597,29.999269629851263
56.0,0.035,0.7959126482022302,3.211126963510268,0.07,0.9000125431944963,8.046754106600279,0.0375,0.9332921237412148,12.269930722714243
57.0,0.0375,0.9521454834229398,1.4161033890471448,0.07,0.8709674446473761,22.591496179637737,0.0425,0.7976392970250316,32.118770613361164
58.0,0.0925,0.987798850625745,4.135660180182598,0.0775,0.944457342557541,13.188963454711198,0.025,0.7927755062153349,26.152347348820722
59.0,0.11,0.9539856803731666,28.667841371275582,0.07,0.9556233702640928,25.47944381366875,0.0275,0.7497377310510022,19.995970615971448
60.0,0.0825,0.8839921207387244,4.331307935480157,0.045,0.8571014558790926,8.517673057163014,0.0225,0.8350682247009118,11.411325949879856
61.0,0.07,0.8862172056602794,20.62026942251911,0.065,0.958861103357726,15.876767056956133,0.0275,0.9510693488417239,17.641048905314037
62.0,0.0625,0.9017661144806401,27.320104358161778,0.08,0.9912184586079452,10.087754270003353,0.035,0.9929706879906921,43.311372641268456
63.0,0.0075,0.816558610367075,22.38500732735193,0.0575,0.985853379816785,6.095967533370397,0.04,0.9933026067576981,19.83037473062804
64.0,0.0025,0.7237331808912424,11.927316308894616,0.055,0.9739740247155784,45.37356042839852,0.0275,0.6855983136432209,20.862300214278953
65.0,0.0075,0.2923578722192999,26.10417098686526,0.0825,0.9513721141593067,22.963164755001056,0.095,0.4063601893015658,19.421493847701516
66.0,0.0075,0.9320511643482551,24.865120756896737,0.075,0.8708606275382896,12.831358078305488,0.055,0.4605759788450031,19.997356787430654
67.0,0.0025,0.7338228923410552,7.508163419330126,0.0575,0.9913704721526096,3.898652808302309,0.0225,0.8551782840893893,8.538005875205542
68.0,0.0025,0.6326079040859149,1.4453148136358656,0.0525,0.980340747829853,19.799619810988304,0.025,0.9203318650042546,19.85149910293761
69.0,0.0075,0.9545041897158569,10.742926474235299,0.04,0.9813697093492659,3.8343684527896142,0.01,0.8095470873070911,8.711458335433719
70.0,0.01,0.9851269273006666,34.07454866364894,0.07,0.9974263586612437,17.071152615608717,0.0175,0.8897770786983233,27.89630205855255
71.0,0.0075,0.9248575224158659,9.917156952367458,0.0425,0.9883514312813547,15.597305086502962,0.0125,0.7369074322400612,13.395038753486517
72.0,0.0025,0.8222986460256172,39.87511291236925,0.0725,0.9948603945593023,20.41537947278977,0.02,0.846603101098538,7.557216614518079
73.0,0.0025,0.7395348501654435,19.463518914329228,0.0525,0.9806927553203882,15.462176528684022,0.0275,0.5927787577574142,15.171152064152817
74.0,0.0075,0.9697238000050848,19.224804310909644,0.045,0.9831592567077417,18.39556194957883,0.0225,0.5216242449229206,42.11545644109683
75.0,0.09,0.9607786824245496,10.9908003511088,0.0775,0.981119100989584,10.41984334236613,0.0425,0.9438237796285399,37.76864290641706
76.0,0.1075,0.9642945182558557,6.781351290434381,0.065,0.9791383235953632,7.439304581364745,0.045,0.9358395534665733,20.170789709243415
77.0,0.0875,0.899359438220417,10.849412860650911,0.075,0.9874409467655995,25.85866867853955,0.0275,0.9069933275726367,25.991014063469756
78.0,0.0525,0.898686354805111,9.483498030551784,0.0575,0.9967665106609503,25.136479822235675,0.0375,0.9931710672359909,19.511685917372514
79.0,0.03,0.9204795208390962,22.69361867046006,0.085,0.8515453916587383,4.164029104417491,0.085,0.39534211712860573,33.13118434249431
80.0,0.0025,0.836735081978835,16.508911792130363,0.075,0.9621946193089455,14.165026884533134,0.0475,0.7240984223927699,61.28385125752209
81.0,0.0075,0.8989090365413717,27.001306372237984,0.045,0.9731833306098231,14.925176318983693,0.035,0.8831321586434321,14.51416861821025
82.0,0.0025,0.955109380971774,35.014093977844226,0.025,0.9777891160903975,0.0,0.0225,0.8943522703933823,16.9060818941739
83.0,0.0025,0.8668908921149934,16.935871639661254,0.0675,0.9948525772074851,30.70470781911769,0.035,0.968646443689528,20.705385832494954
84.0,0.0075,0.9608294372091017,17.451659572304997,0.0325,0.9812965705626445,6.708781384661384,0.0275,0.9889083326406527,19.702052657327357
85.0,0.09,0.9798294593206232,10.185312473795422,0.0775,0.9813443011532647,7.460041022504107,0.0225,0.9675089449862561,17.273646960855082
86.0,0.11,0.9424576977210837,9.807182321690405,0.0725,0.9816789160421292,24.64746768319463,0.015,0.8157757790790522,35.526520970466585
87.0,0.08,0.935958034564175,13.456118624405507,0.0425,0.9935805942019177,12.538650997143021,0.0075,0.42845848890099486,18.772569230294117
88.0,0.0575,0.9002204194263632,2.985656786360094,0.03,0.9651096526710948,15.671811546865833,0.0125,0.6782765150407669,22.744889290210025
89.0,0.045,0.8965446530005772,22.92977495213306,0.065,0.9925125115256326,11.820222198033763,0.02,0.9594193403737845,7.445848400085016
90.0,0.0075,0.8831403389763326,32.00099483160883,0.055,0.9940182664727627,20.99358908353331,0.0325,0.9856155365386932,22.50930289944773
91.0,0.0025,0.9354532468295972,7.600673840047003,0.035,0.8848169036785202,0.0,0.0175,0.6203523159105027,21.622168898746565
92.0,0.01,0.5007082369754912,5.916101809380377,0.075,0.9042790865698657,18.723691270460726,0.085,0.43355190577273783,19.543277755908242
93.0,0.0075,0.8784905150498262,20.143855072202086,0.0975,0.9489164095040201,21.49303917963525,0.05,0.5721096702655657,25.053847356061652
94.0,0.0025,0.675581674317091,1.5709824095972906,0.0825,0.9899619716109881,14.279505384550404,0.035,0.9282666775753521,24.538420499110146
95.0,0.0025,0.7857546058909968,36.07142097338447,0.0725,0.9905734563437872,10.347260592019218,0.05,0.9713513407590529,16.2666704103956
