,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.075,0.975216048977467,19.805955635604054,0.075,0.89165081746339,31.015111550379157,0.075,0.7732355632217052,15.712770510345148
1.0,0.07,0.9759963225152275,11.208426439187154,0.065,0.8159899114374839,0.29823572232628087,0.0675,0.5576319060878618,6.465468225772391
2.0,0.03,0.9712740172773547,13.179783001060045,0.0875,0.9003227026413296,9.813263489408925,0.0825,0.8384616877725709,19.48827060652585
3.0,0.0225,0.985272382389105,15.016152787191803,0.05,0.8009168743242898,12.052240764462045,0.0425,0.5880422622859995,18.225724621023105
4.0,0.0625,0.7271494167324787,25.47907532410764,0.095,0.8322963308938851,6.08051056912958,0.095,0.1252259128424138,15.373202223373127
5.0,0.075,0.9751075280739409,11.930874044676806,0.09,0.9125668571213881,14.26583462267523,0.065,0.5608727583720512,55.887818374291136
6.0,0.07,0.9717966161503648,24.824566469119482,0.05,0.8457521007714099,1.208659734786353,0.07,0.40979993537410225,15.940005812239939
7.0,0.03,0.9818479935173554,7.8268656941724055,0.085,0.9621517307856862,38.9407346739949,0.0775,0.8235335752287589,16.943892058655564
8.0,0.05,0.8949788763615285,2.6132106121583867,0.1025,0.9374801855315776,9.519494796907098,0.0875,0.835162357943354,16.280538157296604
9.0,0.0875,0.7676749235918394,0.09842385575718601,0.085,0.8178915178184539,10.494041624685575,0.0575,0.42530244047830623,16.918859424469083
10.0,0.085,0.9786579679723763,12.086528120035327,0.0575,0.8246209611661667,7.605765726550323,0.0675,0.8052183023072103,8.877697946336786
11.0,0.0475,0.953301333997606,9.401618024978578,0.105,0.9523787502410775,11.159587149092259,0.0875,0.8055670588455861,19.7554378090596
12.0,0.0225,0.9825702886130516,5.3223370733799324,0.1,0.9283172362236389,9.656322411183602,0.0725,0.8607714509872385,6.691926745108069
13.0,0.02,0.9885027643498121,16.582801167518287,0.07,0.9271102600150186,14.068323228493252,0.0325,0.6642058372730842,19.578585684751594
14.0,0.0075,0.9343434712409615,13.892486088215893,0.0325,0.6499954203646018,9.860989635296075,0.0225,0.6152211413341714,17.833334844252565
15.0,0.0475,0.619046156365284,3.138672093929305,0.1025,0.817148244589553,3.1092257356785047,0.06,0.4340801404136937,17.176920079746584
16.0,0.08,0.6769284419132275,0.7306508896617752,0.095,0.8735454571396278,11.135138231057802,0.0475,0.6623796205939233,45.62032264179656
17.0,0.0575,0.9742424161287714,6.080626414465577,0.0725,0.9259478286615093,25.15213277970309,0.0225,0.7432739869138575,16.417035354670965
18.0,0.075,0.5582826568572409,5.9731162751913525,0.1125,0.8632764586585533,11.494738486281587,0.0725,0.8615977037647526,12.123124916229763
19.0,0.065,0.9709665533385746,3.0605790093756697,0.08,0.8867992522906868,41.28299599100173,0.065,0.9073002484850985,49.27953376520879
20.0,0.0525,0.970817231170182,16.180770479408427,0.0925,0.9294105106029384,20.53144777854947,0.0625,0.7409597283543575,4.882987794684998
21.0,0.01,0.7845146178781321,14.331457875460568,0.105,0.9130333456393459,20.522453774429845,0.0775,0.9481704100125066,35.49233515885225
22.0,0.0075,0.8941762293443513,1.1089364293703543,0.09,0.7616834377795332,21.76639521791092,0.085,0.783024074332868,4.172232111496499
23.0,0.0075,0.9491021220486384,14.26768964099444,0.095,0.9607545869808045,32.006274283367375,0.0975,0.7258683242945405,46.36382344638571
24.0,0.01,0.976077618615891,22.473846820175282,0.0725,0.8942010389023193,5.5090007251144515,0.0475,0.8706541250751445,39.36230529924491
25.0,0.0075,0.8050456625521134,22.19390353903046,0.0725,0.9119484383802934,13.254498314259116,0.055,0.39330634056626596,29.64985721126201
26.0,0.0075,0.9293243371735144,3.661244552917303,0.1025,0.9394013057588171,0.8041009103023002,0.1075,0.9725726093758095,18.754390117205215
27.0,0.08,0.23673620779440813,2.8405405084700246,0.1175,0.9170036337434123,14.603951553019446,0.075,0.9064536400340216,28.67392640526404
28.0,0.0725,0.961374447068382,5.146795444950217,0.085,0.9084936285028409,8.258520385197473,0.0625,0.9111414317073597,11.55738411493928
29.0,0.0525,0.9785183120889057,16.815707651998267,0.1025,0.9271585463614072,21.714409442213864,0.0675,0.7156086591877432,47.31281969456322
30.0,0.0775,0.791622656256841,3.2140055436390758,0.1175,0.8924766650277435,21.525613943935564,0.0575,0.6056531976036281,8.107042762623639
31.0,0.0675,0.9739958495839937,31.638844021495682,0.085,0.8960869165350577,23.24527301988635,0.0425,0.6489657265760436,28.289606625724105
32.0,0.085,0.5445730967444052,8.761111902403364,0.09,0.8081495417995316,30.29094064088358,0.0575,0.6078311480901375,21.749880363184687
33.0,0.085,0.9611273251228473,25.10611206604257,0.105,0.8405925311164568,10.19480644784749,0.06,0.5262830432708734,41.18287581558681
34.0,0.0575,0.9676503990996475,8.647732738631184,0.0975,0.9207528569446826,12.568332718018628,0.0625,0.6744072741504819,22.87318312147264
35.0,0.025,0.9541242572308907,2.9223692307688336,0.1,0.8874150592168077,6.339783664089226,0.055,0.7383784683758607,12.039439489175933
36.0,0.0475,0.8691440524230106,0.0,0.09,0.8061267213537248,8.318125166405467,0.065,0.6648433575296041,4.366767286170198
37.0,0.0825,0.599702266911854,11.226415158080192,0.1025,0.8452392763197657,16.243545274067767,0.0625,0.5803420717438416,14.507028854964863
38.0,0.0675,0.9692953497096422,5.341708360753392,0.095,0.9035121397137801,9.098672392265101,0.065,0.8172752345935921,21.103040866240942
39.0,0.0625,0.9495962168537455,12.132622375393424,0.1,0.9012915507238279,22.59479021918554,0.08,0.8542280458538254,20.853256887387545
40.0,0.025,0.9695236971872637,18.83464194160883,0.1075,0.9053887370689949,11.237398170453577,0.05,0.7220686177007734,23.39338193140356
41.0,0.05,0.4263343908455567,21.3166265160584,0.1075,0.7995543025112006,3.827386895442052,0.09,0.5745366535911915,12.261068680454134
42.0,0.0775,0.9461202059348102,29.755802837381754,0.08,0.8478342234477183,27.489024385585466,0.07,0.6371141617488766,36.742048659834985
43.0,0.065,0.9644578821872812,12.940095781631362,0.0875,0.8736670698247824,27.512220393377955,0.0525,0.3149383634619064,8.69740698391939
44.0,0.0375,0.9566490343052961,9.046608744793593,0.0675,0.946161112805282,26.419734984701325,0.055,0.16538094461547662,22.10684622097624
45.0,0.035,0.967507356282559,17.306459312669578,0.09,0.9585887974858065,10.149550733185142,0.07,0.8149633220335245,14.493800453434693
46.0,0.075,0.40259871439244477,2.8201847128352817,0.095,0.8477648544226587,9.097305179904508,0.0725,0.7403510485113881,6.228419370913284
