,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.025,-0.7428235441446894,4.041798483361426,0.0275,0.8003829194926382,29.09659636684073,0.025,0.7396666980340788,44.0797706939729
1.0,0.0225,-0.5255195984088409,23.961459003923697,0.0175,0.6843168903034212,8.714526965402987,0.0075,0.6168692283853477,28.052319907555937
2.0,0.02,0.05096286617442053,12.590512488316,0.0125,0.35781092393640157,12.609492995359883,0.01,0.5291909590033833,15.712219524036058
3.0,0.02,0.3429979336520179,21.822643792809085,0.04,0.9571070841435422,2.3090839376350916,0.0125,0.5325671734518372,20.707327675852866
4.0,0.0425,0.944346525717631,10.75317173018295,0.03,0.7343034787653365,53.0655829229518,0.0125,0.5859467990747992,43.42875448015696
5.0,0.0375,0.7680121467098991,9.003933925207923,0.0125,0.5652209259091574,1.3016398787651826,0.0075,0.27957912927593886,28.19166242935851
6.0,0.025,-0.7617268881997196,5.482389917799085,0.0175,0.37910028962931075,20.89417066326078,0.0125,0.6201395021064597,17.673760787265703
7.0,0.0225,-0.5467612492477263,23.48674512437515,0.0175,0.651051875153291,17.18797096036678,0.015,0.6507599195272632,71.89023322023058
8.0,0.02,0.031292070990994215,5.8105891380851755,0.0075,0.34840067500592825,18.80225549642635,0.0075,0.7521766255373783,13.336607240442062
9.0,0.0175,0.36829295141280555,6.999299072889485,0.0225,0.9476110461684613,17.110567997481642,0.0075,0.6410123712721558,11.443558138918625
10.0,0.0125,0.024104998644479066,9.941193557037085,0.02,0.9292291063238389,19.752214983903944,0.0075,0.620277294173811,42.224452630403306
11.0,0.04,0.8732842800920061,26.190770091366986,0.04,0.9723430516579326,14.658635300292307,0.0125,0.6808533604153014,9.774249466217087
12.0,0.035,0.9579216796958724,30.77496462505588,0.0125,0.9594720756452211,6.4859417672119015,0.0125,0.64080933882639,43.22865891700382
13.0,0.0175,0.9188015629219995,8.444099775461968,0.0225,0.8635614890248396,8.19018771250245,0.0325,0.6795991366080794,7.412488291764127
14.0,0.0275,0.8565001075861814,0.057333995159327036,0.0375,0.886707572698446,13.578167723991392,0.0275,0.60317349999705,15.479870001346328
15.0,0.025,-0.1075553344161423,2.55534817122262,0.03,0.9042358289483737,15.7434022979126,0.0175,0.6323960901425876,29.796928696618558
16.0,0.0275,-0.7301530088995857,11.743159034146997,0.0275,0.8150305759179453,10.270050055479183,0.0175,0.6556924182364035,23.977541121766357
17.0,0.0175,0.07843712874155516,8.876824351175554,0.03,0.8845624683151145,15.752115882950694,0.03,0.6779387706118731,38.642339556053514
18.0,0.03,0.6678486499925081,6.831489684622144,0.02,0.7311950725387963,16.35426416210316,0.0175,0.6236716623108327,26.67304892588129
19.0,0.025,-0.6772601105939232,6.82767704263175,0.0175,0.6402954006324891,17.448580466810967,0.0175,0.6490088235473556,18.620567021916653
20.0,0.0275,-0.75372302183627,14.106180008141324,0.02,0.6684009973861734,26.914897339817266,0.0125,0.5390857268181107,40.65184625509413
21.0,0.02,-0.2184421225669152,10.933920583115707,0.0225,0.7197217345403101,12.192551543830756,0.0175,0.6348600109928579,24.591676808415666
22.0,0.02,0.24859795284376549,10.579553682882679,0.0175,0.8930162449560032,11.06046206208793,0.0175,0.6599604046469968,37.8023702926803
23.0,0.0425,0.9421006068248288,0.0,0.0375,0.938810052991049,28.990762336312418,0.0125,0.6183004561601095,16.7741675285091
24.0,0.0425,0.9132000205836502,7.4350174335921455,0.015,0.6060706837481918,35.47712887179803,0.0075,0.5280646840264033,18.44168830482414
25.0,0.025,0.05677096377794625,8.039071355232744,0.0125,0.29493016570913005,16.78536577502086,0.0125,0.7138698872211985,16.85151559932702
26.0,0.025,-0.7416293250981432,18.951406786567343,0.0175,0.5519185326678432,10.01166896183591,0.0125,0.6977390893253158,42.79773882579265
27.0,0.02,-0.3038004538354755,15.897445068264409,0.015,0.6946520878513719,22.166809830857865,0.005,-0.22801581502856805,15.247085092289442
28.0,0.0175,0.21744926604360554,15.942178227594766,0.0175,0.8716048719717517,25.154819758200123,0.0125,0.6243006206330403,23.92987665823945
29.0,0.0125,0.30193744594273464,4.401833057979763,0.0225,0.9288270858546457,16.26943419960896,0.0075,0.6843443527982329,4.362913436805142
30.0,0.04,0.7322390148437992,29.53318456904894,0.0375,0.9601620364728922,8.848521173159455,0.0075,0.7407385946875187,16.353115571344787
31.0,0.04,0.9370895110919198,6.3231069468223655,0.0475,0.9629666481813182,15.287457862865699,0.0125,0.734124756710509,28.546843167194034
32.0,0.0225,0.9795307326738196,19.463882092033792,0.025,0.9537013263852898,11.362733023649781,0.03,0.8772538196990161,37.42228226005485
33.0,0.035,0.7902088555256556,2.1181495947372238,0.0225,0.65557845748973,15.382394445747005,0.035,0.9349879191405471,48.76324194213084
34.0,0.055,0.6721750456812632,16.21804595084667,0.0325,0.8728509846066431,25.125146180414077,0.005,0.5718832772026096,29.209940300796283
35.0,0.0475,0.3205170471229195,32.7386308735849,0.015,0.18394302140293026,10.343284306222309,0.01,0.742084315496667,19.481813039566553
36.0,0.025,0.2691978971685991,25.317760464514436,0.0175,0.7165651697740487,17.264510142037338,0.0275,0.7511552927065835,22.757328761614808
37.0,0.025,0.8332385433491465,3.1871486009656556,0.0175,0.3833659471105563,24.195110065177015,0.03,0.7194053046621932,57.87204956091429
38.0,0.025,0.055393843823148076,10.55238616933166,0.0475,0.8969062095054057,19.092758846737432,0.02,0.7675767741547169,23.925014249992476
39.0,0.0225,-0.7408366245114469,6.242381819250589,0.0425,0.8645009811755533,36.03266176558137,0.025,0.7449281505473506,45.46902176012508
40.0,0.0225,-0.192200082064985,6.511552460834143,0.02,0.616854429705917,3.1525983696874365,0.0075,0.17824081299856406,26.4038038849881
41.0,0.0175,0.736962296760394,8.340536256664135,0.03,0.7869519819438926,19.160739857398475,0.0075,0.4614728188548925,18.93401159407602
42.0,0.035,0.8720392102898302,2.7146767423438845,0.035,0.8979110571311506,12.519528293982564,0.0125,0.7611272145739186,14.407728396426345
43.0,0.045,0.9461954817195609,18.788282549040392,0.0175,0.7249855718430102,44.26824181096099,0.015,0.7220090894468958,18.946488683658153
44.0,0.0375,0.6633570737211465,11.302997943610153,0.0175,0.756375341191882,14.432371271670903,0.0075,0.763564741047118,11.04106824598251
45.0,0.0275,-0.6562387511288393,17.691573730931033,0.0225,0.6914694622019728,21.10510102464234,0.0175,0.7197102446195645,20.95593985000997
46.0,0.025,-0.19407911525529634,8.170280330889522,0.0175,0.7506938212668419,22.099182518437395,0.0125,0.7201921555394689,16.031321687344565
47.0,0.02,0.4008582316376096,12.888253354755424,0.0175,0.7816262954619855,1.8292282833109952,0.0125,0.7330391741067164,20.889299502857035
48.0,0.0175,0.3072612405003471,6.718579467638589,0.0175,0.8781820973570565,24.477391580340498,0.0075,0.6967723404315835,33.18331275667718
49.0,0.0125,-0.04318759393836619,3.5324481817161493,0.0225,0.9021155437555158,0.07992308346764447,0.0125,0.6507641296815636,19.7422514902641
50.0,0.04,0.9101261837787421,4.706592995844949,0.035,0.9701967349425658,6.261554898198941,0.02,0.8336411500807003,25.95081344833865
51.0,0.03,0.9601051636500713,7.8251362093799255,0.0275,0.9910821333525106,26.635222492372264,0.0075,0.8322725181442764,34.96995381003481
52.0,0.015,0.8615646824293052,17.249336304612484,0.0225,0.7829847445548056,9.362171166105679,0.0325,0.6210194249914178,20.497287642886462
53.0,0.04,0.7553575531257926,18.166314649831136,0.035,0.8096362005102582,25.604880563643803,0.0125,0.23603172860974386,45.74253624723063
54.0,0.04,0.3975009709726459,12.938774225158877,0.0125,0.5211078212029192,17.291254299446518,0.0075,0.25145366821360243,14.966451117949473
55.0,0.0375,-0.17601002454790673,21.760337797576202,0.0275,0.7780687429242054,23.373800962215533,0.01,0.6458242272349536,32.73149275063618
56.0,0.02,0.6492536347971295,1.7978056018728363,0.025,0.7761448709665627,19.92011360946334,0.0275,0.5964605481518703,33.825284487225304
57.0,0.03,0.5988741359134396,7.2494138285358956,0.025,0.770155522788531,15.233705121789754,0.0125,0.7323017633456071,25.570347763627012
58.0,0.025,-0.7360607615602346,0.014467976394321545,0.025,0.7805968306784205,7.554546819899225,0.0125,0.7360491159096605,0.0
59.0,0.0275,-0.7408560880895712,3.47106373008285,0.025,0.6713997683440933,17.311586379929974,0.0175,0.6682262720443706,21.503242328419432
60.0,0.0225,0.5839605273027495,7.720753934952422,0.04,0.877628012560615,7.1542363782415475,0.0225,0.6314621384255281,41.69080981008783
61.0,0.0175,0.7590822854338894,9.728434069133732,0.025,0.7058850681771133,19.125951586254374,0.0075,0.43003043779715966,7.564338741877648
62.0,0.04,0.9335436643722835,0.0,0.0325,0.8756640701528629,17.79909523301051,0.0125,0.690800527767409,40.42414656827992
63.0,0.0575,0.9091989243759826,4.791429423364487,0.0125,0.527015471056236,11.799995142707207,0.0025,0.14255163753295816,45.612574159517564
64.0,0.0375,-0.20513833614393,5.34161447484281,0.0125,0.34365315963970083,8.771505974409031,0.01,0.5459157642535495,25.812302230523407
65.0,0.0225,-0.7243229842085364,3.193510589172044,0.04,0.8879171604016118,22.698687230979115,0.015,0.7490887720664744,40.911539157878906
66.0,0.02,-0.22053389206295318,47.55879725082138,0.025,0.8346915621129922,19.436910866612696,0.0075,0.6478110202377846,53.06863834045946
67.0,0.0175,0.2908197209448551,23.90861150971626,0.0125,0.7531626738841255,16.470596475439415,0.0125,0.6544693059733294,10.05215769989507
68.0,0.0125,0.280633689639878,2.4263586603021396,0.0225,0.9025445269447713,15.980521993141645,0.0125,0.723938321940083,51.25155251509157
69.0,0.035,0.8153537605661458,4.980025179666886,0.0425,0.9667523240167035,19.83219294448832,0.01,0.7119184094636264,16.776918399437935
70.0,0.0325,0.9443834164393876,21.782447654137904,0.0175,0.9577532944342031,13.849690365721212,0.0075,0.5865020578444285,20.5132423697042
71.0,0.0225,0.9809503683912976,6.726236366455164,0.0225,0.9405270437269324,4.389907272356548,0.025,0.5970881821561528,9.484106585432428
72.0,0.0225,0.7863380569816295,9.773888856450085,0.0325,0.8724731754286007,6.336311047286122,0.035,0.5822120384615728,27.89554343896846
73.0,0.0375,0.6213410271271985,2.8805700752676175,0.04,0.901229027553077,34.262780646780314,0.0075,0.5002882598777889,56.798660674155634
74.0,0.035,0.07924940763822276,1.1222200552639252,0.0175,0.6223379099153996,15.23785138305046,0.0075,0.6073316044711601,17.359836289612826
