,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.03,0.9703908926494448,31.36778579391884,0.095,0.8054974873683882,6.801093392610157,0.0425,0.4416519639860363,22.892250333598433
1.0,0.0525,0.7667839553982578,9.236999783245421,0.095,0.8559739585792796,10.233412288144093,0.055,0.3622063317852635,16.35047534342401
2.0,0.08,0.7230476031504725,11.37314860010203,0.0575,0.8662629764847499,15.172831709236643,0.0175,0.4326621440489209,16.33481049282427
3.0,0.065,0.2447987746557011,35.015522876687896,0.0575,0.7571650492872134,13.540094751704252,0.0375,0.8953818314706143,29.64255402074282
4.0,0.0425,0.2794892130782299,13.397051860186032,0.095,0.1614834299358895,17.27150938753067,0.06,0.7459679055563339,7.169882154876612
5.0,0.055,0.8483836670455835,1.5123431621334977,0.1,0.4321162667707896,13.705467741472045,0.045,0.7197450975000277,26.415078878511615
6.0,0.045,-0.0031017153551596345,2.5350216892592288,0.0825,0.25011809957574843,17.38362234420862,0.0175,0.6329617416465029,27.787956836942914
7.0,0.0375,-0.5786089581500368,14.351396114516557,0.105,0.7627091200535423,18.076908218555882,0.0225,0.5831721688298034,17.671810387680324
8.0,0.035,0.07410905723113104,5.6177255465116085,0.1,0.8630921101749778,29.057664224589658,0.0275,0.7890402398630291,20.045399601491305
9.0,0.03,0.7125852058458758,25.18308082248752,0.0825,-0.18769534530979617,24.07921664538698,0.0225,0.11997861973680798,10.884041565786418
10.0,0.065,0.8119845185032206,6.156655762195862,0.09,0.46222896329299046,15.397394413455821,0.0375,0.8434995383577744,11.445147566229112
11.0,0.075,0.904869734196479,8.130092508102821,0.0725,0.285677355180956,22.752578735410264,0.0375,0.788269649000054,20.312239616822026
12.0,0.0675,0.5993630021995531,6.8602352013643415,0.085,0.6271221005811061,8.105807566192512,0.0275,0.7307365119398876,5.848107721304498
13.0,0.04,-0.6834813396075183,26.729371657783997,0.06,0.42549515305682306,31.724976113118004,0.0275,0.6888246092783952,23.681173284787334
14.0,0.035,-0.2630615162226475,9.936571967747103,0.05,0.4912363259300248,8.066413511030454,0.0275,0.7021821585505179,19.165302669949483
15.0,0.04,0.2504635875556357,5.651703732902918,0.075,0.9226937443833352,10.954632560164232,0.0425,0.8291139592049905,13.881306357966167
