,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.8669334087854625,8.462242302547992,0.0775,0.9003840857502351,4.5494824179070035,0.0225,0.7015158309011829,13.928926247612143
1.0,0.0675,0.9810135754153908,21.857778520534236,0.0475,0.9663416881116966,29.463310692423445,0.0175,0.7480926900746941,14.220862288879221
2.0,0.0325,0.9421682424172567,31.29552204878273,0.0375,0.9485118487818802,16.879192061453093,0.0075,0.7661888961971252,7.282770630690809
3.0,0.01,0.44262264018195213,29.70712308122057,0.1125,0.894631805735871,11.423917110842197,0.0775,0.5469777782996221,21.695002951170693
4.0,0.0025,0.34412778042282055,5.767657296283777,0.05,0.9748922612321237,28.456237879396795,0.0175,0.962080839753031,28.25303799566236
5.0,0.005,0.6375484632446744,40.64572477143404,0.04,0.90280059586713,36.04735164928327,0.0375,0.5167789775454266,35.033795306637614
6.0,0.075,0.987754571972054,5.251996884765662,0.0625,0.9508985221817446,2.4886154532568985,0.0575,0.8540636950703706,38.55286618933305
7.0,0.09,0.8534579661593015,8.960648295341148,0.0575,0.790932744042599,5.582896907292781,0.0375,0.947845088122925,47.29712981670821
8.0,0.0575,0.8467402877487846,4.98051158315083,0.0325,0.37915404800352764,4.1564311359498145,0.0125,0.9166291012583864,22.788793748233097
9.0,0.035,0.8526183002996459,16.071695609238414,0.025,0.2982417236785002,32.14186126672062,0.0075,0.8376958058171718,18.450859394672698
10.0,0.0875,0.9599778095433461,8.968042223683128,0.0825,0.7929867234553771,67.85270748641936,0.05,0.3720957282098633,28.23439481883229
11.0,0.06,0.7597106717797503,30.14710547232973,0.07,0.4636573390972827,6.982488776914555,0.03,0.6830353529147768,7.654065847129386
12.0,0.0375,0.8958679949589657,5.425689728285431,0.0575,0.7353744968510986,7.131523431591389,0.025,0.4344762984523717,21.725151943901576
13.0,0.0275,0.794879084025963,0.0,0.08,0.47649086955387204,10.112628242124531,0.05,0.12386823848075354,42.45949385289387
