,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.7230228791817834,8.277310575567409,0.0075,0.16446168466035785,3.6187486214185425,0.0075,0.23031017047664548,20.58986063598249
1.0,0.0025,0.8766456388173526,15.387453428952655,0.0125,0.1617882048688598,27.370445501895286,0.02,0.3740326550736456,22.919972696174757
2.0,0.03,0.999744199389481,2.3235999320847336,0.0175,0.6650236426253912,13.890500539764508,0.0325,0.8837114195424627,19.175070899541318
3.0,0.0225,0.9973414455073467,32.44094007862479,0.0175,0.645117440694958,3.8588431442921847,0.0375,0.9762125946229556,12.191226760319749
4.0,0.0075,0.9925874829553183,20.993690910204176,0.0075,0.9113867638501935,21.086983010331664,0.0175,0.9600699852589952,8.816021547182505
5.0,0.0025,0.9879189753611433,27.995074678753177,0.0075,0.7540286707027107,11.463778913225353,0.0225,0.93421477751842,15.989778865510203
6.0,0.045,0.9987454473223175,16.61750964250665,0.0175,0.9884955058700525,19.04367712073623,0.045,0.9370083728510312,23.29095837158484
7.0,0.0125,0.9958658969040092,16.11305586873215,0.005,0.9165317552586022,18.67059984233475,0.0125,0.5837864241831678,27.573138181414585
8.0,0.0075,0.9435136832187593,11.955729415791932,0.0175,0.4912485758162941,23.92867537250243,0.02,0.01123478076095633,37.80916993114729
9.0,0.0025,0.9954923050313236,17.804171056029972,0.02,0.9245093900895864,19.786157269526313,0.0675,0.9375891050826914,34.85434227021562
10.0,0.0025,0.9527109997795498,21.08129187031942,0.015,0.819373456249037,27.62706955804246,0.0225,0.7554585232545744,25.637593405700187
11.0,0.0025,0.9028194275950687,15.537097302150437,0.0025,0.2950339639461209,21.082753143021353,0.0075,0.3984262187803342,12.574810486400862
12.0,0.0025,0.9569767007552283,15.749884104825444,0.0025,0.40756057816544267,0.0,0.0125,0.8351622481373459,20.063714954126116
13.0,0.0025,0.9665173361689142,19.293321174384005,0.0025,0.9297823507690253,14.105136793711912,0.0025,0.1915987593195153,33.477631574767
14.0,0.045,0.998770193145483,14.19564526461282,0.02,0.9816653240107555,28.37756753174218,0.0525,0.9250410032571313,30.86753847995616
15.0,0.0175,0.9971106167520827,7.736837874450325,0.0075,0.621875335459919,19.567364678650826,0.025,0.6593864379047147,19.24795226602606
16.0,0.0075,0.9997248135596443,14.780858699764906,0.0025,0.5831248279550194,7.118957659980868,0.0075,0.061175910602758864,16.51075111343463
17.0,0.005,0.9993457695103161,6.086990456699974,0.0025,0.7776810360409913,19.177150779534102,0.0025,0.11867839059248078,19.83229183008518
18.0,0.0025,0.9992830207024092,27.77629325142977,0.0025,0.8491222311639477,15.484455617423983,0.0025,0.910383198293992,9.450903662461968
19.0,0.0425,0.9988243305054343,27.592838411290113,0.0175,0.9891708009327274,35.77885537447077,0.05,0.9431695911100481,34.20688431729397
20.0,0.0175,0.9979122533908409,9.09676939251402,0.0025,0.9842744786548093,18.05095638243762,0.0225,0.8559423295253312,21.816093008615127
21.0,0.0075,0.9992554003341276,18.917692266648324,0.0025,0.9947181684214587,4.576313370426429,0.0025,0.011421560160761738,24.546293211687807
22.0,0.005,0.9996760324091872,6.807088269511551,0.0125,0.8594269040304687,8.34376622309782,0.05,0.8690648206377171,20.165222234976046
23.0,0.0025,0.9888358339236761,32.492847227573975,0.02,0.9400833369995366,28.929906470608717,0.055,0.9638423982320451,36.86286698213007
24.0,0.0275,0.999459332983644,24.105869709851888,0.0175,0.9448093459133887,27.907684291474027,0.035,0.8359295976694564,34.7801332776081
25.0,0.01,0.9990007915211544,13.760861870489641,0.0025,0.9096545933570295,19.389341706267288,0.0025,0.24887158035146287,16.02629729012792
26.0,0.0075,0.9993696262794906,25.72988130588572,0.0025,0.9127226953518515,15.957912716456455,0.0025,0.47506055840338646,24.009169078510517
27.0,0.0025,0.9975027181505526,16.709881353513993,0.0025,0.9005429552464208,53.70343790003763,0.0025,0.3471155381164817,15.662093396320689
28.0,0.0025,0.9923221670811033,11.967494149800968,0.0025,0.6842252462762821,11.5344691508336,0.0025,0.5459539703204604,6.692262120208408
29.0,0.0475,0.9989428942496523,4.836656019540984,0.025,0.7681265244337695,36.3660636038289,0.0525,0.8504078896453389,16.006406111046104
30.0,0.025,0.9975624890514629,18.78948958461503,0.005,0.9324733894084342,31.75439571659001,0.0225,0.9145528764017755,24.586568941553487
31.0,0.0075,0.9999397608472997,19.06336006032845,0.0025,0.9342059927033148,3.6489672551140813,0.0025,0.10500020680671802,15.17752584612671
32.0,0.0425,0.9997022030096393,12.546006236834891,0.0175,0.9834056202027931,7.381084550117052,0.055,0.877791018256552,24.87263391523644
33.0,0.04,0.998152299463387,22.33280680761094,0.01,0.9866872284530006,16.898514329732638,0.0275,0.8787176668760297,20.15494845902955
34.0,0.01,0.996742354429427,14.65344263567,0.015,0.3118260586853519,9.955610848292938,0.0175,0.1098594035605843,24.181325178892315
35.0,0.0075,0.9791296479815331,15.719689169440683,0.0125,0.6684613177813225,26.6822316146032,0.005,0.24005785487077536,31.051265790234964
36.0,0.0025,0.9953601907953787,16.754343080261812,0.0225,0.9213875777085021,21.856586372209375,0.06,0.9523117206659569,19.233302546156256
37.0,0.0025,0.9433258003724903,21.06987573051175,0.0075,0.756311137265895,13.411039091168298,0.015,0.5255933389285641,23.867575120693843
38.0,0.0025,0.943281391091448,29.908705857293963,0.0025,0.11867575313995953,45.084690188174775,0.0075,-0.17152284415249092,35.22467392711811
39.0,0.0025,0.9782482312003485,9.022073418416255,0.0025,0.07966281779890504,28.401129495342303,0.0025,-0.20474216297752,28.826980629641955
40.0,0.0025,0.9717381431134198,17.252605597089968,0.0025,0.18343760984198954,35.88803938357993,0.0025,0.1614226820708537,0.1875863512162813
41.0,0.045,0.998691657787714,19.110493126335204,0.0225,0.9833353351075145,23.359115047409013,0.0475,0.8592221577568028,24.105399664907658
42.0,0.01,0.9996900760483878,39.749845342404335,0.005,0.9187929232939018,15.683226619685337,0.0125,0.389458241902569,22.3858204569796
43.0,0.0075,0.9999507913770219,14.043608058565402,0.0025,0.9661754021773664,35.182020208615675,0.0025,-0.16618659562815735,19.37270766752333
44.0,0.005,0.9998934305780879,21.822762421181203,0.0025,0.9830788495185266,19.28459246039923,0.0025,-0.0767630022301134,28.352369622091977
45.0,0.0025,0.9992935870293126,42.428192841590466,0.0025,0.9527733537944019,25.063748499571975,0.0025,0.21730754016194315,39.75405840278748
46.0,0.0475,0.9982108823609465,24.06213100091938,0.0175,0.9894462622381122,25.13197333821298,0.0525,0.9292461943683402,39.405385984771314
47.0,0.0125,0.9991019303088292,35.766715841233804,0.0025,0.9928552876177341,13.5655013908986,0.0125,0.628878183934552,26.55010659969787
48.0,0.0075,0.9999927033680762,9.100540607239328,0.0025,0.9973885948906657,22.57497332159452,0.0025,0.007729239777716565,15.210884056013574
49.0,0.0075,0.9993234864968691,15.153203997615881,0.02,0.8961449435840398,10.97792790343904,0.065,0.9652739924788637,18.125536368964344
50.0,0.0025,0.99429291828275,48.73558958849894,0.0125,0.9131350236317817,20.044555455260756,0.0225,0.8577282385504512,20.876657065044483
