,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.02,0.9765548426806415,2.9277516365727245,0.0275,0.9468275387420001,14.356088756317682,0.02,0.6762627708310796,40.38688407715447
1.0,0.0275,0.9561209870175632,26.946803260877587,0.015,0.9489012216238705,49.37248299586023,0.0075,0.47917867639468725,44.67885226728634
2.0,0.015,0.9385068417511871,14.48505356640042,0.04,0.9631871762566848,8.379940053816128,0.02,0.8198769851166468,12.418034502611803
3.0,0.015,0.9686966238474373,6.8163002241612825,0.035,0.9723042485967861,12.53371973798377,0.02,0.9089756748263409,16.60895348457145
4.0,0.0175,0.9716141342515966,13.777802820147876,0.0225,0.967336845152375,14.706410577421034,0.0125,0.6903942151892662,44.86084337305087
5.0,0.02,0.9643078603793374,0.0,0.0125,0.909632175582725,11.203218745214308,0.0125,0.5677439192540792,4.900720836306087
6.0,0.025,0.9791630032091799,19.244323823360595,0.0275,0.9126685299838497,21.133058721754686,0.0225,0.603755840277245,18.64265549395053
7.0,0.015,0.966891435432149,3.45048901255958,0.0225,0.7842190221784932,6.2929329476845,0.0275,0.6230680184886409,5.903056564677506
8.0,0.0225,0.5943692488019301,18.068735850628098,0.025,0.7457491931786655,21.859474257871547,0.0325,0.7131820708677931,16.50352834396546
9.0,0.0075,0.9407784967564617,19.563250594202447,0.0325,0.9640651085435145,15.01603762692875,0.025,0.7942059248489108,19.997334898864402
10.0,0.0075,0.9798516727087305,0.7732365356501075,0.025,0.9936732252200224,6.67545722103695,0.02,0.9958227000262925,21.57367284253731
11.0,0.035,0.8598509908312603,8.57676998666104,0.0275,0.8761563900851953,25.54929249494368,0.025,0.7963348079639159,18.86907570692635
12.0,0.0425,0.9790373643921874,0.3826666400770271,0.025,0.9558123482684437,26.15417032854992,0.035,0.7828171706956992,23.37859441311169
13.0,0.04,0.9684799772202791,10.163505007850889,0.01,0.9418108172991785,35.33032581644151,0.01,0.5738695422858242,46.62037896579058
14.0,0.0275,0.9693846877358747,11.561119920924398,0.0125,0.9529863650388097,18.468534975124015,0.0125,0.670153788186169,24.55024660790719
15.0,0.0225,0.9878643724847633,0.19908118534198618,0.0225,0.9736068832723442,10.296569467532661,0.0175,0.899145086703512,11.63696292836515
16.0,0.0225,0.9848929854873597,23.83341110971149,0.0325,0.9805023624741409,14.970971151391982,0.0225,0.8028369557224889,11.810939322345826
17.0,0.0175,0.9863514001884758,0.920044856918884,0.02,0.8935412089084105,6.129059359472419,0.035,0.6332558184182397,9.860372910289874
18.0,0.025,0.9608987999420786,13.899791186562076,0.025,0.9435934977953686,14.780825340531136,0.0225,0.5998752049716063,7.868519860987803
19.0,0.02,0.9608477289135908,22.09946215500265,0.025,0.9405640510128018,6.332795676887237,0.025,0.6698183859560604,13.874490156624317
20.0,0.0175,0.965754217223652,11.764381764111425,0.0225,0.97922756285849,38.96406448400388,0.0175,0.8316650138361861,9.595856977428722
21.0,0.0175,0.9600821693784632,0.05973442489659429,0.0225,0.9456706508768838,24.32914270801661,0.0175,0.7604655866472777,40.86839425767572
22.0,0.015,0.9605654650487254,0.0,0.0125,0.920140447992876,0.635687937994373,0.0175,0.6717109337571171,21.309202901053542
23.0,0.04,0.9655272736060542,4.540851236504996,0.02,0.9159809426443558,15.46310334618871,0.0175,0.6678316563693553,19.31209211284009
24.0,0.0375,0.9683500007313376,15.037180108418928,0.02,0.8556080707649797,18.474450583974267,0.035,0.5989116007234094,22.54173823867316
25.0,0.03,0.9738423582695597,4.745974644178347,0.0075,0.6387161932212734,19.58935291472917,0.0225,0.7003489741755605,32.253775514118786
26.0,0.03,0.9801397239318881,14.609581179554425,0.03,0.9756199165204134,30.7183479816377,0.015,0.714678938475377,27.142721107738726
27.0,0.0275,0.978445946400823,12.535962360744472,0.02,0.9752970344484294,31.968164656981273,0.0075,0.8894492756219787,12.758394537916649
28.0,0.0325,0.9477772261496442,5.00922455610496,0.02,0.9264948143819235,17.01730564479403,0.025,0.5864748462045326,36.924215788172894
29.0,0.0325,0.9758580676008264,7.454057352033815,0.02,0.9485309946550713,11.469530564035926,0.015,0.6486964618200746,10.837818925198086
30.0,0.025,0.974578217402761,4.271047982858531,0.0275,0.9534464307496889,18.69099451055081,0.0225,0.8801374361452277,20.454929584762272
31.0,0.025,0.9665036184563218,4.562087313872221,0.02,0.9646727268220248,6.986552479163627,0.015,0.7008867221945345,40.977288160618734
32.0,0.0275,0.9795683545839939,20.65040335278549,0.0175,0.9385141815958877,18.078087689578762,0.0125,0.8243841809703434,23.838260604524365
33.0,0.0375,0.9554468423067947,8.694508696836232,0.02,0.8821288511005386,18.320610477430957,0.025,0.6139986780549154,18.374665002592778
34.0,0.02,0.9452102375976119,5.638904242052439,0.015,0.8261981201668097,16.019717515063586,0.0175,0.5954745881203878,18.981436100649994
35.0,0.03,0.8431710531501704,7.9613316548476964,0.02,0.7696781634127404,22.40969861024663,0.035,0.6077952260979509,47.86714523259228
36.0,0.0175,0.9643819196527833,5.240882652232197,0.035,0.9770793735486658,13.193210804567059,0.0225,0.7759900307572416,35.0852120999627
37.0,0.0175,0.9600349236740044,3.500674482002486,0.0275,0.9872486210405856,16.88440030903294,0.0225,0.9470720679634956,19.05874868209238
38.0,0.0325,0.9704940046608217,8.693605870719189,0.025,0.960346299122856,27.51818143909713,0.025,0.7785400981536718,19.32953600333706
39.0,0.025,0.9759187469428292,0.0,0.0225,0.9857714355616104,19.789027667943213,0.0175,0.9413210014713966,14.586303165276277
40.0,0.0375,0.9620875198177963,5.326964042119973,0.0225,0.957751243760822,6.481759644571694,0.0325,0.7357232939394431,26.12732673286
41.0,0.0275,0.9818272198488568,6.09124526848261,0.015,0.9351767574229555,7.2308352953804125,0.0075,0.6593471018233017,22.119527862836907
42.0,0.015,0.9851173031774793,54.01279495045473,0.0075,0.9167873984999652,37.89796325202569,0.0075,0.6143911369872238,24.080856874115838
43.0,0.0025,0.9341185841261851,23.321464052916404,0.0275,0.9976772963856461,11.784545333170177,0.0125,0.9995089684896608,7.537197890948509
44.0,0.0025,0.7821561787351349,45.7707055412864,0.02,0.993999172951507,55.61800459755496,0.0125,0.9957555050728848,39.63119464326313
45.0,0.0025,0.9819425334743287,5.625803583254588,0.0175,0.9899629375317469,12.769617577756382,0.015,0.9971394604882958,22.84656515146169
