,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.02,0.9991206950669519,3.204730918421663,0.0075,0.9959043968032629,29.696993630521668,0.015,0.9820637364252837,22.435769500198084
1.0,0.015,0.9991937127034448,3.9167121205470257,0.0175,0.9044161413391303,10.968471109161118,0.0325,0.8647030712071947,14.364821388040374
2.0,0.015,0.9915009237908247,8.19150905002276,0.03,0.9335508319110045,21.33662069260331,0.05,0.6175825580102151,22.85757401000483
3.0,0.015,0.9993710215768645,34.113203774259105,0.02,0.9947770628249575,22.995650537576715,0.0225,0.9404582007585373,17.849362959091902
4.0,0.0075,0.9997237684100796,14.021097404904507,0.015,0.9740197499207334,15.678792972500556,0.03,0.9623579434243348,12.686393278493263
5.0,0.0175,0.9989178453806459,2.118126653236991,0.0225,0.983058618668577,20.563496100048837,0.0425,0.9461592327391715,23.01792845873853
6.0,0.0175,0.9982935758182465,43.11190020021408,0.0125,0.9214185743681208,42.94204755636013,0.0175,0.9180024832853125,17.67558704388142
7.0,0.0075,0.9974864628675019,26.835761093075007,0.0075,0.8957005490039429,18.981336064435922,0.0125,0.9621837563941354,11.722060904837157
8.0,0.035,0.9997804201972925,6.370407790144487,0.0275,0.9962625569736338,10.882063741183021,0.0275,0.958020615266417,17.79947080380677
9.0,0.025,0.9985662501324779,11.682478529367726,0.01,0.928375574467389,11.515512647071109,0.0225,0.9360351237602218,24.541274945385403
10.0,0.015,0.9993290504048243,3.0511496622461394,0.01,0.8892966595138759,18.194256536309343,0.01,0.9322334591121446,36.99139168642674
11.0,0.01,0.9995472955384048,22.006599388945965,0.0125,0.9656627403302619,4.020612001923817,0.0125,0.9587896647676638,8.815010390344076
12.0,0.01,0.9997761989196838,5.279168706280416,0.0125,0.950266902620959,14.768129778006998,0.0175,0.95051652164177,23.592847379609495
13.0,0.0525,0.9991527383865108,8.327944489974302,0.035,0.9898699635805215,25.395783772224775,0.0175,0.9186971256064966,29.13176650804771
14.0,0.035,0.9984157660422768,5.707022303961487,0.0075,0.953924902424159,4.446502173975936,0.0075,0.39717879744019396,11.666324655122109
15.0,0.0225,0.9989194285190781,6.404561601681616,0.0275,0.9792513089142532,47.385107056921115,0.0475,0.9315276521644744,19.76803456052965
16.0,0.015,0.9988012182513402,9.362373884501903,0.025,0.9805927203677369,13.940335160735744,0.0125,0.7464938361688115,9.884611371195874
17.0,0.0275,0.9990908128216973,15.27428312430282,0.02,0.9710462758324845,30.140490950720302,0.0175,0.9452462544738449,30.409988636513155
18.0,0.01,0.999944235154212,2.29977506409311,0.0075,0.9045620514067328,7.833587680911736,0.0175,0.9297893638337807,31.372521855219123
19.0,0.0075,0.9997285996293177,10.4800304324227,0.0075,0.9398760881845633,3.0069167860198798,0.0175,0.9545500593737614,26.565450898275174
20.0,0.0075,0.9973022709351743,19.33121052765252,0.0325,0.9831799530148815,30.227761362590392,0.055,0.9274517570793833,25.18096976520479
21.0,0.0075,0.9989200167913197,11.053670739596896,0.0125,0.9281191570374285,12.780631373274925,0.02,0.8438954894199628,24.412067983511044
22.0,0.0025,0.9998081889900043,11.036767537000854,0.01,0.9457863506989406,31.65138457336452,0.0225,0.9243569163180567,41.310867880275914
23.0,0.0025,0.9983536710811647,9.441448088461199,0.0075,0.9505294404510473,14.712234765362904,0.015,0.9085070125061164,35.46812400948449
24.0,0.0025,0.9995306595392905,8.749132097836329,0.0075,0.9568827094608531,25.46005802432124,0.0125,0.9634811541424025,22.151503168042
25.0,0.0375,0.9986818557288001,24.355887250158432,0.0275,0.9925997646509185,29.124521718721972,0.02,0.8996328215342013,41.79907377102182
26.0,0.02,0.9989859089370811,8.756160299607862,0.015,0.9791352683261985,32.18976912413758,0.02,0.9349277753084819,14.79811709547736
27.0,0.015,0.9991638760466348,2.092505627836921,0.0125,0.9460976476227531,18.299724180214742,0.02,0.9587914250209126,32.73400436938982
28.0,0.0125,0.9994554547105506,18.41655518608271,0.0325,0.9784458196873427,31.572145782270532,0.0525,0.9361650465438185,18.201869796736794
