,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0025,0.9880394588269937,0.0,0.02,0.8539329606508914,10.654410412186788,0.0175,0.5773652219123366,15.732990681581114
1.0,0.0025,0.9752876967918034,21.016879402470412,0.0225,0.959886411008657,12.970723740860512,0.02,0.893985939770558,33.44724341778094
2.0,0.0025,0.9744300602718989,12.618358958650134,0.0325,0.9584900054426786,9.027579454468409,0.03,0.9080980017503996,24.665146888886223
3.0,0.0025,0.8843897156271938,7.043686653039559,0.03,0.9131867162071353,32.19635005471934,0.0325,0.9096283506836842,27.18844251933111
4.0,0.0025,0.9748662377751,0.0,0.025,0.9053486702592844,25.022966772915318,0.035,0.8823556178090238,2.293493715621485
5.0,0.0025,0.9575367142215456,14.180791547288612,0.035,0.9558614874973094,24.12811724419173,0.03,0.7236545634593429,15.797347417041001
6.0,0.0025,0.9952668548333213,0.0,0.025,0.8089713378008688,14.586239711606925,0.02,0.6514930083786954,18.363177232929914
7.0,0.0025,0.9822537369287075,27.652050869761666,0.03,0.9784897426976967,10.51510677048431,0.0425,0.9156499264711045,17.226721157632767
8.0,0.0025,0.9187163090994706,24.92771520332104,0.0325,0.9399335984675653,12.054452069281803,0.0175,0.8755042340699649,11.847772992328853
9.0,0.0025,0.875253357469086,18.54781646397377,0.03,0.9648097712187078,30.480653548996038,0.0175,0.8758893607284026,13.297942043200699
10.0,0.0025,0.9921974974018118,9.652047863271507,0.0275,0.9352002719189844,3.635820588702069,0.0075,0.7898857673680532,1.9796575770527554
11.0,0.0025,0.9096886638216558,7.582827904073129,0.03,0.9572779512010184,21.379852272138358,0.0125,0.9521356266838761,5.552531874461611
12.0,0.0025,0.9960673694588381,16.504839849990375,0.0425,0.96578258892875,48.74831461336455,0.03,0.9093741255638227,23.588628182956874
13.0,0.0025,0.9918875939696328,13.491186679643228,0.03,0.8760944988147339,21.89201391525544,0.0275,0.7720802388871094,10.12659035688063
14.0,0.0025,0.8092743043324633,14.820814593306606,0.035,0.9576839790932387,17.907374656822416,0.035,0.8878163805822041,19.752362374212677
15.0,0.0025,0.9287111915630937,57.577638121271946,0.0325,0.9128523501478419,18.45304702249321,0.0275,0.8909393624697857,30.679509102179452
16.0,0.0025,0.9938055826518535,13.291077505360182,0.03,0.9001820567858624,6.962501403981247,0.0225,0.8359787802428461,29.85865716746156
17.0,0.0025,0.9839725845749542,8.525536661996313,0.03,0.9314676794459055,4.0993977536087565,0.0275,0.9004322716180855,27.35618389969406
18.0,0.0025,0.9655144371992896,9.862454209535992,0.0225,0.87203614428932,7.647066427744768,0.03,0.8862455745378301,4.574471152077251
19.0,0.0025,0.9817849865817782,10.798473907447388,0.0175,0.7942121672042192,12.282085876613053,0.0275,0.8226985316464531,28.353321454014978
20.0,0.0025,0.9804121361034384,10.5087764646148,0.0175,0.9361629069819325,21.11017669910934,0.03,0.8946113973789961,16.754902679178365
21.0,0.0025,0.9671362821730418,6.6310956158381025,0.0125,0.7999981645709762,23.354103104854858,0.0175,0.6079511480879912,9.075291579725658
22.0,0.0025,0.9721684186278154,7.056559261999256,0.0175,0.9483365492155311,13.5275626218627,0.0275,0.9236286061453206,47.74097761570707
23.0,0.0025,0.918935517040922,16.2974405057677,0.0325,0.963730515002772,8.712631856300582,0.0275,0.8966620155827072,9.926701526068594
24.0,0.0025,0.9164764153874689,4.463704078573256,0.0225,0.8584258328897855,13.037398436631504,0.0225,0.8524541903552589,14.72473465960822
25.0,0.0025,0.9832543576353441,6.216226834435208,0.0225,0.923286851761847,10.51575190875452,0.015,0.574230229016465,34.85842944018034
26.0,0.0025,0.9883721442711874,20.799861117977926,0.0325,0.906093202759697,10.81749264776603,0.0175,0.9004518279823869,17.35203033059229
27.0,0.0025,0.8270199414292044,17.909203124796548,0.0275,0.9080463466859497,29.272301789814023,0.025,0.8395393977099611,22.67910434096223
