,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0075,0.9960900001243013,7.8888457051969905,0.0125,0.7162961887152535,3.850353362259167,0.0425,0.7063912723139735,33.85052307295535
1.0,0.015,0.9997158222221098,25.423526152499257,0.0475,0.9776238364238934,14.150649642880175,0.0375,0.8018303160649696,19.07299466057524
2.0,0.0875,0.9993720618738533,3.1932922068653173,0.0625,0.9925852254293435,34.0802962869443,0.035,0.9110020875984194,15.483047313752722
3.0,0.08,0.9959511874666496,24.869499803930914,0.0125,0.8428171067600749,16.469166338837034,0.015,0.707791339377636,65.57980804600354
4.0,0.03,0.9580806490747475,9.281431985350205,0.0125,0.414436874520845,16.168756628342628,0.0175,0.2988578288080636,16.068383091676417
5.0,0.0125,0.9230344543010921,5.002520747100022,0.08,0.9797367493823449,26.507049634527778,0.025,0.5659060058576219,36.687042929298926
6.0,0.01,0.9576309637299194,12.65088874540184,0.03,0.9570847983756052,10.213957577934806,0.0375,0.8510027402764309,21.722986013832827
7.0,0.065,0.9992259270440104,12.211414953758911,0.06,0.9899549508713577,3.634608732024232,0.0225,0.783935635155598,8.472657711701268
8.0,0.09,0.999156358993195,1.8585660190390305,0.045,0.9777978115518338,17.060212286608596,0.0225,0.5465260291657387,26.095265723144546
9.0,0.08,0.9887127068067947,11.77769935835501,0.0925,0.993578581036869,20.154124089422165,0.0825,0.9458968555256517,4.91637335549617
10.0,0.025,0.9453118353992019,14.257654132396297,0.075,0.9970476128784381,15.664403670719105,0.0725,0.9914945898027222,18.47422988867669
11.0,0.0125,0.9177864322902958,12.814382829350796,0.015,0.6109580202283869,44.280662008659604,0.02,0.3141691522199337,31.126603873155535
12.0,0.0075,0.934621940266162,2.8654869534993948,0.0375,0.9487109597975376,26.873186119594052,0.05,0.9097851105919352,14.695349478719814
13.0,0.0075,0.9586487440174973,71.0930436729482,0.0375,0.923555078348335,29.021916437758733,0.0675,0.9743349817537973,28.071156747886008
14.0,0.005,0.9618194794277493,57.810061741251204,0.0475,0.9943549891051696,14.305938756343384,0.02,0.5863005709078144,20.12350726630464
15.0,0.0025,0.9980522783552355,1.7100482748990524,0.035,0.9708375383290678,16.297563812887113,0.0175,0.2023049133242642,33.633483267843964
16.0,0.0625,0.9999948056855544,5.291520813056748,0.0525,0.9954220130295375,8.217240146096497,0.0525,0.8778885668893313,18.403607436091512
17.0,0.0825,0.9991616849447156,1.5157974197080408,0.04,0.9816092307306894,4.073086254327952,0.07,0.9861601244921548,44.78923173740032
18.0,0.0775,0.987612771912368,13.419194857684523,0.0375,0.861096157575909,15.407273659526794,0.0225,0.31921977804795726,15.598408659390483
19.0,0.025,0.9391037510176524,14.028023079547996,0.0125,0.16791122042942952,23.787521156270973,0.0425,0.8517080423062919,23.598054459569937
20.0,0.0125,0.9250768536734325,9.984568707289617,0.0125,0.38338702613525505,12.230857469547447,0.0375,0.8496389641927489,16.285253672411375
21.0,0.0075,0.9596983810898235,38.335096727999826,0.0675,0.9519293595146087,13.393541727938016,0.0175,0.5068777959930263,11.348922230969185
