,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0225,0.9992152757275518,23.454993951652533,0.0125,0.9982191102490043,11.063280411157502,0.0075,0.9937794678999093,38.12655622009704
1.0,0.0175,0.9984838521273401,1.256437239937571,0.0375,0.9997633531321929,16.403235370122196,0.0075,0.9949964122546855,27.684796254729527
2.0,0.0175,0.9996774517643072,22.978024295055874,0.0475,0.9999919155782296,23.15308907522022,0.0075,0.9957954470687495,28.304763425199187
3.0,0.0075,0.9991603744965174,3.3348810553746224,0.035,0.9997155708690141,30.010494730793727,0.0025,0.9684971557199009,16.70713579431912
4.0,0.0975,0.9990185643282985,16.594309047100882,0.05,0.9937460046001388,15.11514686276339,0.0075,0.849256999380668,5.165811875873328
5.0,0.03,0.9990643845298502,6.624649538385491,0.0225,0.9994059651379862,9.673201835413632,0.0075,0.999474847656933,10.83907641642224
6.0,0.025,0.9996032889191294,18.032659217601463,0.025,0.9997980112606595,7.366668547521354,0.0075,0.9932506220909272,32.172164303847346
7.0,0.07,0.9990191333109053,15.825261767805348,0.085,0.9926665764593721,17.149343309958006,0.04,0.9762155432422682,18.630987874129126
8.0,0.0875,0.9993874744022938,38.0682535777043,0.0375,0.9954390034958344,10.618004536395617,0.0275,0.9540132469768287,17.32699473977537
9.0,0.025,0.9985037693738695,17.140910832735255,0.03,0.9993627960479372,14.283110704396961,0.0125,0.9898265304758116,24.88605773292818
10.0,0.005,0.9939939241529658,17.398769186414462,0.0475,0.9999932108392303,24.43690139249703,0.0075,0.9974545088850241,26.55027874324037
11.0,0.025,0.9978671569734733,3.0131744244030894,0.0275,0.9978718880150071,12.900473045053104,0.0075,0.984454642249112,18.65603965815176
12.0,0.0275,0.999427742195163,34.77186954135851,0.025,0.9994928421287343,3.935918059662227,0.0075,0.9817808878015275,22.815180592856983
13.0,0.025,0.9993580144301836,12.857758287957328,0.06,0.9998779421294849,18.39055719383134,0.0075,0.9855355844085595,4.062638306045189
14.0,0.025,0.9995559822246723,1.9657466830733554,0.05,0.9999710555848449,16.14155896202987,0.0075,0.9922070204376748,24.680217338616565
15.0,0.025,0.9989113652180608,6.773062969436273,0.035,0.9998613043528933,38.196447312324224,0.0075,0.9904287605935935,14.77645862080071
16.0,0.0225,0.999539680248718,6.4434843697980115,0.02,0.99987822919346,9.52498810185869,0.0075,0.9963473896485293,43.47392242889572
17.0,0.02,0.9992588185779707,21.616043345288773,0.015,0.9999102618574807,9.902571369698643,0.0025,0.9931357359200482,18.433487601933475
18.0,0.02,0.9993594108947463,16.507158147741105,0.02,0.9986741334661461,5.426361501616971,0.0075,0.7575921176868801,19.438259863802468
19.0,0.0975,0.9995219977192122,19.155584150083843,0.0525,0.9985035496731108,13.45935255233685,0.0075,0.7884715202683656,23.590616238498537
20.0,0.0175,0.9993072346678862,1.6573360793797434,0.0325,0.9999324429280958,4.334914436406986,0.0075,0.9977935904818463,14.612243618970233
21.0,0.0175,0.9991604037767526,8.856648301740213,0.0275,0.9999198118124784,6.8162556452241585,0.0075,0.9980494161438254,22.586514896894595
22.0,0.0175,0.9995961492646376,20.506413731029262,0.0775,0.9949265902054722,19.24890911754035,0.0475,0.9939260070125393,16.527964989390934
23.0,0.0175,0.9966617288734272,2.3675404834092046,0.0175,0.9954878088775373,14.773080140964328,0.0125,0.9995632842008519,23.463980804649374
24.0,0.0175,0.9993721208992391,16.918679826474534,0.045,0.9999708155653863,19.190191714670846,0.0075,0.9980595965593199,45.47971734478583
25.0,0.0175,0.9995411106517537,16.322215006415913,0.0375,0.9999595386309454,5.280702530501317,0.0075,0.9989585661780838,14.659651224582808
26.0,0.0175,0.9994523471317103,14.661820401611061,0.035,0.9998264993683552,17.706950487250747,0.01,0.9999151666585513,16.883322145725675
27.0,0.0175,0.9989475645825658,0.15217735732753732,0.025,0.9994669650534443,8.643199813249872,0.0075,0.9943857312334763,28.902421200105604
28.0,0.0175,0.999637198954844,25.923425510113503,0.065,0.9999204238017378,9.927634319989684,0.0075,0.9915018139289502,17.898156702954402
29.0,0.0175,0.9995187999089306,39.36549844893064,0.035,0.9999812420048608,20.67030849392416,0.0075,0.9966028684837611,36.47147456269078
30.0,0.0125,0.9988805030831581,3.9411852972141315,0.01,0.9966219520507014,25.81843164412495,0.0075,0.9999964349032195,34.43842829457389
31.0,0.0125,0.9989726834458232,20.53120482657432,0.0475,0.9999832769606476,25.996905469350313,0.0075,0.9933671663955342,38.979871163218306
32.0,0.0075,0.9994753030142862,5.059180050417983,0.0375,0.9999854898568528,45.54258775928886,0.0075,0.9962884598860919,37.679924948134584
33.0,0.07,0.9993315177229505,3.1073334296724258,0.045,0.9974187841583129,7.8406691017929955,0.0125,0.8206048449876934,16.99572760209857
34.0,0.095,0.9992740165607146,14.94542249495254,0.055,0.9985938098993689,11.13389043583914,0.0125,0.9323024955215734,27.804710915498237
35.0,0.03,0.9991379819776918,13.408882632923163,0.055,0.99968827145394,35.477845717043515,0.0075,0.9857948168634457,21.139729821410107
36.0,0.025,0.999308631761715,8.811439678931247,0.0525,0.9999308552796875,33.70680394487886,0.0075,0.9976945995457855,22.337546591536213
37.0,0.1025,0.9992704968676678,8.673972430701886,0.05,0.996817765673641,27.248617513266716,0.0125,0.9172425111376191,14.001893581328078
38.0,0.04,0.9989005773333284,8.179464364961655,0.0425,0.9995719563449976,24.667324156870407,0.0075,0.9876837623892095,7.066458624721461
39.0,0.0225,0.9991773192159604,23.93711062623344,0.045,0.9999937334777896,10.968111405430827,0.0075,0.9976157247735118,12.620218175283679
40.0,0.0075,0.9967855660450068,4.308649814412725,0.0375,0.9999958787999417,19.733868102851723,0.0075,0.9951858964538067,13.367565982552655
41.0,0.015,0.9993587848690674,1.8366192531893293,0.0225,0.9998548989212414,25.798373008259645,0.0075,0.9987213876240533,13.362295439267491
42.0,0.0125,0.9989281807278348,25.349554088107958,0.0225,0.999595987619523,13.627966848073962,0.0075,0.9958718636316994,39.27707220639316
43.0,0.08,0.9995597860970175,7.619553356053839,0.045,0.999707860528293,38.35283395119867,0.0025,0.9431700431327978,34.701952142792564
44.0,0.0375,0.9985954923598077,9.185748561152717,0.0675,0.9991623202956088,6.872948582621778,0.0075,0.8686292600981946,30.900222345337937
45.0,0.1,0.9991093198471289,49.96764196377139,0.0525,0.9966885231280573,17.648047003090706,0.0075,0.8793660469462887,30.121672190386125
46.0,0.0175,0.9961654281643884,11.30647275343544,0.065,0.9994845342753533,14.91646241313842,0.0075,0.991835740350678,15.377699754891177
47.0,0.0075,0.9993961639016088,7.240376260236797,0.0325,0.9999999025650312,1.915600259356225,0.0075,0.9972653289081522,26.56675459131378
48.0,0.0225,0.997396183140123,5.975898172507961,0.0475,0.9999013645359607,10.730007601705703,0.01,0.999814662098375,59.08563168091946
49.0,0.02,0.9987864415415202,8.678896117022774,0.04,0.9997768768091185,19.80051830577215,0.01,0.9935259225571369,24.110887814673994
50.0,0.0125,0.9982272933774313,18.944327189802152,0.0275,0.9997935230882536,21.850506155076097,0.0075,0.9917562120475472,48.39564704883873
51.0,0.0075,0.9993325968676098,10.567192825976843,0.045,0.9999532018769547,14.400148668497476,0.0075,0.9958263856107067,14.169122437677801
52.0,0.035,0.9989409577681994,11.733595226083548,0.0925,0.9996682519239399,41.55708491675866,0.0475,0.9973489568602332,39.4637269853688
53.0,0.0275,0.9994573138580243,15.260889023202598,0.03,0.9998054334834188,12.170346402960934,0.0075,0.9951695922729898,23.59786077811009
54.0,0.025,0.9994199203669637,1.2653909271194386,0.0225,0.9999378891717157,17.708142598631966,0.0025,0.9927644378707065,8.332131046515784
55.0,0.0225,0.9993856455988137,7.337411135973015,0.025,0.9999504131581525,13.205181988432669,0.0025,0.9944642585778113,10.828361077136668
56.0,0.0225,0.9984437376292729,25.58076843418202,0.035,0.9996691734051689,6.230088096812038,0.0175,0.9997061695221772,53.99546094222396
57.0,0.0225,0.9994646109984813,0.4711204138981531,0.03,0.9997428957473744,14.866220373144465,0.0125,0.9970599924076086,24.04514837313421
58.0,0.0225,0.9994289534817153,3.909666519308565,0.0225,0.9997827872249915,6.551690365266748,0.0025,0.9858489275407947,22.52123250134719
59.0,0.0225,0.9992209501475311,31.562795058655247,0.0575,0.9999724005400632,9.114462599285542,0.01,0.9989015928917607,13.277304817847366
60.0,0.0175,0.9986812128724514,1.9143034267785084,0.045,0.9999530204239816,17.022191307034774,0.0075,0.9989223965653226,18.648781593547042
61.0,0.02,0.9992695674690173,12.629876348636452,0.04,0.9996269224633396,18.76789017324495,0.0075,0.9956023986692636,40.290508297499386
62.0,0.0075,0.996723615802748,2.783618495287424,0.035,0.9999819766798308,6.976009005298272,0.0075,0.9999996835149932,2.4097041146312366
63.0,0.0975,0.999241024922734,4.665378160813322,0.0525,0.9963499939740748,23.321097253621858,0.0075,0.6477235162441498,23.001036207053605
64.0,0.0475,0.9991537540905399,29.867225959168838,0.0475,0.9994561410395009,10.441345270312565,0.0075,0.9925680020467035,35.340282223251364
65.0,0.025,0.9989186953690489,0.9437447681592491,0.0525,0.9992463120576243,19.809104399847545,0.0075,0.9995157967354493,18.589315326860827
66.0,0.0225,0.9989126876409093,23.955666512931323,0.02,0.9998838234534394,7.132400036587308,0.0075,0.9993293552415787,7.603555803992135
67.0,0.025,0.9978393381568982,4.72465451538575,0.08,0.9993197051573987,17.262248023604712,0.045,0.9999450154628686,70.44225003686559
68.0,0.025,0.9993621143216979,9.270868443425115,0.0525,0.9999709273706131,9.007372566924404,0.0075,0.9923395458555029,19.599463904299363
69.0,0.02,0.9997227735506824,23.35767198171169,0.035,0.99999880956436,14.990120325072594,0.0075,0.9950159618422851,11.30585973189898
70.0,0.0075,0.999038722386521,27.358507639999917,0.0175,0.9999924684577718,4.577036126034228,0.0075,0.9978339676248664,6.15915344376197
71.0,0.0325,0.9993703141179182,13.445100196619626,0.03,0.9996745561424248,9.110506881497496,0.0075,0.999106753552941,25.57204891411012
72.0,0.0225,0.9993115444999026,1.1822516191858752,0.0225,0.9997263099914344,19.319060033485535,0.0025,0.991497592658941,24.998019848830566
73.0,0.0225,0.9994534768384503,18.197909265442394,0.0425,0.9999423112776321,14.553105264977926,0.0075,0.9969240342453274,30.067620220615634
74.0,0.0225,0.9980357222603744,14.983923376969235,0.03,0.9990620124900207,7.81629393895266,0.01,0.9905109163942513,13.557554970875675
75.0,0.025,0.9987911176715188,1.751769265644795,0.03,0.9994246201498322,6.304462557916458,0.0075,0.9994751834314859,13.67727649783605
76.0,0.0225,0.9991441188133837,5.160776456543619,0.0475,0.9999460794157795,3.6180415522012077,0.0075,0.9993587464153468,41.91479139421616
77.0,0.0225,0.9994574330080479,14.470033803965423,0.03,0.9999446977494707,17.013096687427232,0.0025,0.9592522053603547,24.26293316189662
78.0,0.1,0.9991734287918508,15.442180536872023,0.055,0.9979412159355552,11.959395869196916,0.0075,0.6044686169492209,23.18694866655981
79.0,0.03,0.9984901686184288,4.986861082021895,0.05,0.9998735787609622,29.525458358825144,0.0075,0.9974404012890478,26.17866707150547
80.0,0.0225,0.9994621289154132,15.4631269132358,0.04,0.9998179044360359,24.13151012061838,0.0075,0.997553953357158,27.005818051676034
81.0,0.0175,0.99893306777896,7.887726695992544,0.0225,0.9972257080139332,33.82838012507968,0.0075,0.9915666956995431,18.46804518806064
82.0,0.0175,0.9940929275258049,4.210139711007203,0.09,0.9962932122858082,19.51651141434931,0.045,0.999163087722144,47.865364401879596
83.0,0.0175,0.9991793335372579,10.042347517689345,0.0225,0.9998152362646154,13.726873576635905,0.0025,0.9997288541043865,13.57028249279361
84.0,0.0175,0.9992143892356216,4.869658360453769,0.01,0.9998612945672747,10.739987762449612,0.0025,0.9945008161394787,8.08058955081106
85.0,0.015,0.9995087532118597,26.32502150627229,0.01,0.9995076620793136,15.624756745440473,0.0075,0.9988616272341191,16.700597496949186
86.0,0.0125,0.9988263192224325,2.510894156245449,0.045,0.9996302543493542,26.516897269050435,0.0075,0.9990952325485067,17.605664029108674
87.0,0.015,0.9996928913876459,20.59163653957034,0.06,0.9999991090908518,7.364303786278111,0.005,0.9906730627848174,23.244236226571935
88.0,0.0725,0.9994919161563424,14.482981756681399,0.035,0.9996092637726763,17.31473002847721,0.0025,0.9802761875608724,3.4932464144937168
89.0,0.0975,0.999058737506834,8.689691898749706,0.0675,0.9968683208358561,15.734018413026941,0.0125,0.7827068215495749,13.001851804496678
90.0,0.03,0.9987411901990992,45.51674310071209,0.0375,0.9990129431658094,18.73723492427812,0.0125,0.9913305617254231,33.546867467658494
91.0,0.0075,0.9985459483570712,10.971809754354778,0.0075,0.9998215230839972,17.9655891233787,0.0025,0.9887084791112901,16.868243016586643
92.0,0.005,0.9989473857509296,13.268439997605878,0.0525,0.9999757891578352,39.95811855403915,0.0125,0.9995782899795485,12.793256692186308
93.0,0.0375,0.9987271472023087,21.893298701456846,0.0325,0.9992284315191488,7.381513285695175,0.0125,0.9981044365899311,13.797251728035135
94.0,0.0275,0.9987271462005886,15.632260106970268,0.04,0.9991182249675643,8.52363534496379,0.0125,0.9987931965964845,20.959655131921792
95.0,0.085,0.9994872423776902,5.283943631343304,0.0625,0.9996174319171457,10.663092383871199,0.0075,0.9219125205898085,19.45751076088931
96.0,0.0525,0.999206873263201,30.439086438835634,0.0275,0.9979266428894553,0.26834881192830423,0.0075,0.8168139118671348,6.175931868566547
97.0,0.0975,0.999455904786436,15.676714500828709,0.055,0.9962428552699077,28.284739423972564,0.0125,0.910910030627318,27.89297156855218
98.0,0.025,0.9995676480013233,5.533717949756886,0.0475,0.9999288894990007,35.268443443491,0.0075,0.9970649195261352,46.59140274267627
99.0,0.0225,0.999365228256244,9.307210127810464,0.05,0.9999688872265985,23.92279062395483,0.0075,0.9997463886093272,16.760653299046574
100.0,0.0225,0.999294728284665,10.131475025551193,0.03,0.999840594959847,21.161778212726617,0.0075,0.9993179586435376,36.45842772525408
101.0,0.02,0.9994516266814658,13.308137801313544,0.02,0.9999348896014064,23.520656886750327,0.0025,0.9896488951696449,3.1630396549667763
102.0,0.01,0.9994498535388964,16.708567008904428,0.025,0.9999814956832493,10.72563464938689,0.0075,0.9991029897138474,23.35821811508342
103.0,0.0775,0.9993593053316997,24.191946207741356,0.0275,0.9996571224543175,10.771811419406664,0.0025,0.9589180375630149,38.01633960508819
104.0,0.095,0.9992585255472474,16.933011274679963,0.0525,0.9968117558975423,16.7577923304348,0.0075,0.7960502786774878,11.680486544209046
105.0,0.04,0.9994731655879571,8.48489785794641,0.035,0.9997459754801634,14.161456339421015,0.0075,0.9913015168037699,21.289857107976665
106.0,0.025,0.9994196512423928,8.97146477926227,0.0375,0.9996078372169868,18.94015119767722,0.0075,0.9977618429974724,32.512377255840846
107.0,0.0225,0.9989684283198195,29.043782130082935,0.03,0.9994498650569463,11.082358106879187,0.0075,0.9782524542209108,15.011412861495412
108.0,0.095,0.9994971233251633,13.688197379854994,0.0525,0.997169251298404,12.709779108701403,0.0075,0.8287578412661241,7.793401245525723
109.0,0.03,0.9992794312043207,7.294496160312338,0.0225,0.999413169973103,12.534831671031155,0.0075,0.9840388019392305,22.5628375227045
110.0,0.02,0.999442851183243,25.860036557799898,0.0225,0.9999195539589266,12.97714869724535,0.0075,0.9906773507535116,17.045832575399945
111.0,0.0225,0.999306963640578,3.2563147497172102,0.08,0.9998541414696933,25.517827374927965,0.0475,0.9999814401471142,26.28773592362181
112.0,0.0225,0.9988988648159489,1.567145932698165,0.0425,0.9981770679106653,14.109421857640234,0.03,0.9999862287746315,42.09916023570056
